 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =F350LP
 -3.1169 -3.0961 -3.1148 -3.1061 -3.0547 -3.0057 -2.9968 -3.0088 -3.0018 -2.9614
 -2.9026 -2.8297 -2.7530 -2.6810 -2.6123 -2.4670 -2.3634 -2.2954 -2.2460
 -3.1059 -3.0369 -2.9951 -2.9626 -2.9377 -2.9217 -2.9114 -2.9016 -2.8868 -2.8635
 -2.8292 -2.7815 -2.7209 -2.6546 -2.5909 -2.4584 -2.3649 -2.3042 -2.2643 -2.2406
 -3.0975 -3.0054 -2.9305 -2.8784 -2.8536 -2.8430 -2.8310 -2.8164 -2.8017 -2.7865
 -2.7649 -2.7339 -2.6888 -2.6318 -2.5739 -2.4524 -2.3670 -2.3124 -2.2793 -2.2592
 -2.2473
 -3.0917 -3.0016 -2.9210 -2.8535 -2.8024 -2.7696 -2.7556 -2.7532 -2.7465 -2.7304
 -2.7097 -2.6869 -2.6567 -2.6126 -2.5613 -2.4490 -2.3697 -2.3200 -2.2910 -2.2737
 -2.2636 -2.2582
 -3.0684 -2.9895 -2.9151 -2.8479 -2.7904 -2.7448 -2.7123 -2.6915 -2.6809 -2.6747
 -2.6621 -2.6423 -2.6205 -2.5905 -2.5488 -2.4460 -2.3714 -2.3255 -2.3006 -2.2867
 -2.2789 -2.2751 -2.2742 -2.2756
 -3.0202 -2.9573 -2.8957 -2.8369 -2.7823 -2.7341 -2.6940 -2.6630 -2.6399 -2.6224
 -2.6084 -2.5936 -2.5760 -2.5568 -2.5284 -2.4411 -2.3708 -2.3274 -2.3063 -2.2967
 -2.2923 -2.2911 -2.2920 -2.2947 -2.2986 -2.3040 -2.3115 -2.3237 -2.3422 -2.3659
 -2.9470 -2.9014 -2.8556 -2.8099 -2.7646 -2.7209 -2.6805 -2.6450 -2.6158 -2.5919
 -2.5711 -2.5518 -2.5326 -2.5160 -2.4960 -2.4296 -2.3669 -2.3253 -2.3065 -2.3015
 -2.3019 -2.3044 -2.3084 -2.3132 -2.3187 -2.3249 -2.3325 -2.3418 -2.3561 -2.3780
 -2.4058
 -2.8550 -2.8248 -2.7941 -2.7629 -2.7303 -2.6962 -2.6612 -2.6270 -2.5956 -2.5684
 -2.5448 -2.5231 -2.5021 -2.4819 -2.4639 -2.4097 -2.3579 -2.3195 -2.3017 -2.2999
 -2.3054 -2.3131 -2.3212 -2.3295 -2.3378 -2.3459 -2.3545 -2.3641 -2.3758 -2.3921
 -2.4176
 -2.7511 -2.7338 -2.7158 -2.6974 -2.6774 -2.6549 -2.6292 -2.6012 -2.5725 -2.5452
 -2.5205 -2.4983 -2.4773 -2.4567 -2.4380 -2.3883 -2.3440 -2.3105 -2.2933 -2.2928
 -2.3022 -2.3153 -2.3288 -2.3419 -2.3541 -2.3655 -2.3766 -2.3875 -2.3992 -2.4131
 -2.4321
 -2.6432 -2.6359 -2.6277 -2.6191 -2.6098 -2.5981 -2.5832 -2.5642 -2.5421 -2.5185
 -2.4951 -2.4734 -2.4534 -2.4345 -2.4163 -2.3706 -2.3298 -2.3001 -2.2839 -2.2827
