 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =F150W2
  0.6031  0.6389  0.6997  0.7267  0.7059  0.6837  0.6939  0.7178  0.7249  0.7085
  0.6777  0.6369  0.5938  0.5492  0.5012  0.3748  0.2426  0.1086 -0.0222
  0.5978  0.5977  0.6115  0.6252  0.6382  0.6519  0.6641  0.6715  0.6714  0.6623
  0.6427  0.6118  0.5713  0.5254  0.4772  0.3523  0.2236  0.0926 -0.0371 -0.1647
  0.5926  0.5748  0.5623  0.5620  0.5794  0.6016  0.6158  0.6223  0.6235  0.6191
  0.6060  0.5825  0.5470  0.5027  0.4550  0.3315  0.2057  0.0778 -0.0501 -0.1755
 -0.2977
  0.5875  0.5702  0.5521  0.5371  0.5295  0.5328  0.5490  0.5702  0.5812  0.5789
  0.5676  0.5490  0.5209  0.4811  0.4346  0.3124  0.1889  0.0642 -0.0612 -0.1847
 -0.3050 -0.4221
  0.5717  0.5599  0.5445  0.5281  0.5133  0.5032  0.5002  0.5044  0.5147  0.5248
  0.5239  0.5106  0.4893  0.4573  0.4148  0.2948  0.1729  0.0512 -0.0713 -0.1930
 -0.3119 -0.4275 -0.5399 -0.6495
  0.5408  0.5370  0.5282  0.5159  0.5017  0.4878  0.4765  0.4697  0.4666  0.4655
  0.4646  0.4591  0.4449  0.4226  0.3896  0.2781  0.1579  0.0386 -0.0807 -0.2003
 -0.3181 -0.4328 -0.5440 -0.6522 -0.7576 -0.8607 -0.9619 -1.0623 -1.1621 -1.2586
  0.4944  0.4988  0.4982  0.4931  0.4840  0.4720  0.4588  0.4468  0.4370  0.4287
  0.4199  0.4093  0.3954  0.3778  0.3527  0.2587  0.1437  0.0266 -0.0900 -0.2069
 -0.3234 -0.4375 -0.5482 -0.6555 -0.7598 -0.8614 -0.9608 -1.0584 -1.1553 -1.2520
 -1.3462
  0.4353  0.4463  0.4534  0.4564  0.4546  0.4481  0.4379  0.4256  0.4129  0.4007
  0.3886  0.3747  0.3576  0.3374  0.3144  0.2330  0.1283  0.0150 -0.0990 -0.2131
 -0.3276 -0.4411 -0.5517 -0.6589 -0.7626 -0.8633 -0.9615 -1.0575 -1.1518 -1.2455
 -1.3397
  0.3675  0.3830  0.3957  0.4056  0.4114  0.4122  0.4077  0.3990  0.3872  0.3739
  0.3601  0.3453  0.3279  0.3070  0.2831  0.2061  0.1096  0.0019 -0.1093 -0.2209
 -0.3331 -0.4453 -0.5560 -0.6636 -0.7676 -0.8682 -0.9658 -1.0609 -1.1538 -1.2453
 -1.3364
  0.2923  0.3107  0.3276  0.3427  0.3551  0.3630  0.3657  0.3629  0.3553  0.3441
  0.3306  0.3158  0.2994  0.2802  0.2575  0.1836  0.0925 -0.0098 -0.1176 -0.2269
 -0.3365 -0.4466 -0.5562 -0.6640 -0.7686 -0.8696 -0.9674 -1.0621 -1.1543 -1.2444
 -1.3343
  0.2097  0.2315  0.2516  0.2703  0.2871  0.3010  0.3104  0.3147  0.3133  0.3069
  0.2965  0.2832  0.2680  0.2509  0.2310  0.1639  0.0764 -0.0210 -0.1254 -0.2324
 -0.3402 -0.4481 -0.5559 -0.6630 -0.7679 -0.8697 -0.9682 -1.0633 -1.1554 -1.2451
 -1.3327
  0.1198  0.1454  0.1689  0.1897  0.2099  0.2278  0.2426  0.2534  0.2590  0.2592
  0.2542  0.2449  0.2324  0.2174  0.2036  0.1470  0.0613 -0.0317 -0.1327
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value =F150W2
  0.6754  0.6902  0.7066  0.7226  0.7358  0.7442  0.7462  0.7406  0.7270  0.7054
  0.6753  0.6372  0.5936  0.5468  0.4973  0.3725  0.2432  0.1110 -0.0212
  0.6387  0.6459  0.6570  0.6699  0.6822  0.6916  0.6963  0.6950  0.6870  0.6716
  0.6475  0.6138  0.5720  0.5254  0.4768  0.3518  0.2242  0.0949 -0.0346 -0.1621
  0.6175  0.6052  0.6067  0.6232  0.6326  0.6408  0.6465  0.6480  0.6444  0.6346
  0.6172  0.5902  0.5528  0.5076  0.4591  0.3341  0.2077  0.0807 -0.0465 -0.1717
 -0.2941
  0.6106  0.5850  0.5738  0.5746  0.5827  0.5932  0.6023  0.6067  0.6043  0.5967
  0.5836  0.5633  0.5330  0.4917  0.4442  0.3194  0.1937  0.0684 -0.0569 -0.1804
 -0.3008 -0.4182
  0.6128  0.5918  0.5695  0.5553  0.5490  0.5483  0.5511  0.5556  0.5605  0.5621
  0.5520  0.5342  0.5094  0.4751  0.4307  0.3070  0.1818  0.0577 -0.0658 -0.1879
 -0.3071 -0.4230 -0.5357 -0.6457
  0.6076  0.5903  0.5694  0.5469  0.5254  0.5079  0.4962  0.4911  0.4922  0.4999
  0.5056  0.4991  0.4815  0.4541  0.4162  0.2963  0.1715  0.0484 -0.0735 -0.1943
 -0.3127 -0.4277 -0.5393 -0.6479 -0.7538 -0.8573 -0.9590 -1.0597 -1.1595 -1.2559
  0.5891  0.5788  0.5630  0.5435  0.5223  0.5015  0.4828  0.4682  0.4577  0.4501
  0.4454  0.4425  0.4351  0.4190  0.3924  0.2858  0.1625  0.0401 -0.0804 -0.1996
 -0.3172 -0.4319 -0.5430 -0.6508 -0.7555 -0.8575 -0.9574 -1.0554 -1.1526 -1.2494
 -1.3435
  0.5563  0.5532  0.5445  0.5311  0.5144  0.4955  0.4757  0.4568  0.4399  0.4252
  0.4117  0.3982  0.3850  0.3709  0.3523  0.2694  0.1537  0.0326 -0.0867 -0.2043
 -0.3207 -0.4350 -0.5461 -0.6537 -0.7579 -0.8590 -0.9577 -1.0541 -1.1489 -1.2429
 -1.3370
  0.5095  0.5143  0.5124  0.5059  0.4954  0.4815  0.4649  0.4465  0.4275  0.4088
  0.3909  0.3726  0.3532  0.3327  0.3118  0.2412  0.1399  0.0236 -0.0942 -0.2103
 -0.3251 -0.4387 -0.5500 -0.6580 -0.7624 -0.8635 -0.9616 -1.0572 -1.1506 -1.2425
 -1.3337
  0.4522  0.4626  0.4671  0.4673  0.4636  0.4561  0.4449  0.4304  0.4131  0.3941
  0.3743  0.3539  0.3324  0.3091  0.2842  0.2132  0.1221  0.0144 -0.1000 -0.2143
 -0.3273 -0.4393 -0.5499 -0.6582 -0.7632 -0.8646 -0.9628 -1.0580 -1.1507 -1.2412
 -1.3315
  0.3883  0.4018  0.4113  0.4170  0.4192  0.4181  0.4130  0.4041  0.3911  0.3748
  0.3560  0.3355  0.3136  0.2900  0.2644  0.1909  0.1036  0.0030 -0.1064 -0.2183
 -0.3296 -0.4399 -0.5490 -0.6568 -0.7622 -0.8644 -0.9633 -1.0589 -1.1515 -1.2416
 -1.3297
  0.3185  0.3344  0.3473  0.3573  0.3644  0.3684  0.3691  0.3661  0.3587  0.3470
  0.3316  0.3132  0.2924  0.2698  0.2524  0.1743  0.0844 -0.0106 -0.1134
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value =F150W2
  0.7431  0.7589  0.7749  0.7894  0.7994  0.8020  0.7948  0.7769  0.7505  0.7172
  0.6780  0.6342  0.5880  0.5407  0.4925  0.3691  0.2426  0.1136 -0.0171
  0.7041  0.7165  0.7304  0.7438  0.7542  0.7585  0.7544  0.7406  0.7192  0.6912
  0.6567  0.6158  0.5704  0.5227  0.4739  0.3497  0.2240  0.0973 -0.0303 -0.1572
  0.6701  0.6770  0.6872  0.6981  0.7075  0.7130  0.7118  0.7023  0.6859  0.6634
  0.6346  0.5987  0.5561  0.5091  0.4601  0.3349  0.2092  0.0838 -0.0416 -0.1662
 -0.2885
  0.6473  0.6407  0.6437  0.6540  0.6627  0.6679  0.6683  0.6625  0.6504  0.6327
  0.6094  0.5797  0.5424  0.4980  0.4496  0.3239  0.1978  0.0729 -0.0511 -0.1739
 -0.2945 -0.4121
  0.6387  0.6198  0.6086  0.6043  0.6063  0.6138  0.6233  0.6236  0.6155  0.6012
  0.5817  0.5570  0.5261  0.4870  0.4408  0.3156  0.1892  0.0644 -0.0588 -0.1805
 -0.2999 -0.4162 -0.5293 -0.6399
  0.6423  0.6211  0.5992  0.5791  0.5637  0.5537  0.5513  0.5569  0.5637  0.5642
  0.5535  0.5332  0.5062  0.4731  0.4318  0.3092  0.1826  0.0579 -0.0648 -0.1858
 -0.3045 -0.4201 -0.5322 -0.6413 -0.7478 -0.8520 -0.9543 -1.0555 -1.1554 -1.2515
  0.6433  0.6236  0.6010  0.5769  0.5535  0.5328  0.5164  0.5045  0.4967  0.4940
  0.4960  0.4933  0.4793  0.4541  0.4195  0.3036  0.1775  0.0527 -0.0696 -0.1899
 -0.3080 -0.4234 -0.5351 -0.6435 -0.7488 -0.8515 -0.9521 -1.0508 -1.1484 -1.2451
 -1.3389
  0.6360  0.6210  0.6012  0.5779  0.5528  0.5275  0.5039  0.4835  0.4663  0.4518
  0.4397  0.4310  0.4247  0.4137  0.3930  0.2973  0.1732  0.0487 -0.0733 -0.1930
 -0.3091 -0.4256 -0.5374 -0.6456 -0.7504 -0.8523 -0.9517 -1.0488 -1.1441 -1.2386
 -1.3326
  0.6147  0.6073  0.5935  0.5740  0.5511  0.5262  0.5007  0.4760  0.4529  0.4320
  0.4127  0.3943  0.3769  0.3615  0.3461  0.2784  0.1672  0.0437 -0.0780 -0.1971
 -0.3138 -0.4286 -0.5406 -0.6493 -0.7544 -0.8561 -0.9550 -1.0512 -1.1454 -1.2378
 -1.3294
  0.5801  0.5798  0.5738  0.5602  0.5420  0.5206  0.4971  0.4724  0.4475  0.4229
  0.3992  0.3760  0.3529  0.3296  0.3070  0.2465  0.1555  0.0401 -0.0803 -0.1985
 -0.3143 -0.4281 -0.5399 -0.6489 -0.7546 -0.8567 -0.9556 -1.0515 -1.1448 -1.2361
 -1.3271
  0.5347  0.5402  0.5397  0.5335  0.5215  0.5054  0.4862  0.4646  0.4413  0.4166
  0.3913  0.3654  0.3392  0.3124  0.2851  0.2156  0.1347  0.0321 -0.0832 -0.1999
 -0.3147 -0.4274 -0.5382 -0.6470 -0.7532 -0.8560 -0.9556 -1.0518 -1.1451 -1.2360
 -1.3247
  0.4806  0.4909  0.4955  0.4948  0.4889  0.4787  0.4649  0.4481  0.4284  0.4064
  0.3824  0.3566  0.3295  0.3012  0.2804  0.1857  0.1048  0.0197 -0.0867
 [Fe/H] = -1.00 [alpha/Fe] = 0.40 BC value =F150W2
  0.8224  0.8390  0.8539  0.8654  0.8714  0.8682  0.8524  0.8222  0.7808  0.7329
  0.6823  0.6314  0.5816  0.5328  0.4845  0.3632  0.2405  0.1152 -0.0124
  0.7826  0.7983  0.8134  0.8261  0.8338  0.8338  0.8227  0.7973  0.7611  0.7174
  0.6692  0.6190  0.5687  0.5190  0.4697  0.3465  0.2231  0.0993 -0.0255 -0.1506
  0.7440  0.7565  0.7700  0.7828  0.7925  0.7960  0.7897  0.7701  0.7398  0.7014
  0.6573  0.6093  0.5596  0.5096  0.4596  0.3348  0.2104  0.0870 -0.0361 -0.1589
 -0.2806
  0.7092  0.7171  0.7275  0.7387  0.7484  0.7541  0.7525  0.7392  0.7150  0.6825
  0.6435  0.5996  0.5522  0.5028  0.4528  0.3268  0.2014  0.0777 -0.0446 -0.1658
 -0.2857 -0.4035
  0.6756  0.6758  0.6838  0.6942  0.7039  0.7104  0.7115  0.7041  0.6860  0.6594
  0.6262  0.5874  0.5440  0.4970  0.4477  0.3215  0.1953  0.0710 -0.0511 -0.1714
 -0.2901 -0.4064 -0.5201 -0.6312
  0.6675  0.6515  0.6412  0.6390  0.6448  0.6556  0.6638  0.6635  0.6527  0.6323
  0.6047  0.5713  0.5329  0.4900  0.4431  0.3179  0.1912  0.0665 -0.0558 -0.1757
 -0.2936 -0.4091 -0.5218 -0.6316 -0.7388 -0.8439 -0.9471 -1.0490 -1.1493 -1.2452
  0.6692  0.6492  0.6296  0.6130  0.6014  0.5952  0.5930  0.5935  0.5938  0.5890
  0.5747  0.5501  0.5177  0.4797  0.4370  0.3155  0.1887  0.0635 -0.0589 -0.1788
 -0.2962 -0.4113 -0.5234 -0.6326 -0.7387 -0.8424 -0.9439 -1.0436 -1.1419 -1.2388
 -1.3320
  0.6721  0.6519  0.6299  0.6074  0.5862  0.5677  0.5526  0.5398  0.5277  0.5165
  0.5076  0.4994  0.4852  0.4606  0.4261  0.3132  0.1872  0.0619 -0.0608 -0.1805
 -0.2978 -0.4126 -0.5247 -0.6336 -0.7393 -0.8421 -0.9425 -1.0406 -1.1370 -1.2320
 -1.3272
  0.6718  0.6542  0.6330  0.6092  0.5841  0.5591  0.5354  0.5137  0.4936  0.4740
  0.4548  0.4371  0.4226  0.4095  0.3917  0.3069  0.1849  0.0595 -0.0633 -0.1831
 -0.3001 -0.4148 -0.5270 -0.6363 -0.7422 -0.8449 -0.9448 -1.0421 -1.1372 -1.2306
 -1.3228
  0.6630  0.6501  0.6330  0.6113  0.5863  0.5592  0.5315  0.5043  0.4781  0.4531
  0.4289  0.4050  0.3816  0.3598  0.3406  0.2830  0.1829  0.0596 -0.0630 -0.1826
 -0.2993 -0.4136 -0.5257 -0.6352 -0.7416 -0.8445 -0.9444 -1.0413 -1.1357 -1.2280
 -1.3186
  0.6417  0.6353  0.6235  0.6068  0.5852  0.5596  0.5316  0.5026  0.4734  0.4446
  0.4164  0.3888  0.3613  0.3339  0.3072  0.2453  0.1673  0.0587 -0.0624 -0.1817
 -0.2980 -0.4118 -0.5234 -0.6328 -0.7396 -0.8432 -0.9436 -1.0408 -1.1351 -1.2270
 -1.3166
  0.6082  0.6077  0.6022  0.5912  0.5751  0.5539  0.5287  0.5010  0.4718  0.4419
  0.4118  0.3816  0.3513  0.3210  0.2915  0.1938  0.1381  0.0568 -0.0615
 [Fe/H] = -0.75 [alpha/Fe] = 0.40 BC value =F150W2
  0.8613  0.8784  0.8928  0.9027  0.9054  0.8980  0.8779  0.8432  0.7946  0.7405
  0.6851  0.6310  0.5790  0.5289  0.4800  0.3593  0.2380  0.1150 -0.0104
  0.8225  0.8397  0.8552  0.8670  0.8727  0.8700  0.8552  0.8242  0.7809  0.7301
  0.6760  0.6216  0.5687  0.5175  0.4675  0.3445  0.2222  0.1000 -0.0231 -0.1469
  0.7821  0.7975  0.8125  0.8256  0.8343  0.8360  0.8270  0.8028  0.7660  0.7200
  0.6688  0.6155  0.5623  0.5103  0.4594  0.3344  0.2109  0.0885 -0.0333 -0.1549
 -0.2759
  0.7445  0.7558  0.7687  0.7813  0.7916  0.7969  0.7937  0.7771  0.7473  0.7075
