 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F300M
  0.1029  0.0509 -0.0035 -0.0591 -0.1153 -0.2562 -0.4020 -0.5543 -0.7084 -0.8599
 -1.0085 -1.1538 -1.2940 -1.4279 -1.5554 -1.6773 -1.7944 -1.9070 -2.0157 -2.1209
 -2.2249
  0.2505  0.2536  0.2537  0.2507  0.2434  0.2286  0.2067  0.1784  0.1441  0.1048
  0.0615  0.0147 -0.0349 -0.0867 -0.1401 -0.2769 -0.4173 -0.5626 -0.7113 -0.8593
 -1.0051 -1.1485 -1.2884 -1.4235 -1.5525 -1.6756 -1.7935 -1.9067 -2.0157 -2.1210
 -2.2227
  0.1611  0.1535  0.1532  0.1533  0.1508  0.1429  0.1283  0.1072  0.0801  0.0479
  0.0109 -0.0301 -0.0742 -0.1209 -0.1698 -0.2988 -0.4337 -0.5731 -0.7161
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value = F300M
  0.7803  0.7891  0.7913  0.7799  0.7613  0.7268  0.6697  0.6020  0.5294  0.4525
  0.3743  0.2956  0.2170  0.1392  0.0624 -0.1247 -0.3055 -0.4804 -0.6478
  0.8257  0.8092  0.8040  0.7863  0.7500  0.7038  0.6464  0.5790  0.5067  0.4300
  0.3518  0.2728  0.1937  0.1154  0.0383 -0.1483 -0.3269 -0.4989 -0.6642 -0.8222
  0.8212  0.8109  0.7921  0.7710  0.7434  0.6907  0.6282  0.5607  0.4894  0.4141
  0.3366  0.2579  0.1787  0.1001  0.0225 -0.1646 -0.3425 -0.5128 -0.6766 -0.8336
 -0.9839
  0.8034  0.7872  0.7627  0.7330  0.6995  0.6675  0.6142  0.5461  0.4748  0.4015
  0.3254  0.2476  0.1689  0.0903  0.0126 -0.1754 -0.3534 -0.5230 -0.6859 -0.8421
 -0.9917 -1.1353
  0.7769  0.7594  0.7308  0.6941  0.6523  0.6086  0.5667  0.5229  0.4607  0.3898
  0.3159  0.2397  0.1621  0.0840  0.0064 -0.1821 -0.3605 -0.5300 -0.6924 -0.8483
 -0.9976 -1.1406 -1.2778 -1.4104
  0.7408  0.7251  0.6980  0.6603  0.6149  0.5651  0.5135  0.4631  0.4164  0.3664
  0.3030  0.2314  0.1561  0.0793  0.0023 -0.1860 -0.3648 -0.5344 -0.6965 -0.8524
 -1.0018 -1.1447 -1.2814 -1.4130 -1.5403 -1.6638 -1.7836 -1.9002 -2.0135 -2.1231
  0.6941  0.6818  0.6592  0.6254  0.5823  0.5325  0.4783  0.4219  0.3658  0.3122
  0.2614  0.2068  0.1438  0.0732 -0.0013 -0.1883 -0.3670 -0.5365 -0.6985 -0.8543
 -1.0040 -1.1474 -1.2842 -1.4155 -1.5418 -1.6640 -1.7826 -1.8978 -2.0098 -2.1187
 -2.2246
  0.6385  0.6285  0.6111  0.5836  0.5460  0.5002  0.4483  0.3924  0.3341  0.2753
  0.2173  0.1606  0.1053  0.0480 -0.0142 -0.1901 -0.3679 -0.5371 -0.6987 -0.8541
 -1.0041 -1.1483 -1.2859 -1.4174 -1.5435 -1.6651 -1.7827 -1.8967 -2.0074 -2.1151
 -2.2201
  0.5743  0.5662  0.5530  0.5317  0.5012  0.4618  0.4150  0.3627  0.3065  0.2480
  0.1884  0.1281  0.0681  0.0096 -0.0480 -0.2008 -0.3708 -0.5391 -0.7001 -0.8549
 -1.0046 -1.1494 -1.2883 -1.4208 -1.5475 -1.6692 -1.7866 -1.9001 -2.0101 -2.1167
 -2.2202
  0.5017  0.4966  0.4863  0.4705  0.4469  0.4150  0.3754  0.3292  0.2777  0.2225
  0.1649  0.1055  0.0449 -0.0159 -0.0758 -0.2226 -0.3762 -0.5388 -0.6984 -0.8520
 -1.0006 -1.1452 -1.2848 -1.4187 -1.5465 -1.6688 -1.7865 -1.8997 -2.0091 -2.1151
 -2.2178
  0.4238  0.4190  0.4120  0.4005  0.3828  0.3580  0.3258  0.2869  0.2418  0.1919
  0.1384  0.0823  0.0241 -0.0354 -0.0955 -0.2436 -0.3903 -0.5420 -0.6974 -0.8493
 -0.9964 -1.1398 -1.2794 -1.4142 -1.5432 -1.6667 -1.7851 -1.8989 -2.0085 -2.1144
 -2.2168
  0.3438  0.3376  0.3319  0.3233  0.3101  0.2912  0.2661  0.2343  0.1963  0.1529
  0.1050  0.0536 -0.0004 -0.0566 -0.1143 -0.2605 -0.4050 -0.5505 -0.6989
 [Fe/H] = -0.75 [alpha/Fe] =-0.40 BC value = F300M
  0.7424  0.7590  0.7672  0.7638  0.7538  0.7245  0.6702  0.6025  0.5294  0.4528
  0.3752  0.2971  0.2191  0.1417  0.0652 -0.1209 -0.3006 -0.4750 -0.6431
  0.8016  0.7926  0.7923  0.7743  0.7429  0.7033  0.6475  0.5802  0.5074  0.4309
  0.3533  0.2750  0.1965  0.1184  0.0414 -0.1449 -0.3229 -0.4942 -0.6596 -0.8182
  0.8187  0.8123  0.7946  0.7817  0.7430  0.6895  0.6297  0.5626  0.4907  0.4155
  0.3385  0.2606  0.1821  0.1038  0.0264 -0.1610 -0.3388 -0.5086 -0.6722 -0.8293
 -0.9799
  0.8085  0.7967  0.7775  0.7527  0.7281  0.6831  0.6184  0.5487  0.4771  0.4035
  0.3277  0.2506  0.1727  0.0946  0.0170 -0.1713 -0.3495 -0.5190 -0.6814 -0.8376
 -0.9874 -1.1312
