 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = BX   
 -7.5603 -7.3142 -7.1555 -6.9607 -6.7137 -6.5008 -6.3878 -6.3175 -6.2020 -6.0146
 -5.7932 -5.5487 -5.2986 -5.0584 -4.8238 -4.2742 -3.7810 -3.3767 -3.0461
 -7.2370 -6.9026 -6.6517 -6.4402 -6.2596 -6.1072 -5.9749 -5.8491 -5.7157 -5.5654
 -5.3924 -5.1931 -4.9725 -4.7491 -4.5365 -4.0567 -3.6362 -3.2836 -3.0030 -2.7870
 -7.0219 -6.6413 -6.3360 -6.0998 -5.9273 -5.7852 -5.6422 -5.4976 -5.3559 -5.2161
 -5.0653 -4.8968 -4.7055 -4.5021 -4.3081 -3.8827 -3.5204 -3.2124 -2.9693 -2.7797
 -2.6257
 -6.9150 -6.5303 -6.2084 -5.9395 -5.7168 -5.5348 -5.3897 -5.2630 -5.1226 -4.9667
 -4.8119 -4.6598 -4.4976 -4.3174 -4.1386 -3.7522 -3.4336 -3.1631 -2.9450 -2.7737
 -2.6339 -2.5141
 -6.8414 -6.4671 -6.1470 -5.8710 -5.6312 -5.4228 -5.2419 -5.0844 -4.9456 -4.8109
 -4.6597 -4.4994 -4.3452 -4.1858 -4.0212 -3.6616 -3.3728 -3.1309 -2.9328 -2.7761
 -2.6480 -2.5378 -2.4395 -2.3502
 -6.7674 -6.4148 -6.1069 -5.8352 -5.5927 -5.3744 -5.1773 -4.9995 -4.8385 -4.6904
 -4.5495 -4.4054 -4.2559 -4.1057 -3.9492 -3.6041 -3.3339 -3.1117 -2.9284 -2.7829
 -2.6648 -2.5634 -2.4727 -2.3896 -2.3124 -2.2407 -2.1748 -2.1125 -2.0566 -2.0223
 -6.6788 -6.3554 -6.0678 -5.8086 -5.5715 -5.3530 -5.1505 -4.9626 -4.7892 -4.6287
 -4.4784 -4.3350 -4.1944 -4.0571 -3.9141 -3.5761 -3.3128 -3.1025 -2.9289 -2.7908
 -2.6808 -2.5877 -2.5048 -2.4285 -2.3572 -2.2901 -2.2276 -2.1696 -2.1166 -2.0722
 -2.0472
 -6.5773 -6.2832 -6.0195 -5.7785 -5.5532 -5.3411 -5.1398 -4.9493 -4.7697 -4.6016
 -4.4442 -4.2960 -4.1553 -4.0206 -3.8889 -3.5708 -3.3070 -3.1010 -2.9331 -2.7986
 -2.6936 -2.6078 -2.5327 -2.4641 -2.3997 -2.3384 -2.2806 -2.2264 -2.1765 -2.1324
 -2.0989
 -6.4641 -6.1977 -5.9565 -5.7351 -5.5257 -5.3245 -5.1301 -4.9423 -4.7623 -4.5910
 -4.4291 -4.2767 -4.1333 -3.9977 -3.8683 -3.5666 -3.3096 -3.1036 -2.9385 -2.8052
 -2.7020 -2.6209 -2.5532 -2.4926 -2.4360 -2.3820 -2.3303 -2.2811 -2.2349 -2.1928
 -2.1573
 -6.3541 -6.1131 -5.8891 -5.6834 -5.4897 -5.3020 -5.1187 -4.9383 -4.7622 -4.5919
 -4.4289 -4.2740 -4.1279 -3.9907 -3.8608 -3.5657 -3.3163 -3.1114 -2.9472 -2.8144
 -2.7104 -2.6306 -2.5675 -2.5141 -2.4657 -2.4198 -2.3758 -2.3332 -2.2923 -2.2539
 -2.2183
 -6.2514 -6.0267 -5.8181 -5.6233 -5.4403 -5.2658 -5.0948 -4.9253 -4.7574 -4.5923
 -4.4317 -4.2772 -4.1301 -3.9911 -3.8600 -3.5659 -3.3213 -3.1187 -2.9551 -2.8230
 -2.7183 -2.6378 -2.5762 -2.5274 -2.4861 -2.4485 -2.4128 -2.3781 -2.3441 -2.3115
 -2.2810
 -6.1559 -5.9385 -5.7419 -5.5559 -5.3812 -5.2153 -5.0550 -4.8973 -4.7400 -4.5840
 -4.4298 -4.2793 -4.1338 -3.9949 -3.8659 -3.5672 -3.3246 -3.1255 -2.9622
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value = BX   
 -7.7051 -7.3984 -7.1433 -6.9279 -6.7409 -6.5676 -6.3941 -6.2110 -6.0175 -5.8146
 -5.5972 -5.3652 -5.1273 -4.8986 -4.6736 -4.1960 -3.7697 -3.3925 -3.0839
 -7.3220 -6.9782 -6.6939 -6.4615 -6.2679 -6.0986 -5.9405 -5.7801 -5.6146 -5.4415
 -5.2550 -5.0513 -4.8337 -4.6190 -4.4197 -3.9870 -3.6176 -3.2944 -3.0242 -2.8088
 -7.0381 -6.6546 -6.3492 -6.1244 -5.9189 -5.7436 -5.5882 -5.4404 -5.2929 -5.1419
 -4.9821 -4.8079 -4.6154 -4.4151 -4.2267 -3.8272 -3.5003 -3.2195 -2.9812 -2.7882
 -2.6292
 -6.8833 -6.4700 -6.1419 -5.8876 -5.6856 -5.5153 -5.3595 -5.2070 -5.0589 -4.9149
 -4.7703 -4.6198 -4.4554 -4.2737 -4.0946 -3.7166 -3.4178 -3.1678 -2.9549 -2.7800
 -2.6365 -2.5144
 -6.8642 -6.4388 -6.0835 -5.8000 -5.5732 -5.3862 -5.2247 -5.0768 -4.9326 -4.7845
 -4.6319 -4.4841 -4.3366 -4.1781 -4.0099 -3.6451 -3.3635 -3.1344 -2.9410 -2.7805
 -2.6484 -2.5357 -2.4362 -2.3462
 -6.8930 -6.4590 -6.0928 -5.7859 -5.5283 -5.3111 -5.1264 -4.9669 -4.8262 -4.6988
 -4.5657 -4.4158 -4.2641 -4.1142 -3.9587 -3.6031 -3.3306 -3.1143 -2.9349 -2.7857
 -2.6632 -2.5593 -2.4673 -2.3836 -2.3063 -2.2347 -2.1691 -2.1071 -2.0510 -2.0165
 -6.9381 -6.5057 -6.1348 -5.8200 -5.5513 -5.3198 -5.1182 -4.9407 -4.7820 -4.6366
 -4.5004 -4.3682 -4.2303 -4.0866 -3.9361 -3.5830 -3.3133 -3.1041 -2.9336 -2.7927
 -2.6779 -2.5820 -2.4977 -2.4209 -2.3495 -2.2827 -2.2207 -2.1633 -2.1105 -2.0656
 -2.0408
 -6.9768 -6.5572 -6.1904 -5.8730 -5.5977 -5.3568 -5.1432 -4.9517 -4.7785 -4.6200
 -4.4717 -4.3310 -4.1958 -4.0643 -3.9295 -3.5835 -3.3080 -3.1008 -2.9353 -2.7997
 -2.6902 -2.6010 -2.5244 -2.4551 -2.3906 -2.3296 -2.2724 -2.2189 -2.1698 -2.1259
 -2.0922
 -6.9883 -6.5876 -6.2364 -5.9256 -5.6504 -5.4049 -5.1835 -4.9821 -4.7974 -4.6272
 -4.4688 -4.3198 -4.1782 -4.0434 -3.9146 -3.5922 -3.3130 -3.1013 -2.9377 -2.8049
 -2.6983 -2.6138 -2.5441 -2.4827 -2.4259 -2.3720 -2.3210 -2.2725 -2.2272 -2.1859
 -2.1508
 -6.9739 -6.6043 -6.2719 -5.9739 -5.7053 -5.4607 -5.2357 -5.0278 -4.8349 -4.6557
 -4.4885 -4.3317 -4.1838 -4.0438 -3.9114 -3.6012 -3.3293 -3.1109 -2.9446 -2.8124
