 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = G_BP 
 -5.2021 -4.8606 -4.6131 -4.3406 -4.0403 -3.7941 -3.6518 -3.5661 -3.4711 -3.3444
 -3.2025 -3.0491 -2.8961 -2.7526 -2.6149 -2.3055 -2.0461 -1.8429 -1.6802
 -4.8161 -4.4197 -4.1248 -3.8839 -3.6874 -3.5309 -3.4052 -3.2987 -3.2000 -3.1012
 -2.9962 -2.8797 -2.7510 -2.6189 -2.4933 -2.2187 -1.9935 -1.8148 -1.6757 -1.5704
 -4.5562 -4.1385 -3.8197 -3.5874 -3.4290 -3.3091 -3.1988 -3.0962 -3.0031 -2.9175
 -2.8310 -2.7380 -2.6313 -2.5135 -2.3988 -2.1509 -1.9521 -1.7939 -1.6725 -1.5788
 -1.5038
 -4.4224 -4.0170 -3.6978 -3.4511 -3.2651 -3.1287 -3.0326 -2.9586 -2.8804 -2.7933
 -2.7069 -2.6240 -2.5370 -2.4364 -2.3314 -2.1021 -1.9219 -1.7802 -1.6707 -1.5852
 -1.5163 -1.4584
 -4.3277 -3.9465 -3.6403 -3.3966 -3.2039 -3.0532 -2.9363 -2.8447 -2.7715 -2.7046
 -2.6281 -2.5439 -2.4625 -2.3768 -2.2831 -2.0684 -1.9004 -1.7707 -1.6713 -1.5935
 -1.5302 -1.4767 -1.4300 -1.3885
 -4.2288 -3.8813 -3.5974 -3.3657 -3.1762 -3.0209 -2.8942 -2.7904 -2.7035 -2.6274
 -2.5569 -2.4845 -2.4078 -2.3308 -2.2465 -2.0453 -1.8854 -1.7634 -1.6717 -1.6010
 -1.5437 -1.4951 -1.4523 -1.4138 -1.3787 -1.3467 -1.3183 -1.2955 -1.2807 -1.2767
 -4.1129 -3.8029 -3.5466 -3.3335 -3.1543 -3.0021 -2.8724 -2.7615 -2.6668 -2.5836
 -2.5072 -2.4340 -2.3613 -2.2912 -2.2172 -2.0292 -1.8749 -1.7573 -1.6701 -1.6053
 -1.5542 -1.5110 -1.4731 -1.4386 -1.4067 -1.3770 -1.3500 -1.3259 -1.3080 -1.2997
 -1.3022
 -3.9869 -3.7118 -3.4827 -3.2903 -3.1256 -2.9819 -2.8549 -2.7422 -2.6426 -2.5548
 -2.4752 -2.4004 -2.3281 -2.2577 -2.1900 -2.0172 -1.8680 -1.7523 -1.6670 -1.6053
 -1.5594 -1.5222 -1.4899 -1.4606 -1.4331 -1.4070 -1.3825 -1.3601 -1.3409 -1.3275
 -1.3255
 -3.8554 -3.6124 -3.4072 -3.2336 -3.0840 -2.9513 -2.8311 -2.7214 -2.6214 -2.5310
 -2.4491 -2.3736 -2.3019 -2.2324 -2.1661 -2.0038 -1.8617 -1.7479 -1.6626 -1.6016
 -1.5586 -1.5265 -1.5004 -1.4771 -1.4552 -1.4340 -1.4135 -1.3940 -1.3761 -1.3614
 -1.3529
 -3.7335 -3.5196 -3.3325 -3.1728 -3.0353 -2.9131 -2.8014 -2.6972 -2.6000 -2.5099
 -2.4270 -2.3509 -2.2800 -2.2127 -2.1478 -1.9929 -1.8565 -1.7453 -1.6600 -1.5979
 -1.5548 -1.5253 -1.5040 -1.4868 -1.4713 -1.4561 -1.4411 -1.4261 -1.4115 -1.3983
 -1.3861
 -3.6252 -3.4342 -3.2629 -3.1125 -2.9820 -2.8675 -2.7634 -2.6658 -2.5735 -2.4862
 -2.4043 -2.3283 -2.2579 -2.1922 -2.1297 -1.9823 -1.8506 -1.7419 -1.6573 -1.5944
 -1.5501 -1.5206 -1.5016 -1.4891 -1.4795 -1.4708 -1.4622 -1.4530 -1.4434 -1.4339
 -1.4255
 -3.5304 -3.3562 -3.1997 -3.0570 -2.9308 -2.8195 -2.7197 -2.6277 -2.5406 -2.4577
