 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  v   
 -9.2576 -8.6978 -8.1968 -7.7371 -7.3175 -6.9365 -6.5925 -6.2823 -6.0014 -5.7458
 -5.5106 -5.2923 -5.0882 -4.8975 -4.7168 -4.2562 -3.8320 -3.4836 -3.1943 -2.9522
 -2.7635 -2.6267 -2.5282 -2.4536 -2.3935 -2.3429 -2.2996 -2.2618 -2.2285 -2.1995
 -2.1763
 -9.7420 -9.1515 -8.6090 -8.1076 -7.6431 -7.2151 -6.8242 -6.4706 -6.1517 -5.8635
 -5.6008 -5.3592 -5.1350 -4.9265 -4.7322 -4.2807 -3.8727 -3.5185 -3.2261 -2.9812
 -2.7848 -2.6391 -2.5365 -2.4638 -2.4096 -2.3668 -2.3318 -2.3022 -2.2768 -2.2549
 -2.2343
-10.2216 -9.6184 -9.0460 -8.5121 -8.0119 -7.5446 -7.1122 -6.7154 -6.3558 -6.0313
 -5.7381 -5.4711 -5.2257 -4.9982 -4.7863 -4.3125 -3.9116 -3.5601 -3.2619 -3.0141
 -2.8113 -2.6559 -2.5440 -2.4668 -2.4139 -2.3765 -2.3488 -2.3272 -2.3099 -2.2959
 -2.2845
-10.6897-10.0691 -9.4821 -8.9262 -8.4009 -7.9056 -7.4406 -7.0083 -6.6104 -6.2482
 -5.9207 -5.6245 -5.3549 -5.1071 -4.8791 -4.3516 -3.9487 -3.6084 -3.3017
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value =  v   
 -7.9696 -7.9764 -7.9877 -7.9962 -7.9964 -7.9804 -7.9408 -7.8712 -7.7642 -7.6110
 -7.4045 -7.1468 -6.8547 -6.5550 -6.2630 -5.5789 -4.9244 -4.2919 -3.7441
 -7.4730 -7.4561 -7.4522 -7.4507 -7.4427 -7.4205 -7.3769 -7.3059 -7.2015 -7.0574
 -6.8666 -6.6265 -6.3481 -6.0585 -5.7785 -5.1421 -4.5656 -4.0308 -3.5636 -3.1876
 -7.1325 -7.0513 -7.0065 -6.9806 -6.9578 -6.9265 -6.8782 -6.8070 -6.7083 -6.5777
 -6.4100 -6.2006 -5.9496 -5.6777 -5.4118 -4.8189 -4.3039 -3.8397 -3.4342 -3.1018
 -2.8401
 -7.0825 -6.9012 -6.7538 -6.6610 -6.5943 -6.5409 -6.4825 -6.4084 -6.3137 -6.1950
 -6.0482 -5.8693 -5.6533 -5.4059 -5.1540 -4.5936 -4.1222 -3.7071 -3.3455 -3.0458
 -2.8088 -2.6206
 -7.2404 -6.9668 -6.7462 -6.5707 -6.4331 -6.3272 -6.2421 -6.1518 -6.0475 -5.9269
 -5.7882 -5.6290 -5.4439 -5.2260 -4.9891 -4.4487 -4.0041 -3.6217 -3.2899 -3.0135
 -2.7938 -2.6212 -2.4816 -2.3645
 -7.4868 -7.1593 -6.8747 -6.6312 -6.4280 -6.2599 -6.1244 -6.0156 -5.9126 -5.7940
 -5.6478 -5.4845 -5.3091 -5.1164 -4.8982 -4.3678 -3.9356 -3.5729 -3.2602 -2.9991
