 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  B   
 -6.8560 -6.6393 -6.7950 -6.7124 -6.4939 -6.1332 -5.6596 -5.3704 -5.0859 -4.7902
 -4.5096 -4.2491 -4.0068 -3.7756 -3.5506 -3.0446 -2.5138 -2.0168 -1.6577
 -6.6782 -6.3105 -6.0217 -5.8251 -5.7027 -5.5449 -5.2995 -5.0097 -4.7184 -4.4323
 -4.1581 -3.9022 -3.6650 -3.4435 -3.2339 -2.7454 -2.2958 -1.9102 -1.6117 -1.3826
 -6.3345 -5.9681 -5.6493 -5.3851 -5.1702 -5.0143 -4.8817 -4.6912 -4.4424 -4.1703
 -3.9038 -3.6518 -3.4196 -3.2061 -3.0086 -2.5672 -2.1757 -1.8354 -1.5671 -1.3606
 -1.1955
 -6.0523 -5.7159 -5.4023 -5.1258 -4.8836 -4.6663 -4.4759 -4.3200 -4.1557 -3.9451
 -3.7062 -3.4671 -3.2409 -3.0327 -2.8428 -2.4335 -2.0861 -1.7863 -1.5410 -1.3523
 -1.2013 -1.0739
 -5.7971 -5.5019 -5.2121 -4.9422 -4.6986 -4.4745 -4.2621 -4.0617 -3.8844 -3.7144
 -3.5314 -3.3265 -3.1170 -2.9164 -2.7313 -2.3413 -2.0238 -1.7524 -1.5286 -1.3537
 -1.2140 -1.0963 -0.9927 -0.8998
 -5.5605 -5.3022 -5.0466 -4.7948 -4.5589 -4.3401 -4.1318 -3.9288 -3.7325 -3.5458
 -3.3727 -3.2031 -3.0249 -2.8422 -2.6649 -2.2846 -1.9849 -1.7333 -1.5253 -1.3607
 -1.2302 -1.1211 -1.0253 -0.9384 -0.8545 -0.7753 -0.7039 -0.6427 -0.5935 -0.5574
 -5.3428 -5.1149 -4.8904 -4.6643 -4.4421 -4.2323 -4.0327 -3.8390 -3.6485 -3.4605
 -3.2794 -3.1091 -2.9470 -2.7867 -2.6262 -2.2572 -1.9647 -1.7265 -1.5281 -1.3702
 -1.2466 -1.1453 -1.0571 -0.9771 -0.9031 -0.8339 -0.7695 -0.7100 -0.6557 -0.6096
 -0.5831
 -5.1442 -4.9412 -4.7410 -4.5402 -4.3380 -4.1386 -3.9478 -3.7649 -3.5859 -3.4074
 -3.2307 -3.0595 -2.8970 -2.7434 -2.5956 -2.2499 -1.9592 -1.7273 -1.5351 -1.3805
 -1.2608 -1.1659 -1.0853 -1.0128 -0.9458 -0.8826 -0.8219 -0.7654 -0.7149 -0.6720
 -0.6375
 -4.9649 -4.7823 -4.6009 -4.4171 -4.2362 -4.0531 -3.8714 -3.6956 -3.5269 -3.3604
 -3.1938 -3.0286 -2.8686 -2.7161 -2.5715 -2.2431 -1.9608 -1.7304 -1.5429 -1.3898
 -1.2713 -1.1803 -1.1064 -1.0419 -0.9826 -0.9266 -0.8735 -0.8233 -0.7774 -0.7357
 -0.6980
 -4.8053 -4.6394 -4.4729 -4.3060 -4.1390 -3.9721 -3.8051 -3.6381 -3.4753 -3.3180
 -3.1631 -3.0083 -2.8547 -2.7062 -2.5641 -2.2412 -1.9673 -1.7395 -1.5537 -1.4019
 -1.2824 -1.1919 -1.1220 -1.0643 -1.0131 -0.9652 -0.9197 -0.8762 -0.8347 -0.7960
 -0.7605
 -4.6620 -4.5065 -4.3513 -4.1963 -4.0419 -3.8881 -3.7350 -3.5822 -3.4286 -3.2772
 -3.1300 -2.9854 -2.8415 -2.6989 -2.5598 -2.2419 -1.9728 -1.7477 -1.5628 -1.4126
 -1.2928 -1.2012 -1.1323 -1.0788 -1.0345 -0.9948 -0.9577 -0.9219 -0.8875 -0.8546
 -0.8240
 -4.5211 -4.3554 -4.2032 -4.0603 -3.9228 -3.7875 -3.6517 -3.5138 -3.3744 -3.2347
 -3.0956 -2.9580 -2.8227 -2.6888 -2.5563 -2.2445 -1.9771 -1.7550 -1.5713
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value =  B   
 -7.1577 -6.9820 -6.7696 -6.4333 -6.0444 -5.6502 -5.3002 -5.0006 -4.7230 -4.4581
 -4.2053 -3.9694 -3.7514 -3.5479 -3.3550 -2.9127 -2.4749 -2.0559 -1.7111
