 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =F1000W
 -1.1210 -1.2308 -1.3363 -1.4401 -1.5360 -1.6187 -1.6776 -1.7222 -1.7650 -1.8122
 -1.8667 -1.9291 -2.0019 -2.0792 -2.1570 -2.3427 -2.5359 -2.7117 -2.8851
 -1.0584 -1.1682 -1.2778 -1.3871 -1.4946 -1.5955 -1.6869 -1.7666 -1.8329 -1.8846
 -1.9301 -1.9814 -2.0466 -2.1206 -2.1969 -2.3874 -2.5739 -2.7532 -2.9232 -3.0844
 -1.0530 -1.1598 -1.2638 -1.3658 -1.4666 -1.5669 -1.6665 -1.7612 -1.8474 -1.9214
 -1.9768 -2.0226 -2.0792 -2.1501 -2.2254 -2.4137 -2.5980 -2.7766 -2.9471 -3.1088
 -3.2621
 -1.0548 -1.1574 -1.2576 -1.3554 -1.4511 -1.5452 -1.6376 -1.7293 -1.8205 -1.9085
 -1.9898 -2.0507 -2.1056 -2.1718 -2.2453 -2.4325 -2.6153 -2.7929 -2.9633 -3.1253
 -3.2788 -3.4249
 -1.0662 -1.1622 -1.2577 -1.3517 -1.4441 -1.5349 -1.6238 -1.7105 -1.7958 -1.8810
 -1.9665 -2.0469 -2.1131 -2.1848 -2.2593 -2.4454 -2.6273 -2.8041 -2.9743 -3.1364
 -3.2901 -3.4363 -3.5755 -3.7086
 -1.0916 -1.1780 -1.2661 -1.3547 -1.4433 -1.5312 -1.6178 -1.7026 -1.7855 -1.8668
 -1.9478 -2.0297 -2.1024 -2.1779 -2.2582 -2.4528 -2.6351 -2.8113 -2.9815 -3.1438
 -3.2978 -3.4441 -3.5835 -3.7168 -3.8444 -3.9671 -4.0857 -4.2009 -4.3133 -4.4233
 -1.1327 -1.2088 -1.2865 -1.3671 -1.4497 -1.5335 -1.6174 -1.7003 -1.7820 -1.8621
 -1.9408 -2.0193 -2.0941 -2.1675 -2.2472 -2.4489 -2.6374 -2.8149 -2.9855 -3.1483
 -3.3028 -3.4495 -3.5892 -3.7226 -3.8502 -3.9727 -4.0907 -4.2049 -4.3158 -4.4240
 -4.5305
 -1.1896 -1.2554 -1.3226 -1.3929 -1.4668 -1.5441 -1.6234 -1.7034 -1.7833 -1.8621
 -1.9399 -2.0168 -2.0917 -2.1635 -2.2394 -2.4378 -2.6310 -2.8131 -2.9862 -3.1502
 -3.3055 -3.4528 -3.5930 -3.7268 -3.8547 -3.9772 -4.0949 -4.2083 -4.3183 -4.4253
 -4.5297
 -1.2592 -1.3169 -1.3759 -1.4360 -1.4995 -1.5677 -1.6400 -1.7150 -1.7914 -1.8681
 -1.9444 -2.0200 -2.0943 -2.1665 -2.2396 -2.4306 -2.6224 -2.8072 -2.9845 -3.1519
 -3.3088 -3.4572 -3.5981 -3.7326 -3.8610 -3.9839 -4.1018 -4.2154 -4.3252 -4.4313
 -4.5340
 -1.3415 -1.3933 -1.4408 -1.4933 -1.5475 -1.6055 -1.6683 -1.7356 -1.8062 -1.8788
 -1.9521 -2.0256 -2.0985 -2.1706 -2.2420 -2.4254 -2.6120 -2.7957 -2.9743 -3.1458
 -3.3062 -3.4562 -3.5981 -3.7333 -3.8624 -3.9859 -4.1042 -4.2178 -4.3297 -4.4354
 -4.5372
 -1.4365 -1.4846 -1.5173 -1.5599 -1.6104 -1.6599 -1.7130 -1.7706 -1.8329 -1.8989
 -1.9674 -2.0372 -2.1075 -2.1778 -2.2477 -2.4251 -2.6049 -2.7853 -2.9629 -3.1356
 -3.2998 -3.4530 -3.5965 -3.7327 -3.8627 -3.9869 -4.1060 -4.2202 -4.3298 -4.4355
 -4.5378
 -1.5442 -1.5908 -1.6054 -1.6349 -1.6825 -1.7279 -1.7736 -1.8221 -1.8748 -1.9318
 -1.9929 -2.0569 -2.1228 -2.1898 -2.2567 -2.4297 -2.6011 -2.7760 -2.9503
 [Fe/H] = -2.00 [alpha/Fe] = 0.00 BC value =F1000W
 -1.1128 -1.2162 -1.3129 -1.4040 -1.4876 -1.5646 -1.6341 -1.7001 -1.7629 -1.8223
 -1.8807 -1.9433 -2.0139 -2.0890 -2.1648 -2.3487 -2.5348 -2.7118 -2.8856
 -1.0874 -1.2044 -1.3191 -1.4270 -1.5268 -1.6178 -1.6993 -1.7708 -1.8342 -1.8905
 -1.9415 -1.9947 -2.0586 -2.1309 -2.2058 -2.3919 -2.5738 -2.7515 -2.9214 -3.0824
 -1.0729 -1.1847 -1.2951 -1.4046 -1.5133 -1.6180 -1.7147 -1.8011 -1.8758 -1.9368
 -1.9876 -2.0336 -2.0890 -2.1581 -2.2328 -2.4197 -2.6003 -2.7759 -2.9453 -3.1067
 -3.2599
 -1.0650 -1.1732 -1.2790 -1.3829 -1.4850 -1.5856 -1.6850 -1.7820 -1.8726 -1.9529
 -2.0168 -2.0668 -2.1148 -2.1778 -2.2494 -2.4380 -2.6186 -2.7928 -2.9615 -3.1230
 -3.2765 -3.4225
 -1.0623 -1.1676 -1.2701 -1.3699 -1.4677 -1.5633 -1.6565 -1.7473 -1.8372 -1.9262
 -2.0105 -2.0792 -2.1351 -2.1946 -2.2640 -2.4500 -2.6310 -2.8044 -2.9724 -3.1337
 -3.2874 -3.4336 -3.5730 -3.7064
 -1.0661 -1.1674 -1.2665 -1.3632 -1.4575 -1.5499 -1.6401 -1.7277 -1.8123 -1.8953
 -1.9789 -2.0611 -2.1306 -2.1992 -2.2727 -2.4578 -2.6390 -2.8122 -2.9795 -3.1407
 -3.2947 -3.4412 -3.5807 -3.7142 -3.8421 -3.9652 -4.0844 -4.2000 -4.3122 -4.4219
 -1.0799 -1.1745 -1.2687 -1.3616 -1.4527 -1.5423 -1.6303 -1.7162 -1.7996 -1.8802
 -1.9591 -2.0383 -2.1127 -2.1851 -2.2640 -2.4618 -2.6435 -2.8168 -2.9837 -3.1450
 -3.2994 -3.4463 -3.5862 -3.7198 -3.8477 -3.9704 -4.0888 -4.2035 -4.3146 -4.4227
 -4.5292
 -1.1073 -1.1929 -1.2797 -1.3666 -1.4534 -1.5397 -1.6252 -1.7094 -1.7920 -1.8725
 -1.9505 -2.0271 -2.0998 -2.1725 -2.2494 -2.4532 -2.6441 -2.8186 -2.9856 -3.1469
 -3.3019 -3.4495 -3.5899 -3.7239 -3.8520 -3.9746 -4.0927 -4.2066 -4.3169 -4.4240
 -4.5284
 -1.1503 -1.2264 -1.3038 -1.3827 -1.4631 -1.5446 -1.6265 -1.7084 -1.7896 -1.8695
 -1.9477 -2.0243 -2.0982 -2.1694 -2.2428 -2.4413 -2.6381 -2.8186 -2.9872 -3.1494
 -3.3051 -3.4537 -3.5949 -3.7295 -3.8581 -3.9811 -4.0992 -4.2129 -4.3228 -4.4291
 -4.5326
 -1.2027 -1.2724 -1.3411 -1.4110 -1.4830 -1.5574 -1.6340 -1.7118 -1.7903 -1.8685
 -1.9460 -2.0220 -2.0964 -2.1688 -2.2406 -2.4304 -2.6246 -2.8096 -2.9817 -3.1458
 -3.3030 -3.4526 -3.5947 -3.7301 -3.8593 -3.9829 -4.1014 -4.2152 -4.3248 -4.4309
 -4.5357
 -1.2611 -1.3277 -1.3917 -1.4538 -1.5174 -1.5832 -1.6524 -1.7243 -1.7983 -1.8734
 -1.9487 -2.0236 -2.0976 -2.1704 -2.2421 -2.4251 -2.6133 -2.7980 -2.9727 -3.1387
 -3.2981 -3.4497 -3.5931 -3.7294 -3.8594 -3.9838 -4.1030 -4.2173 -4.3272 -4.4332
 -4.5358
 -1.3201 -1.3878 -1.4504 -1.5089 -1.5659 -1.6240 -1.6848 -1.7490 -1.8167 -1.8868
 -1.9584 -2.0307 -2.1092 -2.1799 -2.2473 -2.4254 -2.6042 -2.7838 -2.9602
 [Fe/H] = -1.50 [alpha/Fe] = 0.00 BC value =F1000W
 -1.0984 -1.1962 -1.2859 -1.3681 -1.4440 -1.5179 -1.5941 -1.6739 -1.7505 -1.8209
 -1.8866 -1.9533 -2.0243 -2.0982 -2.1723 -2.3533 -2.5327 -2.7091 -2.8819
 -1.1177 -1.2270 -1.3280 -1.4211 -1.5068 -1.5867 -1.6642 -1.7417 -1.8157 -1.8829
 -1.9432 -2.0026 -2.0686 -2.1404 -2.2141 -2.3966 -2.5751 -2.7494 -2.9185 -3.0794
 -1.0967 -1.2131 -1.3270 -1.4344 -1.5335 -1.6240 -1.7067 -1.7845 -1.8585 -1.9258
 -1.9846 -2.0384 -2.0975 -2.1661 -2.2393 -2.4237 -2.6031 -2.7757 -2.9431 -3.1038
 -3.2568
 -1.0783 -1.1895 -1.2998 -1.4089 -1.5162 -1.6205 -1.7174 -1.8049 -1.8837 -1.9546
 -2.0167 -2.0695 -2.1213 -2.1841 -2.2556 -2.4411 -2.6214 -2.7935 -2.9595 -3.1197
 -3.2730 -3.4190
 -1.0690 -1.1765 -1.2823 -1.3867 -1.4896 -1.5907 -1.6897 -1.7857 -1.8772 -1.9601
 -2.0319 -2.0929 -2.1446 -2.2001 -2.2675 -2.4522 -2.6331 -2.8053 -2.9705 -3.1302
 -3.2835 -3.4298 -3.5694 -3.7031
 -1.0653 -1.1707 -1.2734 -1.3740 -1.4730 -1.5702 -1.6648 -1.7562 -1.8449 -1.9323
 -2.0163 -2.0915 -2.1561 -2.2147 -2.2783 -2.4593 -2.6406 -2.8130 -2.9779 -3.1370
 -3.2904 -3.4370 -3.5768 -3.7105 -3.8387 -3.9624 -4.0822 -4.1982 -4.3107 -4.4201
 -1.0654 -1.1689 -1.2696 -1.3676 -1.4633 -1.5571 -1.6489 -1.7379 -1.8236 -1.9058
 -1.9866 -2.0663 -2.1407 -2.2110 -2.2823 -2.4640 -2.6450 -2.8178 -2.9826 -3.1413
 -3.2947 -3.4417 -3.5819 -3.7158 -3.8439 -3.9670 -4.0860 -4.2012 -4.3129 -4.4210
 -4.5270
 -1.0707 -1.1707 -1.2690 -1.3648 -1.4582 -1.5493 -1.6386 -1.7258 -1.8104 -1.8917
 -1.9697 -2.0459 -2.1196 -2.1917 -2.2677 -2.4653 -2.6475 -2.8206 -2.9854 -3.1439
 -3.2971 -3.4446 -3.5853 -3.7196 -3.8478 -3.9709 -4.0894 -4.2039 -4.3147 -4.4222
 -4.5265
