 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F250M
 -3.0240 -2.9459 -2.8775 -2.8267 -2.7970 -2.7872 -2.7935 -2.8102 -2.8338 -2.8628
 -2.8970 -2.9365 -2.9800 -3.0256 -3.0718 -3.1958 -3.3384 -3.4902 -3.6402 -3.7878
 -3.9333 -4.0752 -4.2118 -4.3424 -4.4675 -4.5880 -4.7045 -4.8176 -4.9277 -5.0348
 -5.1392
 -3.1556 -3.0785 -3.0080 -2.9516 -2.9068 -2.8804 -2.8716 -2.8774 -2.8933 -2.9155
 -2.9425 -2.9743 -3.0113 -3.0531 -3.0984 -3.2196 -3.3524 -3.4961 -3.6434 -3.7888
 -3.9319 -4.0724 -4.2091 -4.3406 -4.4663 -4.5868 -4.7028 -4.8148 -4.9234 -5.0289
 -5.1338
 -3.2744 -3.2104 -3.1454 -3.0872 -3.0329 -2.9941 -2.9702 -2.9615 -2.9660 -2.9801
 -3.0005 -3.0253 -3.0544 -3.0884 -3.1274 -3.2420 -3.3694 -3.5060 -3.6482 -3.7910
 -3.9315 -4.0697 -4.2051 -4.3369 -4.4636 -4.5850 -4.7014 -4.8132 -4.9212 -5.0258
 -5.1273
 -3.3809 -3.3416 -3.2897 -3.2312 -3.1737 -3.1244 -3.0883 -3.0658 -3.0566 -3.0593
 -3.0711 -3.0891 -3.1115 -3.1377 -3.1683 -3.2665 -3.3870 -3.5179 -3.6548
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value = F250M
 -2.2900 -2.2933 -2.3227 -2.3680 -2.4132 -2.4609 -2.5157 -2.5747 -2.6360 -2.7003
 -2.7650 -2.8290 -2.8929 -2.9573 -3.0218 -3.1795 -3.3251 -3.4539 -3.5874
 -2.2940 -2.3074 -2.3196 -2.3572 -2.4094 -2.4632 -2.5186 -2.5786 -2.6414 -2.7068
 -2.7727 -2.8383 -2.9037 -2.9694 -3.0351 -3.1948 -3.3407 -3.4692 -3.6020 -3.7537
 -2.3244 -2.3315 -2.3507 -2.3678 -2.4011 -2.4555 -2.5145 -2.5754 -2.6390 -2.7046
 -2.7712 -2.8378 -2.9042 -2.9708 -3.0375 -3.1997 -3.3482 -3.4798 -3.6132 -3.7622
 -3.9116
 -2.3698 -2.3661 -2.3833 -2.4092 -2.4334 -2.4573 -2.5064 -2.5682 -2.6328 -2.6985
 -2.7653 -2.8323 -2.8991 -2.9662 -3.0335 -3.1982 -3.3503 -3.4867 -3.6218 -3.7686
 -3.9165 -4.0601
 -2.4295 -2.4122 -2.4190 -2.4423 -2.4745 -2.5075 -2.5348 -2.5690 -2.6259 -2.6914
 -2.7577 -2.8246 -2.8915 -2.9586 -3.0260 -3.1926 -3.3484 -3.4901 -3.6279 -3.7734
 -3.9201 -4.0625 -4.2001 -4.3336
 -2.5035 -2.4723 -2.4653 -2.4784 -2.5062 -2.5428 -2.5828 -2.6210 -2.6539 -2.6953
 -2.7529 -2.8173 -2.8834 -2.9500 -3.0172 -3.1847 -3.3438 -3.4906 -3.6317 -3.7766
 -3.9225 -4.0642 -4.2007 -4.3327 -4.4610 -4.5857 -4.7071 -4.8252 -4.9399 -5.0502
 -2.5940 -2.5474 -2.5255 -2.5258 -2.5430 -2.5727 -2.6114 -2.6561 -2.7021 -2.7442
 -2.7824 -2.8267 -2.8813 -2.9433 -3.0088 -3.1760 -3.3375 -3.4888 -3.6334 -3.7785
