 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  R   
 -0.6505  1.2045  2.6704  2.2359 -0.1190 -3.7198 -2.9260 -1.3774 -0.4205 -0.2694
 -0.1185 -0.0561 -0.4153 -0.8860 -1.0675 -0.7610
 -1.6706 -0.9263 -0.2291 -0.3130 -1.1795 -2.7763 -2.4332 -1.7241 -1.1707 -0.9217
 -0.7278 -0.6337 -0.7464 -0.9233 -0.9766 -0.7190 -0.5529 -0.4587 -0.4786
 -2.0997 -1.9311 -1.6832 -1.5767 -1.6257 -1.9937 -1.8913 -1.6788 -1.4363 -1.2194
 -1.0549 -0.9585 -0.9292 -0.9243 -0.8915 -0.6849 -0.5526 -0.4699 -0.4441 -0.4273
 -0.3743
 -1.9378 -1.8099 -1.6919 -1.5552 -1.4575 -1.3721 -1.3003 -1.2415 -1.2172 -1.1626
 -1.0999 -1.0304 -0.9639 -0.8891 -0.8122 -0.6587 -0.5479 -0.4779 -0.4353 -0.4112
 -0.3979 -0.3911 -0.3891
 -1.6711 -1.5853 -1.5016 -1.4083 -1.3265 -1.2499 -1.1809 -1.1204 -1.0679 -1.0203
 -0.9721 -0.9198 -0.8668 -0.8120 -0.7551 -0.6314 -0.5455 -0.4898 -0.4540 -0.4316
 -0.4182 -0.4111 -0.4083 -0.4101 -0.4169
 -1.4196 -1.3678 -1.3135 -1.2547 -1.1929 -1.1309 -1.0714 -1.0162 -0.9658 -0.9200
 -0.8777 -0.8367 -0.7942 -0.7528 -0.7087 -0.6087 -0.5396 -0.4955 -0.4670 -0.4482
 -0.4364 -0.4300 -0.4274 -0.4282 -0.4321 -0.4402
 -1.1834 -1.1574 -1.1276 -1.0944 -1.0566 -1.0151 -0.9718 -0.9289 -0.8874 -0.8478
 -0.8105 -0.7750 -0.7408 -0.7079 -0.6730 -0.5906 -0.5302 -0.4950 -0.4743 -0.4610
 -0.4525 -0.4478 -0.4463 -0.4472 -0.4505 -0.4564 -0.4655 -0.4819 -0.5076 -0.5378
 -0.9624 -0.9541 -0.9439 -0.9320 -0.9167 -0.8968 -0.8727 -0.8459 -0.8173 -0.7879
 -0.7582 -0.7287 -0.6998 -0.6718 -0.6440 -0.5750 -0.5205 -0.4884 -0.4735 -0.4669
 -0.4638 -0.4627 -0.4637 -0.4662 -0.4701 -0.4756 -0.4823 -0.4934 -0.5125 -0.5410
 -0.5748
 -0.7676 -0.7694 -0.7722 -0.7758 -0.7777 -0.7765 -0.7711 -0.7613 -0.7474 -0.7304
 -0.7105 -0.6888 -0.6660 -0.6427 -0.6190 -0.5608 -0.5110 -0.4793 -0.4659 -0.4642
 -0.4675 -0.4721 -0.4773 -0.4830 -0.4892 -0.4959 -0.5038 -0.5125 -0.5255 -0.5463
 -0.5774
 -0.5963 -0.6072 -0.6198 -0.6339 -0.6477 -0.6600 -0.6694 -0.6747 -0.6752 -0.6707
 -0.6618 -0.6490 -0.6333 -0.6156 -0.5963 -0.5459 -0.5008 -0.4693 -0.4550 -0.4546
 -0.4627 -0.4737 -0.4850 -0.4956 -0.5056 -0.5152 -0.5248 -0.5350 -0.5468 -0.5629
 -0.5837
 -0.4502 -0.4684 -0.4876 -0.5077 -0.5288 -0.5496 -0.5690 -0.5858 -0.5989 -0.6066
 -0.6087 -0.6059 -0.5988 -0.5879 -0.5739 -0.5319 -0.4907 -0.4600 -0.4441 -0.4422
 -0.4512 -0.4666 -0.4840 -0.5009 -0.5164 -0.5304 -0.5436 -0.5561 -0.5689 -0.5829
 -0.5982
 -0.3350 -0.3530 -0.3742 -0.3982 -0.4237 -0.4492 -0.4747 -0.4989 -0.5206 -0.5378
 -0.5500 -0.5571 -0.5593 -0.5565 -0.5490 -0.5174 -0.4808 -0.4510 -0.4339 -0.4303
 -0.4380 -0.4541 -0.4753 -0.4979 -0.5197 -0.5395 -0.5576 -0.5743 -0.5899 -0.6054
 -0.6218
 -0.2507 -0.2611 -0.2796 -0.3054 -0.3324 -0.3588 -0.3889 -0.4173 -0.4440 -0.4672
 -0.4866 -0.5025 -0.5153 -0.5214 -0.5216 -0.5025 -0.4711 -0.4423 -0.4244
 [Fe/H] = -3.00 [alpha/Fe] = 0.40 BC value =  R   
 -2.1305 -1.9009 -1.7532 -1.6927 -1.7103 -1.9895 -1.7969 -1.6193 -1.4849 -1.3799
 -1.2337 -1.0883 -1.0307 -1.0220 -0.9785 -0.7312
 -2.0872 -1.8572 -1.6920 -1.5953 -1.5621 -1.6818 -1.5774 -1.4730 -1.3812 -1.2980
 -1.1976 -1.0962 -1.0261 -0.9743 -0.9089 -0.6976 -0.5488 -0.4562 -0.4011
 -2.0278 -1.8047 -1.6317 -1.5109 -1.4402 -1.4469 -1.3945 -1.3374 -1.2763 -1.2117
 -1.1440 -1.0738 -1.0014 -0.9270 -0.8511 -0.6702 -0.5447 -0.4652 -0.4169 -0.3891
 -0.3741
 -1.9523 -1.7434 -1.5723 -1.4395 -1.3446 -1.2848 -1.2482 -1.2126 -1.1703 -1.1211
 -1.0730 -1.0211 -0.9566 -0.8803 -0.8051 -0.6490 -0.5419 -0.4740 -0.4321 -0.4069
 -0.3926 -0.3859 -0.3839
 -1.8607 -1.6733 -1.5138 -1.3811 -1.2752 -1.1955 -1.1385 -1.0986 -1.0631 -1.0262
 -0.9845 -0.9381 -0.8918 -0.8341 -0.7709 -0.6340 -0.5404 -0.4826 -0.4466 -0.4241
 -0.4107 -0.4038 -0.4018 -0.4043 -0.4119
 -1.7530 -1.5944 -1.4562 -1.3357 -1.2320 -1.1464 -1.0792 -1.0273 -0.9861 -0.9504
 -0.9135 -0.8723 -0.8328 -0.7903 -0.7405 -0.6219 -0.5377 -0.4881 -0.4586 -0.4397
 -0.4281 -0.4218 -0.4198 -0.4213 -0.4260 -0.4345
 -1.6255 -1.4960 -1.3831 -1.2821 -1.1903 -1.1081 -1.0377 -0.9803 -0.9338 -0.8939
 -0.8567 -0.8195 -0.7813 -0.7479 -0.7081 -0.6091 -0.5325 -0.4881 -0.4652 -0.4517
 -0.4433 -0.4390 -0.4379 -0.4396 -0.4437 -0.4505 -0.4605 -0.4776 -0.5039 -0.5342
 -1.4855 -1.3809 -1.2915 -1.2119 -1.1372 -1.0662 -0.9997 -0.9413 -0.8923 -0.8510
 -0.8142 -0.7787 -0.7429 -0.7104 -0.6771 -0.5931 -0.5246 -0.4828 -0.4644 -0.4571
 -0.4541 -0.4534 -0.4548 -0.4581 -0.4628 -0.4692 -0.4779 -0.4895 -0.5085 -0.5374
 -0.5714
