 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =F322W2
 -0.0027 -0.0406 -0.0769 -0.1124 -0.1466 -0.2523 -0.3890 -0.5384 -0.6909 -0.8412
 -0.9889 -1.1335 -1.2731 -1.4064 -1.5335 -1.6549 -1.7716 -1.8841 -1.9927 -2.0980
 -2.2023
  0.2132  0.1955  0.1803  0.1644  0.1469  0.1276  0.1054  0.0797  0.0498  0.0162
 -0.0201 -0.0577 -0.0954 -0.1326 -0.1694 -0.2723 -0.4027 -0.5458 -0.6937 -0.8409
 -0.9859 -1.1287 -1.2681 -1.4027 -1.5313 -1.6540 -1.7714 -1.8841 -1.9927 -2.0976
 -2.1992
  0.1256  0.1080  0.0931  0.0803  0.0684  0.0559  0.0419  0.0253  0.0045 -0.0208
 -0.0506 -0.0841 -0.1199 -0.1568 -0.1912 -0.2926 -0.4177 -0.5556 -0.6981
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value =F322W2
  0.4163  0.3909  0.3743  0.3667  0.3682  0.3708  0.3659  0.3495  0.3284  0.3046
  0.2739  0.2301  0.1724  0.1067  0.0383 -0.1334 -0.3013 -0.4643 -0.6259
  0.3831  0.3496  0.3250  0.3094  0.3018  0.2991  0.2947  0.2793  0.2622  0.2453
  0.2256  0.1948  0.1462  0.0839  0.0160 -0.1559 -0.3231 -0.4844 -0.6438 -0.8007
  0.3756  0.3294  0.2933  0.2669  0.2493  0.2394  0.2317  0.2170  0.2009  0.1870
  0.1743  0.1563  0.1220  0.0672  0.0015 -0.1707 -0.3387 -0.4997 -0.6576 -0.8130
 -0.9630
  0.4151  0.3587  0.2976  0.2496  0.2144  0.1909  0.1760  0.1607  0.1438  0.1297
  0.1195  0.1100  0.0915  0.0508 -0.0091 -0.1800 -0.3491 -0.5108 -0.6681 -0.8223
 -0.9714 -1.1148
  0.4638  0.4054  0.3434  0.2823  0.2264  0.1793  0.1437  0.1192  0.0980  0.0798
