 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  G   
 -1.5550 -1.5160 -1.5175 -1.4865 -1.4095 -1.3377 -1.3128 -1.3118 -1.2928 -1.2403
 -1.1690 -1.0837 -0.9947 -0.9112 -0.8306 -0.6552 -0.5202 -0.4225 -0.3470
 -1.5206 -1.4271 -1.3633 -1.3098 -1.2657 -1.2323 -1.2068 -1.1833 -1.1560 -1.1212
 -1.0756 -1.0167 -0.9445 -0.8666 -0.7916 -0.6315 -0.5104 -0.4232 -0.3597 -0.3154
 -1.4959 -1.3756 -1.2757 -1.2026 -1.1610 -1.1355 -1.1095 -1.0818 -1.0548 -1.0282
 -0.9957 -0.9540 -0.8979 -0.8295 -0.7607 -0.6134 -0.5034 -0.4251 -0.3705 -0.3316
 -0.3028
 -1.4809 -1.3615 -1.2547 -1.1649 -1.0954 -1.0473 -1.0209 -1.0073 -0.9892 -0.9613
 -0.9293 -0.8956 -0.8549 -0.7999 -0.7379 -0.6009 -0.4992 -0.4282 -0.3794 -0.3446
 -0.3185 -0.2983
 -1.4522 -1.3441 -1.2436 -1.1537 -1.0771 -1.0156 -0.9697 -0.9373 -0.9163 -0.8998
 -0.8761 -0.8446 -0.8117 -0.7708 -0.7185 -0.5917 -0.4960 -0.4305 -0.3874 -0.3570
 -0.3342 -0.3163 -0.3018 -0.2900
 -1.3996 -1.3086 -1.2216 -1.1406 -1.0669 -1.0023 -0.9482 -0.9049 -0.8708 -0.8431
 -0.8190 -0.7937 -0.7650 -0.7345 -0.6948 -0.5830 -0.4924 -0.4305 -0.3921 -0.3670
 -0.3483 -0.3337 -0.3216 -0.3117 -0.3033 -0.2965 -0.2921 -0.2924 -0.2993 -0.3134
 -1.3221 -1.2498 -1.1798 -1.1127 -1.0488 -0.9888 -0.9339 -0.8855 -0.8448 -0.8103
 -0.7793 -0.7500 -0.7207 -0.6936 -0.6628 -0.5706 -0.4870 -0.4275 -0.3922 -0.3721
 -0.3588 -0.3485 -0.3401 -0.3330 -0.3266 -0.3211 -0.3173 -0.3152 -0.3184 -0.3297
 -0.3486
 -1.2260 -1.1706 -1.1170 -1.0654 -1.0147 -0.9646 -0.9152 -0.8678 -0.8243 -0.7861
 -0.7521 -0.7203 -0.6894 -0.6594 -0.6314 -0.5521 -0.4785 -0.4219 -0.3878 -0.3711
 -0.3632 -0.3586 -0.3550 -0.3519 -0.3489 -0.3460 -0.3436 -0.3423 -0.3434 -0.3493
 -0.3649
 -1.1178 -1.0770 -1.0374 -0.9995 -0.9622 -0.9241 -0.8842 -0.8429 -0.8019 -0.7630
 -0.7276 -0.6951 -0.6643 -0.6340 -0.6056 -0.5322 -0.4660 -0.4138 -0.3803 -0.3649
 -0.3609 -0.3619 -0.3642 -0.3664 -0.3681 -0.3689 -0.3695 -0.3702 -0.3717 -0.3756
 -0.3848
 -1.0061 -0.9773 -0.9488 -0.9216 -0.8955 -0.8686 -0.8396 -0.8075 -0.7730 -0.7376
 -0.7030 -0.6708 -0.6408 -0.6121 -0.5845 -0.5157 -0.4537 -0.4051 -0.3724 -0.3563
 -0.3534 -0.3580 -0.3659 -0.3741 -0.3815 -0.3876 -0.3926 -0.3968 -0.4006 -0.4051
 -0.4104
 -0.8929 -0.8746 -0.8556 -0.8366 -0.8184 -0.8007 -0.7813 -0.7589 -0.7332 -0.7045
 -0.6743 -0.6442 -0.6155 -0.5887 -0.5631 -0.5007 -0.4420 -0.3958 -0.3643 -0.3475
 -0.3437 -0.3495 -0.3607 -0.3742 -0.3876 -0.3997 -0.4103 -0.4193 -0.4271 -0.4343
 -0.4421
 -0.7782 -0.7689 -0.7610 -0.7483 -0.7365 -0.7250 -0.7128 -0.6988 -0.6817 -0.6614
 -0.6381 -0.6129 -0.5873 -0.5626 -0.5414 -0.4872 -0.4309 -0.3859 -0.3560
