 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = G_RP 
 -2.1273 -2.1246 -2.3067 -2.3187 -2.2515 -2.1315 -1.9781 -1.8809 -1.7947 -1.7028
 -1.6153 -1.5318 -1.4554 -1.3864 -1.3274 -1.2058 -1.1534 -1.1635 -1.1696
 -2.1333 -2.0691 -2.0172 -1.9930 -1.9979 -1.9784 -1.9123 -1.8283 -1.7454 -1.6648
 -1.5867 -1.5130 -1.4455 -1.3853 -1.3331 -1.2375 -1.1882 -1.1748 -1.1818 -1.1997
 -2.0182 -1.9599 -1.9003 -1.8473 -1.8073 -1.7934 -1.7915 -1.7632 -1.7062 -1.6365
 -1.5675 -1.5010 -1.4395 -1.3846 -1.3370 -1.2499 -1.2046 -1.1935 -1.2021 -1.2202
 -1.2441
 -1.9114 -1.8691 -1.8174 -1.7638 -1.7141 -1.6717 -1.6425 -1.6322 -1.6217 -1.5918
 -1.5436 -1.4883 -1.4338 -1.3839 -1.3404 -1.2603 -1.2180 -1.2085 -1.2186 -1.2375
 -1.2611 -1.2883
 -1.8011 -1.7786 -1.7424 -1.6976 -1.6506 -1.6063 -1.5669 -1.5342 -1.5135 -1.4994
 -1.4831 -1.4556 -1.4190 -1.3785 -1.3400 -1.2667 -1.2270 -1.2190 -1.2308 -1.2515
 -1.2758 -1.3030 -1.3327 -1.3650
 -1.6865 -1.6804 -1.6626 -1.6325 -1.5949 -1.5548 -1.5165 -1.4816 -1.4508 -1.4252
 -1.4065 -1.3916 -1.3744 -1.3527 -1.3281 -1.2676 -1.2308 -1.2238 -1.2372 -1.2612
 -1.2879 -1.3162 -1.3463 -1.3781 -1.4118 -1.4479 -1.4871 -1.5297 -1.5762 -1.6266
 -1.5703 -1.5763 -1.5737 -1.5593 -1.5354 -1.5049 -1.4717 -1.4394 -1.4099 -1.3828
 -1.3586 -1.3387 -1.3230 -1.3093 -1.2952 -1.2586 -1.2286 -1.2210 -1.2369 -1.2651
 -1.2958 -1.3268 -1.3585 -1.3911 -1.4247 -1.4584 -1.4939 -1.5332 -1.5779 -1.6282
 -1.6808
 -1.4554 -1.4699 -1.4775 -1.4760 -1.4660 -1.4484 -1.4249 -1.3984 -1.3723 -1.3479
 -1.3255 -1.3052 -1.2873 -1.2728 -1.2608 -1.2369 -1.2192 -1.2143 -1.2304 -1.2617
 -1.2976 -1.3331 -1.3679 -1.4024 -1.4372 -1.4723 -1.5072 -1.5437 -1.5839 -1.6295
 -1.6814
 -1.3444 -1.3647 -1.3786 -1.3850 -1.3866 -1.3810 -1.3694 -1.3525 -1.3327 -1.3123
 -1.2932 -1.2759 -1.2601 -1.2461 -1.2341 -1.2132 -1.2032 -1.2037 -1.2196 -1.2523
 -1.2925 -1.3336 -1.3731 -1.4113 -1.4486 -1.4853 -1.5220 -1.5592 -1.5985 -1.6400
 -1.6836
 -1.2402 -1.2641 -1.2820 -1.2944 -1.3020 -1.3051 -1.3039 -1.2977 -1.2873 -1.2736
 -1.2591 -1.2455 -1.2331 -1.2218 -1.2118 -1.1935 -1.1861 -1.1902 -1.2068 -1.2386
 -1.2806 -1.3259 -1.3708 -1.4138 -1.4550 -1.4947 -1.5336 -1.5719 -1.6102 -1.6494
 -1.6904
 -1.1444 -1.1687 -1.1885 -1.2043 -1.2163 -1.2250 -1.2307 -1.2334 -1.2325 -1.2278
 -1.2201 -1.2115 -1.2031 -1.1957 -1.1891 -1.1762 -1.1706 -1.1765 -1.1945 -1.2246
 -1.2658 -1.3128 -1.3615 -1.4096 -1.4556 -1.4996 -1.5418 -1.5826 -1.6224 -1.6621
 -1.7024
 -1.0552 -1.0697 -1.0869 -1.1052 -1.1230 -1.1392 -1.1526 -1.1626 -1.1694 -1.1730
 -1.1737 -1.1719 -1.1688 -1.1655 -1.1627 -1.1581 -1.1566 -1.1634 -1.1821
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value = G_RP 
 -2.4086 -2.4204 -2.3964 -2.2946 -2.1655 -2.0376 -1.9286 -1.8387 -1.7567 -1.6783
 -1.6037 -1.5327 -1.4660 -1.4040 -1.3477 -1.2329 -1.1666 -1.1479 -1.1522
 -2.2411 -2.1794 -2.1627 -2.1698 -2.1110 -2.0069 -1.9006 -1.8100 -1.7310 -1.6572
 -1.5873 -1.5211 -1.4589 -1.4016 -1.3499 -1.2495 -1.1900 -1.1680 -1.1719 -1.1891
 -2.1380 -2.0641 -1.9986 -1.9557 -1.9533 -1.9403 -1.8729 -1.7879 -1.7108 -1.6413
 -1.5760 -1.5142 -1.4562 -1.4028 -1.3548 -1.2622 -1.2073 -1.1863 -1.1908 -1.2082
 -1.2321
 -2.0486 -1.9852 -1.9163 -1.8495 -1.7974 -1.7712 -1.7680 -1.7451 -1.6885 -1.6252
