 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = F210M
 -2.2559 -2.2683 -2.2273 -2.1720 -2.1385 -2.1074 -2.0505 -1.9912 -1.9671 -1.9860
 -2.0304 -2.0933 -2.1606 -2.2278 -2.2988 -2.4780 -2.6529 -2.8205 -2.9827
 -2.2050 -2.2360 -2.2450 -2.2355 -2.2108 -2.1742 -2.1336 -2.0978 -2.0745 -2.0682
 -2.0828 -2.1208 -2.1785 -2.2464 -2.3172 -2.4937 -2.6654 -2.8314 -2.9919 -3.1473
 -2.1830 -2.2182 -2.2506 -2.2688 -2.2614 -2.2353 -2.2066 -2.1795 -2.1560 -2.1400
 -2.1397 -2.1601 -2.2047 -2.2674 -2.3361 -2.5095 -2.6781 -2.8417 -3.0003 -3.1534
 -3.3015
 -2.1899 -2.2149 -2.2441 -2.2719 -2.2903 -2.2907 -2.2695 -2.2363 -2.2116 -2.2014
 -2.2011 -2.2112 -2.2392 -2.2908 -2.3555 -2.5254 -2.6910 -2.8514 -3.0079 -3.1594
 -3.3055 -3.4468
 -2.2343 -2.2415 -2.2581 -2.2797 -2.3017 -2.3171 -2.3197 -2.3077 -2.2857 -2.2643
 -2.2580 -2.2674 -2.2859 -2.3220 -2.3778 -2.5416 -2.7044 -2.8615 -3.0150 -3.1649
 -3.3097 -3.4493 -3.5842 -3.7151
 -2.3248 -2.3073 -2.3036 -2.3104 -2.3241 -2.3398 -2.3518 -2.3550 -2.3492 -2.3397
 -2.3322 -2.3337 -2.3472 -2.3706 -2.4114 -2.5592 -2.7187 -2.8726 -3.0224 -3.1699
 -3.3136 -3.4521 -3.5857 -3.7148 -3.8401 -3.9620 -4.0809 -4.1973 -4.3109 -4.4202
 -2.4614 -2.4177 -2.3885 -2.3736 -2.3709 -2.3768 -2.3867 -2.3953 -2.3990 -2.3978
 -2.3971 -2.4018 -2.4143 -2.4324 -2.4621 -2.5838 -2.7343 -2.8849 -3.0309 -3.1749
 -3.3169 -3.4548 -3.5876 -3.7156 -3.8393 -3.9594 -4.0764 -4.1904 -4.3020 -4.4112
 -4.5167
 -2.6324 -2.5687 -2.5152 -2.4750 -2.4501 -2.4388 -2.4377 -2.4423 -2.4479 -2.4516
 -2.4537 -2.4587 -2.4711 -2.4908 -2.5158 -2.6190 -2.7540 -2.8987 -3.0410 -3.1808
 -3.3199 -3.4569 -3.5893 -3.7169 -3.8397 -3.9585 -4.0738 -4.1860 -4.2955 -4.4027
 -4.5080
 -2.8185 -2.7448 -2.6758 -2.6136 -2.5651 -2.5318 -2.5134 -2.5062 -2.5063 -2.5094
 -2.5126 -2.5166 -2.5251 -2.5413 -2.5639 -2.6568 -2.7798 -2.9162 -3.0544 -3.1905
 -3.3259 -3.4608 -3.5929 -3.7206 -3.8434 -3.9616 -4.0761 -4.1870 -4.2950 -4.4003
 -4.5036
 -3.0053 -2.9310 -2.8565 -2.7815 -2.7134 -2.6587 -2.6188 -2.5942 -2.5819 -2.5779
 -2.5785 -2.5810 -2.5856 -2.5949 -2.6113 -2.6907 -2.8040 -2.9327 -3.0663 -3.1991
 -3.3307 -3.4621 -3.5926 -3.7201 -3.8431 -3.9615 -4.0756 -4.1858 -4.2926 -4.3964
 -4.4997
 -3.1900 -3.1170 -3.0412 -2.9641 -2.8877 -2.8159 -2.7563 -2.7115 -2.6815 -2.6642
 -2.6563 -2.6543 -2.6554 -2.6593 -2.6677 -2.7252 -2.8281 -2.9490 -3.0778 -3.2079
 -3.3368 -3.4649 -3.5925 -3.7187 -3.8418 -3.9607 -4.0752 -4.1853 -4.2917 -4.3948
 -4.4950
 -3.3727 -3.3028 -3.2239 -3.1512 -3.0726 -2.9945 -2.9217 -2.8586 -2.8097 -2.7748
 -2.7526 -2.7404 -2.7351 -2.7340 -2.7331 -2.7603 -2.8521 -2.9651 -3.0889
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value = F210M
 -2.1874 -2.1674 -2.1354 -2.0958 -2.0552 -2.0192 -1.9923 -1.9779 -1.9782 -1.9953
