 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = G_RP 
 -1.3545 -1.3503 -1.5322 -1.5423 -1.4721 -1.3484 -1.1921 -1.0930 -1.0049 -0.9103
 -0.8207 -0.7357 -0.6571 -0.5873 -0.5264 -0.4035 -0.3480 -0.3498 -0.3535
 -1.3598 -1.2923 -1.2375 -1.2108 -1.2138 -1.1923 -1.1237 -1.0373 -0.9524 -0.8699
 -0.7900 -0.7146 -0.6454 -0.5838 -0.5302 -0.4313 -0.3788 -0.3624 -0.3669 -0.3827
 -1.2428 -1.1812 -1.1185 -1.0626 -1.0201 -1.0042 -1.0006 -0.9703 -0.9112 -0.8397
 -0.7690 -0.7008 -0.6379 -0.5816 -0.5327 -0.4426 -0.3944 -0.3807 -0.3869 -0.4030
 -0.4251
 -1.1346 -1.0893 -1.0346 -0.9780 -0.9255 -0.8808 -0.8496 -0.8376 -0.8255 -0.7938
 -0.7439 -0.6870 -0.6310 -0.5799 -0.5353 -0.4523 -0.4073 -0.3953 -0.4032 -0.4201
 -0.4420 -0.4677
 -1.0231 -0.9979 -0.9589 -0.9113 -0.8616 -0.8146 -0.7730 -0.7384 -0.7162 -0.7006
 -0.6827 -0.6537 -0.6156 -0.5738 -0.5342 -0.4582 -0.4160 -0.4057 -0.4153 -0.4341
 -0.4568 -0.4824 -0.5107 -0.5418
 -0.9076 -0.8989 -0.8786 -0.8459 -0.8056 -0.7629 -0.7222 -0.6853 -0.6528 -0.6257
 -0.6056 -0.5894 -0.5708 -0.5478 -0.5219 -0.4587 -0.4195 -0.4103 -0.4217 -0.4439
 -0.4689 -0.4956 -0.5243 -0.5548 -0.5873 -0.6224 -0.6606 -0.7024 -0.7480 -0.7976
 -0.7909 -0.7943 -0.7892 -0.7724 -0.7461 -0.7130 -0.6774 -0.6429 -0.6115 -0.5829
 -0.5574 -0.5363 -0.5193 -0.5044 -0.4890 -0.4496 -0.4171 -0.4073 -0.4213 -0.4477
 -0.4768 -0.5063 -0.5366 -0.5678 -0.6002 -0.6327 -0.6671 -0.7054 -0.7492 -0.7988
 -0.8508
 -0.6758 -0.6876 -0.6927 -0.6889 -0.6766 -0.6567 -0.6308 -0.6020 -0.5738 -0.5478
 -0.5240 -0.5025 -0.4835 -0.4679 -0.4546 -0.4279 -0.4077 -0.4005 -0.4147 -0.4443
 -0.4786 -0.5127 -0.5460 -0.5792 -0.6128 -0.6467 -0.6805 -0.7159 -0.7552 -0.7999
 -0.8511
 -0.5651 -0.5825 -0.5938 -0.5978 -0.5971 -0.5893 -0.5755 -0.5563 -0.5344 -0.5121
 -0.4915 -0.4729 -0.4560 -0.4409 -0.4278 -0.4043 -0.3917 -0.3900 -0.4039 -0.4349
 -0.4736 -0.5132 -0.5513 -0.5882 -0.6243 -0.6598 -0.6954 -0.7314 -0.7696 -0.8102
 -0.8530
 -0.4616 -0.4825 -0.4976 -0.5074 -0.5126 -0.5135 -0.5102 -0.5019 -0.4894 -0.4737
 -0.4574 -0.4423 -0.4288 -0.4165 -0.4054 -0.3845 -0.3746 -0.3764 -0.3911 -0.4212
 -0.4616 -0.5055 -0.5491 -0.5909 -0.6309 -0.6694 -0.7071 -0.7443 -0.7815 -0.8198
 -0.8597
 -0.3670 -0.3880 -0.4047 -0.4177 -0.4272 -0.4336 -0.4371 -0.4378 -0.4349 -0.4283
 -0.4187 -0.4083 -0.3986 -0.3900 -0.3825 -0.3671 -0.3591 -0.3628 -0.3788 -0.4072
 -0.4468 -0.4923 -0.5398 -0.5867 -0.6316 -0.6744 -0.7155 -0.7552 -0.7940 -0.8327
 -0.8720
 -0.2790 -0.2893 -0.3030 -0.3184 -0.3337 -0.3476 -0.3590 -0.3671 -0.3720 -0.3738
 -0.3727 -0.3691 -0.3643 -0.3598 -0.3559 -0.3489 -0.3450 -0.3497 -0.3664
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value = G_RP 
 -1.6373 -1.6471 -1.6207 -1.5156 -1.3828 -1.2515 -1.1398 -1.0477 -0.9639 -0.8837
 -0.8072 -0.7345 -0.6660 -0.6025 -0.5447 -0.4273 -0.3584 -0.3352 -0.3371
