 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = G_RP 
 -1.5763 -1.5666 -1.5997 -1.6118 -1.5880 -1.5661 -1.5779 -1.6064 -1.6148 -1.5909
 -1.5487 -1.4931 -1.4328 -1.3777 -1.3263 -1.2266 -1.1738 -1.1570 -1.1551
 -1.5848 -1.5360 -1.5154 -1.5049 -1.5023 -1.5078 -1.5177 -1.5266 -1.5291 -1.5223
 -1.5039 -1.4723 -1.4282 -1.3788 -1.3321 -1.2425 -1.1946 -1.1807 -1.1848 -1.2018
 -1.5903 -1.5242 -1.4753 -1.4472 -1.4434 -1.4520 -1.4591 -1.4630 -1.4660 -1.4676
 -1.4621 -1.4469 -1.4182 -1.3780 -1.3369 -1.2564 -1.2126 -1.2008 -1.2085 -1.2262
 -1.2499
 -1.5928 -1.5312 -1.4794 -1.4387 -1.4113 -1.3987 -1.4021 -1.4156 -1.4255 -1.4268
 -1.4233 -1.4169 -1.4028 -1.3753 -1.3407 -1.2683 -1.2278 -1.2173 -1.2262 -1.2444
 -1.2677 -1.2946
 -1.5744 -1.5248 -1.4800 -1.4405 -1.4078 -1.3839 -1.3701 -1.3658 -1.3704 -1.3793
 -1.3835 -1.3815 -1.3773 -1.3643 -1.3394 -1.2761 -1.2385 -1.2291 -1.2399 -1.2595
 -1.2833 -1.3101 -1.3394 -1.3709
 -1.5296 -1.4957 -1.4634 -1.4322 -1.4028 -1.3769 -1.3566 -1.3430 -1.3358 -1.3334
 -1.3344 -1.3357 -1.3355 -1.3344 -1.3242 -1.2777 -1.2436 -1.2350 -1.2479 -1.2704
 -1.2962 -1.3241 -1.3537 -1.3850 -1.4178 -1.4524 -1.4894 -1.5314 -1.5793 -1.6292
 -1.4595 -1.4420 -1.4244 -1.4057 -1.3852 -1.3641 -1.3440 -1.3269 -1.3144 -1.3061
 -1.3004 -1.2964 -1.2931 -1.2931 -1.2908 -1.2680 -1.2423 -1.2347 -1.2489 -1.2753
 -1.3050 -1.3354 -1.3666 -1.3986 -1.4315 -1.4654 -1.5011 -1.5388 -1.5816 -1.6311
 -1.6833
 -1.3702 -1.3669 -1.3633 -1.3581 -1.3497 -1.3380 -1.3236 -1.3084 -1.2946 -1.2837
 -1.2756 -1.2691 -1.2633 -1.2588 -1.2571 -1.2451 -1.2325 -1.2286 -1.2434 -1.2728
 -1.3073 -1.3421 -1.3763 -1.4104 -1.4446 -1.4790 -1.5142 -1.5508 -1.5897 -1.6330
 -1.6842
 -1.2687 -1.2769 -1.2848 -1.2913 -1.2949 -1.2944 -1.2893 -1.2807 -1.2703 -1.2601
 -1.2515 -1.2448 -1.2391 -1.2337 -1.2306 -1.2209 -1.2155 -1.2175 -1.2332 -1.2641
 -1.3028 -1.3429 -1.3818 -1.4195 -1.4563 -1.4924 -1.5285 -1.5649 -1.6024 -1.6423
 -1.6869
 -1.1624 -1.1789 -1.1952 -1.2106 -1.2242 -1.2341 -1.2397 -1.2403 -1.2370 -1.2312
 -1.2247 -1.2192 -1.2147 -1.2109 -1.2081 -1.2008 -1.1978 -1.2038 -1.2206 -1.2509
 -1.2912 -1.3354 -1.3796 -1.4222 -1.4629 -1.5021 -1.5404 -1.5780 -1.6156 -1.6541
 -1.6943
 -1.0529 -1.0764 -1.0994 -1.1212 -1.1417 -1.1602 -1.1751 -1.1855 -1.1913 -1.1930
 -1.1918 -1.1895 -1.1873 -1.1858 -1.1849 -1.1831 -1.1819 -1.1898 -1.2079 -1.2372
 -1.2767 -1.3224 -1.3703 -1.4179 -1.4635 -1.5069 -1.5487 -1.5889 -1.6282 -1.6671
 -1.7068
 -0.9402 -0.9694 -1.0007 -1.0268 -1.0526 -1.0770 -1.0991 -1.1179 -1.1327 -1.1432
 -1.1498 -1.1534 -1.1554 -1.1569 -1.1610 -1.1678 -1.1678 -1.1755 -1.1951
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value = G_RP 
 -1.7650 -1.7310 -1.7105 -1.6986 -1.6918 -1.6849 -1.6733 -1.6536 -1.6258 -1.5916
 -1.5494 -1.4992 -1.4437 -1.3888 -1.3352 -1.2359 -1.1765 -1.1542 -1.1570
 -1.6773 -1.6312 -1.6035 -1.5889 -1.5825 -1.5801 -1.5779 -1.5710 -1.5589 -1.5411
 -1.5158 -1.4810 -1.4369 -1.3891 -1.3438 -1.2537 -1.1991 -1.1778 -1.1810 -1.1977
 -1.6425 -1.5728 -1.5310 -1.5151 -1.5043 -1.5010 -1.5016 -1.5018 -1.4993 -1.4931
 -1.4813 -1.4613 -1.4305 -1.3909 -1.3505 -1.2688 -1.2185 -1.1981 -1.2014 -1.2179
 -1.2412
 -1.6417 -1.5569 -1.4998 -1.4668 -1.4512 -1.4467 -1.4481 -1.4507 -1.4507 -1.4489
 -1.4444 -1.4355 -1.4187 -1.3899 -1.3553 -1.2812 -1.2347 -1.2151 -1.2182 -1.2349
 -1.2581 -1.2854
 -1.6510 -1.5726 -1.5068 -1.4591 -1.4277 -1.4093 -1.4010 -1.4003 -1.4054 -1.4120
 -1.4113 -1.4065 -1.3980 -1.3822 -1.3556 -1.2895 -1.2464 -1.2279 -1.2312 -1.2487
 -1.2726 -1.2999 -1.3298 -1.3620
 -1.6453 -1.5750 -1.5137 -1.4614 -1.4187 -1.3862 -1.3641 -1.3519 -1.3489 -1.3550
 -1.3645 -1.3693 -1.3694 -1.3634 -1.3481 -1.2925 -1.2531 -1.2358 -1.2397 -1.2587
 -1.2844 -1.3129 -1.3432 -1.3753 -1.4090 -1.4447 -1.4828 -1.5257 -1.5740 -1.6238
 -1.6165 -1.5593 -1.5073 -1.4613 -1.4209 -1.3864 -1.3584 -1.3378 -1.3243 -1.3169
 -1.3147 -1.3173 -1.3217 -1.3254 -1.3238 -1.2893 -1.2543 -1.2386 -1.2430 -1.2637
 -1.2923 -1.3233 -1.3552 -1.3881 -1.4219 -1.4569 -1.4936 -1.5325 -1.5761 -1.6258
 -1.6780
 -1.5630 -1.5209 -1.4814 -1.4453 -1.4122 -1.3818 -1.3543 -1.3305 -1.3116 -1.2979
 -1.2882 -1.2818 -1.2786 -1.2793 -1.2822 -1.2729 -1.2497 -1.2362 -1.2410 -1.2627
 -1.2947 -1.3295 -1.3644 -1.3992 -1.4343 -1.4696 -1.5060 -1.5436 -1.5835 -1.6277
 -1.6791
 -1.4853 -1.4580 -1.4327 -1.4087 -1.3858 -1.3636 -1.3416 -1.3202 -1.3005 -1.2838
 -1.2704 -1.2602 -1.2523 -1.2467 -1.2453 -1.2424 -1.2354 -1.2288 -1.2346 -1.2567
 -1.2911 -1.3302 -1.3695 -1.4078 -1.4453 -1.4824 -1.5195 -1.5570 -1.5957 -1.6365
 -1.6818
 -1.3916 -1.3782 -1.3655 -1.3530 -1.3409 -1.3285 -1.3150 -1.3000 -1.2842 -1.2686
 -1.2545 -1.2426 -1.2330 -1.2254 -1.2201 -1.2145 -1.2133 -1.2155 -1.2244 -1.2463
 -1.2811 -1.3233 -1.3672 -1.4102 -1.4515 -1.4915 -1.5307 -1.5694 -1.6082 -1.6477
 -1.6889
 -1.2904 -1.2860 -1.2838 -1.2813 -1.2789 -1.2761 -1.2718 -1.2654 -1.2566 -1.2460
 -1.2346 -1.2237 -1.2142 -1.2065 -1.2005 -1.1927 -1.1918 -1.1985 -1.2117 -1.2341
 -1.2681 -1.3112 -1.3583 -1.4059 -1.4520 -1.4961 -1.5386 -1.5798 -1.6201 -1.6602
 -1.7008
 -1.1835 -1.1882 -1.1933 -1.1987 -1.2040 -1.2090 -1.2132 -1.2154 -1.2149 -1.2117
 -1.2062 -1.1993 -1.1921 -1.1857 -1.1865 -1.1770 -1.1709 -1.1778 -1.1965
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value = G_RP 
 -2.0270 -1.9812 -1.9457 -1.9154 -1.8885 -1.8558 -1.8078 -1.7430 -1.6793 -1.6194
 -1.5609 -1.5025 -1.4451 -1.3917 -1.3436 -1.2476 -1.1839 -1.1520 -1.1490
 -1.9056 -1.8528 -1.8143 -1.7855 -1.7616 -1.7381 -1.7066 -1.6631 -1.6198 -1.5779
 -1.5349 -1.4890 -1.4406 -1.3930 -1.3493 -1.2621 -1.2049 -1.1762 -1.1729 -1.1868
 -1.8199 -1.7582 -1.7139 -1.6826 -1.6599 -1.6417 -1.6223 -1.5949 -1.5661 -1.5376
 -1.5078 -1.4745 -1.4361 -1.3948 -1.3551 -1.2751 -1.2228 -1.1962 -1.1926 -1.2058
 -1.2285
 -1.7686 -1.6892 -1.6339 -1.6016 -1.5786 -1.5622 -1.5487 -1.5328 -1.5146 -1.4960
 -1.4765 -1.4545 -1.4274 -1.3941 -1.3589 -1.2853 -1.2371 -1.2124 -1.2087 -1.2214
 -1.2439 -1.2714
 -1.7491 -1.6544 -1.5834 -1.5334 -1.5020 -1.4870 -1.4834 -1.4778 -1.4680 -1.4559
 -1.4426 -1.4282 -1.4111 -1.3881 -1.3591 -1.2920 -1.2473 -1.2245 -1.2213 -1.2340
 -1.2568 -1.2846 -1.3153 -1.3486
 -1.7523 -1.6557 -1.5745 -1.5090 -1.4602 -1.4268 -1.4088 -1.4051 -1.4084 -1.4114
 -1.4087 -1.4002 -1.3884 -1.3739 -1.3536 -1.2947 -1.2535 -1.2326 -1.2303 -1.2433
 -1.2672 -1.2961 -1.3274 -1.3605 -1.3955 -1.4326 -1.4724 -1.5167 -1.5658 -1.6153
 -1.7512 -1.6581 -1.5775 -1.5097 -1.4543 -1.4115 -1.3807 -1.3603 -1.3485 -1.3453
 -1.3496 -1.3555 -1.3565 -1.3511 -1.3398 -1.2932 -1.2557 -1.2367 -1.2353 -1.2491
 -1.2742 -1.3051 -1.3380 -1.3721 -1.4071 -1.4436 -1.4819 -1.5227 -1.5673 -1.6174
 -1.6692
 -1.7368 -1.6518 -1.5763 -1.5108 -1.4556 -1.4099 -1.3733 -1.3452 -1.3250 -1.3111
 -1.3027 -1.2999 -1.3026 -1.3067 -1.3082 -1.2861 -1.2536 -1.2368 -1.2362 -1.2506
 -1.2745 -1.3103 -1.3459 -1.3819 -1.4183 -1.4551 -1.4930 -1.5318 -1.5732 -1.6191
 -1.6706
 -1.6977 -1.6279 -1.5610 -1.5024 -1.4514 -1.4077 -1.3707 -1.3396 -1.3145 -1.2950
 -1.2804 -1.2698 -1.2629 -1.2604 -1.2620 -1.2628 -1.2464 -1.2326 -1.2332 -1.2481
 -1.2754 -1.3112 -1.3502 -1.3895 -1.4282 -1.4667 -1.5054 -1.5445 -1.5848 -1.6272
 -1.6735
 -1.6351 -1.5808 -1.5275 -1.4789 -1.4353 -1.3971 -1.3636 -1.3341 -1.3082 -1.2861
 -1.2678 -1.2532 -1.2417 -1.2332 -1.2283 -1.2279 -1.2280 -1.2241 -1.2265 -1.2413
 -1.2686 -1.3057 -1.3480 -1.3913 -1.4336 -1.4749 -1.5156 -1.5558 -1.5961 -1.6374
 -1.6801
 -1.5545 -1.5140 -1.4744 -1.4364 -1.4023 -1.3718 -1.3446 -1.3199 -1.2972 -1.2763
 -1.2574 -1.2410 -1.2273 -1.2162 -1.2077 -1.1989 -1.2015 -1.2077 -1.2161 -1.2317
 -1.2584 -1.2957 -1.3400 -1.3870 -1.4336 -1.4788 -1.5226 -1.5652 -1.6070 -1.6487
 -1.6908
 -1.4603 -1.4318 -1.4039 -1.3770 -1.3523 -1.3301 -1.3104 -1.2923 -1.2753 -1.2589
 -1.2429 -1.2277 -1.2140 -1.2020 -1.2002 -1.1758 -1.1669 -1.1834 -1.2020
 [Fe/H] = -1.00 [alpha/Fe] = 0.40 BC value = G_RP 
 -2.4118 -2.3657 -2.3224 -2.2756 -2.2230 -2.1496 -2.0394 -1.8941 -1.7611 -1.6551
 -1.5708 -1.5007 -1.4407 -1.3885 -1.3426 -1.2517 -1.1877 -1.1510 -1.1392
 -2.2397 -2.1877 -2.1446 -2.1042 -2.0603 -2.0052 -1.9253 -1.8155 -1.7127 -1.6265
 -1.5547 -1.4927 -1.4378 -1.3893 -1.3467 -1.2629 -1.2062 -1.1735 -1.1634 -1.1721
 -2.1086 -2.0464 -1.9982 -1.9588 -1.9226 -1.8830 -1.8283 -1.7484 -1.6686 -1.5987
 -1.5385 -1.4848 -1.4356 -1.3907 -1.3507 -1.2724 -1.2204 -1.1911 -1.1821 -1.1901
 -1.2106
 -2.0132 -1.9400 -1.8834 -1.8397 -1.8045 -1.7730 -1.7375 -1.6832 -1.6230 -1.5675
 -1.5182 -1.4734 -1.4310 -1.3906 -1.3534 -1.2798 -1.2315 -1.2047 -1.1970 -1.2048
 -1.2245 -1.2517
 -1.9249 -1.8461 -1.7879 -1.7426 -1.7063 -1.6768 -1.6503 -1.6167 -1.5740 -1.5314
 -1.4923 -1.4564 -1.4217 -1.3872 -1.3537 -1.2847 -1.2395 -1.2150 -1.2085 -1.2165
 -1.2360 -1.2630 -1.2943 -1.3288
 -1.8867 -1.7844 -1.7035 -1.6442 -1.6048 -1.5810 -1.5643 -1.5468 -1.5213 -1.4914
 -1.4615 -1.4334 -1.4062 -1.3787 -1.3503 -1.2868 -1.2446 -1.2220 -1.2167 -1.2253
 -1.2450 -1.2725 -1.3043 -1.3387 -1.3754 -1.4145 -1.4566 -1.5028 -1.5534 -1.6032
 -1.8767 -1.7673 -1.6745 -1.5987 -1.5405 -1.4985 -1.4702 -1.4538 -1.4440 -1.4348
 -1.4221 -1.4051 -1.3851 -1.3640 -1.3419 -1.2860 -1.2467 -1.2261 -1.2218 -1.2312
 -1.2514 -1.2797 -1.3127 -1.3481 -1.3850 -1.4235 -1.4639 -1.5070 -1.5539 -1.6052
 -1.6565
 -1.8732 -1.7627 -1.6667 -1.5851 -1.5178 -1.4648 -1.4250 -1.3959 -1.3749 -1.3605
 -1.3528 -1.3500 -1.3468 -1.3391 -1.3259 -1.2818 -1.2458 -1.2271 -1.2238 -1.2337
 -1.2546 -1.2840 -1.3188 -1.3560 -1.3941 -1.4330 -1.4732 -1.5148 -1.5591 -1.6061
 -1.6579
 -1.8670 -1.7584 -1.6635 -1.5809 -1.5108 -1.4528 -1.4064 -1.3703 -1.3428 -1.3219
 -1.3060 -1.2951 -1.2895 -1.2883 -1.2877 -1.2710 -1.2411 -1.2247 -1.2227 -1.2333
 -1.2549 -1.2853 -1.3221 -1.3619 -1.4023 -1.4428 -1.4838 -1.5253 -1.5679 -1.6126
 -1.6606
 -1.8480 -1.7489 -1.6580 -1.5780 -1.5084 -1.4493 -1.4003 -1.3604 -1.3283 -1.3030
 -1.2831 -1.2674 -1.2552 -1.2468 -1.2426 -1.2418 -1.2320 -1.2190 -1.2183 -1.2293
 -1.2511 -1.2822 -1.3206 -1.3630 -1.4064 -1.4495 -1.4923 -1.5347 -1.5774 -1.6210
 -1.6663
 -1.8076 -1.7211 -1.6409 -1.5669 -1.5009 -1.4439 -1.3955 -1.3549 -1.3211 -1.2932
 -1.2703 -1.2516 -1.2364 -1.2242 -1.2148 -1.2061 -1.2085 -1.2088 -1.2107 -1.2224
 -1.2442 -1.2755 -1.3148 -1.3594 -1.4060 -1.4524 -1.4979 -1.5425 -1.5865 -1.6305
 -1.6748
 -1.7453 -1.6735 -1.6050 -1.5410 -1.4818 -1.4294 -1.3842 -1.3456 -1.3129 -1.2850
 -1.2612 -1.2410 -1.2239 -1.2097 -1.2043 -1.1639 -1.1706 -1.1941 -1.1999
 [Fe/H] = -0.75 [alpha/Fe] = 0.40 BC value = G_RP 
