 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = G_RP 
 -1.1595 -1.1524 -1.3351 -1.3426 -1.2687 -1.1406 -0.9813 -0.8802 -0.7899 -0.6939
 -0.6022 -0.5153 -0.4359 -0.3638 -0.3022 -0.1738 -0.1178 -0.1193 -0.1188
 -1.1638 -1.0923 -1.0340 -1.0046 -1.0055 -0.9817 -0.9105 -0.8216 -0.7350 -0.6509
 -0.5695 -0.4926 -0.4221 -0.3593 -0.3046 -0.2032 -0.1483 -0.1298 -0.1326 -0.1472
 -1.0443 -0.9790 -0.9129 -0.8539 -0.8087 -0.7908 -0.7855 -0.7532 -0.6923 -0.6192
 -0.5471 -0.4776 -0.4135 -0.3561 -0.3063 -0.2139 -0.1635 -0.1478 -0.1525 -0.1673
 -0.1885
 -0.9342 -0.8855 -0.8277 -0.7682 -0.7130 -0.6658 -0.6326 -0.6190 -0.6056 -0.5725
 -0.5211 -0.4630 -0.4060 -0.3539 -0.3083 -0.2232 -0.1762 -0.1623 -0.1687 -0.1844
 -0.2052 -0.2301
 -0.8211 -0.7929 -0.7511 -0.7008 -0.6485 -0.5991 -0.5554 -0.5189 -0.4953 -0.4786
 -0.4595 -0.4293 -0.3901 -0.3473 -0.3068 -0.2288 -0.1847 -0.1727 -0.1808 -0.1983
 -0.2199 -0.2446 -0.2722 -0.3028
 -0.7043 -0.6928 -0.6699 -0.6348 -0.5922 -0.5471 -0.5043 -0.4655 -0.4315 -0.4031
 -0.3820 -0.3648 -0.3451 -0.3211 -0.2943 -0.2291 -0.1880 -0.1772 -0.1872 -0.2081
 -0.2320 -0.2578 -0.2857 -0.3156 -0.3477 -0.3826 -0.4207 -0.4625 -0.5082 -0.5579
 -0.5866 -0.5873 -0.5797 -0.5607 -0.5322 -0.4970 -0.4594 -0.4230 -0.3900 -0.3600
 -0.3335 -0.3113 -0.2934 -0.2776 -0.2613 -0.2198 -0.1855 -0.1741 -0.1867 -0.2119
 -0.2400 -0.2685 -0.2979 -0.3285 -0.3603 -0.3924 -0.4266 -0.4648 -0.5087 -0.5584
 -0.6104
