 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =F150W2
  0.5680  0.5496  0.5297  0.5082  0.4843  0.4112  0.3241  0.2272  0.1228  0.0152
 -0.0929 -0.2007 -0.3080 -0.4141 -0.5179 -0.6185 -0.7158 -0.8098 -0.9009 -0.9895
 -1.0762
  0.5103  0.5229  0.5346  0.5454  0.5548  0.5617  0.5650  0.5642  0.5589  0.5495
  0.5364  0.5204  0.5028  0.4819  0.4655  0.3972  0.3089  0.2159  0.1161
 [Fe/H] = -1.50 [alpha/Fe] = 0.00 BC value =F150W2
  0.9649  0.9736  0.9833  0.9921  0.9979  0.9988  0.9930  0.9794  0.9581  0.9293
  0.8937  0.8527  0.8092  0.7638  0.7173  0.5978  0.4744  0.3477  0.2186
  0.9374  0.9414  0.9468  0.9530  0.9578  0.9594  0.9558  0.9458  0.9290  0.9049
  0.8731  0.8340  0.7903  0.7443  0.6972  0.5772  0.4552  0.3308  0.2049  0.0800
  0.8966  0.8951  0.9064  0.9168  0.9213  0.9222  0.9195  0.9119  0.8987  0.8793
  0.8525  0.8175  0.7754  0.7294  0.6819  0.5610  0.4394  0.3168  0.1931  0.0704
 -0.0496
  0.8876  0.8697  0.8566  0.8519  0.8590  0.8758  0.8848  0.8818  0.8705  0.8533
  0.8303  0.8003  0.7620  0.7174  0.6700  0.5484  0.4267  0.3052  0.1832  0.0622
 -0.0562 -0.1715
  0.8856  0.8651  0.8441  0.8256  0.8116  0.8061  0.8111  0.8227  0.8328  0.8273
  0.8085  0.7814  0.7477  0.7065  0.6602  0.5386  0.4167  0.2958  0.1751  0.0552
 -0.0621 -0.1761 -0.2870 -0.3954
  0.8799  0.8615  0.8403  0.8184  0.7979  0.7808  0.7679  0.7598  0.7583  0.7648
  0.7675  0.7555  0.7297  0.6939  0.6507  0.5306  0.4086  0.2881  0.1685  0.0496
 -0.0671 -0.1805 -0.2905 -0.3974 -0.5018 -0.6038 -0.7043 -0.8040 -0.9027 -0.9979
  0.8653  0.8519  0.8340  0.8134  0.7919  0.7709  0.7515  0.7348  0.7203  0.7085
  0.7014  0.6984  0.6897  0.6689  0.6363  0.5235  0.4020  0.2818  0.1630  0.0452
 -0.0710 -0.1843 -0.2938 -0.4001 -0.5034 -0.6041 -0.7028 -0.7998 -0.8959 -0.9917
 -1.0847
  0.8399  0.8325  0.8199  0.8034  0.7844  0.7639  0.7428  0.7221  0.7023  0.6833
