 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = BX   
 -6.7843 -6.5684 -6.7256 -6.6448 -6.4244 -6.0641 -5.5948 -5.3080 -5.0250 -4.7312
 -4.4518 -4.1939 -3.9535 -3.7244 -3.5022 -3.0016 -2.4782 -1.9896 -1.6383
 -6.6083 -6.2429 -5.9557 -5.7600 -5.6384 -5.4812 -5.2367 -4.9484 -4.6591 -4.3750
 -4.1029 -3.8493 -3.6145 -3.3954 -3.1883 -2.7062 -2.2638 -1.8849 -1.5914 -1.3662
 -6.2662 -5.9024 -5.5856 -5.3228 -5.1090 -4.9539 -4.8221 -4.6323 -4.3849 -4.1146
 -3.8503 -3.6009 -3.3714 -3.1605 -2.9656 -2.5308 -2.1458 -1.8117 -1.5482 -1.3453
 -1.1828
 -5.9850 -5.6513 -5.3400 -5.0653 -4.8246 -4.6086 -4.4195 -4.2647 -4.1013 -3.8919
 -3.6547 -3.4179 -3.1945 -2.9892 -2.8020 -2.3991 -2.0577 -1.7636 -1.5230 -1.3376
 -1.1890 -1.0635
 -5.7304 -5.4380 -5.1507 -4.8829 -4.6410 -4.4184 -4.2077 -4.0089 -3.8331 -3.6644
 -3.4827 -3.2795 -3.0722 -2.8743 -2.6920 -2.3084 -1.9965 -1.7304 -1.5110 -1.3393
 -1.2019 -1.0859 -0.9838 -0.8921
 -5.4941 -5.2386 -4.9855 -4.7361 -4.5023 -4.2852 -4.0786 -3.8774 -3.6830 -3.4981
 -3.3267 -3.1587 -2.9822 -2.8015 -2.6266 -2.2524 -1.9580 -1.7115 -1.5078 -1.3464
 -1.2181 -1.1107 -1.0162 -0.9304 -0.8475 -0.7692 -0.6987 -0.6383 -0.5899 -0.5546
 -5.2764 -5.0512 -4.8293 -4.6057 -4.3858 -4.1780 -3.9803 -3.7884 -3.5998 -3.4138
 -3.2348 -3.0665 -2.9062 -2.7476 -2.5891 -2.2252 -1.9378 -1.7045 -1.5103 -1.3557
 -1.2344 -1.1347 -1.0478 -0.9689 -0.8958 -0.8273 -0.7635 -0.7046 -0.6510 -0.6057
 -0.5799
 -5.0776 -4.8771 -4.6795 -4.4811 -4.2814 -4.0845 -3.8957 -3.7147 -3.5375 -3.3610
 -3.1864 -3.0174 -2.8570 -2.7054 -2.5594 -2.2183 -1.9323 -1.7048 -1.5168 -1.3656
 -1.2484 -1.1551 -1.0758 -1.0043 -0.9381 -0.8756 -0.8155 -0.7595 -0.7095 -0.6671
 -0.6332
 -4.8980 -4.7177 -4.5387 -4.3572 -4.1789 -3.9983 -3.8189 -3.6454 -3.4786 -3.3141
 -3.1495 -2.9865 -2.8287 -2.6783 -2.5357 -2.2118 -1.9338 -1.7075 -1.5239 -1.3743
 -1.2584 -1.1692 -1.0966 -1.0331 -0.9746 -0.9192 -0.8667 -0.8170 -0.7715 -0.7302
 -0.6927
 -4.7380 -4.5741 -4.4098 -4.2452 -4.0806 -3.9161 -3.7516 -3.5870 -3.4265 -3.2713
 -3.1184 -2.9657 -2.8143 -2.6679 -2.5280 -2.2099 -1.9401 -1.7163 -1.5342 -1.3857
 -1.2690 -1.1804 -1.1119 -1.0553 -1.0048 -0.9575 -0.9126 -0.8694 -0.8283 -0.7899
 -0.7545
 -4.5943 -4.4406 -4.2872 -4.1343 -3.9821 -3.8306 -3.6799 -3.5296 -3.3785 -3.2296
 -3.0846 -2.9421 -2.8003 -2.6599 -2.5230 -2.2102 -1.9454 -1.7242 -1.5429 -1.3959
 -1.2787 -1.1892 -1.1218 -1.0695 -1.0259 -0.9868 -0.9502 -0.9148 -0.8807 -0.8480
 -0.8176
 -4.4528 -4.2886 -4.1380 -3.9969 -3.8614 -3.7283 -3.5948 -3.4593 -3.3225 -3.1854
 -3.0488 -2.9136 -2.7805 -2.6489 -2.5185 -2.2121 -1.9493 -1.7310 -1.5509
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value = BX   
 -7.0846 -6.9100 -6.6984 -6.3628 -5.9748 -5.5825 -5.2352 -4.9381 -4.6626 -4.3996
 -4.1485 -3.9144 -3.6982 -3.4966 -3.3058 -2.8688 -2.4374 -2.0255 -1.6875
 -6.5634 -6.2297 -6.0356 -5.9095 -5.6695 -5.3389 -4.9956 -4.6849 -4.4044 -4.1384
 -3.8855 -3.6506 -3.4359 -3.2393 -3.0568 -2.6427 -2.2642 -1.9168 -1.6219 -1.3881
 -6.2636 -5.8912 -5.5917 -5.3700 -5.2360 -5.0794 -4.8115 -4.5070 -4.2205 -3.9544
 -3.7005 -3.4642 -3.2487 -3.0534 -2.8750 -2.4839 -2.1441 -1.8394 -1.5763 -1.3643
 -1.1945
