 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  V   
 -4.4006 -3.9669 -3.6041 -3.3039 -3.0588 -2.8578 -2.6910 -2.5504 -2.4301 -2.3260
 -2.2340 -2.1507 -2.0730 -1.9999 -1.9313 -1.7618 -1.6090 -1.4906 -1.4081 -1.3543
 -1.3205 -1.2976 -1.2791 -1.2622 -1.2458 -1.2295 -1.2137 -1.1986 -1.1853 -1.1755
 -1.1727
 -4.3012 -3.9122 -3.5749 -3.2899 -3.0534 -2.8570 -2.6919 -2.5509 -2.4286 -2.3213
 -2.2260 -2.1399 -2.0606 -1.9861 -1.9157 -1.7521 -1.6069 -1.4896 -1.4048 -1.3488
 -1.3148 -1.2949 -1.2822 -1.2720 -1.2622 -1.2518 -1.2411 -1.2300 -1.2192 -1.2097
 -1.2008
 -4.2059 -3.8579 -3.5468 -3.2771 -3.0482 -2.8551 -2.6912 -2.5500 -2.4265 -2.3172
 -2.2196 -2.1316 -2.0512 -1.9764 -1.9058 -1.7440 -1.6030 -1.4882 -1.4022 -1.3435
 -1.3075 -1.2878 -1.2782 -1.2737 -1.2706 -1.2671 -1.2627 -1.2571 -1.2507 -1.2443
 -1.2386
 -4.1177 -3.8058 -3.5248 -3.2725 -3.0494 -2.8562 -2.6916 -2.5489 -2.4235 -2.3123
 -2.2126 -2.1229 -2.0415 -1.9667 -1.9016 -1.7375 -1.5973 -1.4864 -1.4003
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value =  V   
 -6.8008 -6.3393 -5.9121 -5.5092 -5.1283 -4.7380 -4.3046 -3.8344 -3.4340 -3.1157
 -2.8625 -2.6554 -2.4799 -2.3276 -2.1935 -1.9191 -1.7054 -1.5348 -1.4018
 -6.4503 -5.9344 -5.4647 -5.0383 -4.6478 -4.2811 -3.9087 -3.5278 -3.2021 -2.9363
 -2.7190 -2.5358 -2.3759 -2.2339 -2.1077 -1.8517 -1.6591 -1.5100 -1.3937 -1.3041
 -6.1774 -5.6467 -5.1561 -4.7134 -4.3202 -3.9704 -3.6465 -3.3278 -3.0484 -2.8161
 -2.6237 -2.4599 -2.3138 -2.1804 -2.0597 -1.8139 -1.6330 -1.4965 -1.3917 -1.3109
 -1.2473
 -5.7930 -5.2672 -4.8469 -4.4520 -4.0839 -3.7504 -3.4548 -3.1821 -2.9371 -2.7289
 -2.5546 -2.4064 -2.2742 -2.1507 -2.0352 -1.7956 -1.6202 -1.4909 -1.3937 -1.3195
 -1.2611 -1.2129
 -5.4505 -4.9152 -4.4708 -4.1007 -3.7892 -3.5234 -3.2881 -3.0621 -2.8503 -2.6627
 -2.5017 -2.3643 -2.2439 -2.1319 -2.0235 -1.7890 -1.6156 -1.4898 -1.3975 -1.3285
 -1.2748 -1.2306 -1.1926 -1.1596
 -5.3241 -4.7480 -4.2647 -3.8674 -3.5436 -3.2790 -3.0639 -2.8888 -2.7385 -2.5987
 -2.4612 -2.3332 -2.2186 -2.1153 -2.0162 -1.7887 -1.6155 -1.4908 -1.4013 -1.3362
 -1.2873 -1.2475 -1.2131 -1.1826 -1.1554 -1.1317 -1.1121 -1.0999 -1.0971 -1.1010
 -5.3030 -4.7007 -4.1893 -3.7702 -3.4317 -3.1594 -2.9394 -2.7598 -2.6117 -2.4906
 -2.3899 -2.2952 -2.1978 -2.1011 -2.0083 -1.7912 -1.6177 -1.4922 -1.4038 -1.3414
 -1.2966 -1.2618 -1.2320 -1.2052 -1.1807 -1.1584 -1.1391 -1.1237 -1.1147 -1.1165
 -1.1264
