 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  i   
 -1.0774 -1.0658 -1.2517 -1.2587 -1.1774 -1.0471 -0.8880 -0.7810 -0.6856 -0.5834
 -0.4845 -0.3909 -0.3028 -0.2233 -0.1559 -0.0140  0.0336  0.0132  0.0259
 -1.0684 -0.9938 -0.9347 -0.9052 -0.9060 -0.8817 -0.8089 -0.7171 -0.6257 -0.5359
 -0.4482 -0.3650 -0.2885 -0.2206 -0.1620 -0.0552  0.0014  0.0196  0.0156 -0.0010
 -0.9344 -0.8673 -0.8020 -0.7446 -0.7006 -0.6827 -0.6768 -0.6432 -0.5793 -0.5018
 -0.4244 -0.3494 -0.2798 -0.2179 -0.1645 -0.0672 -0.0150  0.0008 -0.0045 -0.0207
 -0.0440
 -0.8124 -0.7616 -0.7053 -0.6488 -0.5965 -0.5508 -0.5174 -0.5027 -0.4875 -0.4517
 -0.3967 -0.3341 -0.2723 -0.2160 -0.1672 -0.0776 -0.0286 -0.0143 -0.0210 -0.0375
 -0.0597 -0.0869
 -0.6906 -0.6584 -0.6173 -0.5703 -0.5223 -0.4764 -0.4341 -0.3971 -0.3716 -0.3524
 -0.3309 -0.2979 -0.2556 -0.2095 -0.1661 -0.0839 -0.0378 -0.0250 -0.0332 -0.0512
 -0.0737 -0.1000 -0.1299 -0.1638
 -0.5685 -0.5506 -0.5259 -0.4931 -0.4550 -0.4150 -0.3759 -0.3385 -0.3034 -0.2725
 -0.2486 -0.2291 -0.2074 -0.1816 -0.1531 -0.0845 -0.0415 -0.0298 -0.0396 -0.0608
 -0.0853 -0.1121 -0.1416 -0.1738 -0.2093 -0.2483 -0.2912 -0.3381 -0.3889 -0.4437
 -0.4492 -0.4408 -0.4286 -0.4091 -0.3838 -0.3539 -0.3217 -0.2892 -0.2574 -0.2262
 -0.1971 -0.1725 -0.1526 -0.1354 -0.1181 -0.0748 -0.0390 -0.0267 -0.0391 -0.0645
 -0.0929 -0.1222 -0.1526 -0.1847 -0.2186 -0.2537 -0.2915 -0.3339 -0.3823 -0.4365
 -0.4927
 -0.3358 -0.3329 -0.3280 -0.3183 -0.3041 -0.2860 -0.2639 -0.2391 -0.2132 -0.1869
 -0.1609 -0.1364 -0.1147 -0.0968 -0.0818 -0.0518 -0.0289 -0.0195 -0.0322 -0.0608
 -0.0944 -0.1280 -0.1612 -0.1947 -0.2290 -0.2642 -0.3002 -0.3386 -0.3812 -0.4296
 -0.4845
 -0.2314 -0.2309 -0.2292 -0.2247 -0.2184 -0.2091 -0.1972 -0.1823 -0.1647 -0.1451
 -0.1247 -0.1045 -0.0855 -0.0684 -0.0536 -0.0268 -0.0119 -0.0083 -0.0208 -0.0509
 -0.0890 -0.1281 -0.1660 -0.2027 -0.2390 -0.2751 -0.3117 -0.3493 -0.3897 -0.4330
 -0.4789
 -0.1392 -0.1389 -0.1376 -0.1354 -0.1323 -0.1284 -0.1236 -0.1171 -0.1088 -0.0977
 -0.0846 -0.0704 -0.0562 -0.0427 -0.0302 -0.0060  0.0061  0.0061 -0.0072 -0.0365
 -0.0764 -0.1200 -0.1633 -0.2048 -0.2447 -0.2833 -0.3213 -0.3592 -0.3976 -0.4373
 -0.4794
 -0.0613 -0.0575 -0.0543 -0.0517 -0.0497 -0.0482 -0.0472 -0.0464 -0.0450 -0.0422
 -0.0373 -0.0305 -0.0224 -0.0139 -0.0056  0.0123  0.0226  0.0206  0.0059 -0.0217
 -0.0610 -0.1063 -0.1535 -0.2002 -0.2449 -0.2875 -0.3286 -0.3683 -0.4075 -0.4467
 -0.4870
  0.0035  0.0240  0.0347  0.0381  0.0370  0.0334  0.0290  0.0251  0.0219  0.0194
  0.0176  0.0168  0.0177  0.0200  0.0233  0.0315  0.0374  0.0344  0.0189
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value =  i   
 -1.3629 -1.3662 -1.3334 -1.2208 -1.0828 -0.9490 -0.8344 -0.7365 -0.6456 -0.5583
 -0.4748 -0.3950 -0.3193 -0.2486 -0.1841 -0.0502  0.0230  0.0421  0.0447
 -1.1733 -1.1018 -1.0790 -1.0816 -1.0168 -0.9065 -0.7951 -0.6988 -0.6124 -0.5308
 -0.4529 -0.3784 -0.3080 -0.2426 -0.1834 -0.0685 -0.0004  0.0267  0.0257  0.0099
 -1.0553 -0.9722 -0.9006 -0.8533 -0.8476 -0.8311 -0.7590 -0.6691 -0.5864 -0.5103
 -0.4378 -0.3685 -0.3028 -0.2419 -0.1869 -0.0809 -0.0179  0.0082  0.0070 -0.0085
 -0.0319
 -0.9544 -0.8815 -0.8071 -0.7364 -0.6811 -0.6521 -0.6462 -0.6199 -0.5588 -0.4902
 -0.4236 -0.3595 -0.2983 -0.2415 -0.1901 -0.0912 -0.0322 -0.0068 -0.0079 -0.0235
 -0.0463 -0.0740
 -0.8553 -0.7979 -0.7337 -0.6679 -0.6065 -0.5519 -0.5100 -0.4860 -0.4755 -0.4486
 -0.4016 -0.3466 -0.2912 -0.2384 -0.1904 -0.0979 -0.0424 -0.0177 -0.0188 -0.0354
 -0.0586 -0.0858 -0.1166 -0.1521
 -0.7570 -0.7113 -0.6613 -0.6054 -0.5483 -0.4943 -0.4445 -0.4004 -0.3669 -0.3478
 -0.3325 -0.3081 -0.2722 -0.2293 -0.1861 -0.0999 -0.0476 -0.0239 -0.0253 -0.0434
 -0.0685 -0.0965 -0.1271 -0.1604 -0.1963 -0.2356 -0.2792 -0.3278 -0.3812 -0.4370
 -0.6538 -0.6195 -0.5821 -0.5398 -0.4924 -0.4439 -0.3974 -0.3535 -0.3129 -0.2777
 -0.2505 -0.2317 -0.2148 -0.1938 -0.1677 -0.0966 -0.0480 -0.0252 -0.0267 -0.0465
 -0.0747 -0.1051 -0.1368 -0.1701 -0.2052 -0.2423 -0.2823 -0.3262 -0.3747 -0.4281
 -0.4862
 -0.5547 -0.5243 -0.4975 -0.4656 -0.4306 -0.3915 -0.3513 -0.3120 -0.2746 -0.2388
 -0.2058 -0.1773 -0.1551 -0.1383 -0.1231 -0.0823 -0.0430 -0.0220 -0.0232 -0.0439
 -0.0756 -0.1099 -0.1443 -0.1790 -0.2145 -0.2502 -0.2874 -0.3277 -0.3723 -0.4222
 -0.4780
 -0.4653 -0.4336 -0.4098 -0.3853 -0.3590 -0.3308 -0.2999 -0.2673 -0.2352 -0.2038
 -0.1734 -0.1446 -0.1187 -0.0972 -0.0806 -0.0518 -0.0294 -0.0141 -0.0157 -0.0364
 -0.0706 -0.1095 -0.1482 -0.1861 -0.2235 -0.2609 -0.2990 -0.3392 -0.3815 -0.4258
 -0.4718
 -0.3911 -0.3552 -0.3285 -0.3041 -0.2833 -0.2621 -0.2403 -0.2167 -0.1916 -0.1661
 -0.1410 -0.1164 -0.0927 -0.0711 -0.0527 -0.0229 -0.0079 -0.0012 -0.0050 -0.0248
 -0.0594 -0.1016 -0.1451 -0.1876 -0.2284 -0.2682 -0.3077 -0.3469 -0.3868 -0.4280
 -0.4715
 -0.3399 -0.2908 -0.2560 -0.2284 -0.2090 -0.1903 -0.1735 -0.1572 -0.1404 -0.1220
 -0.1030 -0.0841 -0.0654 -0.0474 -0.0307 -0.0005  0.0135  0.0156  0.0079 -0.0117
