 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =F322W2
 -3.5121 -3.5867 -3.6474 -3.6773 -3.6765 -3.6582 -3.6313 -3.6021 -3.5847 -3.5904
 -3.6073 -3.6448 -3.7006 -3.7590 -3.8257 -4.0018 -4.1764 -4.3483 -4.5130
 -3.4556 -3.5229 -3.5875 -3.6420 -3.6835 -3.7101 -3.7213 -3.7192 -3.7088 -3.6947
 -3.6839 -3.6881 -3.7203 -3.7777 -3.8454 -4.0215 -4.1952 -4.3658 -4.5301 -4.6878
 -3.4209 -3.4812 -3.5443 -3.6081 -3.6689 -3.7195 -3.7555 -3.7758 -3.7800 -3.7692
 -3.7530 -3.7411 -3.7526 -3.7995 -3.8639 -4.0379 -4.2105 -4.3799 -4.5438 -4.7006
 -4.8507
 -3.4080 -3.4616 -3.5178 -3.5756 -3.6327 -3.6864 -3.7339 -3.7719 -3.7983 -3.8139
 -3.8146 -3.8038 -3.7975 -3.8244 -3.8812 -4.0510 -4.2223 -4.3906 -4.5541 -4.7104
 -4.8598 -5.0032
 -3.4155 -3.4615 -3.5105 -3.5615 -3.6134 -3.6641 -3.7110 -3.7514 -3.7851 -3.8127
 -3.8355 -3.8504 -3.8501 -3.8596 -3.9018 -4.0624 -4.2317 -4.3983 -4.5614 -4.7178
 -4.8670 -5.0096 -5.1466 -5.2787
 -3.4442 -3.4813 -3.5217 -3.5647 -3.6098 -3.6560 -3.7015 -3.7436 -3.7800 -3.8109
 -3.8389 -3.8665 -3.8876 -3.8993 -3.9312 -4.0743 -4.2397 -4.4041 -4.5660 -4.7228
 -4.8723 -5.0148 -5.1512 -5.2824 -5.4089 -5.5316 -5.6509 -5.7669 -5.8799 -5.9896
 -3.4954 -3.5228 -3.5530 -3.5864 -3.6231 -3.6625 -3.7038 -3.7450 -3.7841 -3.8188
 -3.8498 -3.8800 -3.9118 -3.9335 -3.9625 -4.0910 -4.2482 -4.4090 -4.5686 -4.7251
 -4.8755 -5.0185 -5.1549 -5.2856 -5.4114 -5.5329 -5.6507 -5.7651 -5.8765 -5.9852
 -6.0912
 -3.5672 -3.5867 -3.6070 -3.6293 -3.6556 -3.6859 -3.7201 -3.7570 -3.7949 -3.8319
 -3.8664 -3.8990 -3.9321 -3.9641 -3.9921 -4.1125 -4.2595 -4.4148 -4.5705 -4.7252
 -4.8760 -5.0203 -5.1574 -5.2883 -5.4138 -5.5346 -5.6514 -5.7646 -5.8745 -5.9816
 -6.0864
 -3.6530 -3.6688 -3.6827 -3.6952 -3.7104 -3.7298 -3.7545 -3.7839 -3.8171 -3.8524
 -3.8879 -3.9227 -3.9570 -3.9916 -4.0221 -4.1358 -4.2751 -4.4243 -4.5755 -4.7268
 -4.8767 -5.0221 -5.1608 -5.2927 -5.4185 -5.5393 -5.6557 -5.7681 -5.8771 -5.9829
 -6.0862
 -3.7440 -3.7606 -3.7729 -3.7803 -3.7865 -3.7957 -3.8092 -3.8287 -3.8538 -3.8835
 -3.9163 -3.9505 -3.9851 -4.0199 -4.0537 -4.1586 -4.2896 -4.4326 -4.5794 -4.7266
 -4.8735 -5.0182 -5.1581 -5.2916 -5.4185 -5.5398 -5.6563 -5.7684 -5.8767 -5.9816
 -6.0855
 -3.8382 -3.8570 -3.8698 -3.8777 -3.8812 -3.8825 -3.8866 -3.8954 -3.9103 -3.9311
 -3.9572 -3.9872 -4.0195 -4.0531 -4.0872 -4.1846 -4.3066 -4.4423 -4.5843 -4.7278
 -4.8711 -5.0134 -5.1530 -5.2878 -5.4164 -5.5390 -5.6562 -5.7686 -5.8769 -5.9815
 -6.0827
 -3.9357 -3.9580 -3.9695 -3.9810 -3.9852 -3.9850 -3.9835 -3.9836 -3.9885 -3.9991
 -4.0156 -4.0378 -4.0645 -4.0944 -4.1226 -4.2138 -4.3261 -4.4534 -4.5902
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value =F322W2
 -3.4932 -3.5262 -3.5512 -3.5684 -3.5786 -3.5847 -3.5898 -3.5960 -3.6031 -3.6104
 -3.6237 -3.6523 -3.7007 -3.7634 -3.8354 -4.0077 -4.1782 -4.3463 -4.5112
 -3.5036 -3.5521 -3.5912 -3.6215 -3.6436 -3.6583 -3.6677 -3.6748 -3.6789 -3.6792
 -3.6803 -3.6930 -3.7294 -3.7875 -3.8548 -4.0285 -4.1984 -4.3646 -4.5280 -4.6855
 -3.4656 -3.5235 -3.5780 -3.6398 -3.6819 -3.7121 -3.7312 -3.7426 -3.7482 -3.7472
 -3.7418 -3.7401 -3.7583 -3.8067 -3.8712 -4.0444 -4.2142 -4.3793 -4.5415 -4.6980
 -4.8482
 -3.4202 -3.4794 -3.5415 -3.6052 -3.6658 -3.7184 -3.7593 -3.7865 -3.8022 -3.8077
 -3.8049 -3.7971 -3.7968 -3.8270 -3.8846 -4.0554 -4.2256 -4.3904 -4.5517 -4.7075
 -4.8569 -5.0002
 -3.4035 -3.4562 -3.5128 -3.5725 -3.6321 -3.6886 -3.7392 -3.7819 -3.8151 -3.8376
 -3.8494 -3.8513 -3.8478 -3.8561 -3.8992 -4.0632 -4.2335 -4.3983 -4.5590 -4.7147
 -4.8637 -5.0064 -5.1435 -5.2758
 -3.4049 -3.4515 -3.5018 -3.5556 -3.6114 -3.6670 -3.7188 -3.7639 -3.8016 -3.8333
 -3.8593 -3.8795 -3.8893 -3.8963 -3.9213 -4.0696 -4.2388 -4.4035 -4.5638 -4.7195
 -4.8687 -5.0112 -5.1478 -5.2792 -5.4060 -5.5289 -5.6485 -5.7649 -5.8779 -5.9874
 -3.4219 -3.4624 -3.5063 -3.5537 -3.6037 -3.6549 -3.7057 -3.7530 -3.7943 -3.8288
 -3.8586 -3.8868 -3.9121 -3.9287 -3.9503 -4.0774 -4.2427 -4.4068 -4.5664 -4.7219
 -4.8717 -5.0147 -5.1512 -5.2821 -5.4082 -5.5299 -5.6481 -5.7629 -5.8745 -5.9831
 -6.0891
 -3.4578 -3.4901 -3.5265 -3.5665 -3.6094 -3.6546 -3.7012 -3.7474 -3.7913 -3.8305
 -3.8642 -3.8949 -3.9258 -3.9536 -3.9777 -4.0920 -4.2472 -4.4093 -4.5676 -4.7222
 -4.8724 -5.0164 -5.1535 -5.2845 -5.4102 -5.5313 -5.6484 -5.7619 -5.8722 -5.9795
 -6.0843
 -3.5143 -3.5369 -3.5650 -3.5966 -3.6314 -3.6690 -3.7091 -3.7510 -3.7935 -3.8347
 -3.8728 -3.9077 -3.9409 -3.9742 -4.0035 -4.1135 -4.2575 -4.4144 -4.5707 -4.7236
 -4.8732 -5.0182 -5.1567 -5.2886 -5.4147 -5.5357 -5.6524 -5.7652 -5.8745 -5.9806
 -6.0841
 -3.5857 -3.6030 -3.6233 -3.6462 -3.6718 -3.7004 -3.7320 -3.7668 -3.8044 -3.8437
 -3.8830 -3.9210 -3.9574 -3.9930 -4.0273 -4.1331 -4.2699 -4.4193 -4.5718 -4.7222
 -4.8699 -5.0145 -5.1541 -5.2875 -5.4145 -5.5360 -5.6527 -5.7651 -5.8737 -5.9790
 -6.0833
 -3.6658 -3.6837 -3.6991 -3.7151 -3.7327 -3.7521 -3.7745 -3.8003 -3.8303 -3.8640
 -3.9004 -3.9381 -3.9759 -4.0132 -4.0500 -4.1531 -4.2836 -4.4268 -4.5746 -4.7219
 -4.8669 -5.0097 -5.1491 -5.2837 -5.4124 -5.5350 -5.6524 -5.7651 -5.8737 -5.9786
 -6.0802
 -3.7534 -3.7711 -3.7862 -3.7991 -3.8112 -3.8238 -3.8380 -3.8547 -3.8755 -3.9010
 -3.9309 -3.9645 -4.0003 -4.0374 -4.0716 -4.1735 -4.2986 -4.4369 -4.5791
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value =F322W2
 -3.4626 -3.4881 -3.5049 -3.5126 -3.5113 -3.5090 -3.5141 -3.5306 -3.5518 -3.5758
 -3.6066 -3.6505 -3.7082 -3.7740 -3.8424 -4.0142 -4.1821 -4.3452 -4.5068
 -3.4958 -3.5294 -3.5543 -3.5700 -3.5777 -3.5806 -3.5853 -3.6007 -3.6180 -3.6350
 -3.6549 -3.6858 -3.7345 -3.7969 -3.8647 -4.0367 -4.2040 -4.3653 -4.5248 -4.6817
 -3.5034 -3.5497 -3.5860 -3.6126 -3.6302 -3.6403 -3.6482 -3.6630 -3.6792 -3.6933
 -3.7062 -3.7243 -3.7587 -3.8135 -3.8792 -4.0515 -4.2195 -4.3806 -4.5386 -4.6940
 -4.8440
 -3.4640 -3.5206 -3.5817 -3.6299 -3.6652 -3.6888 -3.7038 -3.7193 -3.7363 -3.7506
 -3.7609 -3.7705 -3.7892 -3.8299 -3.8899 -4.0609 -4.2300 -4.3917 -4.5490 -4.7033
 -4.8524 -4.9958
 -3.4154 -3.4740 -3.5361 -3.5972 -3.6531 -3.7004 -3.7362 -3.7608 -3.7821 -3.8005
 -3.8139 -3.8225 -3.8307 -3.8530 -3.9010 -4.0665 -4.2364 -4.3993 -4.5566 -4.7102
 -4.8587 -5.0015 -5.1388 -5.2714
 -3.3975 -3.4488 -3.5036 -3.5616 -3.6203 -3.6756 -3.7247 -3.7659 -3.7997 -3.8271
 -3.8487 -3.8650 -3.8766 -3.8884 -3.9181 -4.0702 -4.2399 -4.4039 -4.5616 -4.7150
 -4.8633 -5.0059 -5.1426 -5.2743 -5.4015 -5.5249 -5.6450 -5.7617 -5.8749 -5.9842
 -3.3972 -3.4430 -3.4916 -3.5442 -3.5998 -3.6561 -3.7096 -3.7568 -3.7965 -3.8303
 -3.8597 -3.8848 -3.9059 -3.9241 -3.9457 -4.0740 -4.2416 -4.4062 -4.5645 -4.7178
 -4.8662 -5.0089 -5.1455 -5.2767 -5.4031 -5.5253 -5.6440 -5.7593 -5.8713 -5.9799
 -6.0855
 -3.4083 -3.4497 -3.4933 -3.5403 -3.5910 -3.6442 -3.6977 -3.7484 -3.7937 -3.8321
 -3.8645 -3.8940 -3.9217 -3.9470 -3.9724 -4.0811 -4.2426 -4.4069 -4.5654 -4.7187
 -4.8664 -5.0103 -5.1474 -5.2786 -5.4046 -5.5261 -5.6438 -5.7579 -5.8686 -5.9762
 -6.0808
 -3.4324 -3.4674 -3.5055 -3.5476 -3.5932 -3.6416 -3.6918 -3.7419 -3.7898 -3.8334
 -3.8712 -3.9043 -3.9352 -3.9655 -3.9952 -4.0982 -4.2465 -4.4091 -4.5675 -4.7204
 -4.8687 -5.0124 -5.1504 -5.2824 -5.4087 -5.5300 -5.6472 -5.7605 -5.8704 -5.9770
 -6.0807
 -3.4707 -3.4987 -3.5300 -3.5657 -3.6054 -3.6483 -3.6935 -3.7398 -3.7866 -3.8320
 -3.8744 -3.9129 -3.9479 -3.9815 -4.0150 -4.1172 -4.2537 -4.4091 -4.5662 -4.7183
 -4.8657 -5.0092 -5.1480 -5.2811 -5.4082 -5.5299 -5.6471 -5.7599 -5.8691 -5.9749
 -6.0797
 -3.5241 -3.5457 -3.5707 -3.5991 -3.6319 -3.6680 -3.7067 -3.7476 -3.7902 -3.8337
 -3.8769 -3.9187 -3.9582 -3.9958 -4.0324 -4.1351 -4.2661 -4.4125 -4.5655 -4.7161
 -4.8623 -5.0047 -5.1434 -5.2775 -5.4059 -5.5287 -5.6465 -5.7595 -5.8686 -5.9740
 -6.0761
 -3.5934 -3.6102 -3.6293 -3.6508 -3.6760 -3.7047 -3.7360 -3.7697 -3.8059 -3.8444
