 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = BX   
 -6.8433 -6.3417 -6.0670 -5.9793 -6.0190 -6.0701 -5.8596 -5.6824 -5.4986 -5.2948
 -5.0667 -4.8267 -4.5873 -4.3387 -4.0969 -3.4942 -2.9233 -2.4906 -2.1027
 -6.6498 -6.2753 -5.9925 -5.7923 -5.6510 -5.5166 -5.3670 -5.2047 -5.0335 -4.8529
 -4.6490 -4.4180 -4.1735 -3.9346 -3.7071 -3.1757 -2.7130 -2.3376 -2.0551 -1.8381
 -6.4021 -6.0351 -5.7231 -5.4611 -5.2479 -5.0847 -4.9601 -4.8305 -4.6717 -4.4895
 -4.3016 -4.1016 -3.8834 -3.6665 -3.4625 -3.0030 -2.5991 -2.2661 -2.0134 -1.8192
 -1.6623
 -6.2041 -5.8587 -5.5510 -5.2765 -5.0332 -4.8210 -4.6397 -4.4883 -4.3527 -4.2009
 -4.0241 -3.8420 -3.6516 -3.4565 -3.2716 -2.8641 -2.5130 -2.2172 -1.9889 -1.8130
 -1.6703 -1.5485
 -6.0080 -5.6966 -5.4097 -5.1432 -4.8962 -4.6695 -4.4638 -4.2795 -4.1146 -3.9642
 -3.8135 -3.6508 -3.4805 -3.3035 -3.1330 -2.7629 -2.4513 -2.1861 -1.9770 -1.8156
 -1.6847 -1.5725 -1.4727 -1.3821
 -5.8029 -5.5304 -5.2738 -5.0278 -4.7915 -4.5670 -4.3559 -4.1599 -3.9802 -3.8146
 -3.6599 -3.5104 -3.3603 -3.2035 -3.0461 -2.6958 -2.4110 -2.1687 -1.9735 -1.8229
 -1.7020 -1.5987 -1.5064 -1.4219 -1.3398 -1.2620 -1.1918 -1.1316 -1.0833 -1.0481
 -5.5981 -5.3581 -5.1338 -4.9148 -4.6985 -4.4864 -4.2809 -4.0847 -3.9001 -3.7286
 -3.5687 -3.4183 -3.2744 -3.1325 -2.9912 -2.6606 -2.3885 -2.1617 -1.9754 -1.8316
 -1.7185 -1.6235 -1.5390 -1.4615 -1.3890 -1.3207 -1.2569 -1.1981 -1.1445 -1.0993
 -1.0735
 -5.3968 -5.1875 -4.9904 -4.7977 -4.6059 -4.4131 -4.2203 -4.0314 -3.8497 -3.6767
 -3.5148 -3.3634 -3.2206 -3.0837 -2.9516 -2.6443 -2.3801 -2.1625 -1.9818 -1.8405
 -1.7321 -1.6440 -1.5675 -1.4976 -1.4321 -1.3699 -1.3098 -1.2535 -1.2032 -1.1606
 -1.1266
 -5.2054 -5.0220 -4.8453 -4.6748 -4.5058 -4.3341 -4.1595 -3.9836 -3.8099 -3.6410
 -3.4797 -3.3276 -3.1849 -3.0500 -2.9215 -2.6302 -2.3770 -2.1652 -1.9893 -1.8485
 -1.7412 -1.6579 -1.5885 -1.5267 -1.4691 -1.4141 -1.3616 -1.3126 -1.2672 -1.2251
 -1.1859
 -5.0238 -4.8616 -4.7073 -4.5530 -4.4017 -4.2502 -4.0953 -3.9366 -3.7759 -3.6158
 -3.4591 -3.3085 -3.1659 -3.0317 -2.9050 -2.6215 -2.3782 -2.1711 -1.9991 -1.8592
 -1.7507 -1.6683 -1.6034 -1.5487 -1.4994 -1.4526 -1.4077 -1.3643 -1.3257 -1.2860
 -1.2477
 -4.8521 -4.7063 -4.5764 -4.4302 -4.2922 -4.1556 -4.0185 -3.8780 -3.7338 -3.5870
 -3.4396 -3.2944 -3.1541 -3.0205 -2.8945 -2.6144 -2.3779 -2.1759 -2.0071 -1.8687
 -1.7596 -1.6762 -1.6127 -1.5626 -1.5202 -1.4817 -1.4453 -1.4098 -1.3753 -1.3421
 -1.3112
 -4.6902 -4.5561 -4.4526 -4.3052 -4.1761 -4.0504 -3.9266 -3.8021 -3.6748 -3.5442
 -3.4107 -3.2758 -3.1419 -3.0117 -2.8900 -2.6089 -2.3761 -2.1796 -2.0133
 [Fe/H] = -2.00 [alpha/Fe] = 0.00 BC value = BX   
 -6.9201 -6.4878 -6.1854 -5.9897 -5.8700 -5.7761 -5.6068 -5.4490 -5.2722 -5.0696
 -4.8400 -4.5946 -4.3490 -4.1123 -3.8898 -3.3700 -2.8892 -2.4883 -2.1328
