 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  Hp  
 -2.5768 -2.5175 -2.4579 -2.4012 -2.3427 -2.1977 -2.0752 -1.9834 -1.9190 -1.8720
 -1.8340 -1.8011 -1.7716 -1.7444 -1.7187 -1.6946 -1.6728 -1.6537 -1.6412 -1.6386
 -1.6461
 -3.2309 -3.1678 -3.0975 -3.0208 -2.9476 -2.8750 -2.8014 -2.7287 -2.6596 -2.5954
 -2.5355 -2.4784 -2.4224 -2.3673 -2.3138 -2.1816 -2.0671 -1.9776 -1.9134 -1.8720
 -1.8372 -1.8138 -1.7900 -1.7679 -1.7465 -1.7256 -1.7059 -1.6902 -1.6788 -1.6713
 -1.6674
 -3.1142 -3.0325 -2.9661 -2.9134 -2.8550 -2.7975 -2.7381 -2.6764 -2.6140 -2.5533
 -2.4959 -2.4415 -2.3891 -2.3379 -2.2879 -2.1653 -2.0578 -1.9719 -1.9092 -1.8671
 -1.8391 -1.8188 -1.8018 -1.7858 -1.7700 -1.7539 -1.7380 -1.7225 -1.7085 -1.6976
 -1.6933
 -2.9684 -2.9030 -2.8485 -2.8039 -2.7568 -2.7103 -2.6638 -2.6146 -2.5627 -2.5094
 -2.4564 -2.4056 -2.3570 -2.3099 -2.2640 -2.1510 -2.0497 -1.9666 -1.9044 -1.8612
 -1.8337 -1.8169 -1.8056 -1.7965 -1.7873 -1.7774 -1.7668 -1.7557 -1.7446 -1.7348
 -1.7260
 -2.8199 -2.7791 -2.7382 -2.6972 -2.6620 -2.6290 -2.5949 -2.5423 -2.5017 -2.4582
 -2.4128 -2.3672 -2.3228 -2.2800 -2.2383 -2.1364 -2.0407 -1.9608 -1.8993 -1.8555
 -1.8270 -1.8105 -1.8024 -1.7987 -1.7963 -1.7933 -1.7893 -1.7840 -1.7777 -1.7713
 -1.7658
 -2.6687 -2.6610 -2.6353 -2.5934 -2.5707 -2.5537 -2.5085 -2.4795 -2.4476 -2.3979
 -2.3617 -2.3238 -2.2852 -2.2470 -2.2108 -2.1215 -2.0308 -1.9545 -1.8939
 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  Hp  
 -4.7592 -4.7021 -4.6803 -4.5013 -4.1612 -3.8616 -3.7466 -3.7348 -3.6831 -3.5473
 -3.3816 -3.2081 -3.0549 -2.9255 -2.7975 -2.4980
 -4.4983 -4.3254 -4.2012 -4.0330 -3.8182 -3.6337 -3.5303 -3.4729 -3.4041 -3.3031
 -3.1855 -3.0559 -2.9250 -2.8016 -2.6832 -2.4179 -2.1989 -2.0302 -1.8960
 -4.2998 -4.0499 -3.8550 -3.6879 -3.5467 -3.4323 -3.3395 -3.2597 -3.1840 -3.1059
 -3.0204 -2.9231 -2.8131 -2.6989 -2.5898 -2.3525 -2.1614 -2.0131 -1.8991 -1.8138
 -1.7537
 -4.1637 -3.8756 -3.6417 -3.4660 -3.3467 -3.2574 -3.1742 -3.0952 -3.0228 -2.9557
 -2.8863 -2.8097 -2.7192 -2.6174 -2.5173 -2.3018 -2.1323 -2.0011 -1.9023 -1.8268
 -1.7666 -1.7171 -1.6752
 -4.0900 -3.8025 -3.5613 -3.3673 -3.2182 -3.1090 -3.0344 -2.9794 -2.9205 -2.8525
 -2.7832 -2.7157 -2.6433 -2.5571 -2.4657 -2.2658 -2.1116 -1.9942 -1.9057 -1.8372
 -1.7820 -1.7357 -1.6958 -1.6605 -1.6302
 -4.0281 -3.7563 -3.5240 -3.3310 -3.1742 -3.0499 -2.9540 -2.8805 -2.8237 -2.7730
