 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  R   
 -1.7349  0.0846  1.5702  1.2016 -1.0672 -4.5729 -3.7703 -2.2413 -1.2908 -1.1492
 -0.9974 -0.9428 -1.3064 -1.7805 -1.9668 -1.6605
 -2.6197 -1.8822 -1.1753 -1.2362 -2.0744 -3.6306 -3.2867 -2.5892 -2.0436 -1.8028
 -1.6118 -1.5228 -1.6398 -1.8186 -1.8749 -1.6231 -1.4657 -1.3758 -1.3954
 -2.9771 -2.8041 -2.5542 -2.4483 -2.4987 -2.8587 -2.7593 -2.5527 -2.3161 -2.1051
 -1.9444 -1.8512 -1.8255 -1.8222 -1.7916 -1.5925 -1.4662 -1.3867 -1.3632 -1.3480
 -1.2976
 -2.8071 -2.6811 -2.5665 -2.4347 -2.3399 -2.2572 -2.1881 -2.1317 -2.1084 -2.0559
 -1.9952 -1.9280 -1.8637 -1.7912 -1.7169 -1.5687 -1.4617 -1.3948 -1.3548 -1.3330
 -1.3215 -1.3165 -1.3157
 -2.5428 -2.4601 -2.3799 -2.2906 -2.2119 -2.1381 -2.0717 -2.0135 -1.9630 -1.9172
 -1.8709 -1.8205 -1.7695 -1.7166 -1.6617 -1.5426 -1.4603 -1.4074 -1.3739 -1.3534
 -1.3418 -1.3362 -1.3349 -1.3381 -1.3464
 -2.2944 -2.2462 -2.1953 -2.1398 -2.0810 -2.0218 -1.9648 -1.9118 -1.8635 -1.8195
 -1.7790 -1.7396 -1.6988 -1.6592 -1.6167 -1.5207 -1.4550 -1.4135 -1.3871 -1.3700
 -1.3599 -1.3549 -1.3538 -1.3560 -1.3613 -1.3707
 -2.0619 -2.0394 -2.0127 -1.9823 -1.9472 -1.9083 -1.8674 -1.8266 -1.7870 -1.7492
 -1.7135 -1.6796 -1.6468 -1.6154 -1.5819 -1.5030 -1.4458 -1.4131 -1.3944 -1.3828
 -1.3758 -1.3726 -1.3724 -1.3747 -1.3793 -1.3865 -1.3970 -1.4146 -1.4414 -1.4726
 -1.8454 -1.8397 -1.8321 -1.8228 -1.8098 -1.7921 -1.7700 -1.7452 -1.7184 -1.6906
 -1.6624 -1.6343 -1.6068 -1.5800 -1.5535 -1.4877 -1.4361 -1.4065 -1.3937 -1.3887
 -1.3870 -1.3874 -1.3896 -1.3934 -1.3986 -1.4053 -1.4132 -1.4256 -1.4459 -1.4754
 -1.5101
 -1.6544 -1.6584 -1.6634 -1.6692 -1.6731 -1.6737 -1.6701 -1.6620 -1.6497 -1.6341
 -1.6156 -1.5952 -1.5736 -1.5515 -1.5290 -1.4736 -1.4265 -1.3972 -1.3859 -1.3860
 -1.3907 -1.3966 -1.4030 -1.4100 -1.4173 -1.4252 -1.4343 -1.4442 -1.4583 -1.4802
 -1.5124
 -1.4863 -1.4992 -1.5137 -1.5296 -1.5451 -1.5590 -1.5698 -1.5766 -1.5785 -1.5753
 -1.5677 -1.5561 -1.5415 -1.5248 -1.5065 -1.4588 -1.4163 -1.3871 -1.3749 -1.3763
 -1.3858 -1.3982 -1.4106 -1.4224 -1.4335 -1.4442 -1.4549 -1.4662 -1.4791 -1.4963
 -1.5181
 -1.3427 -1.3628 -1.3837 -1.4053 -1.4279 -1.4501 -1.4708 -1.4888 -1.5031 -1.5119
 -1.5151 -1.5134 -1.5073 -1.4975 -1.4845 -1.4450 -1.4061 -1.3776 -1.3638 -1.3636
 -1.3742 -1.3910 -1.4096 -1.4275 -1.4441 -1.4591 -1.4733 -1.4869 -1.5007 -1.5158
 -1.5320
 -1.2291 -1.2492 -1.2721 -1.2974 -1.3242 -1.3509 -1.3776 -1.4028 -1.4256 -1.4439
 -1.4571 -1.4652 -1.4684 -1.4665 -1.4599 -1.4307 -1.3962 -1.3685 -1.3535 -1.3516
 -1.3608 -1.3783 -1.4007 -1.4244 -1.4472 -1.4680 -1.4871 -1.5047 -1.5213 -1.5378
 -1.5552
 -1.1455 -1.1585 -1.1789 -1.2059 -1.2340 -1.2614 -1.2926 -1.3220 -1.3497 -1.3738
 -1.3942 -1.4110 -1.4247 -1.4318 -1.4327 -1.4158 -1.3866 -1.3598 -1.3440
 [Fe/H] = -3.00 [alpha/Fe] = 0.40 BC value =  R   
 -2.9771 -2.7579 -2.6168 -2.5610 -2.5834 -2.8589 -2.6705 -2.4968 -2.3654 -2.2625
 -2.1204 -1.9785 -1.9240 -1.9171 -1.8760 -1.6351
 -2.9389 -2.7193 -2.5611 -2.4694 -2.4406 -2.5597 -2.4586 -2.3573 -2.2681 -2.1871
 -2.0896 -1.9909 -1.9232 -1.8733 -1.8101 -1.6043 -1.4609 -1.3722 -1.3198
 -2.8840 -2.6711 -2.5053 -2.3897 -2.3232 -2.3314 -2.2817 -2.2271 -2.1684 -2.1060
 -2.0404 -1.9723 -1.9018 -1.8294 -1.7554 -1.5792 -1.4580 -1.3819 -1.3363 -1.3107
 -1.2976
 -2.8124 -2.6133 -2.4494 -2.3219 -2.2310 -2.1740 -2.1398 -2.1064 -2.0662 -2.0191
 -1.9728 -1.9227 -1.8599 -1.7854 -1.7119 -1.5598 -1.4562 -1.3913 -1.3519 -1.3287
 -1.3162 -1.3111 -1.3110
 -2.7241 -2.5459 -2.3934 -2.2660 -2.1641 -2.0875 -2.0329 -1.9951 -1.9616 -1.9265
 -1.8867 -1.8422 -1.7975 -1.7413 -1.6796 -1.5461 -1.4555 -1.4004 -1.3666 -1.3460
 -1.3343 -1.3289 -1.3285 -1.3324 -1.3414
 -2.6191 -2.4689 -2.3373 -2.2220 -2.1225 -2.0400 -1.9752 -1.9255 -1.8861 -1.8521
 -1.8169 -1.7774 -1.7396 -1.6987 -1.6503 -1.5349 -1.4534 -1.4061 -1.3787 -1.3616
 -1.3516 -1.3468 -1.3462 -1.3491 -1.3553 -1.3652
 -2.4939 -2.3721 -2.2654 -2.1693 -2.0815 -2.0025 -1.9347 -1.8795 -1.8348 -1.7966
 -1.7609 -1.7253 -1.6886 -1.6567 -1.6184 -1.5226 -1.4485 -1.4064 -1.3854 -1.3736
 -1.3667 -1.3638 -1.3641 -1.3671 -1.3725 -1.3806 -1.3919 -1.4103 -1.4377 -1.4690
 -2.3558 -2.2582 -2.1746 -2.0997 -2.0289 -1.9611 -1.8973 -1.8411 -1.7940 -1.7543
 -1.7190 -1.6850 -1.6506 -1.6194 -1.5875 -1.5066 -1.4407 -1.4011 -1.3846 -1.3790
 -1.3774 -1.3780 -1.3808 -1.3853 -1.3913 -1.3989 -1.4089 -1.4217 -1.4419 -1.4719
 -1.5067
 -2.1792 -2.1256 -2.0703 -2.0135 -1.9601 -1.9074 -1.8540 -1.8023 -1.7557 -1.7158
 -1.6813 -1.6498 -1.6190 -1.5888 -1.5605 -1.4890 -1.4306 -1.3923 -1.3758 -1.3763
 -1.3775 -1.3871 -1.3940 -1.4016 -1.4098 -1.4184 -1.4283 -1.4423 -1.4607 -1.4831
 -1.5090
 -2.0669 -2.0016 -1.9520 -1.9166 -1.8772 -1.8387 -1.7985 -1.7566 -1.7148 -1.6764
 -1.6431 -1.6139 -1.5868 -1.5604 -1.5353 -1.4712 -1.4180 -1.3822 -1.3663 -1.3668
 -1.3763 -1.3888 -1.4016 -1.4139 -1.4258 -1.4372 -1.4487 -1.4608 -1.4745 -1.4913
 -1.5147
 -1.9285 -1.8808 -1.8438 -1.8165 -1.7877 -1.7596 -1.7315 -1.7010 -1.6684 -1.6353
 -1.6042 -1.5770 -1.5531 -1.5309 -1.5095 -1.4547 -1.4059 -1.3718 -1.3551 -1.3543
 -1.3651 -1.3821 -1.4009 -1.4193 -1.4364 -1.4521 -1.4670 -1.4814 -1.4958 -1.5115
 -1.5285
 -1.7858 -1.7632 -1.7405 -1.7178 -1.7005 -1.6852 -1.6687 -1.6356 -1.6131 -1.5884
 -1.5628 -1.5386 -1.5172 -1.4984 -1.4810 -1.4377 -1.3936 -1.3615 -1.3445 -1.3423
 -1.3518 -1.3698 -1.3926 -1.4166 -1.4398 -1.4612 -1.4809 -1.4992 -1.5164 -1.5334
 -1.5513
 -1.6387 -1.6487 -1.6420 -1.6204 -1.6157 -1.6156 -1.5909 -1.5792 -1.5647 -1.5345
 -1.5166 -1.4978 -1.4798 -1.4637 -1.4498 -1.4202 -1.3811 -1.3513 -1.3345
 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  R   
 -3.4530 -3.4290 -3.4375 -3.2936 -2.9928 -2.7182 -2.6086 -2.5970 -2.5564 -2.4466
 -2.3097 -2.1628 -2.0343 -1.9315 -1.8322 -1.6173
 -3.2590 -3.1242 -3.0314 -2.8928 -2.7065 -2.5427 -2.4512 -2.4033 -2.3484 -2.2681
 -2.1744 -2.0703 -1.9661 -1.8705 -1.7804 -1.5910 -1.4546 -1.3668 -1.3055
 -3.1118 -2.9031 -2.7402 -2.5992 -2.4799 -2.3838 -2.3072 -2.2431 -2.1840 -2.1245
 -2.0605 -1.9880 -1.9057 -1.8201 -1.7391 -1.5712 -1.4524 -1.3762 -1.3275 -1.3002
 -1.2915
 -3.0114 -2.7657 -2.5639 -2.4128 -2.3130 -2.2415 -2.1766 -2.1164 -2.0632 -2.0158
 -1.9680 -1.9159 -1.8531 -1.7803 -1.7083 -1.5579 -1.4524 -1.3854 -1.3454 -1.3221
 -1.3094 -1.3046 -1.3059
 -2.9578 -2.7120 -2.5025 -2.3336 -2.2058 -2.1158 -2.0594 -2.0232 -1.9860 -1.9420
 -1.8969 -1.8540 -1.8083 -1.7511 -1.6880 -1.5511 -1.4546 -1.3944 -1.3593 -1.3386
 -1.3269 -1.3218 -1.3217 -1.3254 -1.3344
 -2.9091 -2.6778 -2.4767 -2.3087 -2.1735 -2.0692 -1.9932 -1.9399 -1.9039 -1.8758
 -1.8426 -1.8032 -1.7651 -1.7224 -1.6706 -1.5466 -1.4564 -1.4009 -1.3705 -1.3532
 -1.3434 -1.3389 -1.3387 -1.3422 -1.3492 -1.3599
 -2.8421 -2.6341 -2.4509 -2.2940 -2.1623 -2.0539 -1.9680 -1.9027 -1.8536 -1.8154
 -1.7835 -1.7523 -1.7192 -1.6867 -1.6472 -1.5402 -1.4557 -1.4030 -1.3769 -1.3642
 -1.3577 -1.3553 -1.3560 -1.3597 -1.3659 -1.3747 -1.3868 -1.4059 -1.4337 -1.4651
 -2.7506 -2.5687 -2.4081 -2.2689 -2.1485 -2.0448 -1.9565 -1.8837 -1.8261 -1.7805
 -1.7422 -1.7077 -1.6747 -1.6455 -1.6148 -1.5274 -1.4511 -1.4005 -1.3767 -1.3692
 -1.3677 -1.3689 -1.3722 -1.3773 -1.3841 -1.3924 -1.4033 -1.4169 -1.4377 -1.4681
 -1.5030
 -2.6406 -2.4832 -2.3448 -2.2250 -2.1204 -2.0275 -1.9441 -1.8702 -1.8071 -1.7557
 -1.7133 -1.6764 -1.6423 -1.6103 -1.5822 -1.5071 -1.4413 -1.3937 -1.3707 -1.3666
 -1.3709 -1.3775 -1.3850 -1.3931 -1.4020 -1.4114 -1.4222 -1.4348 -1.4506 -1.4725
 -1.5055
 -2.5165 -2.3827 -2.2644 -2.1622 -2.0734 -1.9938 -1.9202 -1.8517 -1.7890 -1.7341
 -1.6879 -1.6493 -1.6150 -1.5831 -1.5546 -1.4850 -1.4265 -1.3835 -1.3608 -1.3579
 -1.3665 -1.3792 -1.3923 -1.4052 -1.4177 -1.4298 -1.4421 -1.4551 -1.4695 -1.4871
 -1.5110
 -2.3889 -2.2774 -2.1766 -2.0887 -2.0133 -1.9462 -1.8839 -1.8241 -1.7667 -1.7129
 -1.6649 -1.6239 -1.5892 -1.5586 -1.5308 -1.4661 -1.4114 -1.3722 -1.3500 -1.3459
 -1.3557 -1.3726 -1.3918 -1.4105 -1.4281 -1.4445 -1.4602 -1.4753 -1.4905 -1.5069
 -1.5245
 -2.2603 -2.1694 -2.0849 -2.0094 -1.9441 -1.8870 -1.8347 -1.7845 -1.7350 -1.6866
 -1.6404 -1.5986 -1.5627 -1.5324 -1.5061 -1.4483 -1.3971 -1.3602 -1.3392 -1.3339
 -1.3426 -1.3607 -1.3837 -1.4080 -1.4316 -1.4535 -1.4739 -1.4928 -1.5108 -1.5285
 -1.5471
 -2.1308 -2.0587 -1.9926 -1.9284 -1.8716 -1.8218 -1.7769 -1.7348 -1.6934 -1.6522
 -1.6113 -1.5720 -1.5360 -1.5051 -1.4805 -1.4316 -1.3836 -1.3475 -1.3284
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value =  R   
 -3.8739 -3.7088 -3.5678 -3.4609 -3.3256 -3.1697 -2.9857 -2.7906 -2.5970 -2.4256
 -2.2736 -2.1384 -2.0180 -1.9110 -1.7891 -1.5935
 -3.6861 -3.5200 -3.3533 -3.1874 -3.0275 -2.8713 -2.7149 -2.5573 -2.4074 -2.2750
 -2.1564 -2.0467 -1.9432 -1.8476 -1.7525 -1.5751 -1.4457 -1.3590 -1.3068
 -3.5225 -3.3341 -3.1480 -2.9679 -2.7996 -2.6469 -2.5089 -2.3782 -2.2593 -2.1551
 -2.0619 -1.9739 -1.8868 -1.8022 -1.7240 -1.5623 -1.4458 -1.3683 -1.3217 -1.2951
 -1.2813
 -3.3831 -3.1511 -2.9519 -2.8024 -2.6418 -2.4964 -2.3677 -2.2533 -2.1527 -2.0659
 -1.9901 -1.9200 -1.8488 -1.7748 -1.7036 -1.5551 -1.4484 -1.3777 -1.3355 -1.3116
 -1.2986 -1.2943 -1.2968
 -3.2905 -3.0236 -2.8048 -2.6283 -2.4844 -2.3641 -2.2597 -2.1649 -2.0763 -1.9979
 -1.9310 -1.8727 -1.8166 -1.7552 -1.6913 -1.5535 -1.4535 -1.3872 -1.3482 -1.3268
 -1.3153 -1.3106 -1.3111 -1.3157 -1.3257
 -3.2561 -2.9840 -2.7370 -2.5347 -2.3743 -2.2474 -2.1470 -2.0671 -2.0028 -1.9467
 -1.8873 -1.8323 -1.7833 -1.7351 -1.6805 -1.5529 -1.4582 -1.3951 -1.3587 -1.3399
 -1.3305 -1.3267 -1.3272 -1.3315 -1.3395 -1.3512
 -3.2355 -2.9639 -2.7137 -2.4968 -2.3167 -2.1720 -2.0590 -1.9738 -1.9117 -1.8686
 -1.8332 -1.7937 -1.7517 -1.7100 -1.6656 -1.5502 -1.4603 -1.3997 -1.3654 -1.3498
