 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = G_BP 
 -5.7029 -5.2796 -4.9230 -4.6252 -4.3800 -4.1775 -4.0087 -3.8664 -3.7457 -3.6430
 -3.5544 -3.4763 -3.4047 -3.3377 -3.2756 -3.1214 -2.9808 -2.8703 -2.7899 -2.7343
 -2.6974 -2.6717 -2.6514 -2.6335 -2.6166 -2.6003 -2.5846 -2.5698 -2.5566 -2.5466
 -2.5426
 -5.5854 -5.2136 -4.8879 -4.6098 -4.3766 -4.1813 -4.0160 -3.8739 -3.7504 -3.6428
 -3.5485 -3.4656 -3.3910 -3.3222 -3.2578 -3.1093 -2.9758 -2.8669 -2.7859 -2.7294
 -2.6928 -2.6698 -2.6547 -2.6429 -2.6323 -2.6217 -2.6112 -2.6006 -2.5905 -2.5816
 -2.5736
 -5.4616 -5.1390 -4.8467 -4.5897 -4.3690 -4.1809 -4.0196 -3.8793 -3.7554 -3.6452
 -3.5471 -3.4598 -3.3818 -3.3112 -3.2459 -3.0986 -2.9696 -2.8634 -2.7822 -2.7244
 -2.6866 -2.6640 -2.6515 -2.6448 -2.6403 -2.6362 -2.6319 -2.6269 -2.6213 -2.6159
 -2.6113
 -5.3340 -5.0568 -4.8027 -4.5705 -4.3619 -4.1788 -4.0210 -3.8822 -3.7586 -3.6475
 -3.5470 -3.4564 -3.3750 -3.3020 -3.2399 -3.0893 -2.9622 -2.8598 -2.7788
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value = G_BP 
 -8.1058 -7.6520 -7.2257 -6.8206 -6.4376 -6.0447 -5.6067 -5.1307 -4.7287 -4.4125
 -4.1658 -3.9693 -3.8071 -3.6685 -3.5466 -3.2941 -3.0927 -2.9289 -2.7987
 -7.7460 -7.2470 -6.7834 -6.3576 -5.9656 -5.5973 -5.2226 -4.8388 -4.5125 -4.2484
 -4.0361 -3.8617 -3.7135 -3.5841 -3.4692 -3.2326 -3.0492 -2.9039 -2.7881 -2.6968
 -7.4589 -6.9512 -6.4734 -6.0358 -5.6434 -5.2929 -4.9679 -4.6477 -4.3679 -4.1368
 -3.9479 -3.7906 -3.6543 -3.5322 -3.4222 -3.1954 -3.0227 -2.8888 -2.7834 -2.7002
 -2.6339
 -7.0757 -6.5686 -6.1598 -5.7724 -5.4081 -5.0758 -4.7799 -4.5066 -4.2614 -4.0539
 -3.8819 -3.7383 -3.6136 -3.4999 -3.3946 -3.1743 -3.0079 -2.8809 -2.7828 -2.7060
 -2.6449 -2.5943
 -6.7419 -6.2179 -5.7820 -5.4180 -5.1106 -4.8471 -4.6128 -4.3871 -4.1758 -3.9891
 -3.8299 -3.6958 -3.5809 -3.4769 -3.3777 -3.1631 -3.0002 -2.8776 -2.7845 -2.7129
 -2.6565 -2.6101 -2.5703 -2.5357
 -6.6206 -6.0531 -5.5754 -5.1821 -4.8613 -4.5989 -4.3851 -4.2108 -4.0613 -3.9230
 -3.7880 -3.6633 -3.5532 -3.4560 -3.3650 -3.1573 -2.9964 -2.8762 -2.7865 -2.7191
 -2.6674 -2.6254 -2.5894 -2.5577 -2.5294 -2.5045 -2.4834 -2.4680 -2.4598 -2.4600
 -6.6062 -6.0109 -5.5035 -5.0867 -4.7495 -4.4778 -4.2583 -4.0792 -3.9319 -3.8124
 -3.7140 -3.6227 -3.5298 -3.4384 -3.3522 -3.1539 -2.9945 -2.8753 -2.7877 -2.7233
 -2.6758 -2.6386 -2.6072 -2.5794 -2.5540 -2.5311 -2.5110 -2.4944 -2.4828 -2.4798
 -2.4861
 -6.6236 -6.0240 -5.5027 -5.0681 -4.7158 -4.4333 -4.2063 -4.0224 -3.8725 -3.7487
 -3.6454 -3.5590 -3.4842 -3.4115 -3.3370 -3.1507 -2.9930 -2.8741 -2.7871 -2.7247
 -2.6779 -2.6479 -2.6217 -2.5986 -2.5775 -2.5578 -2.5400 -2.5233 -2.5104 -2.5042
 -2.5068
 -6.6096 -6.0324 -5.5158 -5.0794 -4.7196 -4.4289 -4.1949 -4.0050 -3.8498 -3.7217
 -3.6143 -3.5226 -3.4427 -3.3720 -3.3069 -3.1427 -2.9899 -2.8710 -2.7840 -2.7223
 -2.6800 -2.6514 -2.6306 -2.6132 -2.5973 -2.5822 -2.5680 -2.5548 -2.5433 -2.5348
 -2.5317
 -6.5521 -6.0146 -5.5287 -5.1027 -4.7452 -4.4513 -4.2124 -4.0167 -3.8554 -3.7209
 -3.6075 -3.5106 -3.4261 -3.3508 -3.2827 -3.1305 -2.9873 -2.8691 -2.7812 -2.7188
 -2.6768 -2.6502 -2.6335 -2.6219 -2.6120 -2.6025 -2.5934 -2.5843 -2.5757 -2.5685
 -2.5621
 -6.4541 -5.9690 -5.5237 -5.1199 -4.7737 -4.4827 -4.2415 -4.0422 -3.8759 -3.7356
 -3.6157 -3.5124 -3.4225 -3.3430 -3.2713 -3.1173 -2.9825 -2.8669 -2.7783 -2.7146
 -2.6716 -2.6452 -2.6308 -2.6236 -2.6195 -2.6163 -2.6131 -2.6094 -2.6053 -2.6015
 -2.5985
 -6.3178 -5.8964 -5.5002 -5.1309 -4.8022 -4.5185 -4.2780 -4.0757 -3.9049 -3.7594
 -3.6338 -3.5244 -3.4285 -3.3438 -3.2727 -3.1031 -2.9755 -2.8644 -2.7753
 [Fe/H] = -1.00 [alpha/Fe] = 0.40 BC value = G_BP 
 -8.5978 -8.2488 -7.9308 -7.6384 -7.3864 -7.0632 -6.5455 -5.8174 -5.1411 -4.6151
 -4.2384 -3.9724 -3.7789 -3.6286 -3.5041 -3.2580 -3.0688 -2.9147 -2.7881
 -8.2611 -7.8738 -7.5198 -7.1977 -6.8929 -6.5616 -6.1075 -5.5050 -4.9468 -4.4929
 -4.1496 -3.8977 -3.7108 -3.5658 -3.4460 -3.2098 -3.0307 -2.8900 -2.7771 -2.6860
 -8.0248 -7.6068 -7.2166 -6.8581 -6.5262 -6.1966 -5.8041 -5.3036 -4.8266 -4.4234
 -4.1042 -3.8605 -3.6757 -3.5318 -3.4137 -3.1828 -3.0099 -2.8767 -2.7719 -2.6878
 -2.6200
 -7.8140 -7.3904 -6.9839 -6.6006 -6.2429 -5.9058 -5.5628 -5.1491 -4.7369 -4.3756
 -4.0784 -3.8431 -3.6596 -3.5154 -3.3975 -3.1690 -2.9994 -2.8704 -2.7708 -2.6918
 -2.6287 -2.5773
 -7.4603 -7.0753 -6.7178 -6.3674 -6.0170 -5.6775 -5.3516 -5.0113 -4.6572 -4.3340
 -4.0588 -3.8336 -3.6531 -3.5089 -3.3908 -3.1632 -2.9949 -2.8683 -2.7720 -2.6970
 -2.6379 -2.5902 -2.5504 -2.5165
 -7.1572 -6.7004 -6.3173 -5.9908 -5.6992 -5.4232 -5.1450 -4.8602 -4.5674 -4.2865
 -4.0368 -3.8248 -3.6497 -3.5069 -3.3890 -3.1618 -2.9940 -2.8683 -2.7740 -2.7020
 -2.6464 -2.6026 -2.5665 -2.5356 -2.5085 -2.4852 -2.4662 -2.4523 -2.4455 -2.4459
 -7.0530 -6.5267 -6.0749 -5.6957 -5.3769 -5.1001 -4.8507 -4.6204 -4.3992 -4.1886
 -3.9894 -3.8061 -3.6438 -3.5058 -3.3889 -3.1629 -2.9948 -2.8691 -2.7758 -2.7059
 -2.6533 -2.6132 -2.5813 -2.5542 -2.5303 -2.5091 -2.4910 -2.4765 -2.4668 -2.4649
 -2.4706
 -7.0837 -6.5081 -6.0003 -5.5675 -5.2056 -4.9038 -4.6466 -4.4204 -4.2152 -4.0304
 -3.8716 -3.7361 -3.6128 -3.4961 -3.3874 -3.1648 -2.9965 -2.8701 -2.7767 -2.7079
 -2.6576 -2.6208 -2.5932 -2.5707 -2.5510 -2.5331 -2.5174 -2.5039 -2.4941 -2.4882
 -2.4903
 -7.1650 -6.5661 -6.0226 -5.5474 -5.1456 -4.8130 -4.5380 -4.3067 -4.1077 -3.9333
 -3.7808 -3.6508 -3.5430 -3.4513 -3.3659 -3.1642 -2.9968 -2.8695 -2.7755 -2.7072
 -2.6584 -2.6242 -2.6006 -2.5831 -2.5684 -2.5551 -2.5430 -2.5320 -2.5229 -2.5168
 -2.5154
 -7.2358 -6.6470 -6.0921 -5.5943 -5.1641 -4.8034 -4.5066 -4.2626 -4.0594 -3.8874
 -3.7398 -3.6125 -3.5033 -3.4104 -3.3308 -3.1582 -2.9987 -2.8704 -2.7750 -2.7058
 -2.6572 -2.6245 -2.6038 -2.5907 -2.5814 -2.5734 -2.5661 -2.5591 -2.5530 -2.5483
 -2.5460
 -7.2510 -6.6869 -6.1543 -5.6568 -5.2160 -4.8384 -4.5239 -4.2652 -4.0522 -3.8753
 -3.7259 -3.5984 -3.4885 -3.3934 -3.3104 -3.1427 -2.9975 -2.8712 -2.7742 -2.7035
 -2.6542 -2.6217 -2.6025 -2.5927 -2.5882 -2.5859 -2.5842 -2.5824 -2.5805 -2.5791
 -2.5785
 -7.2088 -6.6904 -6.1846 -5.7103 -5.2753 -4.8947 -4.5711 -4.3004 -4.0766 -3.8911
 -3.7355 -3.6034 -3.4899 -3.3915 -3.3047 -3.1177 -2.9932 -2.8719 -2.7731
 [Fe/H] = -0.75 [alpha/Fe] = 0.40 BC value = G_BP 
 -8.7143 -8.4051 -8.1323 -7.8954 -7.6467 -7.3184 -6.8514 -6.1979 -5.4048 -4.7648
 -4.3129 -4.0020 -3.7832 -3.6208 -3.4911 -3.2435 -3.0559 -2.9057 -2.7821
