 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  I   
 -2.1697 -1.2750 -0.1114  0.2841 -0.5279 -2.3983 -1.6302 -0.3871  0.3421  0.3630
  0.4135  0.3726 -0.0482 -0.5530 -0.8378 -0.7325
 -2.0234 -1.6325 -1.0505 -0.7886 -1.0137 -1.8169 -1.4655 -0.9026 -0.5018 -0.3702
 -0.2746 -0.2664 -0.4385 -0.6587 -0.7826 -0.7078 -0.6668 -0.6520 -0.7152
 -1.6883 -1.5817 -1.3744 -1.2226 -1.1640 -1.3324 -1.2284 -1.0735 -0.9174 -0.7875
 -0.7017 -0.6713 -0.6954 -0.7376 -0.7569 -0.7033 -0.6884 -0.6802 -0.7053 -0.7343
 -0.7408
 -1.1644 -1.1226 -1.0831 -1.0179 -0.9790 -0.9448 -0.9189 -0.8999 -0.9047 -0.8888
 -0.8676 -0.8422 -0.8189 -0.7897 -0.7607 -0.7190 -0.6957 -0.6951 -0.7095 -0.7335
 -0.7630 -0.7962 -0.8326
 -0.9640 -0.9552 -0.9440 -0.9194 -0.8990 -0.8773 -0.8571 -0.8398 -0.8264 -0.8157
 -0.8045 -0.7908 -0.7769 -0.7611 -0.7432 -0.7149 -0.7085 -0.7155 -0.7316 -0.7543
 -0.7819 -0.8132 -0.8476 -0.8854 -0.9273
 -0.7798 -0.7964 -0.8081 -0.8134 -0.8121 -0.8055 -0.7955 -0.7845 -0.7739 -0.7647
 -0.7569 -0.7499 -0.7419 -0.7349 -0.7255 -0.7086 -0.7127 -0.7271 -0.7470 -0.7708
 -0.7982 -0.8287 -0.8619 -0.8978 -0.9365 -0.9788
 -0.6118 -0.6462 -0.6754 -0.6999 -0.7182 -0.7294 -0.7341 -0.7340 -0.7312 -0.7270
 -0.7225 -0.7182 -0.7144 -0.7117 -0.7076 -0.7001 -0.7083 -0.7299 -0.7557 -0.7830
 -0.8119 -0.8427 -0.8756 -0.9104 -0.9474 -0.9869 -1.0295 -1.0774 -1.1312 -1.1872
 -0.4600 -0.5046 -0.5459 -0.5842 -0.6183 -0.6462 -0.6668 -0.6804 -0.6882 -0.6920
 -0.6933 -0.6930 -0.6920 -0.6911 -0.6905 -0.6895 -0.6992 -0.7236 -0.7554 -0.7884
 -0.8211 -0.8540 -0.8877 -0.9227 -0.9589 -0.9968 -1.0365 -1.0799 -1.1289 -1.1839
 -1.2416
 -0.3330 -0.3799 -0.4266 -0.4732 -0.5175 -0.5579 -0.5927 -0.6203 -0.6404 -0.6541
 -0.6629 -0.6684 -0.6717 -0.6736 -0.6746 -0.6782 -0.6886 -0.7120 -0.7464 -0.7850
 -0.8234 -0.8605 -0.8969 -0.9333 -0.9701 -1.0076 -1.0466 -1.0871 -1.1309 -1.1803
 -1.2365
 -0.2275 -0.2750 -0.3238 -0.3737 -0.4233 -0.4712 -0.5157 -0.5548 -0.5868 -0.6112
 -0.6289 -0.6413 -0.6499 -0.6558 -0.6596 -0.6663 -0.6779 -0.6994 -0.7329 -0.7741
 -0.8177 -0.8606 -0.9018 -0.9414 -0.9801 -1.0186 -1.0574 -1.0973 -1.1389 -1.1842
 -1.2332
 -0.1467 -0.1910 -0.2377 -0.2865 -0.3372 -0.3881 -0.4378 -0.4845 -0.5263 -0.5611
 -0.5883 -0.6090 -0.6244 -0.6355 -0.6433 -0.6553 -0.6671 -0.6876 -0.7185 -0.7585
 -0.8043 -0.8519 -0.8985 -0.9430 -0.9854 -1.0263 -1.0665 -1.1066 -1.1472 -1.1893
 -1.2343
 -0.0892 -0.1279 -0.1698 -0.2146 -0.2631 -0.3132 -0.3645 -0.4147 -0.4623 -0.5041
 -0.5397 -0.5692 -0.5930 -0.6113 -0.6246 -0.6441 -0.6576 -0.6769 -0.7056 -0.7435
 -0.7883 -0.8373 -0.8879 -0.9374 -0.9848 -1.0297 -1.0729 -1.1148 -1.1560 -1.1975
 -1.2401
 -0.0549 -0.0856 -0.1201 -0.1580 -0.2010 -0.2465 -0.2988 -0.3495 -0.3992 -0.4450
 -0.4864 -0.5239 -0.5576 -0.5832 -0.6035 -0.6327 -0.6494 -0.6673 -0.6942
 [Fe/H] = -3.00 [alpha/Fe] = 0.40 BC value =  I   
 -1.0292 -0.9626 -0.9306 -0.9373 -0.9963 -1.2306 -1.1529 -1.0574 -0.9800 -0.9207
 -0.8313 -0.7505 -0.7487 -0.7844 -0.7890 -0.6836
 -1.0581 -0.9944 -0.9558 -0.9448 -0.9698 -1.0941 -1.0694 -1.0294 -0.9896 -0.9518
 -0.8994 -0.8478 -0.8239 -0.8142 -0.7927 -0.6999 -0.6564 -0.6475 -0.6586
 -1.0617 -1.0047 -0.9646 -0.9426 -0.9432 -0.9897 -0.9948 -0.9896 -0.9760 -0.9555
 -0.9297 -0.8998 -0.8669 -0.8319 -0.7956 -0.7141 -0.6782 -0.6728 -0.6849 -0.7081
 -0.7383
 -1.0400 -0.9935 -0.9570 -0.9307 -0.9166 -0.9174 -0.9291 -0.9382 -0.9391 -0.9317
 -0.9222 -0.9066 -0.8776 -0.8374 -0.7977 -0.7262 -0.6961 -0.6941 -0.7074 -0.7298
 -0.7583 -0.7914 -0.8282
 -0.9930 -0.9608 -0.9330 -0.9091 -0.8899 -0.8772 -0.8723 -0.8750 -0.8790 -0.8804
 -0.8769 -0.8682 -0.8561 -0.8308 -0.7990 -0.7362 -0.7101 -0.7114 -0.7262 -0.7485
 -0.7759 -0.8073 -0.8422 -0.8807 -0.9233
 -0.9207 -0.9066 -0.8926 -0.8778 -0.8631 -0.8501 -0.8400 -0.8338 -0.8313 -0.8312
 -0.8293 -0.8238 -0.8191 -0.8099 -0.7916 -0.7415 -0.7184 -0.7230 -0.7408 -0.7641
 -0.7914 -0.8221 -0.8557 -0.8922 -0.9317 -0.9746
 -0.8265 -0.8300 -0.8320 -0.8302 -0.8251 -0.8180 -0.8101 -0.8028 -0.7972 -0.7930
 -0.7889 -0.7841 -0.7783 -0.7760 -0.7673 -0.7383 -0.7201 -0.7270 -0.7491 -0.7757
 -0.8044 -0.8354 -0.8687 -0.9042 -0.9419 -0.9822 -1.0256 -1.0741 -1.1284 -1.1844
 -0.7188 -0.7362 -0.7522 -0.7644 -0.7714 -0.7738 -0.7728 -0.7697 -0.7657 -0.7618
 -0.7578 -0.7531 -0.7473 -0.7439 -0.7393 -0.7236 -0.7144 -0.7234 -0.7491 -0.7807
 -0.8132 -0.8462 -0.8804 -0.9160 -0.9530 -0.9917 -1.0328 -1.0767 -1.1258 -1.1811
 -1.2390
 -0.6105 -0.6352 -0.6593 -0.6829 -0.7018 -0.7154 -0.7237 -0.7280 -0.7296 -0.7292
 -0.7275 -0.7251 -0.7216 -0.7178 -0.7149 -0.7049 -0.7025 -0.7135 -0.7412 -0.7775
 -0.8127 -0.8526 -0.8893 -0.9263 -0.9638 -1.0020 -1.0418 -1.0850 -1.1317 -1.1814
 -1.2339
 -0.4812 -0.5322 -0.5686 -0.5919 -0.6197 -0.6434 -0.6620 -0.6756 -0.6849 -0.6907
 -0.6938 -0.6952 -0.6952 -0.6941 -0.6934 -0.6872 -0.6881 -0.7010 -0.7287 -0.7673
 -0.8102 -0.8529 -0.8942 -0.9343 -0.9737 -1.0128 -1.0524 -1.0930 -1.1352 -1.1804
 -1.2305
 -0.3748 -0.4302 -0.4702 -0.4962 -0.5302 -0.5610 -0.5885 -0.6114 -0.6298 -0.6438
 -0.6539 -0.6609 -0.6656 -0.6686 -0.6709 -0.6713 -0.6741 -0.6879 -0.7145 -0.7524
 -0.7974 -0.8447 -0.8913 -0.9360 -0.9790 -1.0205 -1.0614 -1.1021 -1.1433 -1.1860
 -1.2315
 -0.2797 -0.3291 -0.3736 -0.4137 -0.4520 -0.4883 -0.5214 -0.5376 -0.5646 -0.5873
 -0.6057 -0.6201 -0.6311 -0.6394 -0.6457 -0.6558 -0.6612 -0.6756 -0.7013 -0.7376
 -0.7818 -0.8307 -0.8812 -0.9309 -0.9786 -1.0240 -1.0677 -1.1102 -1.1520 -1.1940
 -1.2371
 -0.1961 -0.2290 -0.2790 -0.3443 -0.3852 -0.4252 -0.4365 -0.4713 -0.5034 -0.5226
 -0.5492 -0.5718 -0.5903 -0.6052 -0.6178 -0.6407 -0.6494 -0.6641 -0.6891
 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  I   
 -1.0135 -1.0459 -1.1477 -1.1894 -1.1351 -1.0779 -1.1035 -1.1719 -1.1953 -1.1446
 -1.0671 -0.9795 -0.9036 -0.8463 -0.7908 -0.6843
