 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = F430M
  3.1032  3.0543  3.0117  2.9744  2.9396  2.9048  2.8680  2.8285  2.7852  2.7378
  2.6866  2.6324  2.5761  2.5186  2.4606  2.3143  2.1603  2.0020  1.8449
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value = F430M
  3.4362  3.3792  3.3257  3.2744  3.2215  3.1644  3.1013  3.0326  2.9648  2.8996
  2.8370  2.7764  2.7154  2.6509  2.5826  2.4062  2.2324  2.0653  1.9058
  3.4019  3.3399  3.2825  3.2284  3.1755  3.1203  3.0595  2.9946  2.9301  2.8677
  2.8076  2.7486  2.6877  2.6221  2.5527  2.3754  2.2031  2.0379  1.8806  1.7284
  3.3900  3.3191  3.2555  3.1972  3.1422  3.0879  3.0305  2.9691  2.9073  2.8470
  2.7886  2.7307  2.6707  2.6051  2.5351  2.3567  2.1836  2.0188  1.8623  1.7107
  1.5618
  3.4154  3.3363  3.2548  3.1829  3.1196  3.0620  3.0060  2.9478  2.8884  2.8299
  2.7728  2.7163  2.6581  2.5942  2.5246  2.3453  2.1711  2.0057  1.8492  1.6980
  1.5499  1.4061
  3.4491  3.3673  3.2856  3.2057  3.1294  3.0580  2.9925  2.9321  2.8730  2.8148
  2.7580  2.7023  2.6461  2.5856  2.5179  2.3387  2.1635  1.9972  1.8399  1.6888
  1.5412  1.3979  1.2599  1.1271
  3.4610  3.3836  3.3052  3.2268  3.1499  3.0766  3.0063  2.9381  2.8722  2.8090
  2.7487  2.6907  2.6337  2.5760  2.5125  2.3353  2.1596  1.9921  1.8338  1.6824
  1.5350  1.3919  1.2541  1.1218  0.9943  0.8711  0.7514  0.6352  0.5226  0.4137
  3.4606  3.3873  3.3129  3.2374  3.1617  3.0873  3.0158  2.9479  2.8830  2.8186
  2.7537  2.6892  2.6269  2.5664  2.5055  2.3338  2.1581  1.9898  1.8304  1.6783
  1.5309  1.3877  1.2499  1.1176  0.9906  0.8681  0.7495  0.6345  0.5229  0.4150
  0.3098
  3.4492  3.3805  3.3105  3.2389  3.1662  3.0933  3.0214  2.9520  2.8856  2.8218
  2.7591  2.6954  2.6301  2.5649  2.5006  2.3330  2.1584  1.9897  1.8293  1.6765
  1.5285  1.3852  1.2471  1.1147  0.9877  0.8656  0.7476  0.6334  0.5227  0.4156
  0.3118
  3.4218  3.3608  3.2967  3.2299  3.1615  3.0919  3.0220  2.9528  2.8852  2.8197
  2.7563  2.6936  2.6302  2.5655  2.5000  2.3308  2.1578  1.9891  1.8281  1.6745
  1.5262  1.3820  1.2431  1.1101  0.9828  0.8606  0.7428  0.6291  0.5190  0.4123
  0.3090
  3.3787  3.3253  3.2694  3.2093  3.1468  3.0823  3.0165  2.9501  2.8835  2.8177
  2.7532  2.6898  2.6269  2.5637  2.4997  2.3331  2.1613  1.9926  1.8314  1.6775
  1.5291  1.3845  1.2445  1.1104  0.9824  0.8599  0.7421  0.6287  0.5191  0.4129
  0.3079
  3.3215  3.2741  3.2245  3.1726  3.1173  3.0596  2.9999  2.9384  2.8755  2.8117
  2.7478  2.6841  2.6211  2.5583  2.4954  2.3341  2.1653  1.9976  1.8359  1.6820
  1.5338  1.3893  1.2484  1.1127  0.9834  0.8600  0.7417  0.6281  0.5186  0.4129
  0.3105
  3.2518  3.2077  3.1634  3.1185  3.0710  3.0209  2.9686  2.9140  2.8570  2.7978
  2.7370  2.6750  2.6127  2.5504  2.4871  2.3338  2.1698  2.0041  1.8416
 [Fe/H] = -1.00 [alpha/Fe] = 0.40 BC value = F430M
  3.4650  3.4073  3.3513  3.2957  3.2374  3.1743  3.1052  3.0306  2.9561  2.8840
  2.8157  2.7514  2.6903  2.6300  2.5677  2.4009  2.2302  2.0649  1.9059
  3.4267  3.3663  3.3087  3.2530  3.1969  3.1380  3.0727  3.0012  2.9285  2.8571
  2.7890  2.7248  2.6639  2.6031  2.5394  2.3697  2.1995  2.0351  1.8783  1.7285
  3.4026  3.3392  3.2799  3.2239  3.1697  3.1145  3.0542  2.9865  2.9160  2.8456
  2.7773  2.7122  2.6501  2.5882  2.5236  2.3517  2.1801  2.0154  1.8594  1.7104
  1.5652
  3.3942  3.3239  3.2602  3.2017  3.1470  3.0938  3.0384  2.9758  2.9084  2.8398
  2.7720  2.7062  2.6427  2.5797  2.5144  2.3412  2.1683  2.0028  1.8463  1.6975
  1.5530  1.4115
  3.4244  3.3390  3.2602  3.1905  3.1295  3.0742  3.0209  2.9637  2.9004  2.8346
  2.7683  2.7027  2.6385  2.5747  2.5091  2.3354  2.1616  1.9950  1.8376  1.6884
  1.5443  1.4034  1.2663  1.1334
  3.4570  3.3749  3.2931  3.2139  3.1393  3.0705  3.0088  2.9511  2.8908  2.8276
  2.7633  2.6988  2.6349  2.5710  2.5057  2.3325  2.1581  1.9906  1.8321  1.6822
  1.5382  1.3977  1.2610  1.1287  1.0010  0.8772  0.7569  0.6399  0.5264  0.4173
  3.4698  3.3925  3.3147  3.2371  3.1612  3.0888  3.0205  2.9556  2.8910  2.8251
  2.7595  2.6946  2.6306  2.5672  2.5026  2.3313  2.1568  1.9887  1.8291  1.6783
  1.5340  1.3938  1.2574  1.1253  0.9980  0.8749  0.7557  0.6399  0.5274  0.4186
  0.3137
  3.4705  3.3969  3.3230  3.2483  3.1737  3.1003  3.0295  2.9621  2.8972  2.8324
  2.7659  2.6980  2.6304  2.5640  2.4989  2.3311  2.1571  1.9885  1.8281  1.6763
  1.5316  1.3914  1.2551  1.1230  0.9958  0.8731  0.7544  0.6395  0.5281  0.4199
  0.3134
  3.4638  3.3924  3.3218  3.2505  3.1783  3.1057  3.0340  2.9642  2.8969  2.8316
  2.7670  2.7018  2.6350  2.5669  2.4985  2.3290  2.1563  1.9874  1.8263  1.6736
  1.5281  1.3877  1.2513  1.1190  0.9915  0.8689  0.7505  0.6360  0.5251  0.4175
  0.3134
  3.4488  3.3816  3.3148  3.2470  3.1779  3.1077  3.0370  2.9668  2.8979  2.8308
  2.7655  2.7009  2.6362  2.5705  2.5034  2.3316  2.1591  1.9903  1.8288  1.6754
  1.5293  1.3887  1.2521  1.1194  0.9916  0.8687  0.7504  0.6363  0.5260  0.4190
  0.3152
  3.4228  3.3611  3.2987  3.2355  3.1704  3.1036  3.0355  2.9669  2.8983  2.8304
  2.7638  2.6984  2.6338  2.5693  2.5042  2.3366  2.1642  1.9943  1.8323  1.6785
  1.5320  1.3911  1.2543  1.1212  0.9927  0.8692  0.7505  0.6364  0.5263  0.4197
  0.3165
  3.3814  3.3255  3.2696  3.2119  3.1526  3.0907  3.0266  2.9612  2.8949  2.8282
  2.7618  2.6959  2.6308  2.5662  2.5009  2.3440  2.1716  1.9994  1.8368
 [Fe/H] = -0.75 [alpha/Fe] = 0.40 BC value = F430M
  3.4785  3.4200  3.3624  3.3038  3.2409  3.1735  3.1023  3.0278  2.9516  2.8780
  2.8080  2.7417  2.6790  2.6187  2.5584  2.3980  2.2303  2.0658  1.9069
  3.4394  3.3789  3.3205  3.2629  3.2043  3.1427  3.0752  3.0016  2.9262  2.8521
  2.7814  2.7148  2.6522  2.5920  2.5309  2.3671  2.1987  2.0346  1.8778  1.7284
  3.4134  3.3512  3.2923  3.2358  3.1801  3.1232  3.0612  2.9915  2.9179  2.8439
  2.7720  2.7038  2.6397  2.5781  2.5159  2.3496  2.1794  2.0148  1.8585  1.7099
  1.5664
  3.3975  3.3318  3.2709  3.2139  3.1596  3.1062  3.0500  2.9858  2.9155  2.8429
  2.7707  2.7010  2.6347  2.5710  2.5074  2.3394  2.1679  2.0024  1.8456  1.6970
  1.5540  1.4141
  3.4053  3.3276  3.2586  3.1969  3.1406  3.0879  3.0357  2.9783  2.9128  2.8432
  2.7722  2.7020  2.6339  2.5681  2.5030  2.3338  2.1614  1.9949  1.8372  1.6881
  1.5453  1.4061  1.2700  1.1376
  3.4466  3.3615  3.2787  3.2016  3.1327  3.0727  3.0190  2.9659  2.9062  2.8409
  2.7726  2.7034  2.6349  2.5676  2.5011  2.3309  2.1581  1.9909  1.8321  1.6822
  1.5392  1.4005  1.2650  1.1331  1.0052  0.8811  0.7605  0.6431  0.5293  0.4200
  3.4690  3.3896  3.3098  3.2311  3.1556  3.0848  3.0191  2.9589  2.8991  2.8358
  2.7700  2.7027  2.6351  2.5677  2.5005  2.3299  2.1569  1.9890  1.8294  1.6786
  1.5352  1.3966  1.2616  1.1300  1.0026  0.8794  0.7597  0.6435  0.5307  0.4215
  0.3166
  3.4750  3.3998  3.3242  3.2484  3.1734  3.1008  3.0320  2.9671  2.9043  2.8396
  2.7718  2.7028  2.6344  2.5668  2.4998  2.3299  2.1571  1.9889  1.8286  1.6768
  1.5327  1.3942  1.2594  1.1281  1.0009  0.8780  0.7590  0.6436  0.5316  0.4232
  0.3185
  3.4713  3.3989  3.3268  3.2541  3.1812  3.1087  3.0379  2.9699  2.9046  2.8405
  2.7752  2.7076  2.6382  2.5681  2.4986  2.3284  2.1563  1.9878  1.8267  1.6741
  1.5293  1.3903  1.2555  1.1243  0.9971  0.8742  0.7555  0.6407  0.5293  0.4212
  0.3166
  3.4629  3.3930  3.3238  3.2542  3.1839  3.1131  3.0423  2.9726  2.9048  2.8388
  2.7738  2.7084  2.6419  2.5740  2.5048  2.3304  2.1588  1.9904  1.8290  1.6757
  1.5301  1.3908  1.2559  1.1246  0.9973  0.8744  0.7559  0.6414  0.5306  0.4232
  0.3190
  3.4488  3.3817  3.3152  3.2489  3.1815  3.1131  3.0438  2.9743  2.9054  2.8376
  2.7713  2.7057  2.6404  2.5745  2.5077  2.3365  2.1631  1.9939  1.8322  1.6784
  1.5322  1.3924  1.2573  1.1259  0.9983  0.8751  0.7564  0.6420  0.5315  0.4245
  0.3257
  3.4290  3.3613  3.2991  3.2363  3.1728  3.1077  3.0409  2.9732  2.9050  2.8370
  2.7698  2.7033  2.6376  2.5723  2.5073  2.3467  2.1692  1.9983  1.8363
 [Fe/H] = -0.50 [alpha/Fe] = 0.40 BC value = F430M
  3.4902  3.4311  3.3709  3.3092  3.2435  3.1737  3.1004  3.0242  2.9467  2.8725
  2.8016  2.7340  2.6695  2.6080  2.5482  2.3942  2.2302  2.0668  1.9046
  3.4509  3.3900  3.3301  3.2703  3.2091  3.1450  3.0754  2.9996  2.9222  2.8467
  2.7746  2.7063  2.6419  2.5808  2.5210  2.3639  2.1982  2.0349  1.8779  1.7286
  3.4242  3.3627  3.3035  3.2458  3.1884  3.1293  3.0653  2.9935  2.9173  2.8408
  2.7667  2.6963  2.6302  2.5677  2.5067  2.3469  2.1792  2.0149  1.8582  1.7098
  1.5672
  3.4048  3.3416  3.2821  3.2255  3.1707  3.1161  3.0584  2.9927  2.9196  2.8438
  2.7684  2.6958  2.6271  2.5622  2.4993  2.3370  2.1680  2.0028  1.8455  1.6969
  1.5547  1.4164
  3.3974  3.3283  3.2652  3.2070  3.1526  3.1004  3.0479  2.9897  2.9222  2.8491
  2.7742  2.7003  2.6291  2.5614  2.4961  2.3315  2.1616  1.9956  1.8375  1.6882
  1.5460  1.4084  1.2737  1.1420
  3.4275  3.3422  3.2648  3.1966  3.1367  3.0828  3.0322  2.9804  2.9203  2.8522
  2.7800  2.7064  2.6340  2.5638  2.4961  2.3288  2.1583  1.9917  1.8328  1.6827
  1.5402  1.4028  1.2688  1.1377  1.0100  0.8858  0.7648  0.6469  0.5326  0.4226
  3.4631  3.3810  3.2990  3.2197  3.1454  3.0782  3.0192  2.9667  2.9120  2.8499
  2.7821  2.7110  2.6390  2.5678  2.4981  2.3280  2.1571  1.9900  1.8304  1.6794
  1.5363  1.3990  1.2655  1.1350  1.0079  0.8844  0.7645  0.6478  0.5344  0.4245
  0.3187
  3.4763  3.3993  3.3220  3.2449  3.1698  3.0981  3.0309  2.9684  2.9095  2.8474
  2.7811  2.7121  2.6418  2.5711  2.5009  2.3284  2.1572  1.9898  1.8297  1.6779
  1.5341  1.3966  1.2633  1.1333  1.0065  0.8836  0.7643  0.6485  0.5360  0.4268
  0.3211
  3.4762  3.4026  3.3291  3.2552  3.1817  3.1096  3.0403  2.9746  2.9120  2.8498
  2.7841  2.7147  2.6434  2.5719  2.5012  2.3279  2.1564  1.9886  1.8278  1.6752
  1.5306  1.3926  1.2594  1.1295  1.0030  0.8803  0.7613  0.6460  0.5341  0.4256
  0.3201
  3.4704  3.3995  3.3288  3.2581  3.1869  3.1158  3.0457  2.9776  2.9120  2.8482
  2.7841  2.7178  2.6490  2.5784  2.5070  2.3303  2.1588  1.9911  1.8299  1.6767
  1.5313  1.3928  1.2593  1.1297  1.0034  0.8809  0.7623  0.6475  0.5362  0.4282
  0.3233
  3.4620  3.3923  3.3240  3.2557  3.1872  3.1180  3.0485  2.9795  2.9117  2.8455
  2.7803  2.7150  2.6487  2.5810  2.5120  2.3365  2.1624  1.9942  1.8329  1.6791
  1.5330  1.3939  1.2601  1.1304  1.0042  0.8817  0.7631  0.6485  0.5377  0.4302
  0.3307
  3.4490  3.3815  3.3151  3.2493  3.1835  3.1165  3.0487  2.9804  2.9120  2.8443
  2.7775  2.7115  2.6456  2.5794  2.5162  2.3465  2.1672  1.9979  1.8368
 [Fe/H] = -0.25 [alpha/Fe] = 0.40 BC value = F430M
  3.4999  3.4389  3.3767  3.3125  3.2453  3.1745  3.0995  3.0208  2.9422  2.8674
  2.7962  2.7279  2.6620  2.5989  2.5384  2.3887  2.2300  2.0682  1.9061
  3.4606  3.3988  3.3368  3.2745  3.2111  3.1448  3.0734  2.9960  2.9173  2.8411
  2.7683  2.6992  2.6333  2.5708  2.5108  2.3594  2.1979  2.0357  1.8788  1.7292
  3.4341  3.3725  3.3124  3.2532  3.1937  3.1326  3.0668  2.9930  2.9146  2.8366
  2.7613  2.6898  2.6222  2.5583  2.4971  2.3430  2.1793  2.0158  1.8589  1.7101
  1.5680
  3.4131  3.3514  3.2925  3.2355  3.1797  3.1235  3.0640  2.9966  2.9209  2.8426
  2.7652  2.6908  2.6204  2.5540  2.4908  2.3335  2.1683  2.0039  1.8464  1.6973
  1.5555  1.4184
  3.3984  3.3340  3.2740  3.2175  3.1637  3.1112  3.0576  2.9981  2.9284  2.8523
  2.7744  2.6979  2.6246  2.5552  2.4891  2.3282  2.1620  1.9969  1.8387  1.6890
  1.5470  1.4104  1.2772  1.1465
  3.4160  3.3298  3.2623  3.2016  3.1462  3.0946  3.0447  2.9925  2.9313  2.8606
  2.7848  2.7078  2.6324  2.5601  2.4910  2.3257  2.1586  1.9931  1.8343  1.6838
