 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  o   
 -2.6040 -2.5989 -2.7825 -2.7917 -2.7193 -2.5910 -2.4281 -2.3252 -2.2328 -2.1340
 -2.0393 -1.9500 -1.8672 -1.7915 -1.7247 -1.5875 -1.5018 -1.4615 -1.4412
 -2.6113 -2.5396 -2.4809 -2.4509 -2.4511 -2.4259 -2.3522 -2.2598 -2.1690 -2.0806
 -1.9948 -1.9136 -1.8386 -1.7707 -1.7103 -1.5914 -1.5142 -1.4705 -1.4484 -1.4392
 -2.4929 -2.4258 -2.3578 -2.2970 -2.2499 -2.2298 -2.2219 -2.1856 -2.1195 -2.0409
 -1.9635 -1.8888 -1.8193 -1.7563 -1.7005 -1.5909 -1.5202 -1.4816 -1.4632 -1.4560
 -1.4557
 -2.3843 -2.3325 -2.2715 -2.2090 -2.1510 -2.1008 -2.0641 -2.0467 -2.0284 -1.9891
 -1.9311 -1.8666 -1.8036 -1.7454 -1.6935 -1.5913 -1.5255 -1.4909 -1.4760 -1.4712
 -1.4721 -1.4770
 -2.2735 -2.2412 -2.1950 -2.1405 -2.0845 -2.0317 -1.9841 -1.9434 -1.9153 -1.8932
 -1.8676 -1.8298 -1.7830 -1.7332 -1.6859 -1.5907 -1.5287 -1.4974 -1.4859 -1.4843
 -1.4872 -1.4932 -1.5017 -1.5126
 -2.1595 -2.1436 -2.1155 -2.0750 -2.0276 -1.9784 -1.9315 -1.8884 -1.8497 -1.8162
 -1.7895 -1.7657 -1.7383 -1.7059 -1.6709 -1.5873 -1.5287 -1.4996 -1.4911 -1.4938
 -1.5000 -1.5083 -1.5184 -1.5298 -1.5419 -1.5558 -1.5727 -1.5935 -1.6191 -1.6498
 -2.0449 -2.0412 -2.0284 -2.0033 -1.9688 -1.9284 -1.8860 -1.8451 -1.8074 -1.7725
 -1.7405 -1.7123 -1.6877 -1.6642 -1.6396 -1.5772 -1.5248 -1.4958 -1.4904 -1.4979
 -1.5090 -1.5209 -1.5336 -1.5469 -1.5607 -1.5740 -1.5885 -1.6066 -1.6300 -1.6595
 -1.6938
 -1.9321 -1.9373 -1.9350 -1.9229 -1.9019 -1.8736 -1.8399 -1.8042 -1.7695 -1.7370
 -1.7067 -1.6784 -1.6523 -1.6288 -1.6072 -1.5578 -1.5159 -1.4893 -1.4844 -1.4952
 -1.5118 -1.5289 -1.5456 -1.5620 -1.5783 -1.5942 -1.6091 -1.6252 -1.6451 -1.6706
 -1.7031
 -1.8238 -1.8350 -1.8394 -1.8354 -1.8262 -1.8095 -1.7868 -1.7597 -1.7305 -1.7016
 -1.6743 -1.6489 -1.6249 -1.6024 -1.5813 -1.5364 -1.5020 -1.4801 -1.4748 -1.4870
 -1.5078 -1.5307 -1.5528 -1.5738 -1.5936 -1.6125 -1.6308 -1.6491 -1.6691 -1.6911
 -1.7149
 -1.7223 -1.7376 -1.7462 -1.7488 -1.7459 -1.7381 -1.7256 -1.7082 -1.6874 -1.6642
 -1.6409 -1.6189 -1.5983 -1.5786 -1.5598 -1.5185 -1.4874 -1.4687 -1.4641 -1.4754
 -1.4977 -1.5248 -1.5525 -1.5790 -1.6038 -1.6268 -1.6486 -1.6693 -1.6895 -1.7103
 -1.7320
