 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  J   
  1.1663  1.0678  0.9033  0.8770  0.8799  0.9098  0.9716  0.9990  1.0219  1.0420
  1.0505  1.0516  1.0491  1.0431  1.0329  0.9883  0.9301  0.8461  0.7431
  1.1087  1.0803  1.0536  1.0187  0.9738  0.9547  0.9659  0.9856  1.0040  1.0165
  1.0221  1.0220  1.0178  1.0099  0.9986  0.9548  0.8883  0.8066  0.7191  0.6300
  1.1543  1.1234  1.0984  1.0767  1.0545  1.0231  0.9928  0.9856  0.9927  1.0014
  1.0035  1.0004  0.9937  0.9840  0.9715  0.9275  0.8637  0.7842  0.6983  0.6111
  0.5239
  1.2003  1.1642  1.1354  1.1117  1.0913  1.0725  1.0514  1.0243  1.0043  0.9970
  0.9937  0.9879  0.9785  0.9666  0.9526  0.9069  0.8445  0.7669  0.6818  0.5956
  0.5100  0.4247
  1.2484  1.2064  1.1723  1.1444  1.1204  1.0992  1.0796  1.0600  1.0372  1.0149
  0.9973  0.9841  0.9713  0.9570  0.9409  0.8926  0.8304  0.7538  0.6694  0.5832
  0.4980  0.4138  0.3303  0.2467
  1.2965  1.2508  1.2111  1.1781  1.1497  1.1245  1.1013  1.0793  1.0578  1.0361
  1.0132  0.9916  0.9728  0.9549  0.9363  0.8840  0.8212  0.7454  0.6612  0.5740
  0.4882  0.4040  0.3211  0.2390  0.1569  0.0745 -0.0084 -0.0921 -0.1766 -0.2620
  1.3415  1.2947  1.2518  1.2137  1.1808  1.1514  1.1243  1.0988  1.0740  1.0500
  1.0264  1.0028  0.9800  0.9583  0.9372  0.8805  0.8161  0.7416  0.6573  0.5688
  0.4812  0.3959  0.3126  0.2308  0.1502  0.0709 -0.0083 -0.0889 -0.1717 -0.2568
 -0.3412
  1.3803  1.3347  1.2914  1.2509  1.2137  1.1802  1.1494  1.1204  1.0924  1.0653
  1.0388  1.0131  0.9883  0.9641  0.9406  0.8807  0.8144  0.7401  0.6567  0.5676
  0.4780  0.3906  0.3058  0.2233  0.1426  0.0633 -0.0146 -0.0923 -0.1711 -0.2520
 -0.3357
  1.4098  1.3674  1.3260  1.2868  1.2470  1.2101  1.1759  1.1437  1.1127  1.0828
  1.0537  1.0252  0.9976  0.9710  0.9454  0.8820  0.8141  0.7394  0.6573  0.5685
  0.4775  0.3877  0.3005  0.2161  0.1342  0.0545 -0.0237 -0.1007 -0.1779 -0.2555
 -0.3334
  1.4268  1.3895  1.3521  1.3148  1.2775  1.2404  1.2038  1.1690  1.1353  1.1029
  1.0714  1.0406  1.0104  0.9813  0.9532  0.8849  0.8156  0.7409  0.6597  0.5723
  0.4815  0.3902  0.3007  0.2138  0.1299  0.0488 -0.0301 -0.1072 -0.1829 -0.2581
 -0.3342
  1.4288  1.3988  1.3674  1.3347  1.3009  1.2661  1.2304  1.1943  1.1589  1.1244
  1.0908  1.0579  1.0256  0.9940  0.9631  0.8896  0.8178  0.7427  0.6621  0.5763
  0.4865  0.3952  0.3044  0.2153  0.1289  0.0455 -0.0352 -0.1133 -0.1894 -0.2641
 -0.3380
  1.4155  1.3979  1.3751  1.3481  1.3180  1.2857  1.2518  1.2169  1.1816  1.1461
  1.1109  1.0762  1.0422  1.0087  0.9758  0.8964  0.8209  0.7448  0.6647
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value =  J   
  0.9500  0.8835  0.8515  0.8687  0.8985  0.9309  0.9601  0.9846  1.0069  1.0255
  1.0369  1.0407  1.0386  1.0319  1.0214  0.9789  0.9204  0.8431  0.7504
  1.0167  0.9908  0.9471  0.8973  0.8967  0.9194  0.9438  0.9657  0.9855  1.0015
  1.0102  1.0115  1.0073  0.9989  0.9872  0.9456  0.8868  0.8115  0.7260  0.6372
  1.0622  1.0410  1.0223  0.9981  0.9557  0.9289  0.9380  0.9553  0.9715  0.9849
  0.9918  0.9916  0.9857  0.9758  0.9629  0.9197  0.8620  0.7894  0.7061  0.6193
  0.5318
  1.1072  1.0810  1.0619  1.0479  1.0315  1.0054  0.9720  0.9587  0.9654  0.9751
  0.9804  0.9789  0.9718  0.9606  0.9465  0.9013  0.8434  0.7724  0.6908  0.6049
  0.5188  0.4330
  1.1559  1.1221  1.0977  1.0787  1.0625  1.0480  1.0313  1.0095  0.9857  0.9762
  0.9753  0.9724  0.9642  0.9518  0.9365  0.8891  0.8304  0.7601  0.6794  0.5938
  0.5079  0.4230  0.3387  0.2538
  1.2056  1.1674  1.1356  1.1112  1.0911  1.0734  1.0580  1.0437  1.0268  1.0056
  0.9870  0.9738  0.9620  0.9484  0.9319  0.8821  0.8223  0.7520  0.6718  0.5858
  0.4993  0.4141  0.3304  0.2475  0.1652  0.0828 -0.0006 -0.0854 -0.1718 -0.2578
  1.2604  1.2169  1.1776  1.1465  1.1213  1.0993  1.0795  1.0618  1.0454  1.0286
  1.0097  0.9887  0.9689  0.9506  0.9321  0.8793  0.8180  0.7476  0.6678  0.5814
  0.4934  0.4070  0.3228  0.2401  0.1586  0.0778 -0.0029 -0.0844 -0.1671 -0.2514
 -0.3371
  1.3145  1.2690  1.2237  1.1858  1.1543  1.1277  1.1036  1.0813  1.0607  1.0412
  1.0222  1.0021  0.9802  0.9580  0.9365  0.8804  0.8170  0.7461  0.6668  0.5803
  0.4908  0.4025  0.3168  0.2334  0.1518  0.0722 -0.0065 -0.0854 -0.1655 -0.2474
 -0.3317
  1.3644  1.3192  1.2716  1.2285  1.1910  1.1587  1.1302  1.1040  1.0790  1.0554
  1.0329  1.0109  0.9885  0.9654  0.9421  0.8831  0.8180  0.7460  0.6670  0.5809
  0.4906  0.4002  0.3121  0.2268  0.1442  0.0635 -0.0157 -0.0945 -0.1730 -0.2512
 -0.3290
  1.4066  1.3634  1.3162  1.2729  1.2313  1.1938  1.1603  1.1299  1.1012  1.0738
  1.0475  1.0221  0.9974  0.9727  0.9481  0.8862  0.8207  0.7484  0.6696  0.5845
  0.4946  0.4030  0.3128  0.2251  0.1404  0.0584 -0.0214 -0.0994 -0.1762 -0.2523
 -0.3293
  1.4388  1.4008  1.3564  1.3142  1.2713  1.2316  1.1939  1.1590  1.1265  1.0958
  1.0661  1.0373  1.0094  0.9822  0.9555  0.8900  0.8233  0.7511  0.6726  0.5887
  0.4998  0.4083  0.3169  0.2270  0.1398  0.0556 -0.0259 -0.1050 -0.1820 -0.2576
 -0.3324
  1.4620  1.4313  1.3920  1.3514  1.3101  1.2691  1.2294  1.1914  1.1552  1.1209
  1.0881  1.0563  1.0253  0.9953  0.9660  0.8954  0.8261  0.7537  0.6758
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value =  J   
  0.8252  0.8107  0.8430  0.8785  0.9178  0.9509  0.9695  0.9846  1.0006  1.0165
  1.0281  1.0335  1.0325  1.0262  1.0158  0.9751  0.9175  0.8453  0.7605
  0.9413  0.8817  0.8455  0.8696  0.8999  0.9287  0.9504  0.9655  0.9807  0.9951
  1.0049  1.0082  1.0052  0.9972  0.9853  0.9429  0.8864  0.8172  0.7361  0.6483
  0.9917  0.9778  0.9429  0.8924  0.8955  0.9184  0.9388  0.9539  0.9669  0.9796
  0.9882  0.9905  0.9865  0.9773  0.9643  0.9201  0.8634  0.7957  0.7172  0.6316
  0.5438
  1.0297  1.0178  1.0083  0.9902  0.9511  0.9245  0.9342  0.9480  0.9587  0.9689
  0.9764  0.9783  0.9739  0.9641  0.9503  0.9043  0.8470  0.7797  0.7027  0.6186
  0.5321  0.4453
  1.0723  1.0519  1.0404  1.0317  1.0200  0.9989  0.9664  0.9516  0.9563  0.9630
  0.9689  0.9703  0.9658  0.9558  0.9416  0.8941  0.8357  0.7683  0.6920  0.6087
  0.5226  0.4367  0.3513  0.2663
  1.1215  1.0909  1.0716  1.0590  1.0492  1.0386  1.0242  1.0035  0.9789  0.9668
  0.9660  0.9659  0.9613  0.9512  0.9367  0.8880  0.8285  0.7607  0.6846  0.6016
  0.5154  0.4292  0.3443  0.2602  0.1768  0.0931  0.0085 -0.0779 -0.1655 -0.2512
  1.1764  1.1365  1.1078  1.0878  1.0729  1.0599  1.0476  1.0352  1.0205  1.0012
  0.9818  0.9695  0.9605  0.9498  0.9351  0.8852  0.8247  0.7563  0.6802  0.5974
  0.5106  0.4235  0.3381  0.2542  0.1714  0.0895  0.0076 -0.0752 -0.1598 -0.2458
 -0.3304
  1.2347  1.1880  1.1504  1.1218  1.1003  1.0827  1.0669  1.0523  1.0382  1.0239
  1.0074  0.9890  0.9708  0.9537  0.9366  0.8852  0.8236  0.7546  0.6784  0.5958
  0.5086  0.4202  0.3335  0.2487  0.1659  0.0843  0.0038 -0.0764 -0.1575 -0.2402
 -0.3250
  1.2932  1.2424  1.1981  1.1617  1.1326  1.1090  1.0886  1.0700  1.0525  1.0360
  1.0195  1.0023  0.9838  0.9633  0.9423  0.8875  0.8243  0.7544  0.6780  0.5956
  0.5083  0.4186  0.3299  0.2434  0.1594  0.0774 -0.0033 -0.0835 -0.1634 -0.2429
 -0.3219
  1.3484  1.2963  1.2491  1.2068  1.1708  1.1405  1.1146  1.0916  1.0700  1.0495
  1.0300  1.0107  0.9914  0.9709  0.9488  0.8910  0.8278  0.7571  0.6806  0.5987
  0.5118  0.4217  0.3312  0.2426  0.1567  0.0734 -0.0080 -0.0874 -0.1656 -0.2432
 -0.3208
  1.3981  1.3481  1.2997  1.2544  1.2134  1.1772  1.1454  1.1173  1.0915  1.0672
  1.0438  1.0211  0.9990  0.9769  0.9542  0.8940  0.8308  0.7610  0.6845  0.6029
  0.5169  0.4270  0.3356  0.2450  0.1568  0.0714 -0.0115 -0.0919 -0.1703 -0.2474
 -0.3235
  1.4430  1.3948  1.3472  1.3015  1.2583  1.2180  1.1812  1.1479  1.1174  1.0891
  1.0621  1.0359  1.0103  0.9854  0.9607  0.8977  0.8331  0.7644  0.6888
 [Fe/H] = -0.75 [alpha/Fe] =-0.40 BC value =  J   
