 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = UX   
 -9.6481 -9.5330 -9.4866 -9.3843 -9.1946 -9.0013 -8.8962 -8.8499 -8.7579 -8.5611
 -8.2962 -7.9779 -7.6286 -7.2766 -6.9188 -6.0118 -5.1415 -4.4419 -3.8846
 -9.3624 -9.1013 -8.9056 -8.7370 -8.5870 -8.4544 -8.3342 -8.2129 -8.0715 -7.8946
 -7.6699 -7.3905 -7.0636 -6.7211 -6.3843 -5.5710 -4.8119 -4.1912 -3.7256 -3.3976
 -9.1932 -8.8343 -8.5336 -8.2935 -8.1159 -7.9716 -7.8250 -7.6665 -7.4983 -7.3196
 -7.1114 -6.8627 -6.5675 -6.2458 -5.9312 -5.2003 -4.5376 -3.9855 -3.5841 -3.3026
 -3.1017
 -9.1405 -8.7320 -8.3706 -8.0538 -7.7813 -7.5529 -7.3686 -7.2107 -7.0383 -6.8361
 -6.6207 -6.3945 -6.1403 -5.8507 -5.5595 -4.8997 -4.3186 -3.8248 -3.4602 -3.2077
 -3.0299 -2.9010
 -9.1594 -8.7147 -8.3147 -7.9543 -7.6310 -7.3434 -7.0896 -6.8665 -6.6704 -6.4834
 -6.2730 -6.0402 -5.8043 -5.5504 -5.2831 -4.6782 -4.1588 -3.7106 -3.3685 -3.1337
 -2.9717 -2.8561 -2.7713 -2.7071
 -9.2398 -8.7664 -8.3344 -7.9406 -7.5827 -7.2577 -6.9633 -6.6972 -6.4559 -6.2351
 -6.0275 -5.8164 -5.5927 -5.3587 -5.1073 -4.5337 -4.0560 -3.6415 -3.3099 -3.0788
 -2.9242 -2.8168 -2.7396 -2.6831 -2.6403 -2.6061 -2.5765 -2.5485 -2.5208 -2.4947
 -9.3695 -8.8768 -8.4201 -7.9977 -7.6095 -7.2551 -6.9315 -6.6352 -6.3644 -6.1157
 -5.8850 -5.6675 -5.4556 -5.2459 -5.0196 -4.4610 -4.0021 -3.6108 -3.2839 -3.0453
 -2.8866 -2.7811 -2.7083 -2.6565 -2.6191 -2.5914 -2.5698 -2.5505 -2.5330 -2.5171
 -2.5016
 -9.5411 -9.0325 -8.5584 -8.1148 -7.7011 -7.3197 -6.9696 -6.6486 -6.3537 -6.0827
 -5.8322 -5.5993 -5.3808 -5.1733 -4.9677 -4.4449 -3.9866 -3.6078 -3.2850 -3.0347
 -2.8623 -2.7499 -2.6763 -2.6267 -2.5928 -2.5695 -2.5534 -2.5413 -2.5311 -2.5223
 -2.5167
 -9.7427 -9.2205 -8.7312 -8.2727 -7.8400 -7.4354 -7.0609 -6.7163 -6.3998 -6.1085
 -5.8395 -5.5905 -5.3592 -5.1432 -4.9381 -4.4435 -3.9956 -3.6178 -3.2999 -3.0412
 -2.8524 -2.7255 -2.6444 -2.5931 -2.5606 -2.5402 -2.5282 -2.5215 -2.5175 -2.5150
 -2.5140
 -9.9791 -9.4533 -8.9458 -8.4715 -8.0240 -7.6016 -7.2065 -6.8395 -6.5007 -6.1891
 -5.9016 -5.6357 -5.3893 -5.1609 -4.9474 -4.4563 -4.0215 -3.6430 -3.3260 -3.0640
 -2.8613 -2.7168 -2.6209 -2.5611 -2.5252 -2.5046 -2.4944 -2.4910 -2.4918 -2.4949
 -2.4984
-10.2523 -9.7063 -9.1883 -8.6969 -8.2332 -7.7980 -7.3875 -7.0019 -6.6426 -6.3100
 -6.0029 -5.7194 -5.4568 -5.2134 -4.9869 -4.4806 -4.0510 -3.6744 -3.3552 -3.0906
 -2.8799 -2.7216 -2.6094 -2.5355 -2.4906 -2.4657 -2.4543 -2.4517 -2.4551 -2.4622
 -2.4714
-10.5624 -9.9795 -9.4380 -8.9370 -8.4606 -8.0121 -7.5897 -7.1908 -6.8149 -6.4637
 -6.1369 -5.8342 -5.5540 -5.2945 -5.0566 -4.5164 -4.0841 -3.7120 -3.3875
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value = UX   
 -8.9644 -8.8900 -8.8468 -8.8195 -8.7948 -8.7607 -8.7070 -8.6247 -8.5034 -8.3311
 -8.0997 -7.8089 -7.4772 -7.1395 -6.8190 -6.0167 -5.2377 -4.5470 -4.0171
 -8.5916 -8.4422 -8.3398 -8.2719 -8.2205 -8.1684 -8.1019 -8.0107 -7.8860 -7.7199
 -7.5043 -7.2346 -6.9195 -6.5920 -6.2762 -5.5453 -4.8723 -4.2802 -3.8169 -3.4801
 -8.3968 -8.1542 -7.9764 -7.8477 -7.7384 -7.6448 -7.5539 -7.4497 -7.3210 -7.1619
 -6.9662 -6.7280 -6.4443 -6.1359 -5.8369 -5.1657 -4.5769 -4.0638 -3.6546 -3.3567
 -3.1388
 -8.3647 -8.0424 -7.7867 -7.5881 -7.4278 -7.2879 -7.1534 -7.0132 -6.8632 -6.7002
 -6.5161 -6.3063 -6.0621 -5.7826 -5.5011 -4.8779 -4.3515 -3.8978 -3.5302 -3.2602
 -3.0690 -2.9309
 -8.4675 -8.0994 -7.7785 -7.5142 -7.2945 -7.1038 -6.9292 -6.7599 -6.5869 -6.4022
 -6.2013 -5.9943 -5.7761 -5.5324 -5.2693 -4.6790 -4.1934 -3.7800 -3.4399 -3.1868
 -3.0094 -2.8839 -2.7923 -2.7226
