 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = G_BP 
 -4.0173 -3.7508 -3.5284 -3.3403 -3.1773 -3.0325 -2.9017 -2.7829 -2.6754 -2.5784
 -2.4903 -2.4087 -2.3315 -2.2578 -2.1861 -2.0157 -1.8667 -1.7487 -1.6610 -1.5981
 -1.5536 -1.5207 -1.4940 -1.4704 -1.4485 -1.4274 -1.4073 -1.3882 -1.3709 -1.3568
 -1.3489
 -3.9382 -3.6931 -3.4834 -3.3044 -3.1487 -3.0097 -2.8830 -2.7662 -2.6587 -2.5603
 -2.4706 -2.3885 -2.3121 -2.2395 -2.1695 -2.0056 -1.8627 -1.7464 -1.6581 -1.5941
 -1.5499 -1.5196 -1.4977 -1.4802 -1.4645 -1.4495 -1.4347 -1.4201 -1.4061 -1.3935
 -1.3820
 -3.8734 -3.6462 -3.4460 -3.2726 -3.1208 -2.9856 -2.8622 -2.7478 -2.6415 -2.5430
 -2.4523 -2.3692 -2.2930 -2.2219 -2.1542 -1.9963 -1.8579 -1.7441 -1.6556 -1.5904
 -1.5450 -1.5148 -1.4954 -1.4826 -1.4730 -1.4643 -1.4559 -1.4471 -1.4380 -1.4291
 -1.4213
 -3.8206 -3.6092 -3.4190 -3.2486 -3.0978 -2.9634 -2.8414 -2.7286 -2.6235 -2.5255
 -2.4345 -2.3507 -2.2724 -2.2014 -2.1402 -1.9878 -1.8523 -1.7418 -1.6535
 [Fe/H] = -1.50 [alpha/Fe] = 0.00 BC value = G_BP 
 -6.5623 -5.9905 -5.4927 -5.0627 -4.6924 -4.3645 -4.0619 -3.7770 -3.5248 -3.3076
 -3.1163 -2.9436 -2.7854 -2.6438 -2.5165 -2.2469 -2.0263 -1.8436 -1.6933
 -6.1075 -5.5493 -5.0608 -4.6454 -4.2967 -4.0024 -3.7461 -3.5146 -3.3103 -3.1312
 -2.9695 -2.8178 -2.6735 -2.5405 -2.4203 -2.1695 -1.9714 -1.8092 -1.6772 -1.5724
 -5.5393 -5.0384 -4.6503 -4.3167 -4.0177 -3.7570 -3.5308 -3.3316 -3.1564 -3.0021
 -2.8626 -2.7299 -2.5988 -2.4731 -2.3577 -2.1182 -1.9340 -1.7870 -1.6681 -1.5727
 -1.4957
 -5.2138 -4.6746 -4.2563 -3.9393 -3.7054 -3.5301 -3.3666 -3.2028 -3.0472 -2.9067
 -2.7803 -2.6631 -2.5467 -2.4296 -2.3187 -2.0862 -1.9102 -1.7731 -1.6639 -1.5764
 -1.5054 -1.4460
 -5.0582 -4.5127 -4.0848 -3.7545 -3.4995 -3.3065 -3.1636 -3.0534 -2.9551 -2.8427
 -2.7243 -2.6121 -2.5061 -2.3998 -2.2944 -2.0673 -1.8957 -1.7648 -1.6627 -1.5819
 -1.5165 -1.4616 -1.4142 -1.3727
 -4.9774 -4.4402 -4.0142 -3.6821 -3.4231 -3.2198 -3.0590 -2.9305 -2.8286 -2.7489
 -2.6697 -2.5765 -2.4764 -2.3765 -2.2777 -2.0564 -1.8871 -1.7596 -1.6624 -1.5871
 -1.5272 -1.4772 -1.4339 -1.3955 -1.3610 -1.3298 -1.3029 -1.2815 -1.2672 -1.2631
 -4.9170 -4.4011 -3.9855 -3.6576 -3.3983 -3.1909 -3.0231 -2.8856 -2.7712 -2.6739
 -2.5913 -2.5182 -2.4417 -2.3559 -2.2644 -2.0501 -1.8818 -1.7558 -1.6614 -1.5902
 -1.5355 -1.4909 -1.4524 -1.4181 -1.3868 -1.3582 -1.3328 -1.3108 -1.2937 -1.2858
 -1.2884
 -4.8523 -4.3676 -3.9706 -3.6515 -3.3956 -3.1875 -3.0160 -2.8720 -2.7499 -2.6447
 -2.5517 -2.4681 -2.3930 -2.3212 -2.2449 -2.0456 -1.8786 -1.7527 -1.6593 -1.5905
 -1.5398 -1.5004 -1.4674 -1.4382 -1.4114 -1.3863 -1.3635 -1.3427 -1.3246 -1.3132
 -1.3118
 -4.7738 -4.3273 -3.9544 -3.6482 -3.3981 -3.1918 -3.0189 -2.8713 -2.7436 -2.6322
 -2.5334 -2.4443 -2.3625 -2.2872 -2.2158 -2.0375 -1.8748 -1.7486 -1.6553 -1.5873
 -1.5391 -1.5041 -1.4768 -1.4534 -1.4320 -1.4117 -1.3927 -1.3749 -1.3589 -1.3469
 -1.3391
 -4.6941 -4.2925 -3.9460 -3.6537 -3.4093 -3.2045 -3.0305 -2.8802 -2.7485 -2.6321
 -2.5283 -2.4350 -2.3498 -2.2709 -2.1972 -2.0278 -1.8738 -1.7472 -1.6526 -1.5839
 -1.5358 -1.5031 -1.4802 -1.4625 -1.4472 -1.4328 -1.4190 -1.4056 -1.3929 -1.3817
 -1.3716
 -4.6151 -4.2556 -3.9382 -3.6624 -3.4255 -3.2222 -3.0465 -2.8931 -2.7578 -2.6373
 -2.5292 -2.4319 -2.3438 -2.2628 -2.1875 -2.0184 -1.8711 -1.7468 -1.6506 -1.5803
 -1.5311 -1.4985 -1.4779 -1.4647 -1.4552 -1.4470 -1.4394 -1.4316 -1.4237 -1.4162
 -1.4096
 -4.5473 -4.2213 -3.9306 -3.6724 -3.4453 -3.2450 -3.0681 -2.9112 -2.7714 -2.6464
 -2.5340 -2.4328 -2.3374 -2.2541 -2.1867 -2.0093 -1.8667 -1.7474 -1.6493
 [Fe/H] = -1.00 [alpha/Fe] = 0.00 BC value = G_BP 
 -7.3962 -6.9253 -6.4788 -6.0507 -5.6303 -5.1874 -4.6922 -4.1586 -3.7108 -3.3614
 -3.0955 -2.8887 -2.7193 -2.5764 -2.4521 -2.1977 -1.9963 -1.8285 -1.6870
