 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  G   
 -1.6725 -0.3359  1.0537  1.1921 -0.2871 -2.9375 -2.1135 -0.6859  0.1656  0.2105
  0.3003  0.3142 -0.0796 -0.5505 -0.7813 -0.5251
 -1.8112 -1.2351 -0.5687 -0.4317 -0.9593 -2.1442 -1.8018 -1.1694 -0.6963 -0.5194
 -0.3743 -0.3182 -0.4570 -0.6423 -0.7178 -0.4930 -0.3315 -0.2282 -0.2148
 -1.7216 -1.5653 -1.3381 -1.2151 -1.2272 -1.5086 -1.4240 -1.2538 -1.0598 -0.8845
 -0.7531 -0.6827 -0.6716 -0.6779 -0.6540 -0.4636 -0.3236 -0.2274 -0.1795 -0.1406
 -0.0728
 -1.4037 -1.3265 -1.2545 -1.1581 -1.0909 -1.0306 -0.9801 -0.9389 -0.9247 -0.8847
 -0.8361 -0.7795 -0.7233 -0.6573 -0.5899 -0.4369 -0.3144 -0.2274 -0.1661 -0.1234
 -0.0905 -0.0644 -0.0428
 -1.1821 -1.1399 -1.0959 -1.0380 -0.9853 -0.9327 -0.8831 -0.8383 -0.7989 -0.7625
 -0.7243 -0.6809 -0.6349 -0.5851 -0.5315 -0.4057 -0.3055 -0.2321 -0.1788 -0.1394
 -0.1091 -0.0848 -0.0644 -0.0476 -0.0343
 -0.9731 -0.9581 -0.9374 -0.9090 -0.8736 -0.8336 -0.7914 -0.7497 -0.7100 -0.6729
 -0.6377 -0.6025 -0.5645 -0.5258 -0.4829 -0.3789 -0.2951 -0.2331 -0.1877 -0.1531
 -0.1262 -0.1044 -0.0859 -0.0699 -0.0562 -0.0453
 -0.7767 -0.7811 -0.7790 -0.7711 -0.7558 -0.7333 -0.7050 -0.6731 -0.6398 -0.6064
 -0.5738 -0.5420 -0.5104 -0.4788 -0.4441 -0.3565 -0.2832 -0.2304 -0.1928 -0.1645
 -0.1418 -0.1232 -0.1073 -0.0932 -0.0805 -0.0696 -0.0611 -0.0574 -0.0608 -0.0723
 -0.5930 -0.6089 -0.6207 -0.6288 -0.6316 -0.6274 -0.6158 -0.5981 -0.5756 -0.5502
 -0.5232 -0.4956 -0.4681 -0.4405 -0.4123 -0.3379 -0.2721 -0.2240 -0.1922 -0.1703
 -0.1534 -0.1393 -0.1270 -0.1159 -0.1054 -0.0958 -0.0869 -0.0812 -0.0814 -0.0895
 -0.1059
 -0.4304 -0.4511 -0.4709 -0.4899 -0.5057 -0.5168 -0.5217 -0.5194 -0.5104 -0.4959
 -0.4771 -0.4559 -0.4331 -0.4096 -0.3851 -0.3220 -0.2622 -0.2164 -0.1868 -0.1693
 -0.1583 -0.1500 -0.1427 -0.1358 -0.1289 -0.1220 -0.1156 -0.1094 -0.1065 -0.1103
 -0.1230
 -0.2867 -0.3113 -0.3364 -0.3619 -0.3861 -0.4078 -0.4253 -0.4369 -0.4415 -0.4390
 -0.4304 -0.4170 -0.4003 -0.3815 -0.3610 -0.3061 -0.2522 -0.2081 -0.1789 -0.1628
 -0.1558 -0.1533 -0.1521 -0.1507 -0.1487 -0.1458 -0.1426 -0.1395 -0.1373 -0.1387
 -0.1439
 -0.1637 -0.1908 -0.2184 -0.2464 -0.2750 -0.3028 -0.3284 -0.3504 -0.3671 -0.3768
 -0.3792 -0.3754 -0.3666 -0.3539 -0.3381 -0.2913 -0.2426 -0.2006 -0.1711 -0.1543
 -0.1481 -0.1492 -0.1536 -0.1584 -0.1623 -0.1649 -0.1663 -0.1669 -0.1673 -0.1685
 -0.1705
 -0.0649 -0.0896 -0.1164 -0.1451 -0.1756 -0.2060 -0.2362 -0.2644 -0.2893 -0.3081
 -0.3206 -0.3270 -0.3278 -0.3233 -0.3140 -0.2771 -0.2331 -0.1932 -0.1635 -0.1459
 -0.1389 -0.1406 -0.1481 -0.1581 -0.1682 -0.1770 -0.1842 -0.1899 -0.1945 -0.1986
 -0.2033
  0.0096 -0.0077 -0.0304 -0.0580 -0.0879 -0.1174 -0.1510 -0.1826 -0.2120 -0.2369
 -0.2572 -0.2731 -0.2850 -0.2897 -0.2886 -0.2636 -0.2237 -0.1859 -0.1561
 [Fe/H] = -3.00 [alpha/Fe] = 0.40 BC value =  G   
 -1.3930 -1.2736 -1.2043 -1.1906 -1.2405 -1.4971 -1.3631 -1.2279 -1.1240 -1.0433
 -0.9231 -0.8033 -0.7686 -0.7740 -0.7430 -0.5205
 -1.3985 -1.2766 -1.1904 -1.1451 -1.1471 -1.2687 -1.2042 -1.1313 -1.0641 -1.0011
 -0.9197 -0.8355 -0.7803 -0.7390 -0.6824 -0.4853 -0.3347 -0.2273 -0.1518
 -1.3813 -1.2626 -1.1677 -1.1011 -1.0678 -1.0929 -1.0676 -1.0336 -0.9921 -0.9439
 -0.8899 -0.8309 -0.7675 -0.7003 -0.6298 -0.4548 -0.3218 -0.2258 -0.1578 -0.1090
 -0.0725
 -1.3414 -1.2316 -1.1362 -1.0586 -1.0025 -0.9697 -0.9533 -0.9350 -0.9079 -0.8717
 -0.8337 -0.7894 -0.7301 -0.6578 -0.5852 -0.4290 -0.3111 -0.2259 -0.1651 -0.1209
 -0.0874 -0.0611 -0.0391
 -1.2788 -1.1836 -1.0959 -1.0176 -0.9513 -0.8991 -0.8613 -0.8354 -0.8116 -0.7845
 -0.7511 -0.7111 -0.6682 -0.6116 -0.5486 -0.4079 -0.3026 -0.2276 -0.1737 -0.1339
 -0.1033 -0.0790 -0.0590 -0.0425 -0.0296
 -1.1935 -1.1186 -1.0468 -0.9781 -0.9142 -0.8575 -0.8100 -0.7715 -0.7398 -0.7116
 -0.6807 -0.6443 -0.6077 -0.5657 -0.5149 -0.3903 -0.2946 -0.2282 -0.1816 -0.1467
 -0.1195 -0.0976 -0.0793 -0.0638 -0.0507 -0.0402
 -1.0858 -1.0319 -0.9794 -0.9263 -0.8727 -0.8202 -0.7714 -0.7283 -0.6909 -0.6572
 -0.6244 -0.5904 -0.5543 -0.5209 -0.4798 -0.3738 -0.2862 -0.2260 -0.1862 -0.1571
 -0.1343 -0.1157 -0.1000 -0.0863 -0.0743 -0.0641 -0.0563 -0.0532 -0.0570 -0.0686
 -0.9637 -0.9273 -0.8925 -0.8568 -0.8179 -0.7760 -0.7325 -0.6905 -0.6518 -0.6165
 -0.5831 -0.5497 -0.5151 -0.4824 -0.4476 -0.3563 -0.2771 -0.2207 -0.1855 -0.1626
 -0.1453 -0.1312 -0.1191 -0.1085 -0.0987 -0.0898 -0.0825 -0.0771 -0.0772 -0.0857
 -0.1023
 -0.8421 -0.8154 -0.7918 -0.7709 -0.7470 -0.7188 -0.6856 -0.6497 -0.6138 -0.5796
 -0.5472 -0.5157 -0.4839 -0.4518 -0.4204 -0.3389 -0.2674 -0.2135 -0.1794 -0.1615
 -0.1473 -0.1417 -0.1345 -0.1281 -0.1218 -0.1155 -0.1098 -0.1073 -0.1083 -0.1124
 -0.1194
 -0.7061 -0.6987 -0.6880 -0.6744 -0.6624 -0.6470 -0.6263 -0.6005 -0.5712 -0.5408
 -0.5110 -0.4821 -0.4535 -0.4247 -0.3962 -0.3219 -0.2561 -0.2054 -0.1724 -0.1551
 -0.1478 -0.1451 -0.1440 -0.1429 -0.1414 -0.1391 -0.1366 -0.1341 -0.1326 -0.1336
 -0.1402
 -0.5827 -0.5842 -0.5810 -0.5736 -0.5704 -0.5643 -0.5550 -0.5406 -0.5212 -0.4980
 -0.4728 -0.4476 -0.4227 -0.3977 -0.3727 -0.3069 -0.2457 -0.1973 -0.1647 -0.1466
 -0.1403 -0.1414 -0.1458 -0.1508 -0.1551 -0.1582 -0.1602 -0.1614 -0.1624 -0.1641
 -0.1667
 -0.4632 -0.4718 -0.4775 -0.4808 -0.4850 -0.4883 -0.4885 -0.4700 -0.4610 -0.4472
 -0.4296 -0.4097 -0.3890 -0.3682 -0.3471 -0.2918 -0.2352 -0.1893 -0.1570 -0.1383
 -0.1312 -0.1330 -0.1407 -0.1509 -0.1613 -0.1705 -0.1782 -0.1845 -0.1895 -0.1941
 -0.1993
 -0.3478 -0.3615 -0.3776 -0.3959 -0.4061 -0.4191 -0.4040 -0.4069 -0.4057 -0.3877
 -0.3789 -0.3665 -0.3516 -0.3355 -0.3194 -0.2766 -0.2246 -0.1814 -0.1493
 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  G   
 -1.5275 -1.5652 -1.6551 -1.6382 -1.4837 -1.3311 -1.2987 -1.3351 -1.3294 -1.2444
 -1.1303 -1.0044 -0.8935 -0.8047 -0.7147 -0.5102
 -1.4695 -1.4220 -1.4156 -1.3752 -1.2881 -1.2077 -1.1760 -1.1706 -1.1475 -1.0905
 -1.0152 -0.9256 -0.8326 -0.7454 -0.6608 -0.4756 -0.3312 -0.2246 -0.1414
 -1.4246 -1.3205 -1.2475 -1.1857 -1.1341 -1.0943 -1.0631 -1.0348 -1.0032 -0.9644
 -0.9151 -0.8524 -0.7765 -0.6949 -0.6162 -0.4474 -0.3179 -0.2226 -0.1520 -0.1015
 -0.0686
 -1.3928 -1.2607 -1.1508 -1.0697 -1.0217 -0.9909 -0.9600 -0.9277 -0.8965 -0.8661
 -0.8300 -0.7848 -0.7252 -0.6532 -0.5809 -0.4256 -0.3080 -0.2223 -0.1611 -0.1165
 -0.0827 -0.0564 -0.0355
 -1.3741 -1.2426 -1.1255 -1.0272 -0.9509 -0.8975 -0.8667 -0.8493 -0.8274 -0.7956
 -0.7599 -0.7228 -0.6787 -0.6203 -0.5549 -0.4102 -0.3015 -0.2237 -0.1688 -0.1286
 -0.0979 -0.0735 -0.0536 -0.0370 -0.0242
 -1.3431 -1.2231 -1.1124 -1.0141 -0.9306 -0.8634 -0.8128 -0.7765 -0.7520 -0.7321
 -0.7049 -0.6697 -0.6332 -0.5888 -0.5333 -0.3990 -0.2967 -0.2248 -0.1759 -0.1404
 -0.1132 -0.0913 -0.0732 -0.0580 -0.0455 -0.0356
 -1.2885 -1.1862 -1.0894 -1.0001 -0.9196 -0.8492 -0.7902 -0.7428 -0.7050 -0.6739
 -0.6465 -0.6179 -0.5856 -0.5517 -0.5084 -0.3890 -0.2919 -0.2240 -0.1801 -0.1500
 -0.1271 -0.1086 -0.0931 -0.0799 -0.0684 -0.0587 -0.0515 -0.0490 -0.0531 -0.0648
 -1.2090 -1.1262 -1.0469 -0.9719 -0.9013 -0.8355 -0.7757 -0.7230 -0.6784 -0.6403
 -0.6061 -0.5736 -0.5410 -0.5106 -0.4764 -0.3761 -0.2860 -0.2208 -0.1799 -0.1550
 -0.1374 -0.1234 -0.1117 -0.1014 -0.0921 -0.0838 -0.0772 -0.0725 -0.0731 -0.0818
 -0.0986
 -1.1109 -1.0457 -0.9834 -0.9244 -0.8673 -0.8115 -0.7571 -0.7053 -0.6578 -0.6159
 -0.5785 -0.5435 -0.5095 -0.4763 -0.4452 -0.3580 -0.2775 -0.2151 -0.1757 -0.1540
 -0.1419 -0.1335 -0.1266 -0.1204 -0.1146 -0.1090 -0.1040 -0.1002 -0.0989 -0.1023
 -0.1157
 -1.0006 -0.9508 -0.9031 -0.8582 -0.8148 -0.7712 -0.7264 -0.6807 -0.6355 -0.5929
 -0.5539 -0.5182 -0.4841 -0.4508 -0.4194 -0.3386 -0.2656 -0.2074 -0.1685 -0.1481
 -0.1397 -0.1368 -0.1358 -0.1350 -0.1339 -0.1322 -0.1303 -0.1285 -0.1277 -0.1294
 -0.1364
 -0.8869 -0.8500 -0.8140 -0.7801 -0.7481 -0.7160 -0.6823 -0.6457 -0.6071 -0.5678
 -0.5297 -0.4940 -0.4608 -0.4291 -0.3984 -0.3224 -0.2538 -0.1992 -0.1611 -0.1400
 -0.1325 -0.1332 -0.1376 -0.1428 -0.1475 -0.1510 -0.1537 -0.1555 -0.1572 -0.1595
 -0.1627
 -0.7719 -0.7463 -0.7204 -0.6951 -0.6713 -0.6484 -0.6244 -0.5977 -0.5678 -0.5353
 -0.5014 -0.4678 -0.4358 -0.4058 -0.3772 -0.3077 -0.2425 -0.1904 -0.1535 -0.1317
 -0.1235 -0.1251 -0.1327 -0.1431 -0.1537 -0.1632 -0.1715 -0.1784 -0.1840 -0.1893
 -0.1950
 -0.6555 -0.6397 -0.6254 -0.6069 -0.5896 -0.5731 -0.5563 -0.5380 -0.5169 -0.4928
 -0.4657 -0.4370 -0.4080 -0.3801 -0.3558 -0.2945 -0.2317 -0.1810 -0.1457
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value =  G   
 -1.8858 -1.8126 -1.7562 -1.7187 -1.6676 -1.6038 -1.5191 -1.4185 -1.3068 -1.1962
 -1.0860 -0.9791 -0.8776 -0.7833 -0.6803 -0.4930
 -1.7254 -1.6505 -1.5837 -1.5209 -1.4605 -1.3979 -1.3282 -1.2489 -1.1639 -1.0790
 -0.9926 -0.9033 -0.8120 -0.7238 -0.6366 -0.4620 -0.3243 -0.2204 -0.1451
 -1.6102 -1.5179 -1.4373 -1.3647 -1.2978 -1.2352 -1.1744 -1.1101 -1.0443 -0.9788
 -0.9115 -0.8389 -0.7596 -0.6785 -0.6016 -0.4380 -0.3120 -0.2178 -0.1495 -0.0996
 -0.0622
 -1.5402 -1.4148 -1.3170 -1.2501 -1.1795 -1.1158 -1.0577 -1.0021 -0.9480 -0.8956
 -0.8427 -0.7859 -0.7204 -0.6474 -0.5753 -0.4210 -0.3039 -0.2173 -0.1550 -0.1098
 -0.0753 -0.0492 -0.0290
 -1.5092 -1.3598 -1.2417 -1.1509 -1.0801 -1.0224 -0.9720 -0.9239 -0.8748 -0.8274
 -0.7821 -0.7367 -0.6859 -0.6242 -0.5577 -0.4110 -0.3000 -0.2189 -0.1616 -0.1205
 -0.0896 -0.0652 -0.0455 -0.0294 -0.0173
 -1.5041 -1.3563 -1.2204 -1.1088 -1.0203 -0.9500 -0.8939 -0.8488 -0.8117 -0.7774
 -0.7359 -0.6933 -0.6505 -0.6022 -0.5439 -0.4047 -0.2981 -0.2211 -0.1678 -0.1309
 -0.1034 -0.0817 -0.0640 -0.0493 -0.0375 -0.0285
 -1.4934 -1.3507 -1.2156 -1.0935 -0.9878 -0.9001 -0.8299 -0.7760 -0.7363 -0.7090
 -0.6848 -0.6534 -0.6170 -0.5766 -0.5289 -0.3995 -0.2965 -0.2223 -0.1722 -0.1393
 -0.1160 -0.0977 -0.0827 -0.0701 -0.0593 -0.0505 -0.0444 -0.0426 -0.0469 -0.0585
 -1.4627 -1.3336 -1.2073 -1.0902 -0.9854 -0.8943 -0.8172 -0.7538 -0.7030 -0.6620
