 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  H   
  2.4342  2.4555  2.4815  2.5013  2.5155  2.5235  2.5235  2.5015  2.4693  2.4276
  2.3786  2.3653  2.3032  2.2387  2.1725  2.0040  1.8403  1.6915  1.5396
  2.3233  2.3030  2.3242  2.3826  2.4497  2.4808  2.4810  2.4639  2.4361  2.4001
  2.3561  2.3054  2.2502  2.1923  2.1333  1.9850  1.8352  1.6839  1.5332  1.3850
  2.2627  2.2504  2.2436  2.2486  2.2701  2.3146  2.3685  2.3942  2.3882  2.3603
  2.3214  2.2753  2.2229  2.1664  2.1082  1.9627  1.8188  1.6730  1.5260  1.3809
  1.2388
  2.2154  2.2072  2.1980  2.1913  2.1909  2.1993  2.2173  2.2481  2.2793  2.2874
  2.2703  2.2361  2.1908  2.1380  2.0817  1.9385  1.7991  1.6602  1.5181  1.3760
  1.2364  1.1000
  2.1531  2.1540  2.1506  2.1449  2.1397  2.1374  2.1396  2.1457  2.1559  2.1700
  2.1771  2.1664  2.1397  2.1003  2.0513  1.9131  1.7767  1.6441  1.5087  1.3706
  1.2335  1.0991  0.9679  0.8398
  2.0726  2.0852  2.0911  2.0920  2.0897  2.0861  2.0834  2.0825  2.0821  2.0812
  2.0799  2.0758  2.0632  2.0393  2.0045  1.8855  1.7528  1.6246  1.4964  1.3641
  1.2301  1.0977  0.9683  0.8420  0.7181  0.5968  0.4786  0.3638  0.2525  0.1449
  1.9735  1.9988  2.0163  2.0266  2.0311  2.0315  2.0296  2.0272  2.0247  2.0206
  2.0137  2.0031  1.9889  1.9703  1.9446  1.8494  1.7277  1.6031  1.4807  1.3552
  1.2259  1.0961  0.9684  0.8435  0.7218  0.6031  0.4872  0.3736  0.2623  0.1535
  0.0492
  1.8559  1.8946  1.9245  1.9460  1.9597  1.9670  1.9700  1.9699  1.9679  1.9649
  1.9590  1.9487  1.9331  1.9129  1.8886  1.8071  1.6997  1.5810  1.4626  1.3432
  1.2199  1.0938  0.9681  0.8448  0.7245  0.6070  0.4924  0.3804  0.2709  0.1635
  0.0581
  1.7248  1.7750  1.8160  1.8487  1.8731  1.8897  1.8999  1.9050  1.9066  1.9058
  1.9027  1.8960  1.8841  1.8663  1.8427  1.7659  1.6688  1.5575  1.4423  1.3269
  1.2093  1.0881  0.9652  0.8433  0.7240  0.6076  0.4941  0.3833  0.2749  0.1689
  0.0652
  1.5802  1.6400  1.6925  1.7352  1.7699  1.7967  1.8160  1.8288  1.8363  1.8399
  1.8406  1.8383  1.8319  1.8199  1.8016  1.7303  1.6402  1.5362  1.4248  1.3118
  1.1981  1.0823  0.9640  0.8449  0.7270  0.6117  0.4993  0.3897  0.2806  0.1759
  0.0740
  1.4221  1.4896  1.5540  1.6098  1.6511  1.6871  1.7161  1.7382  1.7538  1.7641
  1.7703  1.7729  1.7721  1.7669  1.7559  1.6987  1.6125  1.5156  1.4087  1.2979
  1.1862  1.0737  0.9599  0.8448  0.7296  0.6160  0.5045  0.3959  0.2900  0.1866
  0.0855
  1.2505  1.3238  1.4005  1.4736  1.5202  1.5629  1.6000  1.6311  1.6560  1.6750
  1.6887  1.6980  1.7034  1.7049  1.7056  1.6711  1.5857  1.4957  1.3940
 [Fe/H] = -2.00 [alpha/Fe] = 0.00 BC value =  H   
  2.4745  2.5004  2.5249  2.5422  2.5509  2.5506  2.5409  2.5173  2.4842  2.4428
  2.3946  2.3549  2.2967  2.2359  2.1733  2.0127  1.8522  1.6973  1.5423
  2.3409  2.3849  2.4557  2.4937  2.5069  2.5084  2.5004  2.4827  2.4551  2.4185
  2.3738  2.3225  2.2664  2.2075  2.1470  1.9934  1.8397  1.6868  1.5357  1.3873
  2.2975  2.2846  2.2890  2.3188  2.3839  2.4388  2.4549  2.4449  2.4215  2.3892
  2.3490  2.3015  2.2475  2.1895  2.1294  1.9773  1.8264  1.6770  1.5290  1.3836
  1.2412
  2.2818  2.2604  2.2433  2.2357  2.2411  2.2625  2.3092  2.3577  2.3720  2.3545
  2.3197  2.2765  2.2265  2.1706  2.1118  1.9607  1.8121  1.6664  1.5219  1.3791
  1.2393  1.1026
  2.2584  2.2408  2.2220  2.2051  2.1934  2.1885  2.1915  2.2052  2.2361  2.2649
  2.2657  2.2407  2.1998  2.1491  2.0925  1.9438  1.7967  1.6543  1.5141  1.3744
  1.2367  1.1020  0.9706  0.8423
  2.2171  2.2085  2.1956  2.1807  2.1654  2.1521  2.1422  2.1360  2.1337  2.1396
  2.1544  2.1602  2.1454  2.1132  2.0678  1.9261  1.7807  1.6405  1.5044  1.3690
  1.2340  1.1011  0.9714  0.8447  0.7212  0.6006  0.4826  0.3672  0.2544  0.1468
  2.1539  2.1575  2.1542  2.1463  2.1352  2.1221  2.1087  2.0959  2.0842  2.0734
  2.0652  2.0619  2.0583  2.0451  2.0180  1.9047  1.7640  1.6256  1.4926  1.3618
  1.2305  1.0999  0.9718  0.8467  0.7246  0.6055  0.4891  0.3755  0.2643  0.1553
  0.0511
  2.0689  2.0857  2.0944  2.0963  2.0929  2.0850  2.0740  2.0611  2.0471  2.0323
  2.0167  2.0005  1.9857  1.9705  1.9516  1.8675  1.7443  1.6098  1.4791  1.3523
  1.2257  1.0982  0.9719  0.8483  0.7276  0.6099  0.4948  0.3826  0.2729  0.1654
  0.0600
  1.9655  1.9948  2.0160  2.0290  2.0351  2.0351  2.0300  2.0209  2.0088  1.9945
  1.9783  1.9597  1.9390  1.9170  1.8940  1.8207  1.7153  1.5907  1.4630  1.3390
