 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  R   
 -2.9537 -2.6624 -2.3414 -2.0669 -1.9203 -1.9003 -2.2224 -2.1644 -2.0945 -2.0064
 -1.9065 -1.8364 -1.7192 -1.6031 -1.4941 -1.2878 -1.1432 -1.0536 -1.0014
 -2.7038 -2.4812 -2.3225 -2.2213 -2.1618 -2.1072 -2.0465 -1.9838 -1.9218 -1.8589
 -1.7867 -1.7012 -1.6071 -1.5147 -1.4296 -1.2562 -1.1353 -1.0591 -1.0134 -0.9871
 -2.5818 -2.3779 -2.2112 -2.0811 -1.9872 -1.9287 -1.8962 -1.8615 -1.8117 -1.7504
 -1.6885 -1.6230 -1.5468 -1.4665 -1.3912 -1.2378 -1.1331 -1.0677 -1.0281 -1.0046
 -0.9917
 -2.4850 -2.3034 -2.1487 -2.0186 -1.9128 -1.8315 -1.7726 -1.7327 -1.7026 -1.6642
 -1.6122 -1.5575 -1.4977 -1.4309 -1.3645 -1.2262 -1.1325 -1.0758 -1.0419 -1.0211
 -1.0092 -1.0037
 -2.3805 -2.2265 -2.0918 -1.9729 -1.8687 -1.7808 -1.7101 -1.6549 -1.6110 -1.5743
 -1.5374 -1.4945 -1.4492 -1.3969 -1.3417 -1.2174 -1.1310 -1.0809 -1.0530 -1.0359
 -1.0258 -1.0210 -1.0204 -1.0223
 -2.2648 -2.1373 -2.0253 -1.9234 -1.8292 -1.7436 -1.6689 -1.6071 -1.5566 -1.5131
 -1.4733 -1.4347 -1.3976 -1.3572 -1.3132 -1.2076 -1.1272 -1.0809 -1.0588 -1.0471
 -1.0403 -1.0374 -1.0378 -1.0411 -1.0468 -1.0560 -1.0696 -1.0886 -1.1136 -1.1449
 -2.1447 -2.0372 -1.9458 -1.8621 -1.7824 -1.7056 -1.6337 -1.5697 -1.5156 -1.4701
 -1.4292 -1.3905 -1.3537 -1.3182 -1.2814 -1.1925 -1.1202 -1.0759 -1.0576 -1.0518
 -1.0504 -1.0512 -1.0540 -1.0588 -1.0652 -1.0718 -1.0809 -1.0954 -1.1175 -1.1478
 -1.1827
 -2.0222 -1.9324 -1.8567 -1.7886 -1.7238 -1.6595 -1.5953 -1.5343 -1.4795 -1.4324
 -1.3919 -1.3551 -1.3200 -1.2864 -1.2528 -1.1740 -1.1100 -1.0673 -1.0500 -1.0488
 -1.0536 -1.0599 -1.0669 -1.0747 -1.0832 -1.0923 -1.1011 -1.1121 -1.1284 -1.1522
 -1.1851
 -1.9024 -1.8280 -1.7629 -1.7062 -1.6536 -1.6012 -1.5477 -1.4938 -1.4422 -1.3953
 -1.3549 -1.3197 -1.2877 -1.2574 -1.2271 -1.1550 -1.0968 -1.0571 -1.0390 -1.0393
