 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  i   
 -0.3052 -0.2686 -0.2830 -0.2809 -0.2462 -0.2165 -0.2233 -0.2462 -0.2485 -0.2171
 -0.1671 -0.1043 -0.0377  0.0240  0.0813  0.1925  0.2537  0.2759  0.2805
 -0.2879 -0.2129 -0.1752 -0.1530 -0.1426 -0.1427 -0.1483 -0.1529 -0.1509 -0.1393
 -0.1158 -0.0789 -0.0294  0.0255  0.0773  0.1775  0.2331  0.2522  0.2513  0.2358
 -0.2752 -0.1837 -0.1189 -0.0810 -0.0714 -0.0761 -0.0796 -0.0802 -0.0798 -0.0780
 -0.0689 -0.0497 -0.0166  0.0282  0.0738  0.1641  0.2151  0.2320  0.2278  0.2122
  0.1893
 -0.2671 -0.1810 -0.1141 -0.0649 -0.0326 -0.0167 -0.0172 -0.0281 -0.0352 -0.0332
 -0.0264 -0.0167  0.0007  0.0321  0.0708  0.1523  0.1997  0.2153  0.2100  0.1944
  0.1726  0.1460
 -0.2407 -0.1673 -0.1076 -0.0596 -0.0228  0.0031  0.0187  0.0252  0.0232  0.0171
  0.0159  0.0210  0.0281  0.0443  0.0727  0.1445  0.1889  0.2033  0.1963  0.1796
  0.1578  0.1320  0.1027  0.0699
 -0.1885 -0.1317 -0.0845 -0.0444 -0.0107  0.0167  0.0373  0.0516  0.0606  0.0656
  0.0675  0.0691  0.0722  0.0760  0.0890  0.1431  0.1838  0.1975  0.1884  0.1688
  0.1453  0.1190  0.0903  0.0588  0.0247 -0.0124 -0.0531 -0.0994 -0.1517 -0.2060
 -0.1120 -0.0721 -0.0394 -0.0112  0.0143  0.0372  0.0570  0.0733  0.0858  0.0956
  0.1036  0.1105  0.1168  0.1193  0.1242  0.1536  0.1854  0.1980  0.1875  0.1640
  0.1368  0.1084  0.0786  0.0472  0.0142 -0.0208 -0.0586 -0.0994 -0.1458 -0.1990
 -0.2547
 -0.0182  0.0073  0.0266  0.0422  0.0569  0.0713  0.0858  0.0995  0.1117  0.1220
  0.1311  0.1398  0.1481  0.1554  0.1595  0.1778  0.1959  0.2046  0.1935  0.1669
  0.1347  0.1021  0.0695  0.0367  0.0031 -0.0312 -0.0672 -0.1053 -0.1465 -0.1928
 -0.2468
  0.0859  0.0993  0.1081  0.1134  0.1175  0.1222  0.1285  0.1361  0.1442  0.1521
  0.1596  0.1669  0.1744  0.1820  0.1875  0.2032  0.2139  0.2164  0.2043  0.1762
  0.1397  0.1017  0.0645  0.0283 -0.0072 -0.0426 -0.0784 -0.1151 -0.1536 -0.1950
 -0.2418
  0.1927  0.1973  0.1980  0.1960  0.1920  0.1881  0.1854  0.1851  0.1867  0.1896
  0.1932  0.1972  0.2018  0.2068  0.2116  0.2244  0.2326  0.2309  0.2176  0.1901
  0.1519  0.1096  0.0671  0.0261 -0.0132 -0.0511 -0.0884 -0.1255 -0.1630 -0.2019
 -0.2431
  0.3006  0.2983  0.2927  0.2850  0.2756  0.2653  0.2554  0.2472  0.2411  0.2372
  0.2350  0.2341  0.2341  0.2351  0.2368  0.2432  0.2493  0.2458  0.2311  0.2045
  0.1672  0.1232  0.0768  0.0308 -0.0133 -0.0554 -0.0958 -0.1350 -0.1733 -0.2117
 -0.2512
  0.4095  0.4023  0.3889  0.3776  0.3640  0.3493  0.3343  0.3199  0.3069  0.2956
  0.2866  0.2793  0.2736  0.2693  0.2631  0.2596  0.2640  0.2611  0.2448
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value =  i   
 -0.5745 -0.5006 -0.4455 -0.4046 -0.3742 -0.3483 -0.3216 -0.2901 -0.2535 -0.2122
 -0.1637 -0.1074 -0.0460  0.0146  0.0739  0.1841  0.2517  0.2794  0.2792
