 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = G_BP 
 -3.8987 -3.8268 -4.0274 -3.9558 -3.7595 -3.4981 -3.2091 -3.0123 -2.8350 -2.6517
 -2.4796 -2.3206 -2.1731 -2.0365 -1.9070 -1.6294 -1.3529 -1.0885 -0.9300
 -3.8883 -3.6555 -3.4689 -3.3433 -3.2717 -3.1671 -2.9966 -2.8072 -2.6294 -2.4602
 -2.2994 -2.1492 -2.0102 -1.8814 -1.7612 -1.4907 -1.2568 -1.0645 -0.9165 -0.8024
 -3.6724 -3.4418 -3.2365 -3.0626 -2.9223 -2.8278 -2.7522 -2.6347 -2.4826 -2.3218
 -2.1705 -2.0287 -1.8972 -1.7758 -1.6636 -1.4171 -1.2098 -1.0387 -0.9052 -0.8014
 -0.7183
 -3.5009 -3.2886 -3.0877 -2.9071 -2.7489 -2.6116 -2.4984 -2.4137 -2.3262 -2.2091
 -2.0739 -1.9403 -1.8158 -1.7003 -1.5938 -1.3630 -1.1746 -1.0215 -0.8997 -0.8047
 -0.7281 -0.6639
 -3.3543 -3.1635 -2.9768 -2.8008 -2.6414 -2.4986 -2.3708 -2.2569 -2.1633 -2.0769
 -1.9820 -1.8714 -1.7566 -1.6468 -1.5450 -1.3252 -1.1492 -1.0087 -0.8977 -0.8105
 -0.7398 -0.6803 -0.6288 -0.5835
 -3.2276 -3.0530 -2.8840 -2.7184 -2.5632 -2.4214 -2.2930 -2.1762 -2.0701 -1.9738
 -1.8860 -1.7994 -1.7057 -1.6074 -1.5110 -1.2997 -1.1315 -0.9993 -0.8963 -0.8163
 -0.7515 -0.6971 -0.6497 -0.6074 -0.5671 -0.5303 -0.4989 -0.4747 -0.4589 -0.4522
 -3.1209 -2.9563 -2.8001 -2.6480 -2.5000 -2.3619 -2.2350 -2.1193 -2.0141 -1.9167
 -1.8252 -1.7387 -1.6550 -1.5708 -1.4850 -1.2830 -1.1196 -0.9919 -0.8941 -0.8197
 -0.7608 -0.7119 -0.6694 -0.6312 -0.5962 -0.5628 -0.5323 -0.5067 -0.4875 -0.4764
