 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  g   
 -7.0838 -6.7651 -6.6384 -6.6707 -6.7983 -6.8954 -6.5981 -6.4180 -6.2397 -6.0469
 -5.8331 -5.6199 -5.4011 -5.1786 -4.9694 -4.4667 -4.0156 -3.6780 -3.3918
 -7.3195 -6.9719 -6.7110 -6.5282 -6.4003 -6.2776 -6.1400 -5.9910 -5.8343 -5.6693
 -5.4834 -5.2735 -5.0541 -4.8438 -4.6487 -4.2135 -3.8531 -3.5694 -3.3579 -3.1963
 -7.0901 -6.7544 -6.4713 -6.2358 -6.0459 -5.9021 -5.7930 -5.6772 -5.5337 -5.3689
 -5.1994 -5.0199 -4.8249 -4.6338 -4.4585 -4.0825 -3.7714 -3.5235 -3.3360 -3.1913
 -3.0742
 -6.9046 -6.5936 -6.3191 -6.0766 -5.8638 -5.6795 -5.5227 -5.3920 -5.2741 -5.1399
 -4.9823 -4.8204 -4.6513 -4.4784 -4.3175 -3.9806 -3.7100 -3.4924 -3.3251 -3.1943
 -3.0873 -2.9955
 -6.7178 -6.4427 -6.1914 -5.9603 -5.7479 -5.5541 -5.3788 -5.2215 -5.0800 -4.9499
 -4.8182 -4.6751 -4.5258 -4.3703 -4.2208 -3.9086 -3.6659 -3.4718 -3.3208 -3.2020
 -3.1039 -3.0190 -2.9431 -2.8732
 -6.5202 -6.2846 -6.0646 -5.8555 -5.6560 -5.4673 -5.2899 -5.1249 -4.9726 -4.8311
 -4.6973 -4.5666 -4.4357 -4.2990 -4.1622 -3.8634 -3.6367 -3.4583 -3.3196 -3.2109
 -3.1212 -3.0433 -2.9731 -2.9085 -2.8456 -2.7865 -2.7341 -2.6908 -2.6584 -2.6379
 -6.3213 -6.1181 -5.9303 -5.7482 -5.5693 -5.3941 -5.2243 -5.0615 -4.9073 -4.7626
 -4.6261 -4.4960 -4.3707 -4.2469 -4.1240 -3.8423 -3.6208 -3.4506 -3.3190 -3.2178
 -3.1360 -3.0653 -3.0017 -2.9426 -2.8869 -2.8334 -2.7834 -2.7389 -2.7013 -2.6731
 -2.6605
 -6.1244 -5.9509 -5.7896 -5.6331 -5.4780 -5.3220 -5.1654 -5.0113 -4.8620 -4.7183
 -4.5822 -4.4532 -4.3301 -4.2112 -4.0960 -3.8329 -3.6164 -3.4485 -3.3194 -3.2217
 -3.1457 -3.0823 -3.0259 -2.9735 -2.9236 -2.8757 -2.8285 -2.7843 -2.7463 -2.7166
 -2.6968
 -5.9368 -5.7874 -5.6452 -5.5096 -5.3760 -5.2401 -5.1012 -4.9603 -4.8201 -4.6824
 -4.5493 -4.4221 -4.3013 -4.1855 -4.0742 -3.8234 -3.6146 -3.4491 -3.3204 -3.2228
 -3.1494 -3.0918 -3.0427 -2.9978 -2.9550 -2.9133 -2.8730 -2.8355 -2.8009 -2.7690
 -2.7396
 -5.7584 -5.6276 -5.5059 -5.3847 -5.2671 -5.1498 -5.0293 -4.9049 -4.7779 -4.6501
 -4.5236 -4.4005 -4.2822 -4.1694 -4.0615 -3.8178 -3.6153 -3.4521 -3.3241 -3.2254
 -3.1515 -3.0961 -3.0524 -3.0148 -2.9798 -2.9457 -2.9121 -2.8789 -2.8508 -2.8198
 -2.7881
 -5.5894 -5.4715 -5.3717 -5.2582 -5.1519 -5.0477 -4.9432 -4.8357 -4.7242 -4.6097
 -4.4937 -4.3781 -4.2647 -4.1552 -4.0504 -3.8129 -3.6146 -3.4539 -3.3268 -3.2278
 -3.1528 -3.0971 -3.0558 -3.0234 -2.9956 -2.9694 -2.9436 -2.9176 -2.8915 -2.8661
 -2.8422
 -5.4297 -5.3191 -5.2426 -5.1296 -5.0301 -4.9349 -4.8420 -4.7486 -4.6527 -4.5535
 -4.4511 -4.3467 -4.2419 -4.1384 -4.0409 -3.8087 -3.6125 -3.4545 -3.3285
 [Fe/H] = -2.00 [alpha/Fe] = 0.00 BC value =  g   
 -7.5870 -7.1947 -6.9251 -6.7575 -6.6602 -6.5790 -6.3817 -6.2261 -6.0548 -5.8619
 -5.6463 -5.4215 -5.1958 -4.9821 -4.7864 -4.3493 -3.9681 -3.6593 -3.3983
 -7.3147 -6.9739 -6.7278 -6.5150 -6.3233 -6.1542 -6.0015 -5.8547 -5.7024 -5.5360
 -5.3499 -5.1440 -4.9311 -4.7302 -4.5481 -4.1620 -3.8398 -3.5712 -3.3606 -3.1949
 -7.0678 -6.6862 -6.3885 -6.1640 -6.0069 -5.8784 -5.7382 -5.5872 -5.4343 -5.2809
 -5.1187 -4.9408 -4.7477 -4.5586 -4.3874 -4.0358 -3.7557 -3.5232 -3.3372 -3.1909
 -3.0721
 -6.9383 -6.5607 -6.2507 -5.9973 -5.7920 -5.6272 -5.5011 -5.3929 -5.2624 -5.1077
 -4.9494 -4.7901 -4.6201 -4.4438 -4.2815 -3.9482 -3.6956 -3.4906 -3.3247 -3.1923
 -3.0836 -2.9907
 -6.8425 -6.4851 -6.1824 -5.9250 -5.7053 -5.5175 -5.3560 -5.2164 -5.0976 -4.9813
 -4.8410 -4.6880 -4.5318 -4.3709 -4.2142 -3.8924 -3.6553 -3.4691 -3.3192 -3.1984
 -3.0987 -3.0127 -2.9363 -2.8669
 -6.7453 -6.4184 -6.1339 -5.8846 -5.6643 -5.4684 -5.2937 -5.1369 -4.9941 -4.8633
 -4.7413 -4.6134 -4.4744 -4.3260 -4.1776 -3.8611 -3.6305 -3.4553 -3.3168 -3.2059
 -3.1145 -3.0355 -2.9649 -2.9002 -2.8402 -2.7846 -2.7341 -2.6888 -2.6520 -2.6309
 -6.6354 -6.3428 -6.0838 -5.8504 -5.6378 -5.4430 -5.2643 -5.1002 -4.9484 -4.8065
 -4.6726 -4.5456 -4.4224 -4.2937 -4.1590 -3.8487 -3.6178 -3.4471 -3.3153 -3.2118
 -3.1280 -3.0563 -2.9922 -2.9331 -2.8777 -2.8255 -2.7771 -2.7330 -2.6944 -2.6664
 -2.6541
 -6.5159 -6.2550 -6.0229 -5.8102 -5.6112 -5.4239 -5.2477 -5.0819 -4.9267 -4.7806
 -4.6419 -4.5099 -4.3846 -4.2628 -4.1416 -3.8509 -3.6156 -3.4439 -3.3146 -3.2150
 -3.1370 -3.0724 -3.0154 -2.9630 -2.9133 -2.8659 -2.8211 -2.7791 -2.7405 -2.7097
 -2.6901
 -6.3919 -6.1561 -5.9468 -5.7550 -5.5735 -5.3986 -5.2297 -5.0675 -4.9128 -4.7658
 -4.6260 -4.4926 -4.3652 -4.2429 -4.1248 -3.8512 -3.6202 -3.4442 -3.3140 -3.2152
 -3.1402 -3.0813 -3.0315 -2.9865 -2.9438 -2.9026 -2.8629 -2.8248 -2.7892 -2.7575
 -2.7327
 -6.2784 -6.0605 -5.8668 -5.6909 -5.5255 -5.3656 -5.2084 -5.0539 -4.9037 -4.7589
 -4.6200 -4.4873 -4.3600 -4.2379 -4.1206 -3.8535 -3.6285 -3.4505 -3.3171 -3.2169
 -3.1417 -3.0853 -3.0409 -3.0031 -2.9681 -2.9343 -2.9013 -2.8689 -2.8375 -2.8083
 -2.7808
 -6.1734 -5.9686 -5.7838 -5.6179 -5.4642 -5.3179 -5.1740 -5.0309 -4.8892 -4.7500
 -4.6146 -4.4841 -4.3585 -4.2377 -4.1216 -3.8571 -3.6353 -3.4575 -3.3212 -3.2189
 -3.1424 -3.0859 -3.0441 -3.0115 -2.9837 -2.9577 -2.9324 -2.9070 -2.8818 -2.8572
 -2.8342
 -6.0750 -5.8791 -5.7015 -5.5404 -5.3931 -5.2556 -5.1233 -4.9925 -4.8621 -4.7322
 -4.6036 -4.4779 -4.3551 -4.2360 -4.1278 -3.8620 -3.6406 -3.4652 -3.3263
 [Fe/H] = -1.50 [alpha/Fe] = 0.00 BC value =  g   
 -8.1720 -7.7587 -7.4156 -7.1281 -6.8807 -6.6544 -6.4321 -6.2037 -5.9744 -5.7435
 -5.5076 -5.2701 -5.0407 -4.8330 -4.6470 -4.2551 -3.9264 -3.6451 -3.4050
 -7.7865 -7.3623 -7.0047 -6.7092 -6.4633 -6.2506 -6.0537 -5.8591 -5.6650 -5.4684
 -5.2638 -5.0501 -4.8363 -4.6382 -4.4613 -4.1003 -3.8130 -3.5690 -3.3645 -3.1995
 -7.3693 -6.9693 -6.6656 -6.4057 -6.1710 -5.9644 -5.7791 -5.6040 -5.4330 -5.2619
 -5.0853 -4.8976 -4.7009 -4.5110 -4.3394 -3.9947 -3.7334 -3.5189 -3.3389 -3.1910
 -3.0699
 -7.1733 -6.7306 -6.3806 -6.1101 -5.9074 -5.7522 -5.5983 -5.4353 -5.2723 -5.1127
 -4.9536 -4.7895 -4.6138 -4.4340 -4.2664 -3.9284 -3.6812 -3.4857 -3.3241 -3.1901
 -3.0790 -2.9843
