 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  r   
 -2.8927 -2.0669 -1.6434 -1.6193 -2.0811 -2.7526 -3.6117 -3.4840 -3.3632 -3.2374
 -3.1085 -3.0307 -2.8839 -2.7426 -2.6098 -2.3584 -2.1713 -2.0473 -1.9672
 -4.2841 -3.9499 -3.7112 -3.5584 -3.4627 -3.3777 -3.2892 -3.2014 -3.1165 -3.0327
 -2.9406 -2.8357 -2.7227 -2.6125 -2.5109 -2.2998 -2.1465 -2.0439 -1.9776 -1.9346
 -4.0873 -3.7765 -3.5388 -3.3607 -3.2332 -3.1500 -3.0972 -3.0425 -2.9719 -2.8907
 -2.8107 -2.7287 -2.6365 -2.5411 -2.4518 -2.2675 -2.1357 -2.0474 -1.9894 -1.9505
 -1.9244
 -3.9371 -3.6620 -3.4430 -3.2681 -3.1303 -3.0248 -2.9460 -2.8887 -2.8419 -2.7859
 -2.7155 -2.6441 -2.5695 -2.4894 -2.4107 -2.2455 -2.1287 -2.0520 -2.0013 -1.9664
 -1.9420 -1.9251
 -3.7939 -3.5582 -3.3648 -3.2034 -3.0680 -2.9567 -2.8672 -2.7954 -2.7359 -2.6841
 -2.6317 -2.5729 -2.5122 -2.4459 -2.3786 -2.2298 -2.1227 -2.0546 -2.0113 -1.9810
 -1.9590 -1.9434 -1.9326 -1.9245
 -3.6484 -3.4490 -3.2836 -3.1412 -3.0161 -2.9071 -2.8142 -2.7369 -2.6720 -2.6145
 -2.5610 -2.5086 -2.4578 -2.4039 -2.3472 -2.2161 -2.1162 -2.0531 -2.0165 -1.9921
 -1.9741 -1.9609 -1.9516 -1.9456 -1.9421 -1.9422 -1.9472 -1.9582 -1.9758 -2.0005
 -3.5061 -3.3345 -3.1942 -3.0719 -2.9613 -2.8605 -2.7698 -2.6909 -2.6237 -2.5654
 -2.5120 -2.4609 -2.4117 -2.3642 -2.3156 -2.2006 -2.1081 -2.0474 -2.0150 -1.9971
 -1.9849 -1.9758 -1.9694 -1.9653 -1.9631 -1.9610 -1.9617 -1.9681 -1.9829 -2.0066
 -2.0354
 -3.3691 -3.2204 -3.0991 -2.9940 -2.8986 -2.8092 -2.7251 -2.6484 -2.5810 -2.5223
 -2.4705 -2.4224 -2.3760 -2.3315 -2.2871 -2.1835 -2.0988 -2.0393 -2.0077 -1.9944
 -1.9886 -1.9854 -1.9837 -1.9831 -1.9834 -1.9846 -1.9854 -1.9887 -1.9975 -2.0144
 -2.0411
 -3.2392 -3.1118 -3.0026 -2.9099 -2.8271 -2.7489 -2.6739 -2.6028 -2.5376 -2.4797
 -2.4290 -2.3837 -2.3414 -2.3009 -2.2607 -2.1654 -2.0869 -2.0301 -1.9975 -1.9853
 -1.9843 -1.9877 -1.9922 -1.9967 -2.0011 -2.0055 -2.0101 -2.0168 -2.0258 -2.0370
 -2.0500
 -3.1166 -3.0087 -2.9134 -2.8273 -2.7522 -2.6834 -2.6176 -2.5538 -2.4933 -2.4376
 -2.3881 -2.3447 -2.3059 -2.2697 -2.2346 -2.1488 -2.0754 -2.0210 -1.9877 -1.9739
 -1.9741 -1.9819 -1.9925 -2.0034 -2.0135 -2.0225 -2.0309 -2.0390 -2.0519 -2.0611
 -2.0674
 -3.0010 -2.9111 -2.8315 -2.7519 -2.6793 -2.6152 -2.5562 -2.4997 -2.4452 -2.3936
 -2.3463 -2.3044 -2.2678 -2.2352 -2.2048 -2.1312 -2.0632 -2.0114 -1.9783 -1.9629
 -1.9619 -1.9708 -1.9853 -2.0020 -2.0184 -2.0334 -2.0471 -2.0595 -2.0709 -2.0823
 -2.0947
 -2.8926 -2.8190 -2.7569 -2.6847 -2.6135 -2.5507 -2.4946 -2.4429 -2.3939 -2.3474
 -2.3036 -2.2638 -2.2288 -2.1984 -2.1713 -2.1126 -2.0503 -2.0013 -1.9693
 [Fe/H] = -2.00 [alpha/Fe] = 0.00 BC value =  r   
 -5.1922 -4.4337 -3.8844 -3.5404 -3.4276 -3.4469 -3.5835 -3.4322 -3.2930 -3.1597
 -3.0282 -2.9159 -2.7841 -2.6616 -2.5491 -2.3236 -2.1548 -2.0371 -1.9602
 -4.9265 -4.4795 -4.1589 -3.8938 -3.6701 -3.4870 -3.3376 -3.2121 -3.1012 -2.9974
 -2.8943 -2.7873 -2.6777 -2.5731 -2.4773 -2.2798 -2.1351 -2.0348 -1.9688 -1.9247
 -4.5878 -4.1281 -3.7907 -3.5527 -3.3979 -3.2840 -3.1739 -3.0664 -2.9678 -2.8782
 -2.7938 -2.7081 -2.6157 -2.5221 -2.4349 -2.2555 -2.1263 -2.0377 -1.9795 -1.9408
 -1.9146
 -4.4095 -3.9730 -3.6426 -3.3961 -3.2157 -3.0874 -3.0039 -2.9453 -2.8796 -2.8008
 -2.7206 -2.6454 -2.5693 -2.4878 -2.4092 -2.2420 -2.1226 -2.0421 -1.9902 -1.9555
 -1.9313 -1.9146
 -4.2878 -3.8845 -3.5731 -3.3336 -3.1495 -3.0093 -2.9037 -2.8251 -2.7695 -2.7229
 -2.6649 -2.5980 -2.5298 -2.4596 -2.3886 -2.2336 -2.1207 -2.0455 -1.9989 -1.9686
 -1.9472 -1.9320 -1.9217 -1.9157
 -4.1764 -3.8115 -3.5253 -3.3002 -3.1206 -2.9769 -2.8626 -2.7723 -2.7000 -2.6412
 -2.5922 -2.5431 -2.4895 -2.4305 -2.3683 -2.2258 -2.1181 -2.0460 -2.0036 -1.9784
 -1.9611 -1.9485 -1.9398 -1.9345 -1.9321 -1.9327 -1.9375 -1.9484 -1.9694 -1.9950
 -4.0623 -3.7349 -3.4764 -3.2694 -3.1000 -2.9590 -2.8414 -2.7443 -2.6645 -2.5976
 -2.5393 -2.4872 -2.4398 -2.3924 -2.3410 -2.2149 -2.1131 -2.0430 -2.0028 -1.9825
 -1.9707 -1.9625 -1.9568 -1.9535 -1.9521 -1.9527 -1.9559 -1.9629 -1.9761 -2.0003
 -2.0294
 -3.9457 -3.6533 -3.4210 -3.2324 -3.0755 -2.9415 -2.8257 -2.7255 -2.6405 -2.5688
 -2.5069 -2.4514 -2.4011 -2.3543 -2.3090 -2.1982 -2.1048 -2.0367 -1.9971 -1.9799
 -1.9739 -1.9714 -1.9703 -1.9705 -1.9717 -1.9737 -1.9774 -1.9830 -1.9916 -2.0078
 -2.0352
 -3.8281 -3.5674 -3.3575 -3.1861 -3.0421 -2.9170 -2.8060 -2.7069 -2.6196 -2.5442
 -2.4795 -2.4231 -2.3719 -2.3248 -2.2803 -2.1777 -2.0920 -2.0277 -1.9880 -1.9715
 -1.9695 -1.9733 -1.9783 -1.9835 -1.9887 -1.9940 -1.9996 -2.0060 -2.0142 -2.0256
 -2.0438
 -3.7196 -3.4881 -3.2968 -3.1388 -3.0053 -2.8884 -2.7833 -2.6874 -2.6005 -2.5231
 -2.4555 -2.3974 -2.3465 -2.3006 -2.2576 -2.1596 -2.0787 -2.0180 -1.9784 -1.9605
 -1.9594 -1.9674 -1.9785 -1.9899 -2.0006 -2.0105 -2.0199 -2.0290 -2.0383 -2.0490
 -2.0607
 -3.6230 -3.4156 -3.2399 -3.0923 -2.9665 -2.8562 -2.7564 -2.6644 -2.5795 -2.5020
 -2.4327 -2.3720 -2.3201 -2.2750 -2.2343 -2.1427 -2.0654 -2.0074 -1.9688 -1.9494
 -1.9471 -1.9561 -1.9712 -1.9884 -2.0054 -2.0211 -2.0357 -2.0490 -2.0615 -2.0740
 -2.0873
 -3.5378 -3.3525 -3.1910 -3.0510 -2.9302 -2.8241 -2.7282 -2.6396 -2.5571 -2.4806
 -2.4107 -2.3484 -2.2923 -2.2465 -2.2104 -2.1270 -2.0521 -1.9959 -1.9592
 [Fe/H] = -1.50 [alpha/Fe] = 0.00 BC value =  r   
 -6.8207 -6.1517 -5.5692 -5.0691 -4.6445 -4.2758 -3.9433 -3.6384 -3.3791 -3.1673
 -2.9921 -2.8429 -2.7117 -2.5972 -2.4959 -2.2886 -2.1337 -2.0218 -1.9468
 -6.3361 -5.6973 -5.1360 -4.6595 -4.2635 -3.9350 -3.6557 -3.4105 -3.2029 -3.0309
 -2.8858 -2.7585 -2.6429 -2.5389 -2.4459 -2.2568 -2.1189 -2.0211 -1.9552 -1.9119
 -5.6826 -5.1258 -4.6930 -4.3229 -3.9945 -3.7108 -3.4681 -3.2594 -3.0830 -2.9358
 -2.8116 -2.7021 -2.6000 -2.5046 -2.4179 -2.2410 -2.1133 -2.0240 -1.9645 -1.9256
 -1.8996
 -5.2875 -4.6980 -4.2462 -3.9080 -3.6611 -3.4781 -3.3118 -3.1491 -2.9976 -2.8658
 -2.7540 -2.6577 -2.5689 -2.4827 -2.4018 -2.2342 -2.1129 -2.0289 -1.9737 -1.9384
 -1.9148 -1.8987
 -5.0924 -4.4993 -4.0418 -3.6958 -3.4341 -3.2401 -3.1000 -2.9964 -2.9091 -2.8125
 -2.7126 -2.6215 -2.5407 -2.4646 -2.3901 -2.2309 -2.1142 -2.0335 -1.9816 -1.9496
 -1.9289 -1.9146 -1.9052 -1.9002
 -4.9858 -4.4048 -3.9521 -3.6072 -3.3450 -3.1443 -2.9901 -2.8713 -2.7820 -2.7175
 -2.6582 -2.5896 -2.5164 -2.4455 -2.3776 -2.2274 -2.1146 -2.0363 -1.9867 -1.9579
