 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  R   
 -3.5164 -3.3860 -3.2973 -3.1635 -2.9816 -2.8221 -2.7331 -2.6868 -2.6336 -2.5543
 -2.4619 -2.3588 -2.2552 -2.1609 -2.0717 -1.8842 -1.7498 -1.6633 -1.6030
 -3.3745 -3.1710 -3.0124 -2.8753 -2.7591 -2.6657 -2.5912 -2.5288 -2.4711 -2.4127
 -2.3497 -2.2781 -2.1966 -2.1118 -2.0315 -1.8653 -1.7480 -1.6731 -1.6255 -1.5992
 -3.2778 -3.0377 -2.8403 -2.6926 -2.5952 -2.5256 -2.4624 -2.4037 -2.3517 -2.3054
 -2.2585 -2.2072 -2.1452 -2.0730 -2.0016 -1.8527 -1.7484 -1.6826 -1.6437 -1.6212
 -1.6092
 -3.2263 -2.9861 -2.7810 -2.6154 -2.4899 -2.4018 -2.3467 -2.3115 -2.2754 -2.2324
 -2.1883 -2.1461 -2.1010 -2.0445 -1.9820 -1.8464 -1.7510 -1.6918 -1.6576 -1.6377
 -1.6268 -1.6223
 -3.1787 -2.9529 -2.7561 -2.5913 -2.4584 -2.3559 -2.2813 -2.2290 -2.1939 -2.1666
 -2.1342 -2.0957 -2.0583 -2.0162 -1.9650 -1.8422 -1.7531 -1.6984 -1.6689 -1.6523
 -1.6432 -1.6394 -1.6398 -1.6439
 -3.1124 -2.9096 -2.7306 -2.5769 -2.4475 -2.3409 -2.2564 -2.1922 -2.1439 -2.1065
 -2.0753 -2.0449 -2.0125 -1.9806 -1.9418 -1.8360 -1.7525 -1.7007 -1.6753 -1.6634
 -1.6575 -1.6556 -1.6570 -1.6613 -1.6680 -1.6774 -1.6901 -1.7097 -1.7379 -1.7698
 -3.0216 -2.8445 -2.6878 -2.5517 -2.4338 -2.3319 -2.2450 -2.1733 -2.1166 -2.0718
 -2.0341 -2.0003 -1.9679 -1.9394 -1.9092 -1.8233 -1.7480 -1.6982 -1.6752 -1.6683
 -1.6675 -1.6692 -1.6731 -1.6787 -1.6860 -1.6949 -1.7063 -1.7205 -1.7417 -1.7725
 -1.8079
 -2.9120 -2.7592 -2.6245 -2.5077 -2.4054 -2.3144 -2.2326 -2.1598 -2.0977 -2.0470
 -2.0054 -1.9691 -1.9356 -1.9042 -1.8766 -1.8028 -1.7381 -1.6914 -1.6692 -1.6658
 -1.6706 -1.6778 -1.6858 -1.6944 -1.7038 -1.7138 -1.7250 -1.7381 -1.7544 -1.7768
 -1.8102
 -2.7883 -2.6587 -2.5439 -2.4445 -2.3581 -2.2804 -2.2084 -2.1412 -2.0795 -2.0254
 -1.9801 -1.9420 -1.9083 -1.8769 -1.8490 -1.7807 -1.7232 -1.6812 -1.6592 -1.6570
 -1.6662 -1.6794 -1.6931 -1.7064 -1.7194 -1.7320 -1.7448 -1.7582 -1.7731 -1.7911
 -1.8155
 -2.6609 -2.5531 -2.4556 -2.3705 -2.2974 -2.2323 -2.1717 -2.1133 -2.0570 -2.0042
 -1.9570 -1.9167 -1.8826 -1.8525 -1.8252 -1.7617 -1.7081 -1.6698 -1.6483 -1.6450
 -1.6554 -1.6728 -1.6925 -1.7117 -1.7297 -1.7466 -1.7626 -1.7782 -1.7939 -1.8107
 -1.8288
 -2.5323 -2.4447 -2.3632 -2.2905 -2.2274 -2.1724 -2.1219 -2.0731 -2.0250 -1.9777
 -1.9324 -1.8913 -1.8560 -1.8263 -1.8005 -1.7438 -1.6936 -1.6577 -1.6375 -1.6329
 -1.6422 -1.6609 -1.6843 -1.7091 -1.7331 -1.7555 -1.7763 -1.7956 -1.8139 -1.8321
 -1.8511
 -2.4026 -2.3335 -2.2702 -2.2086 -2.1541 -2.1063 -2.0632 -2.0227 -1.9828 -1.9429
 -1.9030 -1.8646 -1.8293 -1.7990 -1.7749 -1.7270 -1.6797 -1.6449 -1.6268
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value =  R   
 -3.9349 -3.7733 -3.6117 -3.4511 -3.2962 -3.1446 -2.9923 -2.8384 -2.6915 -2.5614
 -2.4445 -2.3361 -2.2336 -2.1388 -2.0444 -1.8688 -1.7411 -1.6559 -1.6046
 -3.7732 -3.5898 -3.4093 -3.2349 -3.0718 -2.9236 -2.7893 -2.6618 -2.5455 -2.4432
 -2.3516 -2.2647 -2.1784 -2.0946 -2.0171 -1.8569 -1.7417 -1.6654 -1.6198 -1.5942
 -3.6376 -3.4112 -3.2174 -3.0723 -2.9164 -2.7751 -2.6499 -2.5384 -2.4401 -2.3551
 -2.2807 -2.2116 -2.1413 -2.0680 -1.9975 -1.8503 -1.7447 -1.6750 -1.6338 -1.6107
 -1.5985
 -3.5487 -3.2879 -3.0744 -2.9023 -2.7621 -2.6450 -2.5434 -2.4510 -2.3644 -2.2877
 -2.2222 -2.1649 -2.1096 -2.0489 -1.9856 -1.8490 -1.7501 -1.6847 -1.6466 -1.6259
 -1.6152 -1.6111
 -3.5162 -3.2506 -3.0093 -2.8116 -2.6547 -2.5306 -2.4324 -2.3544 -2.2916 -2.2369
 -2.1788 -2.1248 -2.0767 -2.0291 -1.9751 -1.8487 -1.7550 -1.6927 -1.6571 -1.6391
 -1.6304 -1.6272 -1.6283 -1.6332
 -3.4963 -3.2314 -2.9872 -2.7750 -2.5985 -2.4565 -2.3456 -2.2621 -2.2012 -2.1592
 -2.1248 -2.0862 -2.0451 -2.0041 -1.9604 -1.8461 -1.7572 -1.6974 -1.6639 -1.6490
 -1.6433 -1.6423 -1.6446 -1.6497 -1.6574 -1.6680 -1.6820 -1.7027 -1.7314 -1.7632
 -3.4615 -3.2114 -2.9756 -2.7674 -2.5909 -2.4449 -2.3268 -2.2333 -2.1614 -2.1063
 -2.0638 -2.0306 -2.0000 -1.9691 -1.9360 -1.8392 -1.7555 -1.6980 -1.6658 -1.6538
 -1.6523 -1.6549 -1.6596 -1.6663 -1.6746 -1.6847 -1.6973 -1.7127 -1.7349 -1.7660
 -1.8014
 -3.4020 -3.1720 -2.9532 -2.7572 -2.5877 -2.4450 -2.3258 -2.2271 -2.1472 -2.0837
 -2.0328 -1.9911 -1.9559 -1.9260 -1.8993 -1.8230 -1.7492 -1.6942 -1.6629 -1.6526
 -1.6553 -1.6628 -1.6716 -1.6812 -1.6915 -1.7026 -1.7151 -1.7294 -1.7469 -1.7703
 -1.8040
 -3.3135 -3.1051 -2.9074 -2.7281 -2.5721 -2.4385 -2.3244 -2.2266 -2.1431 -2.0732
 -2.0157 -1.9685 -1.9283 -1.8934 -1.8641 -1.7972 -1.7353 -1.6859 -1.6557 -1.6460
 -1.6516 -1.6642 -1.6784 -1.6925 -1.7064 -1.7200 -1.7340 -1.7487 -1.7649 -1.7841
 -1.8092
 -3.2045 -3.0231 -2.8476 -2.6861 -2.5441 -2.4218 -2.3160 -2.2234 -2.1416 -2.0696
 -2.0074 -1.9549 -1.9109 -1.8730 -1.8403 -1.7733 -1.7174 -1.6742 -1.6461 -1.6359
 -1.6420 -1.6580 -1.6776 -1.6974 -1.7163 -1.7340 -1.7512 -1.7680 -1.7849 -1.8030
 -1.8221
 -3.0848 -2.9265 -2.7735 -2.6307 -2.5032 -2.3921 -2.2956 -2.2103 -2.1335 -2.0638
 -2.0008 -1.9451 -1.8972 -1.8566 -1.8220 -1.7535 -1.6995 -1.6601 -1.6349 -1.6245
 -1.6297 -1.6466 -1.6697 -1.6949 -1.7195 -1.7426 -1.7644 -1.7848 -1.8043 -1.8237
 -1.8438
 -2.9564 -2.8197 -2.6899 -2.5670 -2.4537 -2.3528 -2.2651 -2.1871 -2.1164 -2.0513
 -1.9908 -1.9352 -1.8852 -1.8419 -1.8092 -1.7378 -1.6816 -1.6436 -1.6221
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value =  R   
 -4.3770 -4.2347 -4.0964 -3.9540 -3.8086 -3.6360 -3.4096 -3.1298 -2.8676 -2.6468
 -2.4687 -2.3263 -2.2106 -2.1135 -2.0293 -1.8596 -1.7343 -1.6469 -1.5932
 -4.1978 -4.0375 -3.8815 -3.7240 -3.5611 -3.3877 -3.1858 -2.9515 -2.7348 -2.5497
 -2.3972 -2.2725 -2.1691 -2.0807 -2.0035 -1.8476 -1.7341 -1.6558 -1.6070 -1.5799
 -4.0674 -3.8949 -3.7255 -3.5547 -3.3822 -3.2088 -3.0288 -2.8307 -2.6443 -2.4830
 -2.3485 -2.2373 -2.1437 -2.0624 -1.9905 -1.8446 -1.7387 -1.6658 -1.6203 -1.5951
 -1.5830
 -3.9402 -3.7414 -3.5764 -3.4141 -3.2460 -3.0752 -2.9073 -2.7376 -2.5748 -2.4309
 -2.3094 -2.2088 -2.1243 -2.0503 -1.9832 -1.8454 -1.7450 -1.6758 -1.6324 -1.6088
 -1.5979 -1.5944
 -3.8461 -3.6143 -3.4098 -3.2289 -3.0681 -2.9245 -2.7913 -2.6527 -2.5143 -2.3866
 -2.2754 -2.1821 -2.1046 -2.0381 -1.9768 -1.8465 -1.7506 -1.6842 -1.6427 -1.6206
 -1.6113 -1.6089 -1.6110 -1.6171
 -3.8177 -3.5606 -3.3195 -3.1029 -2.9153 -2.7552 -2.6215 -2.5117 -2.4170 -2.3282
 -2.2401 -2.1570 -2.0840 -2.0223 -1.9676 -1.8457 -1.7539 -1.6900 -1.6502 -1.6297
 -1.6226 -1.6223 -1.6257 -1.6321 -1.6413 -1.6535 -1.6693 -1.6916 -1.7213 -1.7528
 -3.8164 -3.5499 -3.2915 -3.0551 -2.8486 -2.6735 -2.5273 -2.4058 -2.3055 -2.2259
 -2.1642 -2.1105 -2.0566 -2.0032 -1.9534 -1.8418 -1.7540 -1.6924 -1.6542 -1.6352
 -1.6304 -1.6332 -1.6391 -1.6472 -1.6569 -1.6687 -1.6831 -1.7009 -1.7242 -1.7558
 -1.7907
 -3.8144 -3.5528 -3.2915 -3.0459 -2.8284 -2.6431 -2.4884 -2.3601 -2.2548 -2.1686
 -2.0989 -2.0445 -2.0021 -1.9645 -1.9277 -1.8333 -1.7504 -1.6912 -1.6541 -1.6364
 -1.6303 -1.6399 -1.6496 -1.6606 -1.6724 -1.6852 -1.6995 -1.7149 -1.7340 -1.7597
 -1.7937
 -3.7863 -3.5408 -3.2870 -3.0449 -2.8254 -2.6361 -2.4770 -2.3443 -2.2343 -2.1437
 -2.0693 -2.0084 -1.9587 -1.9187 -1.8861 -1.8132 -1.7417 -1.6856 -1.6498 -1.6328
 -1.6316 -1.6412 -1.6554 -1.6707 -1.6861 -1.7013 -1.7171 -1.7337 -1.7517 -1.7727
 -1.7990
 -3.7320 -3.5039 -3.2692 -3.0383 -2.8256 -2.6388 -2.4801 -2.3460 -2.2337 -2.1392
 -2.0601 -1.9942 -1.9393 -1.8935 -1.8554 -1.7853 -1.7258 -1.6766 -1.6426 -1.6257
 -1.6247 -1.6362 -1.6546 -1.6749 -1.6950 -1.7143 -1.7331 -1.7516 -1.7704 -1.7904
 -1.8113
 -3.6584 -3.4461 -3.2302 -3.0150 -2.8149 -2.6361 -2.4816 -2.3503 -2.2387 -2.1433
 -2.0613 -1.9911 -1.9314 -1.8811 -1.8386 -1.7608 -1.7051 -1.6622 -1.6322 -1.6159
 -1.6145 -1.6263 -1.6473 -1.6723 -1.6977 -1.7221 -1.7453 -1.7673 -1.7886 -1.8098
 -1.8317
 -3.5714 -3.3728 -3.1741 -2.9776 -2.7923 -2.6244 -2.4772 -2.3505 -2.2417 -2.1478
 -2.0657 -1.9936 -1.9305 -1.8759 -1.8357 -1.7397 -1.6796 -1.6424 -1.6186
 [Fe/H] = -1.00 [alpha/Fe] = 0.40 BC value =  R   
 -4.9060 -4.7675 -4.6355 -4.5027 -4.3797 -4.2137 -3.9452 -3.5588 -3.1571 -2.8089
 -2.5410 -2.3458 -2.2043 -2.0969 -2.0101 -1.8438 -1.7222 -1.6352 -1.5770
 -4.6724 -4.5202 -4.3795 -4.2436 -4.1049 -3.9457 -3.7173 -3.3864 -3.0457 -2.7417
 -2.4965 -2.3113 -2.1750 -2.0726 -1.9907 -1.8351 -1.7228 -1.6433 -1.5909 -1.5604
 -4.5040 -4.3366 -4.1830 -4.0374 -3.8943 -3.7424 -3.5460 -3.2672 -2.9738 -2.7038
 -2.4767 -2.2980 -2.1631 -2.0618 -1.9821 -1.8335 -1.7274 -1.6527 -1.6037 -1.5746
 -1.5608
 -4.3754 -4.1984 -4.0341 -3.8776 -3.7248 -3.5710 -3.4008 -3.1697 -2.9162 -2.6758
 -2.4660 -2.2941 -2.1600 -2.0580 -1.9788 -1.8348 -1.7332 -1.6618 -1.6151 -1.5873
 -1.5741 -1.5705
 -4.2121 -4.0411 -3.8882 -3.7396 -3.5868 -3.4303 -3.2672 -3.0781 -2.8613 -2.6480
 -2.4555 -2.2923 -2.1601 -2.0573 -1.9777 -1.8363 -1.7384 -1.6695 -1.6247 -1.5981
 -1.5857 -1.5829 -1.5859 -1.5934
 -4.0975 -3.8829 -3.6984 -3.5409 -3.4023 -3.2708 -3.1308 -2.9735 -2.7958 -2.6123
 -2.4398 -2.2877 -2.1598 -2.0572 -1.9768 -1.8368 -1.7418 -1.6752 -1.6318 -1.6067
 -1.5953 -1.5939 -1.5982 -1.6061 -1.6173 -1.6317 -1.6503 -1.6747 -1.7060 -1.7379
 -4.0593 -3.8147 -3.5915 -3.3944 -3.2236 -3.0726 -2.9334 -2.7999 -2.6646 -2.5301
 -2.3972 -2.2701 -2.1544 -2.0557 -1.9748 -1.8354 -1.7428 -1.6783 -1.6363 -1.6123
 -1.6023 -1.6026 -1.6090 -1.6187 -1.6306 -1.6447 -1.6615 -1.6819 -1.7077 -1.7407
 -1.7752
 -4.0655 -3.8065 -3.5594 -3.3317 -3.1288 -2.9521 -2.7965 -2.6550 -2.5217 -2.3976
 -2.2897 -2.1987 -2.1174 -2.0406 -1.9689 -1.8317 -1.7410 -1.6784 -1.6376 -1.6146
 -1.6059 -1.6081 -1.6173 -1.6298 -1.6438 -1.6589 -1.6757 -1.6946 -1.7172 -1.7437
 -1.7773
 -4.0844 -3.8236 -3.5674 -3.3213 -3.0949 -2.8950 -2.7219 -2.5713 -2.4378 -2.3174
 -2.2101 -2.1187 -2.0453 -1.9870 -1.9363 -1.8232 -1.7353 -1.6747 -1.6352 -1.6132
 -1.6057 -1.6097 -1.6218 -1.6380 -1.6553 -1.6729 -1.6913 -1.7104 -1.7312 -1.7548
 -1.7832
