 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  i   
 -1.9307 -1.8476 -1.7731 -1.7079 -1.6520 -1.6038 -1.5615 -1.5242 -1.4918 -1.4647
 -1.4424 -1.4242 -1.4089 -1.3965 -1.3888 -1.3719 -1.3523 -1.3350 -1.3318 -1.3464
 -1.3744 -1.4078 -1.4418 -1.4752 -1.5081 -1.5409 -1.5742 -1.6084 -1.6443 -1.6830
 -1.7269
 -1.8420 -1.7724 -1.7102 -1.6552 -1.6084 -1.5686 -1.5338 -1.5023 -1.4734 -1.4473
 -1.4243 -1.4047 -1.3880 -1.3737 -1.3623 -1.3428 -1.3293 -1.3209 -1.3209 -1.3353
 -1.3638 -1.4005 -1.4393 -1.4775 -1.5142 -1.5498 -1.5848 -1.6196 -1.6548 -1.6912
 -1.7297
 -1.7535 -1.6889 -1.6357 -1.5896 -1.5505 -1.5181 -1.4907 -1.4665 -1.4439 -1.4223
 -1.4019 -1.3834 -1.3671 -1.3530 -1.3411 -1.3199 -1.3069 -1.3031 -1.3075 -1.3223
 -1.3501 -1.3877 -1.4299 -1.4729 -1.5145 -1.5543 -1.5926 -1.6296 -1.6659 -1.7023
 -1.7394
 -1.6675 -1.6076 -1.5578 -1.5169 -1.4837 -1.4568 -1.4352 -1.4173 -1.4013 -1.3861
 -1.3710 -1.3562 -1.3423 -1.3299 -1.3252 -1.3032 -1.2851 -1.2816 -1.2916
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value =  i   
 -2.6824 -2.5869 -2.5041 -2.4272 -2.3539 -2.2732 -2.1732 -2.0544 -1.9471 -1.8550
 -1.7727 -1.6962 -1.6248 -1.5599 -1.5018 -1.3853 -1.3056 -1.2610 -1.2482
 -2.5173 -2.4133 -2.3263 -2.2505 -2.1810 -2.1130 -2.0366 -1.9492 -1.8704 -1.8011
 -1.7372 -1.6750 -1.6138 -1.5558 -1.5030 -1.3968 -1.3247 -1.2839 -1.2710 -1.2776
 -2.4009 -2.2883 -2.1952 -2.1168 -2.0494 -1.9895 -1.9310 -1.8666 -1.8068 -1.7538
 -1.7047 -1.6563 -1.6058 -1.5546 -1.5064 -1.4084 -1.3417 -1.3034 -1.2902 -1.2959
 -1.3129
