 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  g   
 -6.6768 -6.3548 -6.2240 -6.2529 -6.3761 -6.4699 -6.1762 -5.9955 -5.8177 -5.6241
 -5.4099 -5.1953 -4.9761 -4.7524 -4.5435 -4.0387 -3.5822 -3.2425 -2.9533
 -6.8998 -6.5515 -6.2899 -6.1064 -5.9780 -5.8549 -5.7169 -5.5674 -5.4102 -5.2447
 -5.0581 -4.8476 -4.6274 -4.4163 -4.2202 -3.7821 -3.4187 -3.1322 -2.9184 -2.7550
 -6.6701 -6.3333 -6.0492 -5.8128 -5.6222 -5.4777 -5.3680 -5.2518 -5.1078 -4.9423
 -4.7722 -4.5920 -4.3964 -4.2045 -4.0284 -3.6499 -3.3360 -3.0855 -2.8959 -2.7496
 -2.6311
 -6.4841 -6.1719 -5.8963 -5.6528 -5.4390 -5.2539 -5.0963 -4.9649 -4.8464 -4.7115
 -4.5533 -4.3907 -4.2209 -4.0474 -3.8858 -3.5468 -3.2739 -3.0539 -2.8845 -2.7523
 -2.6440 -2.5512
 -6.2969 -6.0206 -5.7681 -5.5359 -5.3225 -5.1276 -4.9514 -4.7932 -4.6510 -4.5202
 -4.3878 -4.2440 -4.0940 -3.9379 -3.7877 -3.4739 -3.2292 -3.0329 -2.8801 -2.7599
 -2.6606 -2.5748 -2.4979 -2.4271
 -6.0990 -5.8621 -5.6410 -5.4307 -5.2301 -5.0403 -4.8619 -4.6959 -4.5427 -4.4004
 -4.2659 -4.1347 -4.0031 -3.8658 -3.7283 -3.4280 -3.1996 -3.0192 -2.8788 -2.7686
 -2.6779 -2.5991 -2.5281 -2.4627 -2.3990 -2.3392 -2.2861 -2.2421 -2.2090 -2.1879
 -5.8998 -5.6953 -5.5063 -5.3231 -5.1431 -4.9668 -4.7959 -4.6320 -4.4769 -4.3314
 -4.1941 -4.0634 -3.9375 -3.8131 -3.6896 -3.4064 -3.1834 -3.0115 -2.8782 -2.7756
 -2.6927 -2.6212 -2.5568 -2.4971 -2.4407 -2.3865 -2.3360 -2.2909 -2.2526 -2.2237
 -2.2106
 -5.7023 -5.5277 -5.3653 -5.2077 -5.0515 -4.8944 -4.7368 -4.5817 -4.4313 -4.2868
 -4.1499 -4.0202 -3.8965 -3.7770 -3.6613 -3.3968 -3.1789 -3.0095 -2.8788 -2.7797
 -2.7026 -2.6383 -2.5812 -2.5281 -2.4777 -2.4292 -2.3814 -2.3368 -2.2982 -2.2680
 -2.2475
 -5.5141 -5.3639 -5.2207 -5.0840 -4.9494 -4.8124 -4.6725 -4.5306 -4.3894 -4.2508
 -4.1168 -3.9889 -3.8674 -3.7511 -3.6392 -3.3872 -3.1771 -3.0102 -2.8800 -2.7810
 -2.7065 -2.6480 -2.5981 -2.5526 -2.5092 -2.4670 -2.4262 -2.3882 -2.3532 -2.3208
 -2.2909
 -5.3353 -5.2039 -5.0810 -4.9589 -4.8404 -4.7221 -4.6006 -4.4752 -4.3472 -4.2185
