 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  r   
 -3.9184 -3.5327 -3.2436 -2.9312 -2.5983 -2.3283 -2.1689 -2.0762 -1.9871 -1.8779
 -1.7579 -1.6303 -1.5047 -1.3898 -1.2816 -1.0495 -0.8749 -0.7548 -0.6663
 -3.5004 -3.0653 -2.7408 -2.4775 -2.2654 -2.0994 -1.9702 -1.8661 -1.7757 -1.6908
 -1.6051 -1.5132 -1.4129 -1.3104 -1.2137 -1.0104 -0.8601 -0.7565 -0.6848 -0.6386
 -3.2220 -2.7703 -2.4296 -2.1851 -2.0214 -1.9014 -1.7963 -1.7027 -1.6218 -1.5513
 -1.4841 -1.4149 -1.3364 -1.2487 -1.1629 -0.9823 -0.8503 -0.7598 -0.6999 -0.6596
 -0.6319
 -3.0832 -2.6477 -2.3100 -2.0540 -1.8663 -1.7343 -1.6472 -1.5860 -1.5254 -1.4594
 -1.3949 -1.3354 -1.2752 -1.2047 -1.1292 -0.9652 -0.8455 -0.7647 -0.7116 -0.6752
 -0.6496 -0.6315
 -2.9895 -2.5816 -2.2601 -2.0093 -1.8159 -1.6701 -1.5635 -1.4867 -1.4313 -1.3853
 -1.3338 -1.2766 -1.2228 -1.1666 -1.1030 -0.9538 -0.8424 -0.7683 -0.7214 -0.6895
 -0.6666 -0.6499 -0.6380 -0.6302
 -2.8909 -2.5202 -2.2241 -1.9883 -1.7998 -1.6494 -1.5318 -1.4423 -1.3737 -1.3188
 -1.2714 -1.2247 -1.1760 -1.1287 -1.0759 -0.9433 -0.8387 -0.7686 -0.7269 -0.7006
 -0.6815 -0.6675 -0.6572 -0.6502 -0.6457 -0.6442 -0.6460 -0.6553 -0.6743 -0.6978
 -2.7709 -2.4414 -2.1762 -1.9623 -1.7869 -1.6411 -1.5200 -1.4213 -1.3432 -1.2805
 -1.2272 -1.1787 -1.1319 -1.0892 -1.0452 -0.9294 -0.8327 -0.7651 -0.7264 -0.7056
