 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  o   
 -1.3715 -1.3225 -1.2718 -1.2206 -1.1704 -1.1222 -1.0762 -1.0330 -0.9933 -0.9582
 -0.9276 -0.9010 -0.8769 -0.8552 -0.8369 -0.7892 -0.7387 -0.6957 -0.6697 -0.6617
 -0.6672 -0.6789 -0.6918 -0.7043 -0.7158 -0.7265 -0.7368 -0.7469 -0.7578 -0.7706
 -0.7882
 -1.2764 -1.2431 -1.2070 -1.1688 -1.1304 -1.0924 -1.0548 -1.0175 -0.9810 -0.9463
 -0.9142 -0.8853 -0.8593 -0.8355 -0.8140 -0.7663 -0.7224 -0.6860 -0.6619 -0.6536
 -0.6596 -0.6745 -0.6925 -0.7106 -0.7275 -0.7428 -0.7569 -0.7702 -0.7829 -0.7961
 -0.8100
 -1.1735 -1.1512 -1.1277 -1.1016 -1.0743 -1.0468 -1.0186 -0.9895 -0.9593 -0.9287
 -0.8984 -0.8697 -0.8432 -0.8190 -0.7967 -0.7480 -0.7061 -0.6739 -0.6526 -0.6442
 -0.6495 -0.6652 -0.6865 -0.7097 -0.7323 -0.7532 -0.7724 -0.7900 -0.8062 -0.8218
 -0.8375
 -1.0647 -1.0534 -1.0396 -1.0237 -1.0062 -0.9877 -0.9685 -0.9479 -0.9255 -0.9014
 -0.8759 -0.8501 -0.8251 -0.8015 -0.7850 -0.7343 -0.6898 -0.6594 -0.6418
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value =  o   
 -1.9539 -1.9034 -1.8616 -1.8231 -1.7864 -1.7393 -1.6685 -1.5714 -1.4711 -1.3753
 -1.2849 -1.1997 -1.1201 -1.0473 -0.9813 -0.8443 -0.7405 -0.6663 -0.6185
 -1.8293 -1.7701 -1.7230 -1.6827 -1.6443 -1.6022 -1.5459 -1.4694 -1.3903 -1.3134
 -1.2391 -1.1663 -1.0951 -1.0276 -0.9656 -0.8368 -0.7411 -0.6735 -0.6297 -0.6028
 -1.7407 -1.6714 -1.6165 -1.5712 -1.5309 -1.4912 -1.4458 -1.3863 -1.3228 -1.2603
 -1.1995 -1.1391 -1.0774 -1.0155 -0.9570 -0.8346 -0.7444 -0.6812 -0.6403 -0.6159
 -0.6016
 -1.6842 -1.5950 -1.5291 -1.4821 -1.4402 -1.4006 -1.3604 -1.3138 -1.2623 -1.2109
 -1.1609 -1.1116 -1.0607 -1.0065 -0.9520 -0.8351 -0.7488 -0.6888 -0.6502 -0.6278
 -0.6156 -0.6089
 -1.6593 -1.5520 -1.4663 -1.3993 -1.3485 -1.3118 -1.2837 -1.2499 -1.2093 -1.1660
 -1.1231 -1.0816 -1.0404 -0.9960 -0.9474 -0.8361 -0.7530 -0.6954 -0.6588 -0.6384
 -0.6284 -0.6238 -0.6224 -0.6234
 -1.6600 -1.5479 -1.4477 -1.3610 -1.2895 -1.2325 -1.1904 -1.1623 -1.1407 -1.1174
 -1.0874 -1.0525 -1.0165 -0.9802 -0.9400 -0.8362 -0.7558 -0.7001 -0.6653 -0.6468
 -0.6395 -0.6376 -0.6384 -0.6409 -0.6449 -0.6506 -0.6585 -0.6704 -0.6875 -0.7091
 -1.6591 -1.5490 -1.4471 -1.3549 -1.2737 -1.2051 -1.1489 -1.1038 -1.0683 -1.0425
 -1.0251 -1.0087 -0.9867 -0.9588 -0.9267 -0.8342 -0.7566 -0.7024 -0.6690 -0.6522
 -0.6475 -0.6491 -0.6530 -0.6581 -0.6638 -0.6704 -0.6785 -0.6886 -0.7023 -0.7223
 -0.7480
 -1.6461 -1.5440 -1.4464 -1.3549 -1.2717 -1.1983 -1.1350 -1.0818 -1.0381 -1.0023
 -0.9734 -0.9513 -0.9349 -0.9191 -0.8997 -0.8285 -0.7548 -0.7021 -0.6695 -0.6539
 -0.6489 -0.6566 -0.6646 -0.6732 -0.6819 -0.6905 -0.6999 -0.7094 -0.7213 -0.7382
 -0.7617
 -1.6078 -1.5218 -1.4331 -1.3483 -1.2685 -1.1958 -1.1309 -1.0741 -1.0252 -0.9840
 -0.9492 -0.9197 -0.8948 -0.8747 -0.8581 -0.8101 -0.7491 -0.6983 -0.6665 -0.6516
 -0.6506 -0.6591 -0.6716 -0.6848 -0.6975 -0.7096 -0.7213 -0.7331 -0.7456 -0.7600
 -0.7784
 -1.5454 -1.4760 -1.4024 -1.3286 -1.2568 -1.1892 -1.1273 -1.0712 -1.0210 -0.9766
 -0.9379 -0.9043 -0.8749 -0.8491 -0.8270 -0.7823 -0.7362 -0.6923 -0.6613 -0.6462
 -0.6454 -0.6558 -0.6723 -0.6905 -0.7082 -0.7248 -0.7403 -0.7550 -0.7694 -0.7843
 -0.7997
 -1.4643 -1.4100 -1.3516 -1.2904 -1.2295 -1.1705 -1.1148 -1.0631 -1.0153 -0.9715
 -0.9314 -0.8954 -0.8632 -0.8346 -0.8092 -0.7583 -0.7170 -0.6811 -0.6537 -0.6387
 -0.6374 -0.6480 -0.6669 -0.6896 -0.7126 -0.7344 -0.7549 -0.7737 -0.7915 -0.8086
 -0.8260
 -1.3693 -1.3279 -1.2830 -1.2352 -1.1861 -1.1371 -1.0897 -1.0446 -1.0019 -0.9616
 -0.9234 -0.8877 -0.8546 -0.8244 -0.8047 -0.7381 -0.6915 -0.6647 -0.6437
 [Fe/H] = -1.00 [alpha/Fe] = 0.40 BC value =  o   
 -2.3427 -2.2936 -2.2465 -2.1954 -2.1398 -2.0599 -1.9346 -1.7614 -1.5875 -1.4342
 -1.3056 -1.1991 -1.1107 -1.0356 -0.9702 -0.8373 -0.7359 -0.6612 -0.6090
 -2.1685 -2.1124 -2.0642 -2.0179 -1.9669 -1.9024 -1.8064 -1.6670 -1.5240 -1.3921
 -1.2763 -1.1770 -1.0925 -1.0205 -0.9578 -0.8309 -0.7362 -0.6672 -0.6200 -0.5900
 -2.0357 -1.9685 -1.9141 -1.8671 -1.8216 -1.7704 -1.6983 -1.5893 -1.4712 -1.3578
 -1.2544 -1.1627 -1.0824 -1.0127 -0.9518 -0.8291 -0.7387 -0.6738 -0.6297 -0.6017
 -0.5856
 -1.9387 -1.8601 -1.7963 -1.7435 -1.6971 -1.6517 -1.5982 -1.5164 -1.4202 -1.3237
 -1.2328 -1.1498 -1.0750 -1.0083 -0.9492 -0.8299 -0.7424 -0.6803 -0.6386 -0.6123
 -0.5977 -0.5905
 -1.8469 -1.7621 -1.6966 -1.6420 -1.5934 -1.5483 -1.5023 -1.4433 -1.3673 -1.2866
 -1.2079 -1.1343 -1.0663 -1.0041 -0.9476 -0.8314 -0.7462 -0.6860 -0.6462 -0.6216
 -0.6085 -0.6031 -0.6020 -0.6040
 -1.8044 -1.6936 -1.6032 -1.5334 -1.4818 -1.4430 -1.4073 -1.3657 -1.3102 -1.2454
 -1.1787 -1.1143 -1.0538 -0.9974 -0.9447 -0.8325 -0.7492 -0.6906 -0.6522 -0.6292
 -0.6178 -0.6143 -0.6154 -0.6190 -0.6245 -0.6319 -0.6420 -0.6556 -0.6742 -0.6960
 -1.7929 -1.6726 -1.5669 -1.4768 -1.4030 -1.3438 -1.2962 -1.2575 -1.2214 -1.1826
 -1.1379 -1.0880 -1.0363 -0.9864 -0.9388 -0.8324 -0.7509 -0.6935 -0.6561 -0.6345
 -0.6247 -0.6236 -0.6274 -0.6335 -0.6408 -0.6494 -0.6594 -0.6717 -0.6875 -0.7087
 -0.7339
 -1.7905 -1.6681 -1.5569 -1.4575 -1.3706 -1.2970 -1.2353 -1.1829 -1.1364 -1.0948
 -1.0597 -1.0299 -0.9998 -0.9654 -0.9269 -0.8303 -0.7510 -0.6945 -0.6578 -0.6370
 -0.6287 -0.6298 -0.6367 -0.6462 -0.6565 -0.6671 -0.6786 -0.6911 -0.7060 -0.7235
 -0.7470
 -1.7864 -1.6659 -1.5552 -1.4529 -1.3602 -1.2781 -1.2070 -1.1459 -1.0930 -1.0462
 -1.0044 -0.9685 -0.9396 -0.9162 -0.8932 -0.8229 -0.7481 -0.6928 -0.6566 -0.6365
 -0.6294 -0.6324 -0.6425 -0.6559 -0.6700 -0.6839 -0.6979 -0.7119 -0.7268 -0.7435
 -0.7637
 -1.7694 -1.6592 -1.5531 -1.4532 -1.3598 -1.2744 -1.1983 -1.1314 -1.0732 -1.0224
 -0.9778 -0.9385 -0.9040 -0.8748 -0.8509 -0.8008 -0.7429 -0.6896 -0.6538 -0.6336
 -0.6269 -0.6310 -0.6435 -0.6607 -0.6792 -0.6973 -0.7149 -0.7317 -0.7484 -0.7658
 -0.7846
 -1.7302 -1.6340 -1.5392 -1.4463 -1.3570 -1.2731 -1.1961 -1.1270 -1.0659 -1.0121
 -0.9647 -0.9230 -0.8862 -0.8536 -0.8251 -0.7713 -0.7270 -0.6835 -0.6488 -0.6286
 -0.6216 -0.6262 -0.6400 -0.6601 -0.6829 -0.7058 -0.7279 -0.7487 -0.7686 -0.7881
 -0.8078
 -1.6689 -1.5871 -1.5054 -1.4244 -1.3432 -1.2650 -1.1915 -1.1237 -1.0626 -1.0079
 -0.9591 -0.9156 -0.8768 -0.8422 -0.8158 -0.7344 -0.7004 -0.6745 -0.6416
 [Fe/H] = -0.75 [alpha/Fe] = 0.40 BC value =  o   
 -2.5651 -2.5261 -2.4843 -2.4318 -2.3489 -2.2294 -2.0717 -1.8748 -1.6543 -1.4689
 -1.3209 -1.2030 -1.1083 -1.0306 -0.9643 -0.8322 -0.7325 -0.6578 -0.6042
 -2.3664 -2.3200 -2.2774 -2.2312 -2.1734 -2.0929 -1.9702 -1.7888 -1.6030 -1.4378
 -1.2994 -1.1861 -1.0938 -1.0178 -0.9534 -0.8263 -0.7320 -0.6628 -0.6143 -0.5827
 -2.2056 -2.1474 -2.0990 -2.0544 -2.0066 -1.9463 -1.8565 -1.7161 -1.5614 -1.4153
 -1.2869 -1.1782 -1.0876 -1.0123 -0.9488 -0.8247 -0.7340 -0.6685 -0.6233 -0.5937
 -0.5762
 -2.0846 -2.0118 -1.9530 -1.9037 -1.8583 -1.8099 -1.7470 -1.6441 -1.5183 -1.3919
 -1.2755 -1.1730 -1.0851 -1.0107 -0.9477 -0.8255 -0.7373 -0.6742 -0.6313 -0.6036
 -0.5874 -0.5794
 -1.9875 -1.9074 -1.8393 -1.7821 -1.7327 -1.6867 -1.6379 -1.5671 -1.4692 -1.3631
 -1.2602 -1.1662 -1.0827 -1.0102 -0.9479 -0.8273 -0.7408 -0.6794 -0.6382 -0.6121
 -0.5972 -0.5906 -0.5893 -0.5911
 -1.8942 -1.7979 -1.7244 -1.6684 -1.6217 -1.5781 -1.5341 -1.4838 -1.4120 -1.3264
 -1.2384 -1.1545 -1.0775 -1.0086 -0.9480 -0.8290 -0.7438 -0.6837 -0.6437 -0.6191
 -0.6056 -0.6006 -0.6012 -0.6051 -0.6113 -0.6197 -0.6310 -0.6459 -0.6652 -0.6875
 -1.8612 -1.7443 -1.6451 -1.5652 -1.5027 -1.4543 -1.4160 -1.3804 -1.3358 -1.2760
 -1.2068 -1.1356 -1.0671 -1.0037 -0.9462 -0.8298 -0.7459 -0.6867 -0.6476 -0.6240
 -0.6120 -0.6087 -0.6116 -0.6179 -0.6261 -0.6356 -0.6471 -0.6606 -0.6776 -0.6995
 -0.7250
 -1.8516 -1.7272 -1.6161 -1.5193 -1.4381 -1.3715 -1.3163 -1.2693 -1.2258 -1.1821
 -1.1387 -1.0933 -1.0439 -0.9919 -0.9406 -0.8293 -0.7466 -0.6882 -0.6495 -0.6267
 -0.6160 -0.6145 -0.6198 -0.6290 -0.6400 -0.6518 -0.6645 -0.6784 -0.6941 -0.7135
 -0.7381
 -1.8483 -1.7228 -1.6075 -1.5033 -1.4109 -1.3313 -1.2636 -1.2056 -1.1539 -1.1049
 -1.0587 -1.0178 -0.9832 -0.9515 -0.9180 -0.8254 -0.7448 -0.6872 -0.6490 -0.6267
 -0.6171 -0.6173 -0.6251 -0.6377 -0.6522 -0.6671 -0.6823 -0.6978 -0.7141 -0.7322
 -0.7538
 -1.8464 -1.7235 -1.6085 -1.5024 -1.4051 -1.3178 -1.2411 -1.1745 -1.1163 -1.0642
 -1.0162 -0.9721 -0.9330 -0.9001 -0.8729 -0.8110 -0.7419 -0.6852 -0.6472 -0.6248
 -0.6156 -0.6170 -0.6266 -0.6422 -0.6604 -0.6792 -0.6979 -0.7161 -0.7342 -0.7533
 -0.7734
