 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =F1130W
 -0.8802 -0.7611 -0.7895 -1.1428 -1.8710 -2.5000 -2.8601 -2.7511 -2.2878 -1.6125
 -1.6882 -2.2865 -2.5273 -2.4294 -2.3689 -2.6031
 -1.1450 -1.1212 -1.1388 -1.2998 -1.6314 -1.9339 -2.1535 -2.1955 -2.1014 -1.9271
 -2.0128 -2.2833 -2.4213 -2.4032 -2.3926 -2.6211 -2.8180 -2.9846 -3.1644
 -1.2701 -1.3248 -1.3696 -1.4434 -1.5637 -1.6874 -1.8175 -1.9260 -2.0171 -2.0971
 -2.1853 -2.2823 -2.3576 -2.3936 -2.4313 -2.6421 -2.8439 -3.0195 -3.1916 -3.3530
 -3.5036
 -1.2555 -1.3719 -1.4819 -1.5736 -1.6679 -1.7605 -1.8521 -1.9425 -2.0350 -2.1223
 -2.2057 -2.2833 -2.3363 -2.4006 -2.4850 -2.6661 -2.8605 -3.0436 -3.2151 -3.3773
 -3.5311 -3.6771 -3.8157
 -1.3076 -1.4004 -1.4938 -1.5838 -1.6756 -1.7667 -1.8567 -1.9450 -2.0316 -2.1165
 -2.1996 -2.2812 -2.3517 -2.4191 -2.4944 -2.6875 -2.8782 -3.0593 -3.2307 -3.3929
 -3.5468 -3.6930 -3.8321 -3.9653 -4.0935
 -1.3732 -1.4468 -1.5251 -1.6078 -1.6932 -1.7798 -1.8663 -1.9516 -2.0354 -2.1172
 -2.1971 -2.2760 -2.3539 -2.4202 -2.4977 -2.6966 -2.8893 -3.0708 -3.2424 -3.4047
 -3.5587 -3.7051 -3.8446 -3.9777 -4.1052 -4.2282
 -1.4522 -1.5111 -1.5758 -1.6456 -1.7207 -1.7998 -1.8809 -1.9623 -2.0433 -2.1228
 -2.2006 -2.2766 -2.3515 -2.4197 -2.4949 -2.6934 -2.8938 -3.0781 -3.2502 -3.4127
 -3.5668 -3.7134 -3.8531 -3.9863 -4.1136 -4.2360 -4.3545 -4.4695 -4.5817 -4.6920
 -1.5446 -1.5933 -1.6459 -1.7019 -1.7633 -1.8309 -1.9033 -1.9786 -2.0551 -2.1316
 -2.2071 -2.2816 -2.3544 -2.4235 -2.4937 -2.6863 -2.8869 -3.0802 -3.2546 -3.4178
 -3.5722 -3.7191 -3.8590 -3.9925 -4.1199 -4.2420 -4.3597 -4.4737 -4.5845 -4.6928
 -4.7994
 -1.6387 -1.6855 -1.7315 -1.7767 -1.8245 -1.8780 -1.9380 -2.0036 -2.0732 -2.1448
 -2.2168 -2.2888 -2.3601 -2.4303 -2.4976 -2.6802 -2.8761 -3.0727 -3.2551 -3.4201
 -3.5754 -3.7227 -3.8630 -3.9969 -4.1247 -4.2470 -4.3644 -4.4776 -4.5874 -4.6943
 -4.7988
 -1.7242 -1.7785 -1.8258 -1.8668 -1.9053 -1.9454 -1.9911 -2.0436 -2.1026 -2.1662
 -2.2327 -2.3006 -2.3693 -2.4381 -2.5058 -2.6792 -2.8688 -3.0627 -3.2508 -3.4222
 -3.5790 -3.7273 -3.8682 -4.0027 -4.1312 -4.2539 -4.3715 -4.4846 -4.5938 -4.6999
 -4.8032
 -1.8047 -1.8647 -1.9155 -1.9580 -1.9926 -2.0251 -2.0588 -2.0975 -2.1434 -2.1961
 -2.2542 -2.3162 -2.3806 -2.4462 -2.5123 -2.6814 -2.8606 -3.0502 -3.2378 -3.4152
 -3.5767 -3.7264 -3.8682 -4.0034 -4.1326 -4.2560 -4.3742 -4.4875 -4.5967 -4.7022
 -4.8067
 -1.8779 -1.9441 -1.9994 -2.0449 -2.0813 -2.1120 -2.1392 -2.1676 -2.2004 -2.2409
 -2.2884 -2.3414 -2.3985 -2.4586 -2.5207 -2.6839 -2.8575 -3.0396 -3.2246 -3.4035
 -3.5704 -3.7236 -3.8667 -4.0028 -4.1328 -4.2571 -4.3761 -4.4902 -4.5996 -4.7051
 -4.8074
 -1.9439 -2.0167 -2.0775 -2.1275 -2.1714 -2.2061 -2.2243 -2.2474 -2.2717 -2.3014
 -2.3370 -2.3781 -2.4242 -2.4753 -2.5312 -2.6868 -2.8595 -3.0309 -3.2112
 [Fe/H] = -3.00 [alpha/Fe] = 0.40 BC value =F1130W
 -1.3526 -1.4615 -1.5756 -1.7003 -1.8346 -1.9221 -1.9608 -1.9355 -1.8957 -1.8876
 -1.9931 -2.1754 -2.3041 -2.3404 -2.3743 -2.5731
 -1.3317 -1.4439 -1.5569 -1.6744 -1.7967 -1.8958 -1.9693 -2.0064 -2.0290 -2.0583
 -2.1284 -2.2291 -2.3141 -2.3666 -2.4211 -2.6155 -2.8062 -2.9855 -3.1551
 -1.3188 -1.4321 -1.5433 -1.6546 -1.7671 -1.8717 -1.9664 -2.0444 -2.1102 -2.1683
 -2.2227 -2.2765 -2.3325 -2.3929 -2.4598 -2.6502 -2.8379 -3.0173 -3.1875 -3.3487
 -3.5015
 -1.3139 -1.4261 -1.5348 -1.6409 -1.7457 -1.8498 -1.9521 -2.0494 -2.1393 -2.2179
 -2.2759 -2.3176 -2.3593 -2.4193 -2.4904 -2.6772 -2.8625 -3.0416 -3.2122 -3.3741
 -3.5276 -3.6735 -3.8146
 -1.3170 -1.4259 -1.5314 -1.6333 -1.7325 -1.8301 -1.9264 -2.0214 -2.1164 -2.2069
 -2.2880 -2.3524 -2.3946 -2.4458 -2.5129 -2.6965 -2.8800 -3.0584 -3.2291 -3.3912
 -3.5449 -3.6911 -3.8304 -3.9638 -4.0922
 -1.3281 -1.4315 -1.5331 -1.6318 -1.7275 -1.8209 -1.9125 -2.0024 -2.0909 -2.1771
 -2.2635 -2.3466 -2.4074 -2.4591 -2.5280 -2.7101 -2.8922 -3.0699 -3.2406 -3.4027
 -3.5566 -3.7029 -3.8424 -3.9756 -4.1034 -4.2268
 -1.3526 -1.4468 -1.5415 -1.6356 -1.7280 -1.8184 -1.9068 -1.9934 -2.0786 -2.1621
 -2.2440 -2.3251 -2.4029 -2.4546 -2.5254 -2.7167 -2.9000 -3.0773 -3.2481 -3.4104
 -3.5645 -3.7110 -3.8506 -3.9839 -4.1115 -4.2342 -4.3530 -4.4683 -4.5807 -4.6909
 -1.3940 -1.4768 -1.5615 -1.6476 -1.7345 -1.8211 -1.9065 -1.9905 -2.0732 -2.1548
 -2.2344 -2.3129 -2.3902 -2.4513 -2.5169 -2.7108 -2.9009 -3.0810 -3.2523 -3.4152
 -3.5697 -3.7164 -3.8563 -3.9899 -4.1175 -4.2400 -4.3580 -4.4723 -4.5834 -4.6917
 -4.7984
 -1.4168 -1.5122 -1.5972 -1.6727 -1.7508 -1.8310 -1.9120 -1.9928 -2.0730 -2.1521
 -2.2302 -2.3072 -2.3830 -2.4530 -2.5126 -2.7008 -2.8928 -3.0783 -3.2536 -3.4174
 -3.5718 -3.7200 -3.8602 -3.9942 -4.1223 -4.2447 -4.3624 -4.4763 -4.5866 -4.6937
 -4.7977
 -1.5126 -1.5710 -1.6392 -1.7161 -1.7833 -1.8539 -1.9276 -2.0032 -2.0796 -2.1560
 -2.2318 -2.3071 -2.3815 -2.4534 -2.5153 -2.6955 -2.8843 -3.0712 -3.2517 -3.4196
 -3.5761 -3.7244 -3.8655 -4.0000 -4.1286 -4.2515 -4.3694 -4.4827 -4.5923 -4.6985
 -4.8021
 -1.5900 -1.6395 -1.7012 -1.7736 -1.8305 -1.8910 -1.9548 -2.0223 -2.0925 -2.1644
 -2.2368 -2.3094 -2.3817 -2.4530 -2.5195 -2.6920 -2.8745 -3.0593 -3.2410 -3.4140
 -3.5739 -3.7236 -3.8655 -4.0007 -4.1300 -4.2536 -4.3720 -4.4855 -4.5949 -4.7006
 -4.8055
 -1.6648 -1.7178 -1.7718 -1.8264 -1.8788 -1.9315 -1.9873 -2.0561 -2.1174 -2.1822
 -2.2493 -2.3178 -2.3869 -2.4560 -2.5242 -2.6926 -2.8681 -3.0485 -3.2289 -3.4039
 -3.5684 -3.7209 -3.8641 -4.0002 -4.1303 -4.2547 -4.3739 -4.4881 -4.5977 -4.7035
 -4.8059
 -1.7370 -1.8059 -1.8510 -1.8745 -1.9280 -1.9755 -2.0429 -2.0922 -2.1461 -2.2130
 -2.2723 -2.3346 -2.3989 -2.4644 -2.5294 -2.6973 -2.8651 -3.0388 -3.2154
 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =F1130W
 -1.3784 -1.5090 -1.6252 -1.7070 -1.7490 -1.7684 -1.7845 -1.8097 -1.8635 -1.9617
 -2.0571 -2.1508 -2.2458 -2.3130 -2.3846 -2.5707
 -1.3583 -1.4830 -1.6002 -1.7000 -1.7794 -1.8440 -1.9006 -1.9537 -2.0125 -2.0840
 -2.1512 -2.2171 -2.2889 -2.3579 -2.4313 -2.6178 -2.8033 -2.9834 -3.1521
 -1.3433 -1.4631 -1.5796 -1.6897 -1.7922 -1.8860 -1.9705 -2.0453 -2.1124 -2.1727
 -2.2260 -2.2754 -2.3300 -2.3963 -2.4694 -2.6556 -2.8382 -3.0162 -3.1858 -3.3467
 -3.4998
 -1.3334 -1.4493 -1.5634 -1.6761 -1.7874 -1.8944 -1.9942 -2.0845 -2.1632 -2.2278
 -2.2815 -2.3257 -2.3691 -2.4282 -2.4989 -2.6841 -2.8650 -3.0413 -3.2110 -3.3725
 -3.5259 -3.6719 -3.8114
 -1.3286 -1.4416 -1.5516 -1.6592 -1.7650 -1.8692 -1.9717 -2.0713 -2.1649 -2.2493
 -2.3177 -2.3680 -2.4062 -2.4536 -2.5198 -2.7033 -2.8837 -3.0587 -3.2278 -3.3895
 -3.5432 -3.6894 -3.8288 -3.9622 -4.0907
 -1.3283 -1.4389 -1.5461 -1.6499 -1.7510 -1.8499 -1.9468 -2.0414 -2.1341 -2.2247
 -2.3110 -2.3851 -2.4355 -2.4773 -2.5366 -2.7161 -2.8965 -3.0706 -3.2392 -3.4009
 -3.5546 -3.7010 -3.8405 -3.9739 -4.1020 -4.2258
 -1.3332 -1.4406 -1.5450 -1.6461 -1.7440 -1.8392 -1.9320 -2.0225 -2.1106 -2.1964
 -2.2809 -2.3642 -2.4360 -2.4860 -2.5463 -2.7249 -2.9048 -3.0785 -3.2467 -3.4083
 -3.5623 -3.7089 -3.8485 -3.9821 -4.1099 -4.2328 -4.3519 -4.4675 -4.5798 -4.6899
 -1.3469 -1.4483 -1.5485 -1.6464 -1.7416 -1.8340 -1.9241 -2.0118 -2.0973 -2.1804
 -2.2612 -2.3407 -2.4196 -2.4797 -2.5384 -2.7278 -2.9095 -3.0833 -3.2511 -3.4129
 -3.5672 -3.7142 -3.8542 -3.9878 -4.1157 -4.2383 -4.3567 -4.4713 -4.5825 -4.6908
 -4.7975
 -1.3741 -1.4666 -1.5597 -1.6521 -1.7435 -1.8330 -1.9206 -2.0060 -2.0896 -2.1712
 -2.2506 -2.3279 -2.4040 -2.4740 -2.5288 -2.7185 -2.9082 -3.0846 -3.2529 -3.4150
 -3.5700 -3.7175 -3.8579 -3.9920 -4.1201 -4.2428 -4.3608 -4.4747 -4.5850 -4.6922
 -4.7969
 -1.4176 -1.5007 -1.5846 -1.6688 -1.7536 -1.8384 -1.9226 -2.0056 -2.0873 -2.1674
 -2.2458 -2.3225 -2.3975 -2.4695 -2.5272 -2.7092 -2.9009 -3.0828 -3.2541 -3.4176
 -3.5735 -3.7219 -3.8630 -3.9977 -4.1264 -4.2494 -4.3676 -4.4812 -4.5910 -4.6975
 -4.8012
 -1.4700 -1.5467 -1.6224 -1.6974 -1.7734 -1.8510 -1.9295 -2.0086 -2.0875 -2.1655
 -2.2424 -2.3182 -2.3925 -2.4645 -2.5296 -2.7013 -2.8889 -3.0727 -3.2472 -3.4138
 -3.5715 -3.7210 -3.8630 -3.9984 -4.1277 -4.2514 -4.3699 -4.4838 -4.5934 -4.6994
 -4.8044
 -1.5291 -1.6028 -1.6727 -1.7407 -1.8084 -1.8770 -1.9477 -2.0203 -2.0944 -2.1691
 -2.2435 -2.3174 -2.3903 -2.4618 -2.5303 -2.6986 -2.8795 -3.0614 -3.2374 -3.4062
 -3.5670 -3.7184 -3.8616 -3.9979 -4.1280 -4.2524 -4.3717 -4.4861 -4.5960 -4.7020
 -4.8047
 -1.5950 -1.6690 -1.7314 -1.7963 -1.8575 -1.9184 -1.9805 -2.0447 -2.1118 -2.1809
 -2.2513 -2.3221 -2.3927 -2.4627 -2.5293 -2.7011 -2.8727 -3.0489 -3.2247
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value =F1130W
 -1.2770 -1.3594 -1.4386 -1.5183 -1.5870 -1.6583 -1.7371 -1.8226 -1.9078 -1.9880
 -2.0642 -2.1413 -2.2173 -2.2933 -2.3930 -2.5749
 -1.3404 -1.4406 -1.5330 -1.6178 -1.6954 -1.7704 -1.8475 -1.9289 -2.0092 -2.0832
 -2.1506 -2.2152 -2.2827 -2.3556 -2.4388 -2.6235 -2.8024 -2.9796 -3.1503
 -1.3679 -1.4790 -1.5822 -1.6778 -1.7662 -1.8484 -1.9277 -2.0074 -2.0851 -2.1562
 -2.2190 -2.2755 -2.3343 -2.4022 -2.4759 -2.6619 -2.8407 -3.0151 -3.1842 -3.3448
 -3.4977
 -1.3595 -1.4746 -1.5862 -1.6983 -1.7994 -1.8924 -1.9777 -2.0581 -2.1355 -2.2070
 -2.2694 -2.3222 -2.3721 -2.4331 -2.5043 -2.6901 -2.8693 -3.0420 -3.2097 -3.3704
 -3.5235 -3.6695 -3.8090
 -1.3406 -1.4552 -1.5692 -1.6821 -1.7920 -1.8969 -1.9951 -2.0855 -2.1677 -2.2423
 -2.3082 -2.3628 -2.4070 -2.4576 -2.5240 -2.7081 -2.8882 -3.0603 -3.2268 -3.3872
 -3.5406 -3.6868 -3.8263 -3.9600 -4.0889
 -1.3340 -1.4460 -1.5555 -1.6642 -1.7714 -1.8762 -1.9775 -2.0747 -2.1672 -2.2535
 -2.3290 -2.3923 -2.4415 -2.4827 -2.5402 -2.7199 -2.9004 -3.0726 -3.2382 -3.3982
 -3.5517 -3.6981 -3.8378 -3.9715 -4.0998 -4.2240
 -1.3334 -1.4432 -1.5497 -1.6539 -1.7561 -1.8564 -1.9544 -2.0495 -2.1415 -2.2307
 -2.3168 -2.3955 -2.4586 -2.5071 -2.5569 -2.7278 -2.9082 -3.0806 -3.2458 -3.4054
 -3.5590 -3.7057 -3.8455 -3.9793 -4.1074 -4.2308 -4.3505 -4.4665 -4.5789 -4.6885
 -1.3349 -1.4442 -1.5490 -1.6507 -1.7497 -1.8464 -1.9411 -2.0331 -2.1222 -2.2078
 -2.2906 -2.3719 -2.4484 -2.5090 -2.5632 -2.7340 -2.9128 -3.0856 -3.2507 -3.4100
 -3.5637 -3.7108 -3.8510 -3.9849 -4.1130 -4.2360 -4.3548 -4.4700 -4.5815 -4.6896
 -4.7959
 -1.3417 -1.4475 -1.5507 -1.6507 -1.7476 -1.8417 -1.9335 -2.0229 -2.1099 -2.1938
 -2.2743 -2.3521 -2.4285 -2.4972 -2.5535 -2.7344 -2.9154 -3.0882 -3.2534 -3.4126
 -3.5664 -3.7139 -3.8546 -3.9889 -4.1172 -4.2402 -4.3586 -4.4729 -4.5837 -4.6911
 -4.7955
 -1.3577 -1.4574 -1.5568 -1.6543 -1.7493 -1.8415 -1.9311 -2.0183 -2.1034 -2.1860
 -2.2659 -2.3429 -2.4172 -2.4881 -2.5467 -2.7245 -2.9158 -3.0912 -3.2569 -3.4161
 -3.5701 -3.7182 -3.8596 -3.9945 -4.1233 -4.2466 -4.3650 -4.4791 -4.5893 -4.6962
 -4.8000
 -1.3847 -1.4758 -1.5684 -1.6609 -1.7523 -1.8419 -1.9293 -2.0146 -2.0979 -2.1792
 -2.2583 -2.3351 -2.4094 -2.4807 -2.5447 -2.7122 -2.9041 -3.0869 -3.2551 -3.4148
 -3.5689 -3.7175 -3.8595 -3.9951 -4.1245 -4.2483 -4.3671 -4.4812 -4.5913 -4.6977
 -4.8032
 -1.4237 -1.5078 -1.5919 -1.6770 -1.7623 -1.8473 -1.9314 -2.0140 -2.0953 -2.1750
 -2.2531 -2.3294 -2.4036 -2.4752 -2.5427 -2.7058 -2.8913 -3.0767 -3.2497 -3.4113
 -3.5662 -3.7154 -3.8581 -3.9945 -4.1247 -4.2492 -4.3686 -4.4832 -4.5935 -4.6999
 -4.8030
 -1.4749 -1.5514 -1.6284 -1.7058 -1.7836 -1.8618 -1.9404 -2.0190 -2.0971 -2.1745
 -2.2508 -2.3259 -2.3993 -2.4709 -2.5407 -2.7053 -2.8774 -3.0606 -3.2407
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value =F1130W
 -1.2439 -1.3313 -1.4095 -1.4792 -1.5426 -1.6132 -1.6978 -1.7953 -1.8893 -1.9779
 -2.0617 -2.1433 -2.2222 -2.2991 -2.3751 -2.5594
