 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = G_BP 
 -4.5355 -4.1960 -3.9505 -3.6799 -3.3806 -3.1358 -2.9944 -2.9089 -2.8132 -2.6841
 -2.5392 -2.3826 -2.2258 -2.0785 -1.9367 -1.6151 -1.3422 -1.1252 -0.9499
 -4.1497 -3.7545 -3.4605 -3.2202 -3.0239 -2.8674 -2.7414 -2.6340 -2.5340 -2.4332
 -2.3255 -2.2056 -2.0729 -1.9366 -1.8067 -1.5209 -1.2833 -1.0917 -0.9411 -0.8261
 -3.8897 -3.4726 -3.1540 -2.9215 -2.7626 -2.6417 -2.5302 -2.4259 -2.3308 -2.2430
 -2.1537 -2.0572 -1.9464 -1.8242 -1.7051 -1.4466 -1.2364 -1.0663 -0.9343 -0.8316
 -0.7491
 -3.7555 -3.3503 -3.0310 -2.7838 -2.5967 -2.4587 -2.3608 -2.2846 -2.2036 -2.1135
 -2.0238 -1.9374 -1.8463 -1.7413 -1.6319 -1.3922 -1.2015 -1.0490 -0.9295 -0.8359
 -0.7600 -0.6962
 -3.6601 -3.2789 -2.9725 -2.7281 -2.5342 -2.3816 -2.2623 -2.1680 -2.0918 -2.0217
 -1.9415 -1.8532 -1.7676 -1.6775 -1.5793 -1.3542 -1.1766 -1.0369 -0.9281 -0.8425
 -0.7729 -0.7139 -0.6623 -0.6163
 -3.5606 -3.2128 -2.9285 -2.6960 -2.5053 -2.3482 -2.2190 -2.1123 -2.0221 -1.9425
 -1.8683 -1.7920 -1.7110 -1.6294 -1.5403 -1.3284 -1.1593 -1.0281 -0.9273 -0.8490
 -0.7856 -0.7318 -0.6844 -0.6419 -0.6028 -0.5671 -0.5352 -0.5084 -0.4892 -0.4818
 -3.4442 -3.1338 -2.8768 -2.6629 -2.4824 -2.3285 -2.1964 -2.0827 -1.9846 -1.8978
 -1.8175 -1.7404 -1.6637 -1.5893 -1.5106 -1.3114 -1.1478 -1.0214 -0.9255 -0.8529
 -0.7956 -0.7474 -0.7052 -0.6668 -0.6313 -0.5982 -0.5679 -0.5406 -0.5192 -0.5070
 -0.5064
 -3.3176 -3.0419 -2.8121 -2.6189 -2.4529 -2.3076 -2.1784 -2.0631 -1.9604 -1.8689
 -1.7853 -1.7064 -1.6301 -1.5557 -1.4836 -1.3000 -1.1410 -1.0167 -0.9229 -0.8532
 -0.8008 -0.7584 -0.7219 -0.6888 -0.6579 -0.6287 -0.6012 -0.5759 -0.5538 -0.5373
 -0.5320
 -3.1855 -2.9417 -2.7358 -2.5614 -2.4106 -2.2763 -2.1541 -2.0420 -1.9391 -1.8453
