 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F390M
 -7.3551 -7.0790 -6.8131 -6.5552 -6.3026 -5.6787 -5.0298 -4.3360 -3.6690
-10.7858-10.4942-10.2680 -9.9460 -9.5731 -9.0404 -8.4532 -8.0072 -7.6410 -7.3167
 -7.0084 -6.7141 -6.4340 -6.1665 -5.9086 -5.2916 -4.6844 -4.0711 -3.4868 -3.0093
-10.2701 -9.7099 -9.4400 -9.3249 -9.1313 -8.8306 -8.3734 -7.8613 -7.4452 -7.0918
 -6.7629 -6.4512 -6.1574 -5.8806 -5.6180 -5.0074 -4.4346 -3.8827 -3.3633 -2.9261
 -2.5998
-10.0765 -9.3854 -8.9263 -8.6590 -8.5359 -8.4232 -8.1878 -7.8063 -7.3523 -6.9619
 -6.6152 -6.2881 -5.9808 -5.6935 -5.4242 -4.8142 -4.2648 -3.7564 -3.2850 -2.8777
 -2.5697 -2.3376
-10.0856 -9.2972 -8.7209 -8.3185 -8.0496 -7.8709 -7.7516 -7.5879 -7.2959 -6.9126
 -6.5523 -6.2138 -5.8941 -5.5950 -5.3164 -4.6975 -4.1600 -3.6798 -3.2420 -2.8574
 -2.5609 -2.3405 -2.1674 -2.0242
-10.2588 -9.3892 -8.6996 -8.1916 -7.8233 -7.5502 -7.3358 -7.1571 -7.0039 -6.8023
 -6.5148 -6.2010 -5.8805 -5.5712 -5.2814 -4.6437 -4.1065 -3.6420 -3.2266 -2.8595
 -2.5695 -2.3557 -2.1918 -2.0582 -1.9448 -1.8457 -1.7568 -1.6744 -1.5987 -1.5385
-10.5553 -9.6299 -8.8447 -8.2280 -7.7659 -7.4214 -7.1489 -6.9096 -6.6918 -6.5025
 -6.3250 -6.1200 -5.8731 -5.5935 -5.3034 -4.6413 -4.0942 -3.6346 -3.2325 -2.8785
 -2.5922 -2.3806 -2.2222 -2.0964 -1.9911 -1.8998 -1.8197 -1.7490 -1.6862 -1.6311
 -1.5871
-10.9144 -9.9811 -9.1241 -8.4093 -7.8466 -7.4156 -7.0832 -6.8107 -6.5653 -6.3332
 -6.1191 -5.9252 -5.7412 -5.5431 -5.3169 -4.6806 -4.1155 -3.6520 -3.2551 -2.9096
 -2.6254 -2.4126 -2.2563 -2.1361 -2.0379 -1.9547 -1.8815 -1.8175 -1.7628 -1.7176
 -1.6816
-11.2805-10.3832 -9.4987 -8.7054 -8.0469 -7.5258 -7.1185 -6.7949 -6.5237 -6.2768
 -6.0411 -5.8161 -5.6070 -5.4153 -5.2295 -4.7173 -4.1597 -3.6857 -3.2880 -2.9462
 -2.6628 -2.4468 -2.2899 -2.1731 -2.0812 -2.0053 -1.9411 -1.8858 -1.8383 -1.7979
 -1.7640
-11.6012-10.7795 -9.9398 -9.1069 -8.3686 -7.7540 -7.2626 -6.8717 -6.5544 -6.2840
 -6.0377 -5.8015 -5.5723 -5.3554 -5.1544 -4.6947 -4.2178 -3.7439 -3.3394 -2.9960
 -2.7103 -2.4882 -2.3262 -2.2092 -2.1214 -2.0518 -1.9949 -1.9467 -1.9058 -1.8714
 -1.8432
-11.8381-11.1571-10.3779 -9.5636 -8.7830 -8.0899 -7.5091 -7.0386 -6.6592 -6.3459
 -6.0762 -5.8304 -5.5946 -5.3649 -5.1448 -4.6607 -4.2348 -3.8059 -3.4007 -3.0526
 -2.7623 -2.5326 -2.3622 -2.2409 -2.1544 -2.0900 -2.0399 -1.9991 -1.9656 -1.9381
 -1.9157
-11.9971-11.4328-10.7559-10.0114 -9.2478 -8.5156 -7.8584 -7.3043 -6.8476 -6.4737
 -6.1628 -5.8933 -5.6478 -5.4139 -5.1861 -4.6650 -4.2352 -3.8452 -3.4630
 [Fe/H] = -0.75 [alpha/Fe] =-0.40 BC value = F390M
-12.1317-11.5390-10.9842-10.4163 -9.6726 -8.9408 -8.4596 -8.1183 -7.8244 -7.5470
 -7.2848 -7.0314 -6.7867 -6.5497 -6.3173 -5.7422 -5.1499 -4.5162 -3.8611
-10.9467-10.7113-10.3591 -9.9763 -9.5046 -8.8446 -8.2683 -7.8598 -7.5283 -7.2290
 -6.9473 -6.6784 -6.4219 -6.1760 -5.9380 -5.3663 -4.8030 -4.2300 -3.6612 -3.1536
-10.2729 -9.8102 -9.6548 -9.4667 -9.1866 -8.7797 -8.2106 -7.7120 -7.3336 -7.0077
 -6.7081 -6.4248 -6.1570 -5.9033 -5.6608 -5.0920 -4.5522 -4.0266 -3.5200 -3.0608
 -2.6969
-10.0731 -9.3895 -8.9874 -8.8180 -8.7212 -8.5182 -8.1725 -7.6866 -7.2385 -6.8784
 -6.5622 -6.2654 -5.9863 -5.7236 -5.4752 -4.9044 -4.3802 -3.8880 -3.4258 -3.0035
 -2.6603 -2.4030
-10.1111 -9.2925 -8.7185 -8.3536 -8.1444 -8.0384 -7.9075 -7.6397 -7.2436 -6.8354
 -6.4974 -6.1890 -5.8986 -5.6258 -5.3692 -4.7890 -4.2714 -3.8006 -3.3687 -2.9746
 -2.6464 -2.3998 -2.2112 -2.0575
-10.3341 -9.4043 -8.6921 -8.1876 -7.8439 -7.6062 -7.4395 -7.3124 -7.1352 -6.8433
 -6.4957 -6.1788 -5.8794 -5.5967 -5.3303 -4.7328 -4.2130 -3.7538 -3.3417 -2.9686
 -2.6519 -2.4111 -2.2305 -2.0868 -1.9659 -1.8611 -1.7680 -1.6833 -1.6058 -1.5403
-10.6905 -9.6884 -8.8537 -8.2178 -7.7575 -7.4258 -7.1738 -6.9651 -6.7915 -6.6361
 -6.4413 -6.1833 -5.9048 -5.6211 -5.3460 -4.7259 -4.1955 -3.7394 -3.3386 -2.9808
 -2.6732 -2.4347 -2.2580 -2.1212 -2.0090 -1.9132 -1.8299 -1.7563 -1.6906 -1.6322
 -1.5894
-11.1103-10.0914 -9.1695 -8.4150 -7.8352 -7.4045 -7.0809 -6.8224 -6.5964 -6.3921
 -6.2125 -6.0415 -5.8543 -5.6370 -5.3916 -4.7599 -4.2123 -3.7514 -3.3555 -3.0066
 -2.7059 -2.4677 -2.2915 -2.1587 -2.0532 -1.9650 -1.8885 -1.8224 -1.7658 -1.7184
 -1.6795
-11.5303-10.5454 -9.5835 -8.7380 -8.0505 -7.5157 -7.1065 -6.7892 -6.5286 -6.2963
 -6.0810 -5.8827 -5.7003 -5.5284 -5.3487 -4.8154 -4.2536 -3.7822 -3.3845 -3.0396
 -2.7433 -2.5046 -2.3266 -2.1956 -2.0949 -2.0136 -1.9459 -1.8880 -1.8384 -1.7966
 -1.7621
-11.8903-11.0167-10.0708 -9.1698 -8.3897 -7.7549 -7.2542 -6.8615 -6.5483 -6.2867
 -6.0527 -5.8336 -5.6259 -5.4324 -5.2536 -4.8179 -4.3234 -3.8405 -3.4354 -3.0885
 -2.7917 -2.5498 -2.3667 -2.2337 -2.1354 -2.0595 -1.9985 -1.9479 -1.9053 -1.8698
 -1.8406
-12.1465-11.4205-10.5592 -9.6634 -8.8228 -8.0991 -7.5062 -7.0317 -6.6520 -6.3424
 -6.0801 -5.8453 -5.6242 -5.4125 -5.2123 -4.7700 -4.3537 -3.9128 -3.5000 -3.1467
 -2.8457 -2.5983 -2.4078 -2.2693 -2.1705 -2.0982 -2.0432 -1.9995 -1.9641 -1.9355
 -1.9117
-12.3066-11.7216-10.9861-10.1532 -9.3102 -8.5293 -7.8539 -7.2947 -6.8398 -6.4693
 -6.1629 -5.9003 -5.6645 -5.4428 -5.2298 -4.7484 -4.3447 -3.9614 -3.5721
 [Fe/H] = -0.50 [alpha/Fe] =-0.40 BC value = F390M
-12.2077-11.5672-10.9521-10.2625 -9.4753 -8.7790 -8.3246 -7.9969 -7.7271 -7.4758
 -7.2372 -7.0058 -6.7814 -6.5633 -6.3496 -5.8195 -5.2769 -4.6943 -4.0728
-11.2177-10.8587-10.4281 -9.9672 -9.3646 -8.6606 -8.1185 -7.7392 -7.4308 -7.1611
 -6.9061 -6.6622 -6.4283 -6.2031 -5.9841 -5.4549 -4.9317 -4.3966 -3.8519 -3.3336
-10.3166-10.0288 -9.8457 -9.5568 -9.1865 -8.6464 -8.0424 -7.5810 -7.2327 -6.9374
 -6.6675 -6.4121 -6.1695 -5.9381 -5.7153 -5.1870 -4.6800 -4.1803 -3.6900 -3.2256
 -2.8254
-10.0543 -9.4158 -9.1290 -9.0273 -8.8412 -8.5369 -8.0675 -7.5408 -7.1281 -6.8017
 -6.5166 -6.2497 -5.9979 -5.7592 -5.5316 -5.0005 -4.5038 -4.0293 -3.5776 -3.1539
 -2.7811 -2.4908
-10.1043 -9.2718 -8.7286 -8.4324 -8.3129 -8.2064 -7.9713 -7.5852 -7.1268 -6.7496
 -6.4425 -6.1645 -5.9031 -5.6561 -5.4216 -4.8818 -4.3888 -3.9301 -3.5047 -3.1111
 -2.7603 -2.4815 -2.2707 -2.1024
-10.3689 -9.3884 -8.6669 -8.1836 -7.8813 -7.7049 -7.5990 -7.4473 -7.1631 -6.7831
 -6.4345 -6.1428 -5.8724 -5.6167 -5.3741 -4.8200 -4.3237 -3.8733 -3.4649 -3.0925
 -2.7595 -2.4885 -2.2845 -2.1264 -1.9961 -1.8847 -1.7863 -1.6961 -1.6130 -1.5449
-10.7869 -9.7075 -8.8305 -8.1883 -7.7422 -7.4376 -7.2211 -7.0616 -6.9286 -6.7491
 -6.4737 -6.1693 -5.8917 -5.6288 -5.3783 -4.8056 -4.2999 -3.8512 -3.4524 -3.0944
 -2.7753 -2.5099 -2.3087 -2.1563 -2.0345 -1.9322 -1.8441 -1.7669 -1.6977 -1.6357
 -1.5842
-11.2616-10.1634 -9.1783 -8.3883 -7.8025 -7.3812 -7.0766 -6.8409 -6.6449 -6.4788
 -6.3263 -6.1430 -5.9171 -5.6727 -5.4222 -4.8315 -4.3106 -3.8576 -3.4629 -3.1130
 -2.8037 -2.5427 -2.3415 -2.1913 -2.0752 -1.9804 -1.9006 -1.8317 -1.7721 -1.7212
 -1.6787
-11.7235-10.6357 -9.6357 -8.7393 -8.0244 -7.4820 -7.0794 -6.7759 -6.5322 -6.3208
 -6.1319 -5.9637 -5.8004 -5.6310 -5.4416 -4.8848 -4.3468 -3.8839 -3.4878 -3.1415
 -2.8376 -2.5799 -2.3777 -2.2277 -2.1151 -2.0265 -1.9540 -1.8930 -1.8411 -1.7971
 -1.7613
-12.1104-11.1736-10.1585 -9.2036 -8.3874 -7.7316 -7.2229 -6.8331 -6.5304 -6.2825
 -6.0651 -5.8668 -5.6838 -5.5138 -5.3539 -4.9264 -4.4158 -3.9393 -3.5363 -3.1881
 -2.8846 -2.6265 -2.4211 -2.2680 -2.1559 -2.0714 -2.0050 -1.9510 -1.9062 -1.8690
 -1.8386
-12.3745-11.6060-10.6774 -9.7179 -8.8400 -8.0925 -7.4855 -7.0047 -6.6260 -6.3238
 -6.0732 -5.8528 -5.6501 -5.4591 -5.2809 -4.8813 -4.4694 -4.0137 -3.6002 -3.2457
