 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = UX   
 -7.9785 -7.8624 -7.8156 -7.7124 -7.5216 -7.3270 -7.2205 -7.1733 -7.0809 -6.8834
 -6.6174 -6.2981 -5.9473 -5.5932 -5.2338 -4.3224 -3.4479 -2.7451 -2.1865
 -7.6897 -7.4274 -7.2309 -7.0615 -6.9109 -6.7777 -6.6570 -6.5352 -6.3933 -6.2157
 -5.9900 -5.7093 -5.3804 -5.0357 -4.6967 -3.8779 -3.1137 -2.4892 -2.0219 -1.6943
 -7.5178 -7.1574 -6.8555 -6.6145 -6.4364 -6.2917 -6.1449 -5.9861 -5.8174 -5.6380
 -5.4288 -5.1787 -4.8814 -4.5574 -4.2403 -3.5033 -2.8350 -2.2786 -1.8751 -1.5937
 -1.3945
 -7.4628 -7.0524 -6.6894 -6.3714 -6.0981 -5.8690 -5.6842 -5.5260 -5.3532 -5.1503
 -4.9338 -4.7063 -4.4503 -4.1583 -3.8646 -3.1986 -2.6118 -2.1133 -1.7461 -1.4932
 -1.3168 -1.1905
 -7.4792 -7.0323 -6.6305 -6.2687 -5.9443 -5.6558 -5.4013 -5.1775 -4.9807 -4.7930
 -4.5815 -4.3472 -4.1096 -3.8537 -3.5840 -2.9732 -2.4484 -1.9954 -1.6500 -1.4143
 -1.2533 -1.1399 -1.0581 -0.9975
 -7.5567 -7.0809 -6.6470 -6.2516 -5.8924 -5.5664 -5.2712 -5.0044 -4.7624 -4.5407
 -4.3321 -4.1197 -3.8942 -3.6583 -3.4047 -2.8256 -2.3428 -1.9236 -1.5883 -1.3555
 -1.2011 -1.0953 -1.0206 -0.9671 -0.9278 -0.8971 -0.8709 -0.8462 -0.8213 -0.7970
 -7.6830 -7.1879 -6.7291 -6.3050 -5.9155 -5.5600 -5.2356 -4.9387 -4.6672 -4.4178
 -4.1863 -3.9676 -3.7543 -3.5430 -3.3147 -2.7506 -2.2869 -1.8912 -1.5604 -1.3192
 -1.1598 -1.0551 -0.9840 -0.9347 -0.9002 -0.8756 -0.8571 -0.8409 -0.8261 -0.8124
 -0.7984
 -7.8506 -7.3397 -6.8636 -6.4182 -6.0032 -5.6208 -5.2699 -4.9483 -4.6529 -4.3814
 -4.1303 -3.8965 -3.6770 -3.4683 -3.2611 -2.7332 -2.2701 -1.8872 -1.5606 -1.3071
 -1.1330 -1.0203 -0.9477 -0.8998 -0.8680 -0.8473 -0.8339 -0.8246 -0.8169 -0.8103
 -0.8064
 -8.0479 -7.5234 -7.0320 -6.5720 -6.1380 -5.7324 -5.3572 -5.0120 -4.6951 -4.4036
 -4.1342 -3.8848 -3.6528 -3.4359 -3.2298 -2.7310 -2.2785 -1.8965 -1.5750 -1.3131
 -1.1219 -0.9937 -0.9125 -0.8620 -0.8308 -0.8123 -0.8025 -0.7980 -0.7963 -0.7959
 -0.7966
 -8.2804 -7.7518 -7.2422 -6.7663 -6.3176 -5.8944 -5.4987 -5.1312 -4.7922 -4.4804
 -4.1928 -3.9268 -3.6801 -3.4512 -3.2370 -2.7429 -2.3041 -1.9215 -1.6009 -1.3357
 -1.1303 -0.9839 -0.8871 -0.8270 -0.7915 -0.7720 -0.7632 -0.7614 -0.7640 -0.7689
 -0.7742
 -8.5502 -8.0011 -7.4806 -6.9873 -6.5223 -6.0862 -5.6752 -5.2893 -4.9299 -4.5973
 -4.2903 -4.0068 -3.7443 -3.5008 -3.2741 -2.7660 -2.3330 -1.9527 -1.6300 -1.3623
 -1.1489 -0.9884 -0.8746 -0.7997 -0.7544 -0.7296 -0.7188 -0.7172 -0.7217 -0.7301
 -0.7406
 -8.8574 -8.2713 -7.7273 -7.2238 -6.7456 -6.2958 -5.8727 -5.4735 -5.0976 -4.7465
 -4.4200 -4.1176 -3.8377 -3.5785 -3.3411 -2.8003 -2.3652 -1.9901 -1.6623
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value = UX   
 -7.2909 -7.2156 -7.1718 -7.1440 -7.1189 -7.0845 -7.0303 -6.9475 -6.8257 -6.6527
 -6.4202 -6.1279 -5.7942 -5.4545 -5.1322 -4.3255 -3.5428 -2.8498 -2.3187
 -6.9165 -6.7661 -6.6629 -6.5943 -6.5424 -6.4899 -6.4230 -6.3314 -6.2061 -6.0392
 -5.8224 -5.5511 -5.2339 -4.9041 -4.5860 -3.8499 -3.1728 -2.5778 -2.1131 -1.7768
 -6.7189 -6.4751 -6.2964 -6.1674 -6.0575 -5.9635 -5.8721 -5.7672 -5.6378 -5.4778
 -5.2808 -5.0410 -4.7552 -4.4444 -4.1429 -3.4661 -2.8729 -2.3566 -1.9457 -1.6478
 -1.4315
 -6.6838 -6.3601 -6.1033 -5.9039 -5.7431 -5.6026 -5.4675 -5.3266 -5.1757 -5.0116
 -4.8262 -4.6148 -4.3688 -4.0870 -3.8029 -3.1741 -2.6431 -2.1862 -1.8165 -1.5461
 -1.3562 -1.2207
 -6.7840 -6.4143 -6.0920 -5.8267 -5.6061 -5.4147 -5.2394 -5.0693 -4.8953 -4.7093
 -4.5068 -4.2983 -4.0783 -3.8326 -3.5673 -2.9715 -2.4814 -2.0646 -1.7221 -1.4681
 -1.2915 -1.1681 -1.0795 -1.0133
 -6.9727 -6.5520 -6.1811 -5.8533 -5.5637 -5.3087 -5.0830 -4.8810 -4.6969 -4.5254
 -4.3413 -4.1264 -3.9005 -3.6695 -3.4247 -2.8485 -2.3811 -1.9883 -1.6607 -1.4116
 -1.2396 -1.1224 -1.0404 -0.9815 -0.9379 -0.9037 -0.8751 -0.8484 -0.8214 -0.7949
 -7.2645 -6.7844 -6.3595 -5.9821 -5.6455 -5.3448 -5.0759 -4.8341 -4.6137 -4.4086
 -4.2142 -4.0235 -3.8207 -3.6016 -3.3646 -2.7918 -2.3314 -1.9508 -1.6301 -1.3772
