 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =F850LP
 -0.2318 -0.2675 -0.3155 -0.3674 -0.4001 -0.4034 -0.2979 -0.2987 -0.2938 -0.2781
 -0.2504 -0.2015 -0.1703 -0.1329 -0.0962 -0.0346 -0.0395 -0.0874 -0.1381
 -0.1993 -0.1729 -0.1681 -0.1827 -0.2126 -0.2383 -0.2536 -0.2618 -0.2651 -0.2633
 -0.2510 -0.2261 -0.1931 -0.1604 -0.1328 -0.0951 -0.0953 -0.1223 -0.1610 -0.2047
 -0.1873 -0.1738 -0.1629 -0.1571 -0.1605 -0.1773 -0.2056 -0.2299 -0.2416 -0.2414
 -0.2365 -0.2251 -0.2027 -0.1760 -0.1521 -0.1171 -0.1189 -0.1465 -0.1854 -0.2290
 -0.2742
 -0.1634 -0.1604 -0.1547 -0.1482 -0.1439 -0.1447 -0.1527 -0.1692 -0.1909 -0.2069
 -0.2123 -0.2123 -0.2033 -0.1851 -0.1658 -0.1353 -0.1373 -0.1653 -0.2050 -0.2487
 -0.2941 -0.3399
 -0.1164 -0.1270 -0.1313 -0.1310 -0.1283 -0.1263 -0.1271 -0.1320 -0.1413 -0.1543
 -0.1675 -0.1766 -0.1824 -0.1797 -0.1702 -0.1470 -0.1495 -0.1780 -0.2195 -0.2644
 -0.3105 -0.3571 -0.4036 -0.4486
 -0.0480 -0.0730 -0.0900 -0.0996 -0.1035 -0.1047 -0.1054 -0.1074 -0.1119 -0.1183
 -0.1261 -0.1347 -0.1446 -0.1513 -0.1538 -0.1501 -0.1549 -0.1836 -0.2277 -0.2755
 -0.3235 -0.3715 -0.4194 -0.4669 -0.5133 -0.5595 -0.6067 -0.6557 -0.7073 -0.7619
  0.0348 -0.0010 -0.0308 -0.0520 -0.0657 -0.0738 -0.0788 -0.0826 -0.0868 -0.0921
 -0.0981 -0.1044 -0.1117 -0.1196 -0.1261 -0.1391 -0.1529 -0.1822 -0.2285 -0.2805
