 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  Hp  
 -3.7354 -3.6763 -3.8693 -3.8223 -3.6622 -3.4350 -3.1760 -3.0052 -2.8498 -2.6884
 -2.5354 -2.3926 -2.2595 -2.1352 -2.0185 -1.7690 -1.5369 -1.3178 -1.1849
 -3.7250 -3.5418 -3.3905 -3.2893 -3.2353 -3.1500 -3.0031 -2.8373 -2.6808 -2.5307
 -2.3868 -2.2515 -2.1259 -2.0099 -1.9022 -1.6632 -1.4617 -1.2998 -1.1769 -1.0827
 -3.5405 -3.3600 -3.1918 -3.0454 -2.9266 -2.8491 -2.7893 -2.6908 -2.5586 -2.4161
 -2.2805 -2.1526 -2.0337 -1.9242 -1.8235 -1.6051 -1.4262 -1.2829 -1.1729 -1.0877
 -1.0193
 -3.3870 -3.2246 -3.0624 -2.9106 -2.7745 -2.6561 -2.5596 -2.4899 -2.4178 -2.3177
 -2.1985 -2.0788 -1.9665 -1.8626 -1.7671 -1.5627 -1.4000 -1.2724 -1.1732 -1.0959
 -1.0330 -0.9799
 -3.2468 -3.1074 -2.9612 -2.8162 -2.6799 -2.5558 -2.4444 -2.3459 -2.2662 -2.1935
 -2.1130 -2.0171 -1.9157 -1.8179 -1.7271 -1.5329 -1.3810 -1.2646 -1.1753 -1.1055
 -1.0481 -0.9992 -0.9563 -0.9186
 -3.1169 -2.9956 -2.8699 -2.7383 -2.6088 -2.4865 -2.3742 -2.2720 -2.1796 -2.0963
 -2.0211 -1.9472 -1.8668 -1.7816 -1.6973 -1.5121 -1.3672 -1.2581 -1.1764 -1.1140
 -1.0626 -1.0185 -0.9795 -0.9442 -0.9104 -0.8796 -0.8539 -0.8352 -0.8246 -0.8229
 -2.9992 -2.8901 -2.7805 -2.6651 -2.5466 -2.4307 -2.3209 -2.2195 -2.1273 -2.0424
 -1.9631 -1.8885 -1.8168 -1.7448 -1.6711 -1.4970 -1.3569 -1.2511 -1.1748 -1.1187
 -1.0739 -1.0355 -1.0013 -0.9700 -0.9409 -0.9126 -0.8868 -0.8660 -0.8519 -0.8462
 -0.8509
 -2.8954 -2.7935 -2.6933 -2.5911 -2.4858 -2.3793 -2.2751 -2.1764 -2.0855 -2.0021
 -1.9247 -1.8512 -1.7803 -1.7121 -1.6452 -1.4854 -1.3494 -1.2454 -1.1707 -1.1185
 -1.0797 -1.0478 -1.0195 -0.9932 -0.9686 -0.9449 -0.9209 -0.8993 -0.8829 -0.8742
 -0.8747
