 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =F322W2
 -3.4911 -3.5135 -3.5415 -3.5730 -3.6077 -3.6451 -3.6851 -3.7268 -3.7691 -3.8102
 -3.8482 -3.8828 -3.9158 -3.9488 -3.9777 -4.0872 -4.2310 -4.3879 -4.5442 -4.6971
 -4.8468 -4.9918 -5.1303 -5.2622 -5.3883 -5.5093 -5.6260 -5.7388 -5.8481 -5.9543
 -6.0577
 -3.5619 -3.5791 -3.5993 -3.6221 -3.6476 -3.6761 -3.7076 -3.7423 -3.7798 -3.8189
 -3.8581 -3.8960 -3.9321 -3.9675 -4.0015 -4.1069 -4.2435 -4.3928 -4.5454 -4.6957
 -4.8434 -4.9880 -5.1277 -5.2611 -5.3881 -5.5096 -5.6263 -5.7387 -5.8474 -5.9527
 -6.0569
 -3.6416 -3.6593 -3.6746 -3.6906 -3.7081 -3.7275 -3.7498 -3.7755 -3.8054 -3.8389
 -3.8752 -3.9128 -3.9505 -3.9876 -4.0243 -4.1269 -4.2572 -4.4003 -4.5482 -4.6954
 -4.8405 -4.9832 -5.1227 -5.2573 -5.3860 -5.5086 -5.6261 -5.7388 -5.8473 -5.9523
 -6.0539
 -3.7289 -3.7465 -3.7614 -3.7742 -3.7862 -3.7988 -3.8129 -3.8295 -3.8503 -3.8757
 -3.9055 -3.9389 -3.9747 -4.0116 -4.0461 -4.1472 -4.2721 -4.4104 -4.5526
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value =F322W2
 -3.4439 -3.4691 -3.4855 -3.4927 -3.4906 -3.4872 -3.4913 -3.5070 -3.5275 -3.5506
 -3.5807 -3.6240 -3.6814 -3.7471 -3.8155 -3.9873 -4.1552 -4.3185 -4.4804
 -3.4768 -3.5101 -3.5346 -3.5499 -3.5570 -3.5591 -3.5629 -3.5776 -3.5942 -3.6104
 -3.6294 -3.6596 -3.7078 -3.7700 -3.8378 -4.0098 -4.1771 -4.3387 -4.4983 -4.6553
 -3.4839 -3.5299 -3.5659 -3.5922 -3.6094 -3.6189 -3.6261 -3.6403 -3.6559 -3.6692
 -3.6813 -3.6985 -3.7323 -3.7868 -3.8524 -4.0247 -4.1928 -4.3540 -4.5121 -4.6675
 -4.8175
 -3.4438 -3.5000 -3.5611 -3.6091 -3.6442 -3.6675 -3.6820 -3.6969 -3.7134 -3.7270
 -3.7366 -3.7453 -3.7631 -3.8034 -3.8632 -4.0341 -4.2032 -4.3651 -4.5225 -4.6769
 -4.8259 -4.9694
 -3.3947 -3.4528 -3.5146 -3.5756 -3.6315 -3.6787 -3.7143 -3.7385 -3.7594 -3.7773
 -3.7901 -3.7979 -3.8052 -3.8268 -3.8744 -4.0398 -4.2097 -4.3727 -4.5301 -4.6838
 -4.8323 -4.9751 -5.1124 -5.2450
 -3.3766 -3.4274 -3.4818 -3.5394 -3.5980 -3.6532 -3.7022 -3.7433 -3.7769 -3.8040
