 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  G   
 -2.9535 -2.9420 -3.1266 -3.1287 -3.0449 -2.9046 -2.7304 -2.6192 -2.5188 -2.4123
 -2.3099 -2.2139 -2.1241 -2.0414 -1.9686 -1.8166 -1.7128 -1.6516 -1.6121
 -2.9581 -2.8740 -2.8045 -2.7658 -2.7592 -2.7263 -2.6432 -2.5415 -2.4425 -2.3465
 -2.2533 -2.1651 -2.0834 -2.0093 -1.9428 -1.8085 -1.7154 -1.6562 -1.6206 -1.5997
 -2.8323 -2.7527 -2.6731 -2.6017 -2.5454 -2.5179 -2.5032 -2.4590 -2.3846 -2.2980
 -2.2132 -2.1318 -2.0560 -1.9870 -1.9253 -1.8016 -1.7167 -1.6640 -1.6331 -1.6149
 -1.6049
 -2.7185 -2.6546 -2.5820 -2.5085 -2.4405 -2.3814 -2.3369 -2.3127 -2.2877 -2.2408
 -2.1751 -2.1037 -2.0345 -1.9705 -1.9129 -1.7973 -1.7184 -1.6710 -1.6444 -1.6292
 -1.6208 -1.6171
 -2.6044 -2.5602 -2.5026 -2.4372 -2.3710 -2.3087 -2.2528 -2.2045 -2.1697 -2.1413
 -2.1090 -2.0639 -2.0103 -1.9545 -1.9017 -1.7934 -1.7190 -1.6759 -1.6534 -1.6418
 -1.6357 -1.6335 -1.6343 -1.6379
 -2.4890 -2.4610 -2.4215 -2.3703 -2.3126 -2.2538 -2.1982 -2.1472 -2.1015 -2.0618
 -2.0290 -1.9990 -1.9650 -1.9260 -1.8848 -1.7880 -1.7174 -1.6770 -1.6580 -1.6511
 -1.6487 -1.6490 -1.6515 -1.6558 -1.6610 -1.6683 -1.6788 -1.6939 -1.7141 -1.7400
 -2.3748 -2.3586 -2.3340 -2.2982 -2.2534 -2.2033 -2.1519 -2.1028 -2.0579 -2.0165
 -1.9787 -1.9448 -1.9143 -1.8848 -1.8540 -1.7771 -1.7126 -1.6727 -1.6571 -1.6552
 -1.6578 -1.6620 -1.6674 -1.6738 -1.6809 -1.6877 -1.6961 -1.7083 -1.7261 -1.7504
 -1.7801
 -2.2642 -2.2562 -2.2416 -2.2183 -2.1871 -2.1489 -2.1060 -2.0617 -2.0194 -1.9802
 -1.9440 -1.9101 -1.8784 -1.8494 -1.8221 -1.7583 -1.7037 -1.6661 -1.6511 -1.6527
 -1.6609 -1.6705 -1.6801 -1.6897 -1.6995 -1.7092 -1.7180 -1.7282 -1.7424 -1.7627
 -1.7904
 -2.1599 -2.1571 -2.1484 -2.1325 -2.1126 -2.0860 -2.0539 -2.0179 -1.9806 -1.9444
 -1.9109 -1.8798 -1.8505 -1.8227 -1.7962 -1.7377 -1.6904 -1.6572 -1.6418 -1.6447
 -1.6572 -1.6725 -1.6878 -1.7022 -1.7158 -1.7286 -1.7410 -1.7535 -1.7680 -1.7846
 -1.8033
 -2.0643 -2.0645 -2.0593 -2.0493 -2.0349 -2.0166 -1.9945 -1.9681 -1.9387 -1.9077
 -1.8775 -1.8495 -1.8234 -1.7984 -1.7744 -1.7203 -1.6766 -1.6465 -1.6317 -1.6337
 -1.6476 -1.6671 -1.6879 -1.7081 -1.7269 -1.7441 -1.7601 -1.7753 -1.7901 -1.8056
 -1.8220
 -1.9784 -1.9785 -1.9748 -1.9676 -1.9574 -1.9443 -1.9288 -1.9108 -1.8898 -1.8662
 -1.8412 -1.8168 -1.7939 -1.7726 -1.7523 -1.7045 -1.6637 -1.6357 -1.6220 -1.6225
 -1.6357 -1.6565 -1.6812 -1.7067 -1.7311 -1.7538 -1.7747 -1.7940 -1.8120 -1.8294
 -1.8472
 -1.8981 -1.8888 -1.8827 -1.8782 -1.8736 -1.8677 -1.8594 -1.8481 -1.8341 -1.8179
 -1.7998 -1.7805 -1.7614 -1.7434 -1.7265 -1.6875 -1.6515 -1.6250 -1.6121
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value =  G   
 -3.2439 -3.2440 -3.2063 -3.0851 -2.9343 -2.7850 -2.6569 -2.5499 -2.4518 -2.3579
 -2.2679 -2.1824 -2.1020 -2.0269 -1.9580 -1.8137 -1.7092 -1.6415 -1.6012
 -3.0592 -2.9786 -2.9477 -2.9426 -2.8658 -2.7397 -2.6118 -2.5022 -2.4061 -2.3158
 -2.2298 -2.1483 -2.0719 -2.0014 -1.9370 -1.8049 -1.7103 -1.6485 -1.6116 -1.5902
 -2.9475 -2.8520 -2.7670 -2.7072 -2.6911 -2.6626 -2.5741 -2.4675 -2.3715 -2.2850
 -2.2031 -2.1255 -2.0528 -1.9858 -1.9249 -1.8007 -1.7127 -1.6557 -1.6226 -1.6040
 -1.5939
 -2.8544 -2.7682 -2.6781 -2.5913 -2.5207 -2.4783 -2.4603 -2.4192 -2.3414 -2.2595
