 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  R   
 -0.6357  1.2395  2.6982  2.2418 -0.1393 -3.7561 -2.9521 -1.4112 -0.4392 -0.2990
 -0.1442 -0.0779 -0.4441 -0.9226 -1.0896 -0.7786
 -1.6813 -0.9308 -0.2385 -0.3308 -1.2075 -2.8111 -2.4626 -1.7551 -1.1952 -0.9497
 -0.7536 -0.6578 -0.7731 -0.9519 -0.9990 -0.7395 -0.5710 -0.4774 -0.4969
 -2.1258 -1.9569 -1.7111 -1.6056 -1.6558 -2.0251 -1.9205 -1.7070 -1.4627 -1.2456
 -1.0801 -0.9830 -0.9539 -0.9481 -0.9137 -0.7063 -0.5720 -0.4883 -0.4620 -0.4448
 -0.3912
 -1.9692 -1.8388 -1.7196 -1.5826 -1.4842 -1.3980 -1.3258 -1.2668 -1.2418 -1.1868
 -1.1236 -1.0536 -0.9866 -0.9112 -0.8337 -0.6790 -0.5671 -0.4962 -0.4531 -0.4289
 -0.4149 -0.4078 -0.4053
 -1.7006 -1.6134 -1.5288 -1.4350 -1.3525 -1.2752 -1.2057 -1.1447 -1.0917 -1.0437
 -0.9950 -0.9423 -0.8888 -0.8335 -0.7762 -0.6514 -0.5646 -0.5082 -0.4719 -0.4491
 -0.4353 -0.4278 -0.4247 -0.4261 -0.4325
 -1.4477 -1.3951 -1.3401 -1.2807 -1.2182 -1.1556 -1.0956 -1.0398 -0.9889 -0.9427
 -0.9000 -0.8586 -0.8157 -0.7740 -0.7295 -0.6285 -0.5586 -0.5139 -0.4849 -0.4656
 -0.4535 -0.4467 -0.4438 -0.4442 -0.4478 -0.4555
 -1.2105 -1.1839 -1.1535 -1.1197 -1.0813 -1.0392 -0.9955 -0.9521 -0.9101 -0.8701
 -0.8324 -0.7966 -0.7620 -0.7288 -0.6936 -0.6103 -0.5491 -0.5133 -0.4921 -0.4784
 -0.4695 -0.4645 -0.4627 -0.4633 -0.4662 -0.4718 -0.4806 -0.4967 -0.5222 -0.5521
 -0.9889 -0.9798 -0.9690 -0.9567 -0.9408 -0.9204 -0.8959 -0.8687 -0.8397 -0.8099
 -0.7798 -0.7500 -0.7208 -0.6925 -0.6644 -0.5946 -0.5395 -0.5067 -0.4914 -0.4844
 -0.4809 -0.4795 -0.4801 -0.4824 -0.4860 -0.4911 -0.4974 -0.5082 -0.5271 -0.5554
 -0.5890
 -0.7931 -0.7944 -0.7967 -0.7998 -0.8013 -0.7997 -0.7939 -0.7837 -0.7695 -0.7522
 -0.7319 -0.7099 -0.6868 -0.6632 -0.6393 -0.5804 -0.5300 -0.4977 -0.4837 -0.4817
 -0.4846 -0.4889 -0.4938 -0.4992 -0.5051 -0.5115 -0.5191 -0.5275 -0.5402 -0.5608
 -0.5917
 -0.6213 -0.6316 -0.6437 -0.6574 -0.6708 -0.6828 -0.6918 -0.6968 -0.6970 -0.6923
 -0.6831 -0.6700 -0.6540 -0.6360 -0.6164 -0.5655 -0.5198 -0.4877 -0.4729 -0.4721
 -0.4798 -0.4905 -0.5015 -0.5119 -0.5216 -0.5309 -0.5402 -0.5502 -0.5617 -0.5775
 -0.5980
 -0.4745 -0.4923 -0.5111 -0.5308 -0.5516 -0.5720 -0.5911 -0.6077 -0.6205 -0.6279
 -0.6298 -0.6267 -0.6193 -0.6082 -0.5940 -0.5515 -0.5097 -0.4784 -0.4621 -0.4597
 -0.4684 -0.4835 -0.5006 -0.5172 -0.5324 -0.5462 -0.5591 -0.5714 -0.5839 -0.5976
 -0.6126
 -0.3589 -0.3765 -0.3973 -0.4209 -0.4461 -0.4713 -0.4966 -0.5205 -0.5420 -0.5590
 -0.5710 -0.5779 -0.5798 -0.5768 -0.5691 -0.5369 -0.4998 -0.4695 -0.4519 -0.4479
 -0.4552 -0.4710 -0.4919 -0.5143 -0.5357 -0.5553 -0.5732 -0.5896 -0.6050 -0.6203
 -0.6364
 -0.2745 -0.2843 -0.3023 -0.3277 -0.3543 -0.3807 -0.4105 -0.4387 -0.4652 -0.4882
 -0.5074 -0.5231 -0.5357 -0.5418 -0.5417 -0.5220 -0.4901 -0.4610 -0.4423
 [Fe/H] = -3.00 [alpha/Fe] = 0.40 BC value =  R   
 -2.1654 -1.9319 -1.7838 -1.7228 -1.7396 -2.0191 -1.8248 -1.6464 -1.5115 -1.4062
 -1.2592 -1.1132 -1.0558 -1.0468 -1.0025 -0.7528
 -2.1207 -1.8876 -1.7214 -1.6239 -1.5899 -1.7095 -1.6040 -1.4989 -1.4065 -1.3229
 -1.2220 -1.1201 -1.0498 -0.9976 -0.9316 -0.7186 -0.5688 -0.4752 -0.4191
 -2.0601 -1.8345 -1.6601 -1.5383 -1.4668 -1.4731 -1.4200 -1.3623 -1.3007 -1.2356
 -1.1675 -1.0968 -1.0240 -0.9492 -0.8728 -0.6907 -0.5642 -0.4839 -0.4350 -0.4066
 -0.3911
 -1.9836 -1.7726 -1.5999 -1.4660 -1.3703 -1.3099 -1.2728 -1.2367 -1.1939 -1.1442
 -1.0957 -1.0434 -0.9784 -0.9017 -0.8261 -0.6691 -0.5611 -0.4925 -0.4501 -0.4244
 -0.4096 -0.4025 -0.4003
 -1.8912 -1.7019 -1.5408 -1.4070 -1.3003 -1.2199 -1.1624 -1.1221 -1.0862 -1.0488
 -1.0066 -0.9598 -0.9131 -0.8551 -0.7915 -0.6538 -0.5595 -0.5010 -0.4645 -0.4416
 -0.4278 -0.4205 -0.4181 -0.4202 -0.4274
 -1.7829 -1.6224 -1.4828 -1.3613 -1.2568 -1.1705 -1.1027 -1.0504 -1.0087 -0.9726
 -0.9353 -0.8937 -0.8538 -0.8109 -0.7608 -0.6415 -0.5566 -0.5064 -0.4765 -0.4572
 -0.4451 -0.4385 -0.4361 -0.4372 -0.4417 -0.4500
 -1.6549 -1.5236 -1.4095 -1.3074 -1.2148 -1.1319 -1.0609 -1.0031 -0.9562 -0.9159
 -0.8783 -0.8408 -0.8022 -0.7684 -0.7283 -0.6286 -0.5513 -0.5064 -0.4830 -0.4691
 -0.4604 -0.4557 -0.4543 -0.4557 -0.4594 -0.4659 -0.4756 -0.4924 -0.5184 -0.5485
 -1.5145 -1.4083 -1.3176 -1.2370 -1.1615 -1.0898 -1.0228 -0.9639 -0.9145 -0.8729
 -0.8357 -0.7998 -0.7637 -0.7309 -0.6973 -0.6125 -0.5434 -0.5011 -0.4822 -0.4746
 -0.4712 -0.4701 -0.4713 -0.4742 -0.4787 -0.4847 -0.4932 -0.5045 -0.5231 -0.5518
 -0.5855
