 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  r   
 -2.3753 -2.3121 -2.5045 -2.4339 -2.2510 -2.0066 -1.7444 -1.5702 -1.4188 -1.2650
 -1.1224 -0.9918 -0.8723 -0.7633 -0.6628 -0.4545 -0.2713 -0.1139 -0.0432
 -2.3805 -2.1711 -2.0001 -1.8854 -1.8224 -1.7292 -1.5772 -1.4129 -1.2643 -1.1265
 -0.9974 -0.8779 -0.7683 -0.6682 -0.5765 -0.3806 -0.2301 -0.1232 -0.0518 -0.0037
 -2.1967 -1.9927 -1.8060 -1.6458 -1.5182 -1.4367 -1.3758 -1.2796 -1.1554 -1.0263
 -0.9080 -0.7991 -0.6992 -0.6078 -0.5244 -0.3487 -0.2165 -0.1237 -0.0611 -0.0179
  0.0125
 -2.0490 -1.8661 -1.6870 -1.5217 -1.3766 -1.2547 -1.1596 -1.0944 -1.0303 -0.9431
 -0.8410 -0.7412 -0.6499 -0.5663 -0.4896 -0.3279 -0.2080 -0.1260 -0.0707 -0.0321
 -0.0040  0.0165
 -1.9174 -1.7602 -1.5986 -1.4407 -1.2947 -1.1657 -1.0554 -0.9631 -0.8932 -0.8332
 -0.7684 -0.6914 -0.6107 -0.5341 -0.4638 -0.3135 -0.2016 -0.1271 -0.0785 -0.0450
 -0.0200 -0.0011  0.0128  0.0220
 -1.7984 -1.6608 -1.5212 -1.3774 -1.2379 -1.1088 -0.9950 -0.8974 -0.8151 -0.7459
 -0.6863 -0.6294 -0.5680 -0.5033 -0.4399 -0.3014 -0.1955 -0.1255 -0.0821 -0.0546
 -0.0340 -0.0180 -0.0059  0.0029  0.0092  0.0119  0.0097  0.0016 -0.0133 -0.0353
 -1.6934 -1.5685 -1.4462 -1.3194 -1.1909 -1.0671 -0.9530 -0.8526 -0.7680 -0.6961
 -0.6329 -0.5754 -0.5214 -0.4679 -0.4137 -0.2879 -0.1880 -0.1192 -0.0800 -0.0584
 -0.0438 -0.0323 -0.0234 -0.0167 -0.0120 -0.0074 -0.0055 -0.0093 -0.0214 -0.0424
 -0.0687
 -1.6043 -1.4863 -1.3733 -1.2600 -1.1454 -1.0308 -0.9206 -0.8194 -0.7317 -0.6580
 -0.5952 -0.5389 -0.4857 -0.4352 -0.3863 -0.2726 -0.1789 -0.1117 -0.0731 -0.0554
 -0.0470 -0.0416 -0.0375 -0.0344 -0.0324 -0.0312 -0.0295 -0.0302 -0.0366 -0.0511
 -0.0755
 -1.5328 -1.4171 -1.3070 -1.1974 -1.0953 -0.9920 -0.8897 -0.7915 -0.7021 -0.6251
 -0.5607 -0.5056 -0.4554 -0.4075 -0.3612 -0.2552 -0.1677 -0.1031 -0.0632 -0.0465
