 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  u   
 -6.0946 -5.9070 -5.7140 -5.5159 -5.3122 -4.7760 -4.1290 -3.4463 -2.9137
 -7.3151 -7.2112 -7.1620 -7.1426 -7.0469 -6.8938 -6.7174 -6.5227 -6.3319 -6.1418
 -5.9397 -5.7253 -5.5025 -5.2748 -5.0423 -4.4347 -3.7824 -3.1604 -2.6813 -2.3549
 -7.1443 -7.0150 -6.8963 -6.8097 -6.7748 -6.7274 -6.6084 -6.4422 -6.2417 -6.0353
 -5.8104 -5.5660 -5.3095 -5.0487 -4.7876 -4.1405 -3.5065 -2.9301 -2.4836 -2.1823
 -1.9889
 -6.9982 -6.8718 -6.7343 -6.6046 -6.4973 -6.4230 -6.3753 -6.2951 -6.1463 -5.9456
 -5.7110 -5.4417 -5.1538 -4.8624 -4.5764 -3.9028 -3.2891 -2.7504 -2.3279 -2.0408
 -1.8599 -1.7488
 -6.8586 -6.7490 -6.6104 -6.4679 -6.3361 -6.2136 -6.1005 -6.0041 -5.9182 -5.7919
 -5.6022 -5.3507 -5.0527 -4.7389 -4.4326 -3.7381 -3.1383 -2.6242 -2.2143 -1.9297
 -1.7515 -1.6443 -1.5828 -1.5440
 -6.7220 -6.6340 -6.5076 -6.3594 -6.2124 -6.0741 -5.9364 -5.7913 -5.6453 -5.5125
 -5.3748 -5.1986 -4.9627 -4.6737 -4.3619 -3.6470 -3.0520 -2.5504 -2.1429 -1.8492
 -1.6636 -1.5532 -1.4906 -1.4588 -1.4470 -1.4475 -1.4541 -1.4618 -1.4666 -1.4647
 -6.5820 -6.5181 -6.4153 -6.2751 -6.1187 -5.9657 -5.8183 -5.6655 -5.4966 -5.3160
 -5.1364 -4.9648 -4.7847 -4.5716 -4.3179 -3.6197 -3.0207 -2.5228 -2.1124 -1.8011
 -1.5970 -1.4758 -1.4073 -1.3718 -1.3580 -1.3587 -1.3677 -1.3799 -1.3912 -1.3987
 -1.4022
 -6.4458 -6.3974 -6.3249 -6.2060 -6.0537 -5.8887 -5.7277 -5.5701 -5.4042 -5.2197
 -5.0186 -4.8123 -4.6142 -4.4221 -4.2195 -3.6281 -3.0312 -2.5311 -2.1159 -1.7867
 -1.5564 -1.4145 -1.3339 -1.2913 -1.2727 -1.2701 -1.2778 -1.2914 -1.3072 -1.3223
 -1.3346
 -6.3232 -6.2821 -6.2292 -6.1389 -6.0059 -5.8421 -5.6683 -5.4978 -5.3299 -5.1536
 -4.9594 -4.7477 -4.5305 -4.3200 -4.1188 -3.6075 -3.0591 -2.5591 -2.1398 -1.7971
 -1.5411 -1.3726 -1.2725 -1.2180 -1.1921 -1.1848 -1.1902 -1.2012 -1.2161 -1.2343
 -1.2556
 -6.2299 -6.1838 -6.1353 -6.0678 -5.9656 -5.8219 -5.6485 -5.4649 -5.2847 -5.1073
 -4.9240 -4.7256 -4.5117 -4.2924 -4.0786 -3.5827 -3.0875 -2.6036 -2.1828 -1.8318
 -1.5555 -1.3592 -1.2331 -1.1592 -1.1204 -1.1045 -1.1041 -1.1141 -1.1304 -1.1499
 -1.1705
 -6.1915 -6.1048 -6.0454 -5.9905 -5.9164 -5.8052 -5.6538 -5.4725 -5.2797 -5.0890
 -4.9028 -4.7140 -4.5145 -4.3026 -4.0858 -3.5748 -3.1065 -2.6487 -2.2303 -1.8752
 -1.5864 -1.3684 -1.2170 -1.1195 -1.0626 -1.0338 -1.0245 -1.0283 -1.0411 -1.0595
 -1.0804
 -6.1880 -6.0451 -5.9596 -5.9065 -5.8544 -5.7752 -5.6580 -5.5020 -5.3157 -5.1146
 -4.9144 -4.7195 -4.5254 -4.3257 -4.1175 -3.5972 -3.1271 -2.6903 -2.2802
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value =  u   
 -7.7591 -7.6856 -7.5135 -7.3209 -7.1093 -6.8935 -6.6929 -6.5129 -6.3390 -6.1673
 -5.9933 -5.8160 -5.6356 -5.4510 -5.2609 -4.7557 -4.1956 -3.6009 -3.0715
 -7.4217 -7.4041 -7.3688 -7.2230 -7.0444 -6.8476 -6.6291 -6.4212 -6.2248 -6.0325
 -5.8345 -5.6305 -5.4224 -5.2109 -4.9958 -4.4445 -3.8761 -3.3186 -2.8344 -2.4753
 -7.2415 -7.1135 -7.0495 -7.0353 -6.9369 -6.7789 -6.5898 -6.3651 -6.1426 -5.9286
 -5.7071 -5.4764 -5.2405 -5.0031 -4.7660 -4.1811 -3.6142 -3.0887 -2.6419 -2.3073
 -2.0836
 -7.1155 -6.9633 -6.8202 -6.7200 -6.6806 -6.6344 -6.5092 -6.3294 -6.0965 -5.8586
 -5.6189 -5.3664 -5.1069 -4.8471 -4.5913 -3.9812 -3.4171 -2.9136 -2.4917 -2.1714
 -1.9564 -1.8218
 -7.0026 -6.8588 -6.6962 -6.5426 -6.4209 -6.3364 -6.2869 -6.2065 -6.0489 -5.8184
 -5.5691 -5.3046 -5.0290 -4.7520 -4.4809 -3.8486 -3.2836 -2.7908 -2.3811 -2.0662
 -1.8508 -1.7168 -1.6380 -1.5926
 -6.8909 -6.7713 -6.6091 -6.4361 -6.2785 -6.1408 -6.0225 -5.9245 -5.8406 -5.7179
 -5.5190 -5.2754 -5.0008 -4.7147 -4.4321 -3.7782 -3.2068 -2.7157 -2.3081 -1.9902
 -1.7670 -1.6267 -1.5448 -1.5003 -1.4783 -1.4701 -1.4694 -1.4710 -1.4701 -1.4616
 -6.7755 -6.6860 -6.5465 -6.3705 -6.1904 -6.0264 -5.8768 -5.7321 -5.5907 -5.4610
 -5.3344 -5.1753 -4.9665 -4.7121 -4.4333 -3.7611 -3.1785 -2.6828 -2.2707 -1.9436
 -1.7058 -1.5521 -1.4617 -1.4126 -1.3891 -1.3812 -1.3827 -1.3885 -1.3949 -1.3983
 -1.3956
 -6.6586 -6.5929 -6.4874 -6.3317 -6.1450 -5.9576 -5.7853 -5.6238 -5.4614 -5.2932
 -5.1278 -4.9714 -4.8151 -4.6379 -4.4242 -3.7875 -3.1913 -2.6868 -2.2663 -1.9270
 -1.6701 -1.4961 -1.3907 -1.3323 -1.3034 -1.2931 -1.2941 -1.3016 -1.3119 -1.3220
 -1.3298
