 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = G_BP 
 -3.2894 -2.5505 -2.1456 -2.0679 -2.3397 -2.7503 -3.2025 -3.0652 -2.9309 -2.7875
 -2.6357 -2.5217 -2.3533 -2.1843 -2.0259 -1.6794 -1.3789 -1.1509 -0.9602
 -3.8946 -3.5568 -3.3118 -3.1503 -3.0450 -2.9486 -2.8454 -2.7398 -2.6343 -2.5271
 -2.4076 -2.2709 -2.1238 -1.9792 -1.8432 -1.5404 -1.2907 -1.0940 -0.9460 -0.8327
 -3.6858 -3.3688 -3.1191 -2.9252 -2.7799 -2.6789 -2.6090 -2.5351 -2.4413 -2.3336
 -2.2252 -2.1114 -1.9844 -1.8543 -1.7316 -1.4643 -1.2441 -1.0689 -0.9355 -0.8326
 -0.7501
 -3.5242 -3.2393 -3.0051 -2.8116 -2.6526 -2.5241 -2.4215 -2.3409 -2.2706 -2.1877
 -2.0868 -1.9832 -1.8744 -1.7592 -1.6473 -1.4045 -1.2083 -1.0517 -0.9310 -0.8371
 -0.7611 -0.6972
 -3.3697 -3.1215 -2.9110 -2.7295 -2.5721 -2.4365 -2.3208 -2.2215 -2.1345 -2.0553
 -1.9740 -1.8834 -1.7883 -1.6863 -1.5847 -1.3606 -1.1813 -1.0394 -0.9298 -0.8440
 -0.7742 -0.7151 -0.6634 -0.6165
 -3.2143 -3.0008 -2.8168 -2.6533 -2.5058 -2.3729 -2.2540 -2.1485 -2.0541 -1.9670
 -1.8838 -1.8013 -1.7186 -1.6304 -1.5391 -1.3297 -1.1618 -1.0301 -0.9291 -0.8508
 -0.7871 -0.7331 -0.6857 -0.6429 -0.6019 -0.5641 -0.5318 -0.5068 -0.4902 -0.4829
 -3.0655 -2.8776 -2.7176 -2.5735 -2.4401 -2.3158 -2.2003 -2.0943 -1.9978 -1.9090
 -1.8249 -1.7433 -1.6636 -1.5843 -1.5033 -1.3096 -1.1486 -1.0228 -0.9272 -0.8548
 -0.7974 -0.7489 -0.7065 -0.6680 -0.6324 -0.5981 -0.5667 -0.5402 -0.5200 -0.5081
 -0.5075
 -2.9257 -2.7587 -2.6162 -2.4885 -2.3700 -2.2572 -2.1490 -2.0470 -1.9520 -1.8635
 -1.7807 -1.7014 -1.6243 -1.5489 -1.4738 -1.2952 -1.1410 -1.0179 -0.9244 -0.8552
 -0.8027 -0.7601 -0.7234 -0.6902 -0.6592 -0.6298 -0.6005 -0.5737 -0.5521 -0.5381
 -0.5330
 -2.7986 -2.6488 -2.5165 -2.4001 -2.2936 -2.1920 -2.0934 -1.9981 -1.9072 -1.8214
 -1.7407 -1.6641 -1.5905 -1.5189 -1.4480 -1.2803 -1.1338 -1.0140 -0.9211 -0.8524
 -0.8024 -0.7647 -0.7338 -0.7067 -0.6814 -0.6571 -0.6337 -0.6125 -0.5937 -0.5771
 -0.5625
 -2.6843 -2.5479 -2.4274 -2.3162 -2.2164 -2.1239 -2.0347 -1.9474 -1.8627 -1.7813
 -1.7038 -1.6304 -1.5602 -1.4926 -1.4264 -1.2682 -1.1283 -1.0117 -0.9196 -0.8500
 -0.7998 -0.7642 -0.7379 -0.7166 -0.6976 -0.6794 -0.6616 -0.6440 -0.6309 -0.6147
 -0.5971
 -2.5827 -2.4560 -2.3489 -2.2407 -2.1424 -2.0538 -1.9713 -1.8918 -1.8141 -1.7385
 -1.6656 -1.5958 -1.5293 -1.4654 -1.4035 -1.2557 -1.1218 -1.0086 -0.9178 -0.8478
 -0.7966 -0.7606 -0.7362 -0.7192 -0.7060 -0.6942 -0.6828 -0.6711 -0.6593 -0.6477
 -0.6372
 -2.4937 -2.3731 -2.2810 -2.1741 -2.0753 -1.9867 -1.9064 -1.8318 -1.7604 -1.6911
 -1.6237 -1.5586 -1.4961 -1.4362 -1.3793 -1.2428 -1.1143 -1.0047 -0.9157
 [Fe/H] = -2.00 [alpha/Fe] = 0.00 BC value = G_BP 
 -4.7283 -4.0752 -3.5974 -3.2887 -3.1522 -3.1105 -3.1241 -2.9706 -2.8221 -2.6720
 -2.5167 -2.3725 -2.2120 -2.0590 -1.9179 -1.6110 -1.3500 -1.1392 -0.9638
 -4.3447 -3.9313 -3.6332 -3.3828 -3.1673 -2.9871 -2.8358 -2.7034 -2.5800 -2.4575
 -2.3293 -2.1914 -2.0482 -1.9101 -1.7823 -1.5071 -1.2795 -1.0921 -0.9451 -0.8295
 -4.0326 -3.5974 -3.2716 -3.0369 -2.8805 -2.7610 -2.6405 -2.5185 -2.4024 -2.2923
 -2.1826 -2.0664 -1.9392 -1.8108 -1.6909 -1.4366 -1.2328 -1.0661 -0.9337 -0.8299
 -0.7464
