 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  G   
 -1.9854 -1.9296 -1.8712 -1.8150 -1.7635 -1.7249 -1.7557 -1.7255 -1.6847 -1.6263
 -1.5526 -1.4869 -1.4003 -1.3064 -1.2189 -1.0377 -0.9079 -0.8216 -0.7578
 -1.9369 -1.8219 -1.7448 -1.7018 -1.6851 -1.6672 -1.6390 -1.6045 -1.5665 -1.5241
 -1.4699 -1.4005 -1.3207 -1.2409 -1.1665 -1.0114 -0.8971 -0.8178 -0.7641 -0.7272
 -1.8725 -1.7719 -1.6845 -1.6135 -1.5625 -1.5349 -1.5258 -1.5123 -1.4829 -1.4399
 -1.3932 -1.3400 -1.2739 -1.2026 -1.1347 -0.9935 -0.8916 -0.8215 -0.7739 -0.7408
 -0.7172
 -1.8123 -1.7255 -1.6448 -1.5719 -1.5096 -1.4603 -1.4250 -1.4032 -1.3883 -1.3648
 -1.3266 -1.2833 -1.2319 -1.1713 -1.1101 -0.9802 -0.8876 -0.8257 -0.7839 -0.7546
 -0.7333 -0.7175
 -1.7344 -1.6661 -1.5994 -1.5347 -1.4735 -1.4188 -1.3728 -1.3359 -1.3062 -1.2815
 -1.2554 -1.2226 -1.1853 -1.1390 -1.0878 -0.9694 -0.8834 -0.8281 -0.7926 -0.7676
 -0.7492 -0.7355 -0.7250 -0.7162
 -1.6389 -1.5894 -1.5397 -1.4883 -1.4356 -1.3838 -1.3356 -1.2933 -1.2571 -1.2247
 -1.1943 -1.1639 -1.1338 -1.0988 -1.0590 -0.9583 -0.8780 -0.8270 -0.7974 -0.7779
 -0.7635 -0.7527 -0.7444 -0.7380 -0.7322 -0.7282 -0.7279 -0.7325 -0.7431 -0.7603
 -1.5337 -1.4980 -1.4642 -1.4278 -1.3876 -1.3442 -1.3000 -1.2576 -1.2194 -1.1852
 -1.1530 -1.1215 -1.0907 -1.0600 -1.0269 -0.9429 -0.8707 -0.8223 -0.7966 -0.7829
 -0.7740 -0.7674 -0.7625 -0.7587 -0.7557 -0.7523 -0.7505 -0.7525 -0.7603 -0.7750
 -0.7967
 -1.4208 -1.3982 -1.3767 -1.3532 -1.3263 -1.2946 -1.2586 -1.2209 -1.1843 -1.1501
 -1.1187 -1.0886 -1.0587 -1.0293 -0.9990 -0.9249 -0.8610 -0.8150 -0.7908 -0.7814
 -0.7783 -0.7773 -0.7770 -0.7771 -0.7772 -0.7773 -0.7764 -0.7770 -0.7816 -0.7926
 -0.8113
 -1.3084 -1.2957 -1.2824 -1.2686 -1.2527 -1.2322 -1.2068 -1.1772 -1.1456 -1.1141
 -1.0844 -1.0564 -1.0293 -1.0025 -0.9749 -0.9069 -0.8489 -0.8062 -0.7820 -0.7742
 -0.7754 -0.7804 -0.7860 -0.7913 -0.7958 -0.7996 -0.8030 -0.8076 -0.8136 -0.8209
 -0.8293
 -1.1965 -1.1905 -1.1866 -1.1794 -1.1710 -1.1600 -1.1448 -1.1249 -1.1013 -1.0753
 -1.0489 -1.0236 -0.9994 -0.9760 -0.9523 -0.8913 -0.8375 -0.7973 -0.7731 -0.7644
 -0.7671 -0.7760 -0.7873 -0.7986 -0.8088 -0.8176 -0.8252 -0.8319 -0.8423 -0.8489
 -0.8531
 -1.0851 -1.0826 -1.0893 -1.0902 -1.0859 -1.0810 -1.0738 -1.0630 -1.0482 -1.0299
 -1.0094 -0.9880 -0.9671 -0.9470 -0.9272 -0.8760 -0.8261 -0.7881 -0.7645 -0.7548
 -0.7567 -0.7668 -0.7817 -0.7983 -0.8145 -0.8292 -0.8422 -0.8536 -0.8637 -0.8733
 -0.8833
 -0.9743 -0.9720 -0.9905 -1.0020 -1.0011 -1.0000 -0.9979 -0.9937 -0.9867 -0.9766
 -0.9635 -0.9482 -0.9317 -0.9152 -0.8996 -0.8610 -0.8147 -0.7786 -0.7562
 [Fe/H] = -2.00 [alpha/Fe] = 0.00 BC value =  G   
 -2.0717 -2.0022 -1.9402 -1.8850 -1.8336 -1.7874 -1.7648 -1.7206 -1.6673 -1.6029
 -1.5269 -1.4484 -1.3610 -1.2744 -1.1946 -1.0266 -0.9014 -0.8134 -0.7523
 -1.9763 -1.8832 -1.8242 -1.7712 -1.7206 -1.6769 -1.6388 -1.6024 -1.5622 -1.5145
 -1.4563 -1.3859 -1.3074 -1.2295 -1.1569 -1.0051 -0.8924 -0.8131 -0.7590 -0.7209
 -1.9381 -1.8152 -1.7159 -1.6452 -1.6080 -1.5864 -1.5575 -1.5205 -1.4811 -1.4404
 -1.3948 -1.3399 -1.2730 -1.2016 -1.1337 -0.9919 -0.8883 -0.8163 -0.7678 -0.7343
 -0.7104
 -1.9156 -1.7932 -1.6859 -1.5967 -1.5276 -1.4795 -1.4548 -1.4438 -1.4234 -1.3871
 -1.3437 -1.2975 -1.2437 -1.1808 -1.1186 -0.9838 -0.8866 -0.8203 -0.7767 -0.7470
 -0.7255 -0.7096
 -1.8833 -1.7717 -1.6699 -1.5799 -1.5030 -1.4403 -1.3920 -1.3571 -1.3365 -1.3215
 -1.2952 -1.2582 -1.2139 -1.1615 -1.1047 -0.9783 -0.8856 -0.8233 -0.7843 -0.7587
 -0.7403 -0.7265 -0.7163 -0.7088
 -1.8317 -1.7362 -1.6466 -1.5641 -1.4893 -1.4230 -1.3662 -1.3194 -1.2814 -1.2512
 -1.2276 -1.2034 -1.1736 -1.1351 -1.0890 -0.9727 -0.8837 -0.8241 -0.7887 -0.7677
 -0.7534 -0.7427 -0.7348 -0.7288 -0.7245 -0.7221 -0.7223 -0.7264 -0.7373 -0.7547
 -1.7602 -1.6821 -1.6078 -1.5373 -1.4704 -1.4074 -1.3494 -1.2978 -1.2532 -1.2144
 -1.1802 -1.1498 -1.1229 -1.0945 -1.0602 -0.9641 -0.8798 -0.8218 -0.7886 -0.7721
 -0.7629 -0.7565 -0.7520 -0.7486 -0.7462 -0.7448 -0.7449 -0.7474 -0.7541 -0.7691
 -0.7911
 -1.6736 -1.6114 -1.5522 -1.4952 -1.4392 -1.3842 -1.3305 -1.2791 -1.2321 -1.1900
 -1.1520 -1.1172 -1.0856 -1.0558 -1.0262 -0.9470 -0.8728 -0.8168 -0.7844 -0.7707
