 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = G_RP 
 -0.7722 -0.7621 -0.7601 -0.7624 -0.7582 -0.7432 -0.6881 -0.6683 -0.6412 -0.6010
 -0.5474 -0.4879 -0.4265 -0.3587 -0.2950 -0.1782 -0.1238 -0.1127 -0.1216
 -0.7558 -0.6759 -0.6277 -0.6080 -0.6105 -0.6107 -0.6009 -0.5848 -0.5652 -0.5414
 -0.5068 -0.4587 -0.4017 -0.3451 -0.2942 -0.2010 -0.1514 -0.1359 -0.1396 -0.1545
 -0.7130 -0.6477 -0.5917 -0.5477 -0.5196 -0.5111 -0.5185 -0.5222 -0.5119 -0.4893
 -0.4631 -0.4310 -0.3873 -0.3389 -0.2938 -0.2092 -0.1663 -0.1548 -0.1604 -0.1755
 -0.1967
 -0.6673 -0.6153 -0.5664 -0.5218 -0.4843 -0.4570 -0.4412 -0.4373 -0.4401 -0.4363
 -0.4203 -0.3996 -0.3707 -0.3328 -0.2938 -0.2174 -0.1784 -0.1701 -0.1779 -0.1937
 -0.2144 -0.2391
 -0.6011 -0.5665 -0.5308 -0.4943 -0.4588 -0.4273 -0.4027 -0.3856 -0.3749 -0.3692
 -0.3635 -0.3530 -0.3393 -0.3171 -0.2888 -0.2222 -0.1859 -0.1802 -0.1913 -0.2088
 -0.2302 -0.2546 -0.2817 -0.3104
 -0.5153 -0.4982 -0.4784 -0.4547 -0.4276 -0.3996 -0.3737 -0.3523 -0.3360 -0.3233
 -0.3127 -0.3030 -0.2947 -0.2830 -0.2670 -0.2206 -0.1880 -0.1837 -0.1986 -0.2199
 -0.2433 -0.2688 -0.2961 -0.3253 -0.3563 -0.3899 -0.4266 -0.4671 -0.5118 -0.5608
 -0.4171 -0.4129 -0.4082 -0.3987 -0.3839 -0.3645 -0.3430 -0.3222 -0.3045 -0.2903
 -0.2780 -0.2665 -0.2562 -0.2469 -0.2360 -0.2071 -0.1837 -0.1806 -0.1984 -0.2246
 -0.2522 -0.2802 -0.3091 -0.3391 -0.3699 -0.4008 -0.4338 -0.4707 -0.5134 -0.5620
 -0.6133
 -0.3085 -0.3166 -0.3236 -0.3267 -0.3249 -0.3172 -0.3041 -0.2884 -0.2729 -0.2590
 -0.2475 -0.2372 -0.2274 -0.2183 -0.2087 -0.1869 -0.1726 -0.1719 -0.1909 -0.2214
 -0.2545 -0.2871 -0.3191 -0.3511 -0.3833 -0.4158 -0.4481 -0.4820 -0.5199 -0.5633
 -0.6134
 -0.1977 -0.2152 -0.2302 -0.2429 -0.2520 -0.2556 -0.2534 -0.2462 -0.2361 -0.2254
 -0.2157 -0.2075 -0.2001 -0.1931 -0.1856 -0.1672 -0.1577 -0.1603 -0.1791 -0.2116
 -0.2495 -0.2879 -0.3248 -0.3605 -0.3953 -0.4294 -0.4636 -0.4993 -0.5367 -0.5756
 -0.6157
 -0.0846 -0.1087 -0.1325 -0.1520 -0.1689 -0.1821 -0.1904 -0.1933 -0.1916 -0.1869
 -0.1810 -0.1755 -0.1710 -0.1670 -0.1629 -0.1501 -0.1430 -0.1476 -0.1658 -0.1974
 -0.2374 -0.2802 -0.3226 -0.3633 -0.4022 -0.4395 -0.4759 -0.5117 -0.5515 -0.5882
 -0.6230
  0.0306  0.0029 -0.0305 -0.0588 -0.0802 -0.1001 -0.1167 -0.1290 -0.1368 -0.1404
 -0.1408 -0.1398 -0.1386 -0.1379 -0.1374 -0.1336 -0.1293 -0.1352 -0.1533 -0.1833
 -0.2225 -0.2670 -0.3133 -0.3591 -0.4030 -0.4447 -0.4846 -0.5231 -0.5605 -0.5978
 -0.6359
  0.1481  0.1196  0.0758  0.0358  0.0104 -0.0140 -0.0364 -0.0560 -0.0721 -0.0845
 -0.0931 -0.0987 -0.1024 -0.1055 -0.1091 -0.1177 -0.1166 -0.1231 -0.1416
 [Fe/H] = -2.00 [alpha/Fe] = 0.00 BC value = G_RP 
 -0.8165 -0.7774 -0.7530 -0.7388 -0.7274 -0.7144 -0.6876 -0.6694 -0.6410 -0.6007
 -0.5482 -0.4879 -0.4247 -0.3622 -0.3047 -0.1935 -0.1302 -0.1071 -0.1120
 -0.7546 -0.6931 -0.6643 -0.6420 -0.6222 -0.6080 -0.5979 -0.5876 -0.5721 -0.5479
 -0.5127 -0.4655 -0.4105 -0.3557 -0.3055 -0.2080 -0.1514 -0.1309 -0.1331 -0.1470
 -0.7409 -0.6574 -0.5949 -0.5563 -0.5461 -0.5490 -0.5452 -0.5335 -0.5186 -0.5016
 -0.4788 -0.4467 -0.4032 -0.3551 -0.3098 -0.2208 -0.1685 -0.1496 -0.1530 -0.1677
 -0.1887
 -0.7336 -0.6536 -0.5860 -0.5319 -0.4930 -0.4706 -0.4677 -0.4769 -0.4789 -0.4668
 -0.4475 -0.4244 -0.3935 -0.3539 -0.3143 -0.2319 -0.1830 -0.1651 -0.1695 -0.1848
 -0.2056 -0.2304
 -0.7109 -0.6421 -0.5806 -0.5266 -0.4810 -0.4453 -0.4206 -0.4069 -0.4059 -0.4111
 -0.4081 -0.3962 -0.3763 -0.3475 -0.3135 -0.2392 -0.1932 -0.1762 -0.1819 -0.1987
 -0.2204 -0.2451 -0.2727 -0.3028
 -0.6656 -0.6122 -0.5623 -0.5156 -0.4724 -0.4339 -0.4017 -0.3771 -0.3598 -0.3495
 -0.3461 -0.3440 -0.3387 -0.3257 -0.3042 -0.2413 -0.1984 -0.1820 -0.1890 -0.2086
 -0.2325 -0.2584 -0.2863 -0.3162 -0.3478 -0.3816 -0.4183 -0.4593 -0.5068 -0.5563
 -0.5977 -0.5606 -0.5251 -0.4898 -0.4545 -0.4197 -0.3871 -0.3586 -0.3354 -0.3172
 -0.3032 -0.2932 -0.2879 -0.2828 -0.2732 -0.2353 -0.1979 -0.1822 -0.1899 -0.2128
 -0.2405 -0.2692 -0.2987 -0.3293 -0.3609 -0.3939 -0.4287 -0.4662 -0.5080 -0.5570
 -0.6085
 -0.5122 -0.4897 -0.4682 -0.4458 -0.4215 -0.3951 -0.3674 -0.3401 -0.3153 -0.2943
 -0.2768 -0.2623 -0.2512 -0.2427 -0.2354 -0.2139 -0.1906 -0.1773 -0.1850 -0.2101
 -0.2424 -0.2755 -0.3081 -0.3408 -0.3736 -0.4069 -0.4412 -0.4770 -0.5150 -0.5581
 -0.6087
 -0.4154 -0.4042 -0.3944 -0.3839 -0.3713 -0.3554 -0.3361 -0.3144 -0.2923 -0.2716
