 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = G_RP 
 -0.3732 -0.4001 -0.4279 -0.4568 -0.4867 -0.5179 -0.5510 -0.5864 -0.6274 -0.6756
 -0.7268
 -0.3603 -0.3642 -0.3718 -0.3828 -0.3892 -0.3900 -0.3850 -0.3763 -0.3667 -0.3579
 -0.3503 -0.3432 -0.3357 -0.3279 -0.3214 -0.3020 -0.2907 -0.2936 -0.3137 -0.3439
 -0.3729 -0.4073 -0.4382 -0.4692 -0.5004 -0.5318 -0.5643 -0.6000 -0.6392 -0.6814
 -0.7263
 -0.2224 -0.2553 -0.2782 -0.2921 -0.3094 -0.3223 -0.3292 -0.3303 -0.3274 -0.3225
 -0.3176 -0.3132 -0.3087 -0.3038 -0.2994 -0.2845 -0.2768 -0.2817 -0.3019 -0.3339
 -0.3708 -0.4081 -0.4440 -0.4786 -0.5124 -0.5456 -0.5789 -0.6126 -0.6476 -0.6853
 -0.7281
 -0.1080 -0.1463 -0.1751 -0.1951 -0.2205 -0.2422 -0.2599 -0.2720 -0.2787 -0.2811
 -0.2809 -0.2801 -0.2792 -0.2780 -0.2766 -0.2687 -0.2634 -0.2693 -0.2885 -0.3196
 -0.3584 -0.4002 -0.4417 -0.4815 -0.5194 -0.5557 -0.5912 -0.6261 -0.6611 -0.6972
 -0.7352
  0.0027 -0.0373 -0.0734 -0.1058 -0.1376 -0.1675 -0.1938 -0.2025 -0.2193 -0.2309
 -0.2383 -0.2428 -0.2461 -0.2489 -0.2512 -0.2530 -0.2507 -0.2575 -0.2760 -0.3054
 -0.3434 -0.3867 -0.4321 -0.4771 -0.5201 -0.5609 -0.5999 -0.6375 -0.6741 -0.7106
 -0.7480
  0.1095  0.0718  0.0269 -0.0243 -0.0607 -0.0983 -0.1090 -0.1378 -0.1621 -0.1717
 -0.1879 -0.1999 -0.2090 -0.2163 -0.2232 -0.2374 -0.2387 -0.2463 -0.2644
 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = G_RP 
 -0.8020 -0.8473 -0.9513 -0.9767 -0.8885 -0.7951 -0.7960 -0.8511 -0.8666 -0.8098
 -0.7256 -0.6307 -0.5491 -0.4860 -0.4257 -0.3035
 -0.7969 -0.7762 -0.7984 -0.7977 -0.7592 -0.7234 -0.7251 -0.7458 -0.7479 -0.7176
 -0.6694 -0.6079 -0.5432 -0.4832 -0.4273 -0.3176 -0.2559 -0.2321 -0.2244
 -0.7928 -0.7295 -0.6960 -0.6735 -0.6600 -0.6555 -0.6568 -0.6582 -0.6541 -0.6415
 -0.6180 -0.5817 -0.5333 -0.4797 -0.4290 -0.3305 -0.2748 -0.2544 -0.2532 -0.2658
 -0.2904
 -0.7897 -0.7072 -0.6441 -0.6041 -0.5909 -0.5914 -0.5911 -0.5883 -0.5852 -0.5815
 -0.5714 -0.5521 -0.5194 -0.4755 -0.4308 -0.3422 -0.2914 -0.2736 -0.2763 -0.2899
 -0.3100 -0.3351 -0.3644
 -0.7876 -0.7093 -0.6427 -0.5895 -0.5519 -0.5311 -0.5280 -0.5361 -0.5412 -0.5376
 -0.5296 -0.5191 -0.5015 -0.4706 -0.4327 -0.3527 -0.3057 -0.2897 -0.2938 -0.3078
 -0.3276 -0.3515 -0.3788 -0.4089 -0.4429
 -0.7665 -0.7004 -0.6410 -0.5889 -0.5458 -0.5134 -0.4927 -0.4829 -0.4829 -0.4879
 -0.4881 -0.4822 -0.4744 -0.4581 -0.4301 -0.3596 -0.3158 -0.3011 -0.3073 -0.3229
 -0.3431 -0.3668 -0.3933 -0.4225 -0.4543 -0.4892
 -0.7193 -0.6695 -0.6232 -0.5800 -0.5403 -0.5058 -0.4782 -0.4588 -0.4467 -0.4402
 -0.4376 -0.4354 -0.4318 -0.4273 -0.4140 -0.3605 -0.3204 -0.3067 -0.3152 -0.3338
 -0.3561 -0.3808 -0.4075 -0.4363 -0.4669 -0.4997 -0.5352 -0.5759 -0.6229 -0.6719
 -0.6462 -0.6138 -0.5830 -0.5529 -0.5228 -0.4933 -0.4660 -0.4426 -0.4249 -0.4121
 -0.4027 -0.3952 -0.3886 -0.3855 -0.3802 -0.3504 -0.3188 -0.3062 -0.3161 -0.3387
 -0.3649 -0.3922 -0.4205 -0.4499 -0.4805 -0.5123 -0.5462 -0.5824 -0.6239 -0.6724
 -0.7237
 -0.5535 -0.5362 -0.5202 -0.5045 -0.4870 -0.4675 -0.4462 -0.4247 -0.4052 -0.3896
 -0.3774 -0.3673 -0.3583 -0.3508 -0.3462 -0.3273 -0.3088 -0.2998 -0.3104 -0.3361
 -0.3673 -0.3990 -0.4304 -0.4618 -0.4936 -0.5258 -0.5590 -0.5938 -0.6311 -0.6732
 -0.7233
 -0.4478 -0.4432 -0.4395 -0.4362 -0.4314 -0.4237 -0.4122 -0.3976 -0.3816 -0.3663
 -0.3533 -0.3428 -0.3336 -0.3252 -0.3193 -0.3030 -0.2917 -0.2886 -0.3001 -0.3272
 -0.3626 -0.3998 -0.4360 -0.4711 -0.5054 -0.5392 -0.5732 -0.6076 -0.6434 -0.6817
 -0.7251
 -0.3369 -0.3418 -0.3476 -0.3538 -0.3595 -0.3628 -0.3625 -0.3576 -0.3490 -0.3382
 -0.3270 -0.3172 -0.3090 -0.3021 -0.2964 -0.2827 -0.2739 -0.2749 -0.2874 -0.3139
