 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  G   
 -2.4012 -2.3760 -2.3921 -2.3801 -2.3257 -2.2741 -2.2636 -2.2741 -2.2658 -2.2243
 -2.1639 -2.0897 -2.0120 -1.9390 -1.8697 -1.7227 -1.6184 -1.5512 -1.5028
 -2.3862 -2.3127 -2.2677 -2.2324 -2.2054 -2.1876 -2.1759 -2.1648 -2.1488 -2.1245
 -2.0891 -2.0405 -1.9790 -1.9119 -1.8476 -1.7140 -1.6204 -1.5607 -1.5223 -1.5004
 -2.3750 -2.2784 -2.2001 -2.1455 -2.1190 -2.1070 -2.0938 -2.0781 -2.0624 -2.0463
 -2.0239 -1.9922 -1.9464 -1.8888 -1.8304 -1.7082 -1.6231 -1.5697 -1.5383 -1.5200
 -1.5100
 -2.3676 -2.2731 -2.1893 -2.1194 -2.0665 -2.0323 -2.0173 -2.0140 -2.0066 -1.9897
 -1.9683 -1.9448 -1.9142 -1.8697 -1.8181 -1.7053 -1.6265 -1.5782 -1.5508 -1.5353
 -1.5268 -1.5231
 -2.3434 -2.2602 -2.1827 -2.1131 -2.0539 -2.0070 -1.9734 -1.9518 -1.9405 -1.9337
 -1.9205 -1.9001 -1.8780 -1.8477 -1.8058 -1.7029 -1.6288 -1.5843 -1.5611 -1.5489
 -1.5427 -1.5404 -1.5409 -1.5437
 -2.2942 -2.2273 -2.1628 -2.1017 -2.0455 -1.9959 -1.9548 -1.9230 -1.8992 -1.8812
 -1.8666 -1.8514 -1.8335 -1.8141 -1.7855 -1.6983 -1.6286 -1.5865 -1.5672 -1.5594
 -1.5566 -1.5567 -1.5588 -1.5628 -1.5679 -1.5747 -1.5836 -1.5973 -1.6175 -1.6429
 -2.2200 -2.1707 -2.1221 -2.0742 -2.0273 -1.9824 -1.9410 -1.9047 -1.8749 -1.8504
 -1.8292 -1.8095 -1.7900 -1.7732 -1.7531 -1.6869 -1.6249 -1.5846 -1.5675 -1.5645
 -1.5665 -1.5704 -1.5755 -1.5814 -1.5880 -1.5953 -1.6040 -1.6145 -1.6302 -1.6537
 -1.6830
 -2.1273 -2.0935 -2.0601 -2.0268 -1.9926 -1.9573 -1.9214 -1.8864 -1.8544 -1.8268
 -1.8027 -1.7807 -1.7594 -1.7390 -1.7209 -1.6669 -1.6159 -1.5787 -1.5626 -1.5628
 -1.5702 -1.5793 -1.5886 -1.5980 -1.6072 -1.6163 -1.6259 -1.6364 -1.6492 -1.6667
 -1.6935
