 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =F850LP
 -1.0081 -1.0442 -1.0941 -1.1478 -1.1835 -1.1889 -1.0776 -1.0780 -1.0722 -1.0561
 -1.0278 -0.9790 -0.9473 -0.9087 -0.8724 -0.8103 -0.8130 -0.8590 -0.9092
 -0.9804 -0.9533 -0.9479 -0.9620 -0.9916 -1.0170 -1.0319 -1.0397 -1.0426 -1.0405
 -1.0277 -1.0023 -0.9688 -0.9357 -0.9076 -0.8688 -0.8680 -0.8942 -0.9322 -0.9754
 -0.9681 -0.9538 -0.9422 -0.9359 -0.9389 -0.9552 -0.9833 -1.0073 -1.0186 -1.0180
 -1.0128 -1.0010 -0.9782 -0.9510 -0.9267 -0.8906 -0.8915 -0.9183 -0.9566 -0.9996
 -1.0444
 -0.9437 -0.9400 -0.9337 -0.9267 -0.9219 -0.9223 -0.9299 -0.9461 -0.9674 -0.9832
 -0.9882 -0.9878 -0.9785 -0.9599 -0.9401 -0.9087 -0.9098 -0.9371 -0.9761 -1.0194
 -1.0643 -1.1098
 -0.8961 -0.9061 -0.9100 -0.9092 -0.9061 -0.9036 -0.9041 -0.9086 -0.9175 -0.9302
 -0.9430 -0.9519 -0.9574 -0.9543 -0.9444 -0.9203 -0.9219 -0.9498 -0.9906 -1.0351
 -1.0807 -1.1269 -1.1731 -1.2179
 -0.8271 -0.8517 -0.8683 -0.8775 -0.8810 -0.8818 -0.8821 -0.8838 -0.8879 -0.8939
 -0.9015 -0.9097 -0.9193 -0.9257 -0.9278 -0.9234 -0.9274 -0.9553 -0.9989 -1.0462
 -1.0937 -1.1413 -1.1889 -1.2361 -1.2823 -1.3285 -1.3757 -1.4247 -1.4763 -1.5308
 -0.7435 -0.7791 -0.8086 -0.8295 -0.8429 -0.8507 -0.8554 -0.8588 -0.8626 -0.8676
 -0.8732 -0.8792 -0.8862 -0.8938 -0.9000 -0.9122 -0.9253 -0.9539 -0.9996 -1.0511
 -1.1022 -1.1524 -1.2019 -1.2510 -1.2993 -1.3458 -1.3922 -1.4403 -1.4917 -1.5470
 -1.6045
 -0.6471 -0.6936 -0.7335 -0.7656 -0.7901 -0.8076 -0.8195 -0.8280 -0.8350 -0.8415
 -0.8481 -0.8549 -0.8617 -0.8689 -0.8755 -0.8933 -0.9152 -0.9464 -0.9932 -1.0484
 -1.1045 -1.1587 -1.2113 -1.2628 -1.3133 -1.3629 -1.4108 -1.4586 -1.5083 -1.5615
 -1.6192
 -0.5478 -0.6016 -0.6487 -0.6897 -0.7241 -0.7515 -0.7725 -0.7884 -0.8011 -0.8116
 -0.8211 -0.8302 -0.8390 -0.8477 -0.8556 -0.8753 -0.9011 -0.9356 -0.9825 -1.0397
 -1.1001 -1.1595 -1.2165 -1.2716 -1.3250 -1.3770 -1.4281 -1.4793 -1.5307 -1.5823
 -1.6340
 -0.4455 -0.5031 -0.5578 -0.6052 -0.6472 -0.6836 -0.7139 -0.7385 -0.7587 -0.7753
 -0.7896 -0.8024 -0.8142 -0.8255 -0.8362 -0.8597 -0.8871 -0.9231 -0.9695 -1.0262
 -1.0886 -1.1520 -1.2138 -1.2733 -1.3305 -1.3857 -1.4395 -1.4921 -1.5476 -1.5992
 -1.6484
 -0.3404 -0.3981 -0.4608 -0.5176 -0.5639 -0.6068 -0.6451 -0.6783 -0.7066 -0.7307
 -0.7514 -0.7696 -0.7858 -0.8006 -0.8145 -0.8453 -0.8743 -0.9111 -0.9573 -1.0124
 -1.0742 -1.1392 -1.2046 -1.2685 -1.3299 -1.3889 -1.4460 -1.5014 -1.5555 -1.6089
 -1.6623
 -0.2323 -0.2866 -0.3577 -0.4282 -0.4784 -0.5255 -0.5693 -0.6094 -0.6454 -0.6773
 -0.7053 -0.7301 -0.7521 -0.7718 -0.7905 -0.8321 -0.8627 -0.8996 -0.9459
 [Fe/H] = -2.00 [alpha/Fe] = 0.00 BC value =F850LP
 -0.9377 -0.9473 -0.9746 -1.0127 -1.0504 -1.0790 -1.0658 -1.0831 -1.0877 -1.0780
 -1.0538 -1.0151 -0.9787 -0.9415 -0.9081 -0.8487 -0.8342 -0.8572 -0.9003
 -0.9174 -0.9084 -0.9256 -0.9470 -0.9691 -0.9940 -1.0200 -1.0427 -1.0572 -1.0604
 -1.0503 -1.0268 -0.9949 -0.9625 -0.9338 -0.8852 -0.8724 -0.8915 -0.9274 -0.9692
 -0.9395 -0.9158 -0.9055 -0.9109 -0.9363 -0.9704 -0.9974 -1.0158 -1.0290 -1.0379
 -1.0385 -1.0279 -1.0052 -0.9780 -0.9528 -0.9097 -0.8979 -0.9155 -0.9510 -0.9933
 -1.0379
 -0.9532 -0.9341 -0.9205 -0.9128 -0.9131 -0.9233 -0.9470 -0.9793 -1.0048 -1.0170
 -1.0212 -1.0193 -1.0078 -0.9874 -0.9666 -0.9284 -0.9180 -0.9345 -0.9696 -1.0121
 -1.0569 -1.1025
 -0.9445 -0.9353 -0.9268 -0.9187 -0.9128 -0.9113 -0.9155 -0.9264 -0.9465 -0.9712
 -0.9890 -0.9986 -0.9988 -0.9886 -0.9725 -0.9407 -0.9321 -0.9480 -0.9832 -1.0267
 -1.0725 -1.1190 -1.1655 -1.2118
 -0.9104 -0.9146 -0.9155 -0.9130 -0.9086 -0.9043 -0.9022 -0.9038 -0.9092 -0.9191
 -0.9344 -0.9510 -0.9650 -0.9711 -0.9680 -0.9462 -0.9399 -0.9557 -0.9912 -1.0368
 -1.0846 -1.1326 -1.1806 -1.2284 -1.2756 -1.3223 -1.3694 -1.4185 -1.4719 -1.5269
 -0.8516 -0.8706 -0.8840 -0.8909 -0.8925 -0.8910 -0.8887 -0.8875 -0.8885 -0.8916
 -0.8970 -0.9053 -0.9178 -0.9304 -0.9388 -0.9429 -0.9414 -0.9575 -0.9932 -1.0413
 -1.0923 -1.1430 -1.1931 -1.2427 -1.2917 -1.3399 -1.3880 -1.4364 -1.4870 -1.5427
 -1.6004
 -0.7726 -0.8050 -0.8315 -0.8502 -0.8613 -0.8665 -0.8682 -0.8685 -0.8692 -0.8710
 -0.8738 -0.8779 -0.8844 -0.8930 -0.9026 -0.9224 -0.9356 -0.9539 -0.9894 -1.0392
 -1.0943 -1.1489 -1.2020 -1.2541 -1.3051 -1.3554 -1.4051 -1.4545 -1.5043 -1.5571
 -1.6152
 -0.6805 -0.7230 -0.7606 -0.7909 -0.8131 -0.8278 -0.8367 -0.8419 -0.8455 -0.8488
 -0.8525 -0.8567 -0.8617 -0.8679 -0.8751 -0.8964 -0.9199 -0.9453 -0.9815 -1.0320
 -1.0903 -1.1495 -1.2069 -1.2624 -1.3164 -1.3690 -1.4209 -1.4721 -1.5231 -1.5750
 -1.6299
 -0.5812 -0.6307 -0.6763 -0.7160 -0.7486 -0.7738 -0.7920 -0.8047 -0.8139 -0.8213
 -0.8278 -0.8344 -0.8409 -0.8476 -0.8546 -0.8747 -0.9008 -0.9320 -0.9702 -1.0201
 -1.0795 -1.1422 -1.2041 -1.2639 -1.3215 -1.3773 -1.4318 -1.4851 -1.5378 -1.5904
 -1.6440
 -0.4774 -0.5324 -0.5832 -0.6299 -0.6706 -0.7054 -0.7333 -0.7551 -0.7720 -0.7855
 -0.7969 -0.8073 -0.8170 -0.8262 -0.8352 -0.8575 -0.8839 -0.9175 -0.9579 -1.0072
 -1.0659 -1.1299 -1.1950 -1.2590 -1.3208 -1.3803 -1.4380 -1.4942 -1.5490 -1.6032
 -1.6573
 -0.3730 -0.4306 -0.4852 -0.5365 -0.5832 -0.6252 -0.6618 -0.6926 -0.7182 -0.7395
 -0.7574 -0.7732 -0.7917 -0.8029 -0.8169 -0.8448 -0.8692 -0.9018 -0.9446
 [Fe/H] = -1.50 [alpha/Fe] = 0.00 BC value =F850LP
 -1.0057 -0.9934 -0.9985 -1.0158 -1.0398 -1.0647 -1.0853 -1.0978 -1.1000 -1.0900
 -1.0670 -1.0342 -0.9971 -0.9625 -0.9322 -0.8767 -0.8520 -0.8582 -0.8916
 -0.9571 -0.9366 -0.9363 -0.9522 -0.9785 -1.0089 -1.0377 -1.0603 -1.0740 -1.0764
 -1.0657 -1.0425 -1.0118 -0.9812 -0.9540 -0.9049 -0.8831 -0.8904 -0.9206 -0.9612
 -0.9247 -0.8981 -0.9016 -0.9177 -0.9386 -0.9653 -0.9947 -1.0217 -1.0425 -1.0545
 -1.0554 -1.0436 -1.0207 -0.9942 -0.9699 -0.9263 -0.9077 -0.9145 -0.9433 -0.9836
 -1.0277
 -0.9443 -0.9049 -0.8838 -0.8815 -0.8988 -0.9322 -0.9656 -0.9922 -1.0135 -1.0289
 -1.0369 -1.0357 -1.0228 -1.0018 -0.9805 -0.9419 -0.9263 -0.9333 -0.9608 -1.0010
 -1.0457 -1.0914
 -0.9622 -0.9265 -0.9028 -0.8896 -0.8862 -0.8942 -0.9146 -0.9446 -0.9782 -1.0023
 -1.0152 -1.0197 -1.0162 -1.0032 -0.9858 -0.9520 -0.9391 -0.9469 -0.9738 -1.0142
 -1.0599 -1.1068 -1.1539 -1.2008
 -0.9625 -0.9355 -0.9164 -0.9029 -0.8944 -0.8916 -0.8946 -0.9036 -0.9198 -0.9447
 -0.9712 -0.9902 -0.9983 -0.9957 -0.9850 -0.9569 -0.9467 -0.9555 -0.9824 -1.0232
 -1.0706 -1.1194 -1.1681 -1.2166 -1.2646 -1.3118 -1.3600 -1.4110 -1.4651 -1.5196
 -0.9388 -0.9247 -0.9144 -0.9060 -0.8987 -0.8928 -0.8896 -0.8899 -0.8939 -0.9016
 -0.9144 -0.9333 -0.9531 -0.9668 -0.9713 -0.9568 -0.9495 -0.9594 -0.9864 -1.0279
 -1.0774 -1.1286 -1.1796 -1.2300 -1.2799 -1.3292 -1.3785 -1.4281 -1.4799 -1.5360
 -1.5937
 -0.8890 -0.8903 -0.8923 -0.8930 -0.8913 -0.8879 -0.8839 -0.8809 -0.8800 -0.8815
 -0.8851 -0.8916 -0.9031 -0.9181 -0.9319 -0.9481 -0.9476 -0.9589 -0.9859 -1.0277
 -1.0791 -1.1336 -1.1875 -1.2405 -1.2925 -1.3439 -1.3948 -1.4454 -1.4964 -1.5502
 -1.6088
 -0.8152 -0.8318 -0.8476 -0.8601 -0.8677 -0.8707 -0.8705 -0.8686 -0.8668 -0.8663
 -0.8671 -0.8694 -0.8739 -0.8814 -0.8918 -0.9198 -0.9390 -0.9544 -0.9820 -1.0235
 -1.0763 -1.1341 -1.1918 -1.2482 -1.3030 -1.3568 -1.4098 -1.4622 -1.5146 -1.5683
 -1.6233
 -0.7245 -0.7542 -0.7822 -0.8064 -0.8252 -0.8376 -0.8446 -0.8476 -0.8486 -0.8491
 -0.8501 -0.8521 -0.8551 -0.8594 -0.8655 -0.8893 -0.9179 -0.9443 -0.9740 -1.0150
 -1.0676 -1.1274 -1.1888 -1.2492 -1.3076 -1.3644 -1.4200 -1.4745 -1.5284 -1.5823
 -1.6369
 -0.6240 -0.6628 -0.7005 -0.7349 -0.7639 -0.7867 -0.8031 -0.8139 -0.8208 -0.8253
 -0.8290 -0.8329 -0.8371 -0.8418 -0.8472 -0.8663 -0.8948 -0.9278 -0.9629 -1.0043
 -1.0559 -1.1161 -1.1800 -1.2441 -1.3065 -1.3669 -1.4256 -1.4828 -1.5389 -1.5943
 -1.6495
 -0.5167 -0.5627 -0.6071 -0.6494 -0.6870 -0.7191 -0.7452 -0.7653 -0.7803 -0.7915
 -0.8002 -0.8078 -0.8166 -0.8225 -0.8369 -0.8508 -0.8697 -0.9049 -0.9487
 [Fe/H] = -1.00 [alpha/Fe] = 0.00 BC value =F850LP
