 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = G_RP 
 -1.1449 -1.1330 -1.1285 -1.1308 -1.1278 -1.1139 -1.0551 -1.0331 -1.0047 -0.9628
 -0.9084 -0.8486 -0.7846 -0.7167 -0.6522 -0.5333 -0.4788 -0.4667 -0.4739
 -1.1318 -1.0484 -0.9975 -0.9758 -0.9768 -0.9757 -0.9647 -0.9476 -0.9269 -0.9022
 -0.8667 -0.8178 -0.7599 -0.7026 -0.6510 -0.5565 -0.5059 -0.4897 -0.4930 -0.5077
 -1.0870 -1.0183 -0.9597 -0.9138 -0.8841 -0.8744 -0.8809 -0.8837 -0.8726 -0.8492
 -0.8222 -0.7894 -0.7451 -0.6960 -0.6503 -0.5645 -0.5208 -0.5086 -0.5138 -0.5286
 -0.5497
 -1.0396 -0.9846 -0.9333 -0.8869 -0.8479 -0.8194 -0.8027 -0.7979 -0.8001 -0.7956
 -0.7790 -0.7576 -0.7282 -0.6897 -0.6502 -0.5727 -0.5328 -0.5239 -0.5313 -0.5468
 -0.5674 -0.5919
 -0.9718 -0.9345 -0.8968 -0.8587 -0.8219 -0.7893 -0.7637 -0.7457 -0.7343 -0.7280
 -0.7217 -0.7107 -0.6965 -0.6738 -0.6451 -0.5775 -0.5404 -0.5341 -0.5447 -0.5619
 -0.5830 -0.6074 -0.6344 -0.6632
 -0.8845 -0.8649 -0.8433 -0.8183 -0.7901 -0.7612 -0.7344 -0.7122 -0.6952 -0.6818
 -0.6707 -0.6604 -0.6517 -0.6396 -0.6231 -0.5758 -0.5424 -0.5376 -0.5521 -0.5730
 -0.5961 -0.6214 -0.6487 -0.6779 -0.7091 -0.7430 -0.7803 -0.8213 -0.8664 -0.9158
 -0.7850 -0.7784 -0.7720 -0.7614 -0.7457 -0.7256 -0.7033 -0.6818 -0.6635 -0.6486
 -0.6357 -0.6237 -0.6130 -0.6033 -0.5920 -0.5622 -0.5380 -0.5344 -0.5518 -0.5776
 -0.6050 -0.6328 -0.6616 -0.6916 -0.7225 -0.7537 -0.7869 -0.8243 -0.8674 -0.9164
 -0.9681
 -0.6751 -0.6811 -0.6864 -0.6885 -0.6859 -0.6776 -0.6640 -0.6478 -0.6316 -0.6172
 -0.6051 -0.5943 -0.5840 -0.5745 -0.5645 -0.5419 -0.5269 -0.5257 -0.5443 -0.5744
 -0.6073 -0.6397 -0.6716 -0.7035 -0.7357 -0.7683 -0.8008 -0.8351 -0.8734 -0.9172
 -0.9677
 -0.5630 -0.5786 -0.5921 -0.6037 -0.6121 -0.6152 -0.6127 -0.6051 -0.5946 -0.5833
 -0.5731 -0.5644 -0.5566 -0.5492 -0.5412 -0.5221 -0.5119 -0.5140 -0.5324 -0.5646
 -0.6023 -0.6404 -0.6772 -0.7128 -0.7475 -0.7817 -0.8161 -0.8521 -0.8897 -0.9289
 -0.9694
 -0.4487 -0.4709 -0.4935 -0.5120 -0.5282 -0.5409 -0.5489 -0.5515 -0.5496 -0.5446
 -0.5382 -0.5323 -0.5273 -0.5230 -0.5185 -0.5048 -0.4971 -0.5012 -0.5190 -0.5503
 -0.5900 -0.6327 -0.6750 -0.7156 -0.7544 -0.7917 -0.8281 -0.8640 -0.9041 -0.9411
 -0.9761
 -0.3321 -0.3580 -0.3906 -0.4180 -0.4388 -0.4582 -0.4745 -0.4866 -0.4942 -0.4976
