 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  G   
 -2.4626 -1.2497  0.0776  0.2825 -1.0088 -3.4321 -2.6411 -1.2766 -0.4652 -0.4192
 -0.3354 -0.3371 -0.7341 -1.2260 -1.4527 -1.2439
 -2.4630 -1.9398 -1.3032 -1.1446 -1.6007 -2.6838 -2.3554 -1.7541 -1.3083 -1.1435
 -1.0112 -0.9678 -1.1140 -1.3130 -1.3947 -1.2136 -1.0837 -1.0029 -1.0072
 -2.3000 -2.1598 -1.9457 -1.8274 -1.8343 -2.0928 -2.0141 -1.8565 -1.6783 -1.5181
 -1.4003 -1.3406 -1.3389 -1.3556 -1.3429 -1.1906 -1.0848 -1.0112 -0.9819 -0.9601
 -0.9104
 -1.9736 -1.9097 -1.8499 -1.7659 -1.7097 -1.6592 -1.6172 -1.5837 -1.5752 -1.5429
 -1.5027 -1.4555 -1.4090 -1.3537 -1.2973 -1.1749 -1.0798 -1.0158 -0.9739 -0.9480
 -0.9303 -0.9180 -0.9090
 -1.7657 -1.7350 -1.7020 -1.6555 -1.6136 -1.5712 -1.5313 -1.4954 -1.4641 -1.4356
 -1.4055 -1.3708 -1.3340 -1.2939 -1.2503 -1.1514 -1.0769 -1.0251 -0.9898 -0.9660
 -0.9496 -0.9381 -0.9297 -0.9243 -0.9222
 -1.5707 -1.5655 -1.5546 -1.5364 -1.5112 -1.4813 -1.4491 -1.4169 -1.3861 -1.3574
 -1.3303 -1.3033 -1.2738 -1.2441 -1.2105 -1.1305 -1.0706 -1.0292 -1.0009 -0.9810
 -0.9671 -0.9573 -0.9502 -0.9452 -0.9421 -0.9416
 -1.3885 -1.4012 -1.4077 -1.4086 -1.4025 -1.3895 -1.3706 -1.3482 -1.3240 -1.2993
 -1.2750 -1.2512 -1.2275 -1.2041 -1.1779 -1.1122 -1.0609 -1.0281 -1.0072 -0.9930
 -0.9828 -0.9756 -0.9706 -0.9668 -0.9642 -0.9631 -0.9643 -0.9704 -0.9835 -1.0032
 -1.2190 -1.2421 -1.2613 -1.2770 -1.2876 -1.2917 -1.2888 -1.2798 -1.2661 -1.2492
 -1.2305 -1.2109 -1.1910 -1.1709 -1.1505 -1.0963 -1.0508 -1.0219 -1.0069 -0.9990
 -0.9942 -0.9911 -0.9891 -0.9879 -0.9871 -0.9868 -0.9870 -0.9903 -0.9996 -1.0166
 -1.0406
 -1.0705 -1.0973 -1.1234 -1.1488 -1.1713 -1.1894 -1.2017 -1.2072 -1.2062 -1.1998
 -1.1890 -1.1755 -1.1603 -1.1440 -1.1267 -1.0819 -1.0410 -1.0135 -1.0005 -0.9974
 -0.9987 -1.0012 -1.0038 -1.0064 -1.0086 -1.0106 -1.0129 -1.0153 -1.0209 -1.0330
 -1.0537
 -0.9409 -0.9703 -1.0005 -1.0314 -1.0611 -1.0887 -1.1123 -1.1306 -1.1424 -1.1472
 -1.1460 -1.1401 -1.1307 -1.1189 -1.1053 -1.0673 -1.0310 -1.0042 -0.9912 -0.9897
 -0.9954 -1.0040 -1.0126 -1.0203 -1.0269 -1.0325 -1.0375 -1.0425 -1.0483 -1.0575
 -1.0704
 -0.8316 -0.8622 -0.8937 -0.9260 -0.9592 -0.9918 -1.0226 -1.0501 -1.0729 -1.0889
 -1.0980 -1.1011 -1.0993 -1.0934 -1.0843 -1.0538 -1.0213 -0.9957 -0.9818 -0.9793
 -0.9862 -0.9987 -1.0131 -1.0270 -1.0393 -1.0498 -1.0591 -1.0673 -1.0751 -1.0836
 -1.0931
 -0.7457 -0.7730 -0.8028 -0.8347 -0.8686 -0.9029 -0.9374 -0.9703 -1.0002 -1.0245
 -1.0429 -1.0556 -1.0627 -1.0646 -1.0616 -1.0403 -1.0118 -0.9874 -0.9728 -0.9693
 -0.9752 -0.9885 -1.0064 -1.0256 -1.0441 -1.0606 -1.0752 -1.0881 -1.0997 -1.1106
 -1.1221
 -0.6830 -0.7028 -0.7278 -0.7575 -0.7893 -0.8220 -0.8593 -0.8946 -0.9283 -0.9579
 -0.9832 -1.0045 -1.0221 -1.0325 -1.0371 -1.0269 -1.0025 -0.9793 -0.9642
 [Fe/H] = -3.00 [alpha/Fe] = 0.40 BC value =  G   
 -1.9335 -1.8347 -1.7793 -1.7751 -1.8298 -2.0749 -1.9563 -1.8334 -1.7388 -1.6661
 -1.5558 -1.4476 -1.4226 -1.4371 -1.4154 -1.2265
 -1.9490 -1.8481 -1.7777 -1.7443 -1.7541 -1.8740 -1.8205 -1.7574 -1.6988 -1.6440
 -1.5715 -1.4971 -1.4512 -1.4192 -1.3724 -1.2049 -1.0830 -1.0015 -0.9483
 -1.9410 -1.8433 -1.7654 -1.7124 -1.6892 -1.7196 -1.7028 -1.6771 -1.6437 -1.6038
 -1.5582 -1.5078 -1.4534 -1.3956 -1.3350 -1.1863 -1.0797 -1.0078 -0.9605 -0.9298
 -0.9095
 -1.9095 -1.8203 -1.7424 -1.6794 -1.6351 -1.6117 -1.6032 -1.5927 -1.5735 -1.5455
 -1.5157 -1.4797 -1.4292 -1.3662 -1.3032 -1.1707 -1.0769 -1.0140 -0.9725 -0.9449
 -0.9264 -0.9138 -0.9046
 -1.8545 -1.7791 -1.7087 -1.6453 -1.5917 -1.5503 -1.5217 -1.5040 -1.4881 -1.4692
 -1.4441 -1.4128 -1.3786 -1.3310 -1.2770 -1.1581 -1.0746 -1.0201 -0.9842 -0.9600
 -0.9434 -0.9319 -0.9240 -0.9191 -0.9176
 -1.7760 -1.7197 -1.6643 -1.6101 -1.5590 -1.5138 -1.4764 -1.4470 -1.4236 -1.4034
 -1.3808 -1.3530 -1.3252 -1.2924 -1.2507 -1.1468 -1.0711 -1.0240 -0.9943 -0.9741
 -0.9601 -0.9503 -0.9435 -0.9390 -0.9365 -0.9365
 -1.6752 -1.6384 -1.6011 -1.5617 -1.5206 -1.4796 -1.4413 -1.4078 -1.3793 -1.3540
 -1.3294 -1.3037 -1.2761 -1.2513 -1.2191 -1.1342 -1.0655 -1.0235 -1.0001 -0.9853
 -0.9750 -0.9679 -0.9631 -0.9599 -0.9580 -0.9577 -0.9595 -0.9662 -0.9798 -0.9996
 -1.5599 -1.5391 -1.5184 -1.4954 -1.4683 -1.4374 -1.4045 -1.3724 -1.3429 -1.3163
 -1.2913 -1.2661 -1.2395 -1.2150 -1.1886 -1.1179 -1.0575 -1.0187 -0.9997 -0.9909
 -0.9859 -0.9828 -0.9811 -0.9804 -0.9803 -0.9808 -0.9827 -0.9864 -0.9956 -1.0129
 -1.0371
 -1.4509 -1.4344 -1.4218 -1.4127 -1.3998 -1.3820 -1.3590 -1.3329 -1.3064 -1.2811
 -1.2572 -1.2339 -1.2101 -1.1859 -1.1625 -1.1006 -1.0476 -1.0109 -0.9929 -0.9893
 -0.9873 -0.9927 -0.9956 -0.9986 -1.0015 -1.0041 -1.0072 -1.0133 -1.0227 -1.0351
 -1.0502
 -1.3147 -1.3226 -1.3240 -1.3195 -1.3177 -1.3121 -1.3011 -1.2847 -1.2647 -1.2433
 -1.2221 -1.2015 -1.1809 -1.1599 -1.1391 -1.0836 -1.0357 -1.0017 -0.9846 -0.9818
 -0.9871 -0.9956 -1.0043 -1.0124 -1.0197 -1.0259 -1.0316 -1.0372 -1.0437 -1.0526
 -1.0668
 -1.1978 -1.2125 -1.2202 -1.2215 -1.2281 -1.2313 -1.2310 -1.2256 -1.2151 -1.2007
 -1.1842 -1.1673 -1.1504 -1.1333 -1.1159 -1.0684 -1.0245 -0.9925 -0.9752 -0.9716
 -0.9782 -0.9907 -1.0052 -1.0193 -1.0321 -1.0432 -1.0530 -1.0619 -1.0703 -1.0794
 -1.0893
 -1.0850 -1.1041 -1.1198 -1.1322 -1.1454 -1.1573 -1.1657 -1.1560 -1.1555 -1.1502
 -1.1410 -1.1295 -1.1169 -1.1038 -1.0903 -1.0531 -1.0133 -0.9834 -0.9661 -0.9615
 -0.9674 -0.9809 -0.9989 -1.0184 -1.0372 -1.0541 -1.0693 -1.0827 -1.0948 -1.1063
 -1.1182
 -0.9764 -0.9974 -1.0227 -1.0517 -1.0695 -1.0901 -1.0826 -1.0935 -1.1003 -1.0912
 -1.0905 -1.0863 -1.0794 -1.0710 -1.0623 -1.0377 -1.0021 -0.9744 -0.9573
 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  G   
 -2.0128 -2.0592 -2.1594 -2.1642 -2.0416 -1.9146 -1.8971 -1.9425 -1.9454 -1.8721
 -1.7696 -1.6549 -1.5548 -1.4739 -1.3953 -1.2182
 -1.9821 -1.9506 -1.9596 -1.9384 -1.8737 -1.8122 -1.7944 -1.7997 -1.7863 -1.7396
 -1.6743 -1.5947 -1.5117 -1.4334 -1.3590 -1.1986 -1.0801 -0.9987 -0.9381
 -1.9580 -1.8751 -1.8212 -1.7773 -1.7422 -1.7169 -1.6985 -1.6815 -1.6601 -1.6308
 -1.5906 -1.5371 -1.4706 -1.3984 -1.3291 -1.1831 -1.0767 -1.0043 -0.9543 -0.9220
 -0.9050
 -1.9405 -1.8327 -1.7442 -1.6809 -1.6471 -1.6287 -1.6094 -1.5879 -1.5668 -1.5457
 -1.5185 -1.4821 -1.4315 -1.3689 -1.3056 -1.1717 -1.0750 -1.0101 -0.9679 -0.9400
 -0.9212 -0.9087 -0.9008
 -1.9296 -1.8234 -1.7286 -1.6492 -1.5884 -1.5476 -1.5271 -1.5189 -1.5064 -1.4843
 -1.4580 -1.4297 -1.3944 -1.3449 -1.2885 -1.1644 -1.0750 -1.0161 -0.9789 -0.9543
 -0.9376 -0.9261 -0.9184 -0.9134 -0.9119
 -1.9033 -1.8084 -1.7199 -1.6407 -1.5732 -1.5193 -1.4798 -1.4531 -1.4372 -1.4258
 -1.4077 -1.3821 -1.3550 -1.3197 -1.2730 -1.1590 -1.0748 -1.0205 -0.9881 -0.9674
 -0.9534 -0.9437 -0.9371 -0.9330 -0.9312 -0.9317
 -1.8524 -1.7742 -1.6990 -1.6284 -1.5639 -1.5071 -1.4599 -1.4226 -1.3939 -1.3713
 -1.3523 -1.3324 -1.3094 -1.2849 -1.2511 -1.1525 -1.0731 -1.0218 -0.9936 -0.9777
 -0.9674 -0.9606 -0.9560 -0.9533 -0.9520 -0.9523 -0.9549 -0.9621 -0.9759 -0.9959
 -1.7767 -1.7166 -1.6578 -1.6008 -1.5458 -1.4937 -1.4458 -1.4038 -1.3688 -1.3396
 -1.3139 -1.2897 -1.2656 -1.2440 -1.2189 -1.1406 -1.0686 -1.0193 -0.9938 -0.9828
 -0.9777 -0.9748 -0.9735 -0.9732 -0.9736 -0.9748 -0.9774 -0.9819 -0.9916 -1.0092
 -1.0335
 -1.6823 -1.6383 -1.5954 -1.5534 -1.5114 -1.4690 -1.4267 -1.3858 -1.3484 -1.3157
 -1.2870 -1.2604 -1.2346 -1.2097 -1.1871 -1.1213 -1.0598 -1.0135 -0.9891 -0.9814
 -0.9817 -0.9843 -0.9875 -0.9909 -0.9943 -0.9976 -1.0014 -1.0063 -1.0134 -1.0252
 -1.0467
 -1.5759 -1.5458 -1.5162 -1.4874 -1.4584 -1.4278 -1.3949 -1.3602 -1.3254 -1.2924
 -1.2624 -1.2353 -1.2096 -1.1844 -1.1611 -1.1005 -1.0464 -1.0048 -0.9809 -0.9746
 -0.9788 -0.9871 -0.9960 -1.0045 -1.0121 -1.0189 -1.0253 -1.0317 -1.0389 -1.0484
 -1.0631
 -1.4658 -1.4469 -1.4277 -1.4092 -1.3910 -1.3715 -1.3493 -1.3237 -1.2955 -1.2661
 -1.2373 -1.2105 -1.1857 -1.1622 -1.1396 -1.0832 -1.0329 -0.9951 -0.9720 -0.9649
 -0.9703 -0.9824 -0.9970 -1.0113 -1.0244 -1.0360 -1.0465 -1.0560 -1.0652 -1.0749
 -1.0853
 -1.3540 -1.3447 -1.3344 -1.3236 -1.3132 -1.3026 -1.2899 -1.2740 -1.2545 -1.2319
 -1.2075 -1.1831 -1.1598 -1.1381 -1.1176 -1.0676 -1.0203 -0.9847 -0.9629 -0.9550
 -0.9596 -0.9729 -0.9909 -1.0105 -1.0295 -1.0469 -1.0627 -1.0767 -1.0894 -1.1015
 -1.1140
 -1.2404 -1.2392 -1.2394 -1.2346 -1.2302 -1.2257 -1.2202 -1.2126 -1.2017 -1.1875
 -1.1701 -1.1507 -1.1306 -1.1112 -1.0951 -1.0537 -1.0086 -0.9736 -0.9536
