 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = BX   
 -8.0159 -7.7684 -7.6093 -7.4136 -7.1657 -6.9525 -6.8393 -6.7686 -6.6528 -6.4658
 -6.2452 -6.0015 -5.7529 -5.5138 -5.2809 -4.7351 -4.2466 -3.8467 -3.5197
 -7.6923 -7.3574 -7.1063 -6.8945 -6.7137 -6.5612 -6.4288 -6.3030 -6.1697 -6.0198
 -5.8474 -5.6489 -5.4295 -5.2073 -4.9962 -4.5202 -4.1038 -3.7550 -3.4775 -3.2638
 -7.4768 -7.0963 -6.7911 -6.5551 -6.3829 -6.2410 -6.0982 -5.9539 -5.8126 -5.6733
 -5.5231 -5.3554 -5.1651 -4.9629 -4.7702 -4.3483 -3.9896 -3.6849 -3.4445 -3.2570
 -3.1046
 -7.3694 -6.9851 -6.6637 -6.3954 -6.1733 -5.9919 -5.8475 -5.7213 -5.5815 -5.4263
 -5.2723 -5.1210 -4.9597 -4.7806 -4.6029 -4.2194 -3.9040 -3.6364 -3.4208 -3.2514
 -3.1130 -2.9944
 -7.2950 -6.9215 -6.6022 -6.3270 -6.0881 -5.8807 -5.7008 -5.5441 -5.4062 -5.2722
 -5.1219 -4.9625 -4.8091 -4.6507 -4.4871 -4.1300 -3.8440 -3.6047 -3.4090 -3.2540
 -3.1272 -3.0181 -2.9208 -2.8322
 -7.2198 -6.8683 -6.5615 -6.2910 -6.0497 -5.8325 -5.6366 -5.4600 -5.3000 -5.1528
 -5.0128 -4.8696 -4.7210 -4.5718 -4.4162 -4.0734 -3.8056 -3.5857 -3.4047 -3.2609
 -3.1440 -3.0436 -2.9538 -2.8714 -2.7949 -2.7237 -2.6584 -2.5968 -2.5416 -2.5078
 -7.1296 -6.8077 -6.5215 -6.2636 -6.0280 -5.8109 -5.6098 -5.4232 -5.2511 -5.0917
 -4.9424 -4.8000 -4.6602 -4.5237 -4.3816 -4.0460 -3.7847 -3.5765 -3.4051 -3.2687
 -3.1599 -3.0678 -2.9858 -2.9102 -2.8395 -2.7729 -2.7109 -2.6534 -2.6009 -2.5570
 -2.5325
 -7.0260 -6.7338 -6.4718 -6.2324 -6.0088 -5.7983 -5.5986 -5.4096 -5.2314 -5.0647
 -4.9084 -4.7612 -4.6215 -4.4876 -4.3568 -4.0408 -3.7790 -3.5750 -3.4091 -3.2763
 -3.1726 -3.0878 -3.0135 -2.9455 -2.8817 -2.8210 -2.7636 -2.7098 -2.6603 -2.6166
 -2.5836
 -6.9107 -6.6463 -6.4071 -6.1875 -5.9800 -5.7807 -5.5880 -5.4019 -5.2235 -5.0537
 -4.8931 -4.7420 -4.5995 -4.4649 -4.3364 -4.0366 -3.7816 -3.5775 -3.4142 -3.2826
 -3.1808 -3.1008 -3.0338 -2.9739 -2.9178 -2.8643 -2.8130 -2.7642 -2.7183 -2.6765
 -2.6414
 -6.7987 -6.5598 -6.3378 -6.1341 -5.9423 -5.7566 -5.5752 -5.3967 -5.2224 -5.0538
 -4.8923 -4.7388 -4.5939 -4.4577 -4.3289 -4.0358 -3.7882 -3.5852 -3.4226 -3.2915
 -3.1889 -3.1102 -3.0479 -2.9952 -2.9473 -2.9019 -2.8582 -2.8160 -2.7754 -2.7373
 -2.7019
 -6.6941 -6.4715 -6.2650 -6.0722 -5.8912 -5.7187 -5.5497 -5.3822 -5.2162 -5.0530
 -4.8941 -4.7412 -4.5955 -4.4577 -4.3277 -4.0359 -3.7931 -3.5923 -3.4303 -3.2998
 -3.1964 -3.1171 -3.0564 -3.0083 -2.9675 -2.9303 -2.8950 -2.8606 -2.8269 -2.7946
 -2.7643
 -6.5968 -6.3814 -6.1870 -6.0030 -5.8303 -5.6665 -5.5082 -5.3525 -5.1973 -5.0432
 -4.8909 -4.7421 -4.5983 -4.4608 -4.3328 -4.0369 -3.7963 -3.5988 -3.4373
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value = BX   
 -8.1744 -7.8641 -7.6060 -7.3881 -7.1991 -7.0241 -6.8494 -6.6653 -6.4711 -6.2680
 -6.0508 -5.8195 -5.5824 -5.3549 -5.1310 -4.6567 -4.2346 -3.8612 -3.5566
 -7.7914 -7.4448 -7.1578 -6.9232 -6.7278 -6.5571 -6.3979 -6.2368 -6.0709 -5.8977
 -5.7114 -5.5084 -5.2917 -5.0782 -4.8800 -4.4505 -4.0846 -3.7648 -3.4978 -3.2848
 -7.5059 -7.1204 -6.8132 -6.5873 -6.3807 -6.2043 -6.0481 -5.8998 -5.7520 -5.6009
 -5.4414 -5.2678 -5.0761 -4.8769 -4.6895 -4.2929 -3.9690 -3.6912 -3.4556 -3.2649
 -3.1077
 -7.3488 -6.9342 -6.6052 -6.3502 -6.1477 -5.9771 -5.8211 -5.6685 -5.5203 -5.3764
 -5.2321 -5.0820 -4.9183 -4.7376 -4.5595 -4.1839 -3.8878 -3.6404 -3.4300 -3.2571
 -3.1152 -2.9944
 -7.3277 -6.9015 -6.5457 -6.2619 -6.0351 -5.8481 -5.6867 -5.5391 -5.3952 -5.2475
 -5.0955 -4.9481 -4.8012 -4.6436 -4.4762 -4.1137 -3.8343 -3.6075 -3.4164 -3.2578
 -3.1272 -3.0157 -2.9172 -2.8280
 -7.3543 -6.9200 -6.5538 -6.2469 -5.9895 -5.7726 -5.5883 -5.4293 -5.2892 -5.1623
 -5.0299 -4.8808 -4.7299 -4.5807 -4.4261 -4.0725 -3.8020 -3.5878 -3.4104 -3.2631
 -3.1421 -3.0392 -2.9482 -2.8653 -2.7887 -2.7177 -2.6527 -2.5913 -2.5359 -2.5019
 -7.3964 -6.9645 -6.5941 -6.2797 -6.0116 -5.7808 -5.5798 -5.4030 -5.2451 -5.1004
 -4.9649 -4.8335 -4.6964 -4.5535 -4.4039 -4.0529 -3.7850 -3.5776 -3.4091 -3.2700
 -3.1566 -3.0618 -2.9784 -2.9023 -2.8316 -2.7653 -2.7039 -2.6470 -2.5947 -2.5504
 -2.5261
 -7.4312 -7.0130 -6.6473 -6.3309 -6.0566 -5.8167 -5.6042 -5.4136 -5.2414 -5.0838
 -4.9364 -4.7965 -4.6621 -4.5314 -4.3974 -4.0536 -3.7798 -3.5744 -3.4107 -3.2768
 -3.1688 -3.0807 -3.0049 -2.9364 -2.8725 -2.8120 -2.7553 -2.7022 -2.6535 -2.6100
 -2.5768
 -7.4385 -7.0399 -6.6903 -6.3812 -6.1074 -5.8633 -5.6432 -5.4431 -5.2596 -5.0906
 -4.9332 -4.7852 -4.6445 -4.5106 -4.3825 -4.0622 -3.7849 -3.5748 -3.4128 -3.2817
 -3.1766 -3.0933 -3.0245 -2.9638 -2.9075 -2.8542 -2.8036 -2.7555 -2.7105 -2.6696
 -2.6348
 -7.4201 -7.0529 -6.7227 -6.4266 -6.1599 -5.9170 -5.6937 -5.4874 -5.2961 -5.1182
 -4.9523 -4.7967 -4.6499 -4.5108 -4.3793 -4.0711 -3.8010 -3.5843 -3.4195 -3.2889
 -3.1844 -3.1028 -3.0385 -2.9847 -2.9364 -2.8911 -2.8478 -2.8063 -2.7667 -2.7296
 -2.6952
 -7.3820 -7.0430 -6.7342 -6.4537 -6.1979 -5.9622 -5.7419 -5.5344 -5.3389 -5.1550
 -4.9825 -4.8206 -4.6682 -4.5244 -4.3883 -4.0786 -3.8148 -3.5975 -3.4280 -3.2962
 -3.1914 -3.1097 -3.0470 -2.9978 -2.9564 -2.9191 -2.8841 -2.8503 -2.8175 -2.7862
 -2.7568
 -7.3255 -7.0145 -6.7279 -6.4633 -6.2183 -5.9904 -5.7771 -5.5741 -5.3796 -5.1940
 -5.0176 -4.8511 -4.6943 -4.5464 -4.4095 -4.0847 -3.8263 -3.6144 -3.4383
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value = BX   
 -8.4904 -8.2472 -8.0171 -7.7921 -7.5694 -7.3299 -7.0537 -6.7421 -6.4495 -6.1807
 -5.9248 -5.6759 -5.4371 -5.2162 -5.0150 -4.5825 -4.2109 -3.8768 -3.5848
 -8.0455 -7.7697 -7.5165 -7.2805 -7.0550 -6.8315 -6.5936 -6.3369 -6.0941 -5.8661
 -5.6441 -5.4209 -5.1983 -4.9870 -4.7945 -4.3900 -4.0582 -3.7704 -3.5173 -3.3028
 -7.7316 -7.4197 -7.1405 -6.8900 -6.6626 -6.4512 -6.2439 -6.0283 -5.8206 -5.6236
 -5.4314 -5.2361 -5.0334 -4.8321 -4.6455 -4.2580 -3.9519 -3.6950 -3.4716 -3.2795
 -3.1192
 -7.5328 -7.1697 -6.8697 -6.6106 -6.3776 -6.1688 -5.9772 -5.7904 -5.6085 -5.4352
 -5.2667 -5.0971 -4.9187 -4.7318 -4.5508 -4.1725 -3.8816 -3.6447 -3.4426 -3.2684
 -3.1215 -2.9968
 -7.4540 -7.0389 -6.6940 -6.4077 -6.1695 -5.9703 -5.7974 -5.6271 -5.4588 -5.2970
 -5.1417 -4.9896 -4.8341 -4.6672 -4.4946 -4.1210 -3.8379 -3.6133 -3.4260 -3.2657
 -3.1300 -3.0146 -2.9137 -2.8233
 -7.4914 -7.0383 -6.6494 -6.3223 -6.0521 -5.8301 -5.6486 -5.4985 -5.3621 -5.2223
 -5.0704 -4.9186 -4.7710 -4.6220 -4.4631 -4.0936 -3.8126 -3.5950 -3.4175 -3.2680
 -3.1418 -3.0348 -2.9415 -2.8575 -2.7805 -2.7096 -2.6447 -2.5835 -2.5281 -2.4934
 -7.5947 -7.1092 -6.6913 -6.3384 -6.0432 -5.7981 -5.5945 -5.4228 -5.2743 -5.1435
 -5.0210 -4.8893 -4.7437 -4.5949 -4.4461 -4.0835 -3.8004 -3.5854 -3.4142 -3.2724
 -3.1540 -3.0547 -2.9689 -2.8918 -2.8207 -2.7548 -2.6939 -2.6378 -2.5858 -2.5409
 -2.5158
 -7.7458 -7.2325 -6.7879 -6.4102 -6.0933 -5.8277 -5.6038 -5.4134 -5.2489 -5.1027
 -4.9687 -4.8430 -4.7198 -4.5880 -4.4458 -4.0869 -3.7982 -3.5821 -3.4138 -3.2773
 -3.1652 -3.0719 -2.9932 -2.9234 -2.8592 -2.7991 -2.7432 -2.6903 -2.6420 -2.6002
 -2.5660
 -7.8983 -7.3787 -6.9145 -6.5174 -6.1802 -5.8950 -5.6524 -5.4437 -5.2617 -5.1005
 -4.9541 -4.8175 -4.6877 -4.5631 -4.4382 -4.1002 -3.8024 -3.5816 -3.4138 -3.2803
 -3.1718 -3.0838 -3.0115 -2.9491 -2.8925 -2.8394 -2.7895 -2.7425 -2.6987 -2.6590
 -2.6245
 -8.0248 -7.5175 -7.0570 -6.6510 -6.2992 -5.9968 -5.7362 -5.5098 -5.3105 -5.1329
 -4.9723 -4.8245 -4.6857 -4.5539 -4.4280 -4.1174 -3.8225 -3.5902 -3.4188 -3.2856
 -3.1788 -3.0933 -3.0252 -2.9692 -2.9201 -2.8748 -2.8322 -2.7916 -2.7532 -2.7175
 -2.6846
 -8.1060 -7.6256 -7.1842 -6.7817 -6.4269 -6.1148 -5.8408 -5.5988 -5.3834 -5.1901
 -5.0149 -4.8543 -4.7054 -4.5656 -4.4334 -4.1265 -3.8457 -3.6075 -3.4274 -3.2917
 -3.1849 -3.1001 -3.0340 -2.9823 -2.9397 -2.9021 -2.8674 -2.8343 -2.8026 -2.7725
 -2.7446
 -8.1258 -7.6850 -7.2730 -6.8899 -6.5428 -6.2312 -5.9518 -5.6999 -5.4720 -5.2650
 -5.0761 -4.9031 -4.7434 -4.5947 -4.4544 -4.1275 -3.8720 -3.6335 -3.4396
 [Fe/H] = -1.00 [alpha/Fe] = 0.40 BC value = BX   
 -8.9353 -8.7711 -8.6043 -8.4234 -8.2240 -7.9559 -7.5665 -7.0567 -6.5727 -6.1774
 -5.8565 -5.5833 -5.3426 -5.1272 -4.9332 -4.5242 -4.1890 -3.8867 -3.6131
 -8.4353 -8.2495 -8.0658 -7.8761 -7.6666 -7.4161 -7.0884 -6.6711 -6.2726 -5.9315
 -5.6422 -5.3878 -5.1574 -4.9479 -4.7584 -4.3634 -4.0473 -3.7786 -3.5414 -3.3311
 -8.0420 -7.8315 -7.6279 -7.4268 -7.2196 -6.9926 -6.7200 -6.3818 -6.0470 -5.7491
 -5.4885 -5.2542 -5.0363 -4.8329 -4.6463 -4.2580 -3.9554 -3.7064 -3.4918 -3.3027
 -3.1377
 -7.7682 -7.5237 -7.2941 -7.0751 -6.8621 -6.6483 -6.4192 -6.1469 -5.8649 -5.6045
 -5.3709 -5.1578 -4.9559 -4.7616 -4.5783 -4.1922 -3.8963 -3.6592 -3.4596 -3.2863
 -3.1349 -3.0044
 -7.6200 -7.3195 -7.0584 -6.8194 -6.5936 -6.3789 -6.1700 -5.9480 -5.7111 -5.4837
 -5.2748 -5.0822 -4.8984 -4.7173 -4.5401 -4.1544 -3.8602 -3.6298 -3.4402 -3.2784
 -3.1383 -3.0172 -2.9121 -2.8191
 -7.6050 -7.2218 -6.8920 -6.6121 -6.3738 -6.1662 -5.9735 -5.7833 -5.5829 -5.3831
 -5.1945 -5.0190 -4.8522 -4.6871 -4.5203 -4.1364 -3.8402 -3.6128 -3.4296 -3.2762
 -3.1452 -3.0325 -2.9350 -2.8487 -2.7707 -2.6994 -2.6344 -2.5727 -2.5179 -2.4832
 -7.6805 -7.2409 -6.8538 -6.5197 -6.2364 -5.9964 -5.7921 -5.6179 -5.4596 -5.3016
 -5.1377 -4.9740 -4.8160 -4.6627 -4.5096 -4.1330 -3.8319 -3.6042 -3.4248 -3.2773
 -3.1536 -3.0484 -2.9580 -2.8786 -2.8066 -2.7407 -2.6805 -2.6249 -2.5732 -2.5286
 -2.5026
 -7.8335 -7.3422 -6.9085 -6.5322 -6.2101 -5.9384 -5.7098 -5.5158 -5.3479 -5.1993
 -5.0653 -4.9356 -4.7978 -4.6517 -4.5043 -4.1409 -3.8334 -3.6019 -3.4237 -3.2801
 -3.1616 -3.0627 -2.9790 -2.9065 -2.8413 -2.7813 -2.7262 -2.6752 -2.6287 -2.5864
 -2.5525
 -8.0686 -7.5154 -7.0345 -6.6169 -6.2596 -5.9573 -5.7030 -5.4887 -5.3061 -5.1474
 -5.0057 -4.8765 -4.7553 -4.6341 -4.5034 -4.1536 -3.8407 -3.6030 -3.4234 -3.2819
 -3.1672 -3.0730 -2.9952 -2.9293 -2.8714 -2.8183 -2.7693 -2.7236 -2.6814 -2.6432
 -2.6097
 -8.3452 -7.7612 -7.2342 -6.7745 -6.3797 -6.0449 -5.7627 -5.5245 -5.3219 -5.1476
 -4.9944 -4.8562 -4.7280 -4.6063 -4.4878 -4.1748 -3.8609 -3.6133 -3.4288 -3.2867
 -3.1736 -3.0822 -3.0085 -2.9482 -2.8970 -2.8513 -2.8093 -2.7699 -2.7331 -2.6993
 -2.6689
 -8.6054 -8.0135 -7.4721 -6.9810 -6.5524 -6.1854 -5.8739 -5.6097 -5.3840 -5.1895
 -5.0193 -4.8677 -4.7296 -4.6007 -4.4778 -4.1844 -3.8898 -3.6315 -3.4383 -3.2929
 -3.1795 -3.0893 -3.0178 -2.9613 -2.9158 -2.8771 -2.8425 -2.8104 -2.7801 -2.7519
 -2.7259
 -8.7871 -8.2287 -7.6936 -7.1995 -6.7527 -6.3620 -6.0252 -5.7355 -5.4860 -5.2694
 -5.0793 -4.9103 -4.7580 -4.6185 -4.4734 -4.1824 -3.9274 -3.6576 -3.4519
 [Fe/H] = -0.75 [alpha/Fe] = 0.40 BC value = BX   
 -9.1528 -9.0264 -8.8961 -8.7490 -8.5382 -8.2368 -7.8282 -7.2993 -6.6966 -6.2164
 -5.8536 -5.5642 -5.3195 -5.1053 -4.9137 -4.5112 -4.1808 -3.8921 -3.6300
 -8.6383 -8.4939 -8.3500 -8.1963 -8.0145 -7.7749 -7.4274 -6.9315 -6.4282 -6.0051
 -5.6693 -5.3945 -5.1583 -4.9486 -4.7601 -4.3666 -4.0530 -3.7885 -3.5561 -3.3488
 -8.2165 -8.0510 -7.8898 -7.7263 -7.5484 -7.3346 -7.0489 -6.6511 -6.2296 -5.8545
 -5.5431 -5.2823 -5.0545 -4.8493 -4.6628 -4.2728 -3.9683 -3.7189 -3.5053 -3.3175
 -3.1514
 -7.8980 -7.7048 -7.5202 -7.3402 -7.1580 -6.9608 -6.7268 -6.4141 -6.0637 -5.7346
 -5.4493 -5.2043 -4.9870 -4.7881 -4.6041 -4.2144 -3.9136 -3.6733 -3.4721 -3.2982
 -3.1453 -3.0118
 -7.7059 -7.4662 -7.2487 -7.0445 -6.8472 -6.6510 -6.4453 -6.2006 -5.9138 -5.6292
 -5.3716 -5.1446 -4.9405 -4.7507 -4.5712 -4.1811 -3.8800 -3.6446 -3.4516 -3.2877
 -3.1455 -3.0214 -2.9134 -2.8184
 -7.6425 -7.3225 -7.0541 -6.8232 -6.6120 -6.4092 -6.2101 -6.0055 -5.7730 -5.5303
 -5.3010 -5.0932 -4.9038 -4.7260 -4.5544 -4.1659 -3.8615 -3.6277 -3.4400 -3.2833
 -3.1495 -3.0337 -2.9332 -2.8448 -2.7656 -2.6943 -2.6285 -2.5665 -2.5125 -2.4783
 -7.6915 -7.2971 -6.9530 -6.6595 -6.4088 -6.1912 -5.9984 -5.8206 -5.6366 -5.4369
 -5.2361 -5.0467 -4.8715 -4.7065 -4.5459 -4.1641 -3.8546 -3.6192 -3.4345 -3.2828
 -3.1555 -3.0469 -2.9534 -2.8717 -2.7988 -2.7325 -2.6724 -2.6171 -2.5655 -2.5219
 -2.4964
 -7.8186 -7.3680 -6.9675 -6.6175 -6.3172 -6.0606 -5.8396 -5.6474 -5.4767 -5.3169
 -5.1622 -5.0058 -4.8471 -4.6914 -4.5405 -4.1729 -3.8576 -3.6176 -3.4331 -3.2847
 -3.1621 -3.0593 -2.9721 -2.8971 -2.8308 -2.7707 -2.7159 -2.6654 -2.6187 -2.5777
 -2.5438
 -8.0252 -7.5175 -7.0652 -6.6678 -6.3235 -6.0291 -5.7789 -5.5655 -5.3808 -5.2170
 -5.0689 -4.9342 -4.8068 -4.6764 -4.5378 -4.1856 -3.8665 -3.6198 -3.4329 -3.2861
 -3.1668 -3.0685 -2.9869 -2.9182 -2.8587 -2.8053 -2.7566 -2.7116 -2.6702 -2.6329
 -2.6004
 -8.3277 -7.7599 -7.2516 -6.8050 -6.4172 -6.0850 -5.8027 -5.5635 -5.3599 -5.1843
 -5.0295 -4.8901 -4.7622 -4.6420 -4.5239 -4.2056 -3.8878 -3.6317 -3.4392 -3.2910
 -3.1731 -3.0774 -2.9997 -2.9362 -2.8829 -2.8365 -2.7946 -2.7558 -2.7199 -2.6873
 -2.6579
 -8.6589 -8.0595 -7.5100 -7.0147 -6.5830 -6.2109 -5.8940 -5.6253 -5.3972 -5.2021
 -5.0330 -4.8837 -4.7486 -4.6233 -4.5044 -4.2163 -3.9172 -3.6513 -3.4501 -3.2978
 -3.1792 -3.0847 -3.0093 -2.9494 -2.9013 -2.8612 -2.8264 -2.7946 -2.7652 -2.7379
 -2.7163
 -9.0188 -8.3467 -7.7864 -7.2700 -6.8033 -6.3950 -6.0434 -5.7430 -5.4871 -5.2679
 -5.0784 -4.9124 -4.7646 -4.6302 -4.4793 -4.2177 -3.9547 -3.6786 -3.4656
 [Fe/H] = -0.50 [alpha/Fe] = 0.40 BC value = BX   
 -9.3886 -9.2887 -9.1831 -9.0609 -8.8719 -8.5761 -8.1442 -7.5528 -6.8522 -6.2854
 -5.8748 -5.5644 -5.3134 -5.0986 -4.9086 -4.5103 -4.1861 -3.9046 -3.6432
 -8.8590 -8.7440 -8.6297 -8.5049 -8.3489 -8.1260 -7.7743 -7.2204 -6.6183 -6.1054
 -5.7167 -5.4173 -5.1728 -4.9618 -4.7739 -4.3813 -4.0681 -3.8048 -3.5745 -3.3690
 -8.4097 -8.2778 -8.1501 -8.0193 -7.8705 -7.6771 -7.3935 -6.9547 -6.4475 -5.9855
 -5.6152 -5.3235 -5.0834 -4.8752 -4.6888 -4.2976 -3.9899 -3.7381 -3.5232 -3.3351
 -3.1684
 -8.0495 -7.8957 -7.7488 -7.6050 -7.4552 -7.2818 -7.0547 -6.7176 -6.3004 -5.8916
 -5.5444 -5.2617 -5.0264 -4.8216 -4.6369 -4.2451 -3.9390 -3.6939 -3.4893 -3.3132
 -3.1588 -3.0227
 -7.7957 -7.6080 -7.4341 -7.2688 -7.1065 -6.9379 -6.7453 -6.4898 -6.1563 -5.8050
 -5.4866 -5.2172 -4.9891 -4.7892 -4.6072 -4.2147 -3.9070 -3.6655 -3.4678 -3.3005
 -3.1557 -3.0287 -2.9173 -2.8200
 -7.6786 -7.4286 -7.2132 -7.0180 -6.8341 -6.6546 -6.4719 -6.2673 -6.0075 -5.7141
 -5.4308 -5.1796 -4.9618 -4.7689 -4.5919 -4.2008 -3.8894 -3.6482 -3.4551 -3.2940
 -3.1567 -3.0376 -2.9336 -2.8423 -2.7613 -2.6884 -2.6224 -2.5592 -2.5050 -2.4705
 -7.6845 -7.3434 -7.0567 -6.8177 -6.6117 -6.4235 -6.2407 -6.0575 -5.8530 -5.6154
 -5.3705 -5.1422 -4.9379 -4.7544 -4.5846 -4.1995 -3.8830 -3.6395 -3.4485 -3.2920
 -3.1604 -3.0479 -2.9507 -2.8659 -2.7911 -2.7241 -2.6636 -2.6083 -2.5562 -2.5124
 -2.4868
 -7.7804 -7.3746 -7.0164 -6.7084 -6.4466 -6.2214 -6.0222 -5.8422 -5.6724 -5.4917
 -5.2971 -5.1007 -4.9139 -4.7417 -4.5810 -4.2076 -3.8866 -3.6380 -3.4465 -3.2928
 -3.1654 -3.0581 -2.9670 -2.8885 -2.8201 -2.7591 -2.7042 -2.6545 -2.6087 -2.5670
 -2.5330
 -7.9531 -7.4896 -7.0759 -6.7115 -6.3956 -6.1249 -5.8918 -5.6878 -5.5062 -5.3386
 -5.1784 -5.0256 -4.8760 -4.7258 -4.5762 -4.2193 -3.8968 -3.6411 -3.4464 -3.2936
 -3.1690 -3.0659 -2.9799 -2.9074 -2.8454 -2.7909 -2.7422 -2.6981 -2.6580 -2.6217
 -2.5887
 -8.2333 -7.7024 -7.2307 -6.8136 -6.4493 -6.1343 -5.8645 -5.6332 -5.4331 -5.2565
 -5.0964 -4.9499 -4.8158 -4.6902 -4.5656 -4.2377 -3.9187 -3.6547 -3.4536 -3.2987
 -3.1751 -3.0744 -2.9921 -2.9244 -2.8681 -2.8200 -2.7778 -2.7395 -2.7046 -2.6731
 -2.6448
 -8.5945 -8.0078 -7.4749 -7.0030 -6.5883 -6.2289 -5.9203 -5.6569 -5.4318 -5.2382
 -5.0689 -4.9179 -4.7812 -4.6556 -4.5377 -4.2500 -3.9475 -3.6760 -3.4661 -3.3063
 -3.1816 -3.0819 -3.0017 -2.9375 -2.8859 -2.8435 -2.8079 -2.7763 -2.7476 -2.7215
 -2.7013
 -8.9565 -8.3507 -7.7846 -7.2671 -6.8034 -6.3991 -6.0495 -5.7504 -5.4954 -5.2774
 -5.0896 -4.9258 -4.7803 -4.6485 -4.4925 -4.2562 -3.9832 -3.7050 -3.4839
 [Fe/H] = -0.25 [alpha/Fe] = 0.40 BC value = BX   
 -9.6263 -9.5471 -9.5278 -9.4868 -9.3439 -9.0347 -8.5077 -7.7735 -7.0226 -6.3891
 -5.9251 -5.5881 -5.3262 -5.1081 -4.9180 -4.5231 -4.2014 -3.9242 -3.6671
 -9.0880 -8.9990 -8.9049 -8.8018 -8.6653 -8.4537 -8.0983 -7.4991 -6.8233 -6.2340
 -5.7888 -5.4597 -5.2026 -4.9879 -4.7996 -4.4074 -4.0934 -3.8294 -3.5988 -3.3935
 -8.6162 -8.5098 -8.4079 -8.3024 -8.1766 -8.0009 -7.7236 -7.2589 -6.6825 -6.1400
 -5.7083 -5.3812 -5.1248 -4.9113 -4.7240 -4.3321 -4.0209 -3.7653 -3.5474 -3.3572
 -3.1892
 -8.2198 -8.0956 -7.9782 -7.8637 -7.7414 -7.5906 -7.3757 -7.0283 -6.5565 -6.0714
 -5.6578 -5.3331 -5.0764 -4.8632 -4.6765 -4.2840 -3.9728 -3.7222 -3.5129 -3.3332
 -3.1764 -3.0376
 -7.9117 -7.7627 -7.6236 -7.4918 -7.3615 -7.2205 -7.0455 -6.7903 -6.4216 -6.0043
 -5.6195 -5.3022 -5.0465 -4.8339 -4.6482 -4.2551 -3.9418 -3.6935 -3.4903 -3.3182
 -3.1699 -3.0399 -2.9250 -2.8246
 -7.7285 -7.5288 -7.3552 -7.1972 -7.0477 -6.8994 -6.7403 -6.5440 -6.2674 -5.9247
 -5.5804 -5.2784 -5.0274 -4.8168 -4.6330 -4.2409 -3.9241 -3.6754 -3.4761 -3.3098
 -3.1680 -3.0452 -2.9376 -2.8427 -2.7583 -2.6825 -2.6141 -2.5519 -2.4983 -2.4639
 -7.6743 -7.3962 -7.1717 -6.9808 -6.8068 -6.6406 -6.4761 -6.3039 -6.0944 -5.8256
 -5.5311 -5.2538 -5.0128 -4.8068 -4.6263 -4.2383 -3.9175 -3.6659 -3.4680 -3.3060
 -3.1693 -3.0524 -2.9511 -2.8626 -2.7849 -2.7161 -2.6552 -2.5991 -2.5463 -2.5034
 -2.4781
 -7.7327 -7.3724 -7.0640 -6.8081 -6.5953 -6.4111 -6.2416 -6.0757 -5.9046 -5.7009
 -5.4637 -5.2212 -4.9975 -4.7998 -4.6243 -4.2442 -3.9209 -3.6641 -3.4651 -3.3053
 -3.1726 -3.0603 -2.9646 -2.8822 -2.8106 -2.7477 -2.6921 -2.6424 -2.5968 -2.5552
 -2.5219
 -7.8671 -7.4483 -7.0759 -6.7519 -6.4760 -6.2421 -6.0388 -5.8566 -5.6875 -5.5216
 -5.3428 -5.1550 -4.9671 -4.7877 -4.6215 -4.2538 -3.9308 -3.6676 -3.4647 -3.3053
 -3.1751 -3.0666 -2.9756 -2.8987 -2.8331 -2.7764 -2.7268 -2.6824 -2.6425 -2.6070
 -2.5756
 -8.1011 -7.6197 -7.1910 -6.8111 -6.4794 -6.1935 -5.9483 -5.7354 -5.5461 -5.3736
 -5.2096 -5.0508 -4.9000 -4.7559 -4.6143 -4.2704 -3.9522 -3.6824 -3.4727 -3.3104
 -3.1808 -3.0745 -2.9868 -2.9143 -2.8539 -2.8032 -2.7597 -2.7214 -2.6871 -2.6560
 -2.6300
 -8.4456 -7.8949 -7.4016 -6.9645 -6.5804 -6.2458 -5.9570 -5.7087 -5.4941 -5.3058
 -5.1366 -4.9809 -4.8374 -4.7054 -4.5824 -4.2835 -3.9797 -3.7050 -3.4867 -3.3189
